# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# Crazyflie onboard estimate (with lighthouse deck)
2019445000,49.8727955860,8.6511834809,143.9947,-0.147879,-0.512956,-89.141264,0.0000,0.0000,0.0000
2019545000,49.8727955860,8.6511834673,143.9971,-0.156303,-0.500656,-89.142991,0.0000,0.0000,0.0000
2019645000,49.8727955882,8.6511834809,143.9981,-0.149605,-0.436701,-89.169331,0.0000,0.0000,0.0000
2019745000,49.8727955904,8.6511834809,144.0010,-0.148339,-0.393725,-89.224467,0.0000,0.0000,0.0000
2019845000,49.8727955860,8.6511835080,143.9951,-0.168118,-0.292536,-89.170783,0.0000,0.0000,0.0000
2019945000,49.8727955750,8.6511835352,143.9882,-0.209585,-0.254685,-89.074583,0.0000,0.0000,0.0000
2020047000,49.8727955772,8.6511835080,143.9878,-0.173464,-0.393001,-89.002769,0.0000,0.0000,0.0000
2020145000,49.8727955509,8.6511835352,143.9947,-0.254540,-0.396695,-89.015596,0.0000,0.0000,0.0000
2020245000,49.8727956277,8.6511835488,144.0096,0.111611,-0.376207,-89.044818,0.0000,0.0000,0.0000
2020345000,49.8727956584,8.6511835624,144.0173,0.109242,-0.373997,-89.050053,0.0000,0.0000,0.0000
2020445000,49.8727955904,8.6511836031,144.0043,-0.266943,-0.285534,-89.005321,0.0000,0.0000,0.0000
2020545000,49.8727955860,8.6511835216,143.9970,-0.258111,-0.518452,-89.037164,0.0000,0.0000,0.0000
2020645000,49.8727955377,8.6511835352,143.9967,-0.405217,-0.459207,-89.073425,0.0000,0.0000,0.0000
2020745000,49.8727956057,8.6511835216,144.0097,0.043842,-0.450990,-89.192803,0.0000,0.0000,0.0000
2020845000,49.8727955926,8.6511835488,144.0058,-0.149471,-0.346227,-89.177317,0.0000,0.0000,0.0000
2020945000,49.8727956277,8.6511835624,144.0065,0.059004,-0.358225,-89.158283,0.0000,0.0000,0.0000
2021045000,49.8727955948,8.6511835624,143.9997,-0.201848,-0.374838,-89.130775,0.0000,0.0000,0.0000
2021145000,49.8727955838,8.6511835216,143.9948,-0.229407,-0.445866,-89.123549,0.0000,0.0000,0.0000
2021245000,49.8727955816,8.6511834945,143.9933,-0.218356,-0.500151,-89.121740,0.0000,0.0000,0.0000
2021345000,49.8727956079,8.6511835624,143.9974,-0.067246,-0.333640,-89.067859,0.0000,0.0000,0.0000
2021445000,49.8727955970,8.6511835624,143.9973,-0.189606,-0.363904,-89.070950,0.0000,0.0000,0.0000
2021545000,49.8727955816,8.6511835216,143.9945,-0.249346,-0.441830,-89.046113,0.0000,0.0000,0.0000
2021645000,49.8727955816,8.6511834809,144.0038,-0.209431,-0.569386,-89.177165,0.0000,0.0000,0.0000
2021745000,49.8727955772,8.6511834945,144.0109,-0.213799,-0.448818,-89.235941,0.0000,0.0000,0.0000
2021845000,49.8727956123,8.6511835760,144.0095,-0.038334,-0.226603,-89.197363,0.0000,0.0000,0.0000
2021945000,49.8727956277,8.6511835896,144.0122,-0.042118,-0.247134,-89.232317,0.0000,0.0000,0.0000
2022045000,49.8727956452,8.6511836031,144.0140,-0.047943,-0.245130,-89.236239,0.0000,0.0000,0.0000
2022145000,49.8727955618,8.6511836167,143.9966,-0.364317,-0.234033,-89.159103,0.0000,0.0000,0.0000
2022245000,49.8727955333,8.6511836439,143.9920,-0.377570,-0.249965,-89.048873,0.0000,0.0000,0.0000
2022345000,49.8727955728,8.6511834945,143.9891,-0.207747,-0.540755,-89.050465,0.0000,0.0000,0.0000
2022445000,49.8727955662,8.6511835216,143.9932,-0.171378,-0.476758,-89.022757,0.0000,0.0000,0.0000
2022545000,49.8727955794,8.6511834809,144.0018,-0.119222,-0.553362,-89.118620,0.0000,0.0000,0.0000
2022645000,49.8727955860,8.6511834401,144.0070,-0.094411,-0.578957,-89.179914,0.0000,0.0000,0.0000
2022745000,49.8727955926,8.6511834809,144.0019,-0.097141,-0.374628,-89.234713,0.0000,0.0000,0.0000
2022846000,49.8727955860,8.6511835080,143.9934,-0.140310,-0.272856,-89.177872,0.0000,0.0000,0.0000
2022945000,49.8727956255,8.6511835760,144.0039,-0.030765,-0.224034,-89.202624,0.0000,0.0000,0.0000
2023045000,49.8727955794,8.6511835760,143.9966,-0.277373,-0.287698,-89.124182,0.0000,0.0000,0.0000
2023145000,49.8727955575,8.6511835896,143.9925,-0.316590,-0.281116,-89.065530,0.0000,0.0000,0.0000
2023245000,49.8727955355,8.6511836167,143.9893,-0.316562,-0.269453,-89.036713,0.0000,0.0000,0.0000
2023345000,49.8727955114,8.6511836575,143.9861,-0.316309,-0.267068,-89.042840,0.0000,0.0000,0.0000
2023445000,49.8727955355,8.6511836303,143.9906,-0.183703,-0.355775,-89.015032,0.0000,0.0000,0.0000
2023545000,49.8727955157,8.6511835896,143.9932,-0.256647,-0.480023,-89.048621,0.0000,0.0000,0.0000
2023645000,49.8727955443,8.6511836031,143.9932,-0.092129,-0.410030,-88.914741,0.0000,0.0000,0.0000
2023745000,49.8727955816,8.6511835216,143.9931,0.012908,-0.574070,-88.928248,0.0000,0.0000,0.0000
2023845000,49.8727955904,8.6511834945,143.9933,-0.027520,-0.559267,-88.926301,0.0000,0.0000,0.0000
2023945000,49.8727955838,8.6511834945,144.0029,-0.121384,-0.507343,-89.019436,0.0000,0.0000,0.0000
2024048000,49.8727955882,8.6511834673,144.0078,-0.122608,-0.510831,-89.021176,0.0000,0.0000,0.0000
2024145000,49.8727955860,8.6511834945,143.9962,-0.115388,-0.392864,-89.016081,0.0000,0.0000,0.0000
2024245000,49.8727955706,8.6511835352,143.9953,-0.170742,-0.281120,-89.002945,0.0000,0.0000,0.0000
2024345000,49.8727955596,8.6511835488,143.9959,-0.193163,-0.299743,-89.015972,0.0000,0.0000,0.0000
2024445000,49.8727955750,8.6511835080,144.0055,-0.155634,-0.449465,-89.104598,0.0000,0.0000,0.0000
2024545000,49.8727955772,8.6511835216,143.9987,-0.119040,-0.383059,-89.075525,0.0000,0.0000,0.0000
2024645000,49.8727955860,8.6511835080,143.9994,-0.118931,-0.422679,-89.132308,0.0000,0.0000,0.0000
2024745000,49.8727955662,8.6511835352,143.9970,-0.226526,-0.322159,-89.112003,0.0000,0.0000,0.0000
2024845000,49.8727955553,8.6511835624,143.9944,-0.240250,-0.277394,-89.077964,0.0000,0.0000,0.0000
2024945000,49.8727955509,8.6511835896,143.9905,-0.217477,-0.246455,-89.032619,0.0000,0.0000,0.0000
2025045000,49.8727955399,8.6511836303,143.9876,-0.223156,-0.247291,-89.037850,0.0000,0.0000,0.0000
2025145000,49.8727954653,8.6511836031,143.9892,-0.420798,-0.389610,-89.082360,0.0000,0.0000,0.0000
