# t_us, static pressure [Pa]
1895863000,99647.2652
1895963000,99647.2652
1896063000,99647.2652
1896163000,99647.2652
1896263000,99645.7839
1896363000,99647.2652
1896463000,99645.7839
1896563000,99645.7839
1896663000,99645.7839
1896765000,99645.7839
1896863000,99647.2652
1896963000,99648.7464
1897063000,99647.2652
1897163000,99647.2652
1897263000,99648.7464
1897363000,99647.2652
1897463000,99647.2652
1897563000,99647.2652
1897665000,99647.2652
1897765000,99647.2652
1897864000,99647.2652
1897963000,99645.7839
1898063000,99647.2652
1898167000,99647.2652
1898263000,99645.7839
1898363000,99645.7839
1898465000,99647.2652
1898566000,99647.2652
1898663000,99645.7839
1898763000,99645.7839
1898863000,99647.2652
1898964000,99647.2652
1899063000,99647.2652
1899163000,99648.7464
1899263000,99647.2652
1899363000,99647.2652
1899463000,99645.7839
1899563000,99645.7839
1899663000,99645.7839
1899763000,99645.7839
1899863000,99645.7839
1899963000,99645.7839
1900066000,99647.2652
1900163000,99647.2652
1900263000,99647.2652
1900363000,99647.2652
1900463000,99647.2652
1900563000,99647.2652
1900663000,99647.2652
1900763000,99645.7839
1900863000,99645.7839
1900963000,99645.7839
1901063000,99644.3027
1901163000,99645.7839
1901263000,99647.2652
1901363000,99645.7839
1901463000,99647.2652
1901563000,99645.7839
1901663000,99647.2652
1901763000,99647.2652
1901863000,99645.7839
1901966000,99645.7839
1902063000,99645.7839
1902163000,99647.2652
1902263000,99645.7839
1902363000,99645.7839
1902463000,99647.2652
1902563000,99645.7839
1902663000,99645.7839
1902763000,99645.7839
1902863000,99647.2652
1902963000,99645.7839
1903063000,99645.7839
1903163000,99647.2652
1903263000,99647.2652
1903363000,99647.2652
1903463000,99647.2652
1903563000,99645.7839
1903663000,99647.2652
1903763000,99644.3027
1903863000,99642.8215
1903963000,99639.8591
1904063000,99636.8968
1904163000,99635.4157
1904263000,99633.9346
1904363000,99632.4535
1904463000,99630.9724
1904563000,99630.9724
1904663000,99630.9724
1904764000,99629.4914
1904863000,99629.4914
1904963000,99629.4914
1905063000,99629.4914
1905163000,99628.0103
1905263000,99628.0103
1905363000,99628.0103
1905463000,99628.0103
1905564000,99625.0483
1905663000,99625.0483
1905763000,99625.0483
1905863000,99626.5293
1905963000,99625.0483
1906063000,99623.5673
1906163000,99625.0483
1906263000,99626.5293
1906363000,99626.5293
1906463000,99625.0483
1906563000,99625.0483
1906663000,99625.0483
1906763000,99625.0483
1906863000,99623.5673
1906963000,99623.5673
1907063000,99623.5673
1907163000,99625.0483
1907263000,99625.0483
1907363000,99625.0483
1907463000,99625.0483
1907563000,99625.0483
1907663000,99625.0483
1907763000,99626.5293
1907863000,99626.5293
1907963000,99625.0483
1908063000,99625.0483
1908163000,99623.5673
1908263000,99622.0864
1908363000,99622.0864
1908463000,99623.5673
1908563000,99622.0864
1908663000,99622.0864
1908766000,99622.0864
1908863000,99622.0864
1908963000,99622.0864
1909064000,99620.6054
1909163000,99622.0864
1909263000,99622.0864
1909363000,99623.5673
1909465000,99623.5673
1909563000,99623.5673
1909663000,99623.5673
1909763000,99625.0483
1909863000,99626.5293
1909966000,99623.5673
1910063000,99623.5673
1910163000,99625.0483
1910263000,99625.0483
1910363000,99625.0483
1910463000,99625.0483
1910563000,99625.0483
1910663000,99625.0483
1910763000,99626.5293
1910863000,99629.4914
1910963000,99632.4535
1911063000,99636.8968
1911163000,99636.8968
1911263000,99635.4157
1911363000,99635.4157
1911463000,99632.4535
1911563000,99632.4535
1911663000,99630.9724
1911763000,99629.4914
1911863000,99626.5293
1911963000,99626.5293
1912063000,99625.0483
1912163000,99625.0483
1912266000,99625.0483
1912363000,99623.5673
1912464000,99623.5673
1912563000,99623.5673
1912663000,99625.0483
1912763000,99623.5673
1912863000,99625.0483
1912963000,99625.0483
1913063000,99625.0483
1913163000,99625.0483
1913263000,99626.5293
1913363000,99628.0103
1913463000,99628.0103
1913563000,99628.0103
1913663000,99628.0103
1913763000,99626.5293
1913863000,99626.5293
1913963000,99625.0483
1914063000,99625.0483
1914163000,99623.5673
1914263000,99622.0864
1914363000,99622.0864
1914463000,99622.0864
1914563000,99620.6054
1914663000,99620.6054
1914765000,99622.0864
1914863000,99623.5673
1914963000,99623.5673
1915063000,99625.0483
1915163000,99626.5293
1915265000,99626.5293
1915364000,99629.4914
1915463000,99630.9724
1915563000,99632.4535
1915663000,99633.9346
1915763000,99633.9346
1915863000,99633.9346
1915963000,99635.4157
1916063000,99635.4157
1916163000,99633.9346
1916267000,99632.4535
1916363000,99629.4914
1916463000,99628.0103
1916563000,99626.5293
1916663000,99625.0483
1916763000,99623.5673
1916863000,99623.5673
1916963000,99620.6054
1917063000,99620.6054
1917163000,99620.6054
1917263000,99619.1245
1917363000,99619.1245
1917463000,99619.1245
1917563000,99619.1245
1917663000,99619.1245
1917763000,99619.1245
1917863000,99619.1245
1917963000,99620.6054
1918065000,99619.1245
1918163000,99620.6054
1918263000,99622.0864
1918364000,99623.5673
1918463000,99623.5673
1918563000,99623.5673
1918663000,99625.0483
1918763000,99625.0483
1918863000,99623.5673
1918963000,99623.5673
1919066000,99625.0483
1919163000,99623.5673
1919264000,99625.0483
1919363000,99623.5673
1919463000,99625.0483
1919563000,99623.5673
1919663000,99622.0864
1919763000,99622.0864
1919863000,99622.0864
1919963000,99620.6054
