# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# Crazyflie onboard estimate (with lighthouse deck)
1895863000,49.8727946005,8.6511839020,143.9993,-0.586263,-0.184696,-88.869542,0.0000,0.0000,0.0000
1895963000,49.8727946005,8.6511839020,143.9976,-0.588650,-0.242311,-88.836024,0.0000,0.0000,0.0000
1896063000,49.8727945917,8.6511839156,143.9928,-0.620146,-0.197268,-88.810850,0.0000,0.0000,0.0000
1896163000,49.8727945917,8.6511839020,143.9947,-0.603670,-0.258346,-88.838530,0.0000,0.0000,0.0000
1896263000,49.8727945829,8.6511839292,143.9889,-0.639540,-0.210549,-88.798504,0.0000,0.0000,0.0000
1896363000,49.8727945917,8.6511838884,143.9940,-0.594514,-0.363121,-88.752339,0.0000,0.0000,0.0000
1896463000,49.8727945961,8.6511838884,143.9943,-0.586776,-0.330778,-88.736794,0.0000,0.0000,0.0000
1896563000,49.8727945961,8.6511838612,144.0018,-0.580450,-0.399831,-88.763561,0.0000,0.0000,0.0000
1896663000,49.8727945961,8.6511838748,143.9991,-0.582393,-0.291740,-88.743998,0.0000,0.0000,0.0000
1896765000,49.8727945829,8.6511839292,143.9883,-0.628340,-0.164738,-88.653666,0.0000,0.0000,0.0000
1896863000,49.8727945917,8.6511838884,143.9941,-0.582771,-0.333400,-88.770884,0.0000,0.0000,0.0000
1896963000,49.8727945961,8.6511838612,144.0016,-0.580238,-0.433900,-88.800979,0.0000,0.0000,0.0000
1897063000,49.8727946005,8.6511838748,144.0005,-0.556551,-0.268466,-88.843832,0.0000,0.0000,0.0000
1897163000,49.8727946005,8.6511839020,143.9972,-0.581206,-0.203647,-88.868580,0.0000,0.0000,0.0000
1897263000,49.8727945961,8.6511839020,143.9967,-0.605323,-0.208690,-88.854524,0.0000,0.0000,0.0000
1897363000,49.8727946005,8.6511838748,144.0029,-0.591011,-0.321320,-88.903797,0.0000,0.0000,0.0000
1897463000,49.8727946005,8.6511838477,144.0077,-0.594616,-0.364180,-88.998852,0.0000,0.0000,0.0000
1897563000,49.8727945961,8.6511839020,143.9969,-0.619013,-0.148797,-88.959725,0.0000,0.0000,0.0000
1897665000,49.8727945873,8.6511839156,143.9901,-0.636922,-0.138078,-88.888952,0.0000,0.0000,0.0000
1897765000,49.8727945873,8.6511839156,143.9901,-0.621242,-0.234634,-88.891944,0.0000,0.0000,0.0000
1897864000,49.8727945961,8.6511838884,143.9937,-0.600983,-0.304458,-88.874136,0.0000,0.0000,0.0000
1897963000,49.8727945961,8.6511838612,143.9993,-0.591506,-0.377111,-88.915746,0.0000,0.0000,0.0000
1898063000,49.8727945961,8.6511838341,144.0045,-0.592087,-0.403709,-88.946204,0.0000,0.0000,0.0000
1898167000,49.8727945961,8.6511838884,143.9985,-0.588015,-0.294035,-88.947655,0.0000,0.0000,0.0000
1898263000,49.8727945961,8.6511838884,143.9971,-0.596717,-0.241487,-88.945284,0.0000,0.0000,0.0000
1898363000,49.8727945873,8.6511839292,143.9896,-0.638043,-0.162735,-88.883568,0.0000,0.0000,0.0000
1898465000,49.8727945873,8.6511839156,143.9901,-0.621268,-0.231868,-88.865733,0.0000,0.0000,0.0000
1898566000,49.8727945917,8.6511839020,143.9915,-0.611166,-0.309668,-88.845233,0.0000,0.0000,0.0000
1898663000,49.8727945873,8.6511838884,143.9922,-0.611131,-0.304609,-88.839141,0.0000,0.0000,0.0000
1898763000,49.8727945961,8.6511838748,143.9970,-0.580955,-0.355334,-88.868686,0.0000,0.0000,0.0000
1898863000,49.8727946005,8.6511838477,144.0056,-0.585771,-0.423798,-88.931262,0.0000,0.0000,0.0000
1898964000,49.8727946005,8.6511838341,144.0096,-0.599442,-0.391566,-88.935751,0.0000,0.0000,0.0000
1899063000,49.8727946049,8.6511838884,144.0026,-0.602336,-0.230406,-88.926098,0.0000,0.0000,0.0000
1899163000,49.8727945961,8.6511839020,143.9964,-0.620136,-0.205534,-88.864130,0.0000,0.0000,0.0000
1899263000,49.8727946005,8.6511838748,144.0023,-0.607346,-0.333096,-88.887080,0.0000,0.0000,0.0000
1899363000,49.8727945961,8.6511838477,144.0059,-0.613088,-0.349610,-88.920194,0.0000,0.0000,0.0000
1899463000,49.8727945961,8.6511839020,143.9974,-0.605613,-0.199455,-88.886043,0.0000,0.0000,0.0000
1899563000,49.8727945961,8.6511838884,143.9996,-0.597931,-0.264351,-88.889214,0.0000,0.0000,0.0000
1899663000,49.8727945917,8.6511839156,143.9940,-0.609067,-0.191556,-88.865972,0.0000,0.0000,0.0000
1899763000,49.8727946005,8.6511838884,143.9986,-0.582114,-0.257096,-88.893658,0.0000,0.0000,0.0000
1899863000,49.8727945873,8.6511839292,143.9899,-0.618795,-0.153664,-88.828571,0.0000,0.0000,0.0000
1899963000,49.8727945873,8.6511839020,143.9883,-0.596003,-0.255706,-88.736284,0.0000,0.0000,0.0000
1900066000,49.8727945873,8.6511839020,143.9880,-0.586591,-0.268120,-88.707394,0.0000,0.0000,0.0000
1900163000,49.8727945917,8.6511838748,143.9943,-0.548480,-0.374510,-88.698232,0.0000,0.0000,0.0000
1900263000,49.8727945961,8.6511838341,144.0032,-0.543668,-0.442295,-88.785342,0.0000,0.0000,0.0000
1900363000,49.8727945961,8.6511838069,144.0087,-0.565029,-0.429206,-88.880609,0.0000,0.0000,0.0000
1900463000,49.8727946049,8.6511838748,144.0061,-0.554461,-0.204703,-88.919325,0.0000,0.0000,0.0000
1900563000,49.8727945961,8.6511839020,143.9974,-0.591898,-0.093587,-88.897103,0.0000,0.0000,0.0000
1900663000,49.8727945961,8.6511839156,143.9945,-0.601987,-0.138274,-88.861893,0.0000,0.0000,0.0000
