# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# Crazyflie onboard estimate (not independent truth)
1710467000,49.8728035031,8.6511732787,144.0204,-0.144687,0.380961,-142.304667,0.0000,0.0000,0.0000
1710569000,49.8728035119,8.6511732787,144.0197,-0.129368,0.407292,-142.254880,0.0000,0.0000,0.0000
1710667000,49.8728035273,8.6511732651,144.0166,-0.079134,0.428492,-142.304482,0.0000,0.0000,0.0000
1710767000,49.8728035053,8.6511732787,144.0186,-0.167422,0.340772,-142.329799,0.0000,0.0000,0.0000
1710867000,49.8728035053,8.6511732787,144.0188,-0.154328,0.367504,-142.280026,0.0000,0.0000,0.0000
1710968000,49.8728035053,8.6511732787,144.0195,-0.147728,0.343911,-142.304630,0.0000,0.0000,0.0000
1711067000,49.8728035031,8.6511732787,144.0203,-0.159494,0.331378,-142.279992,0.0000,0.0000,0.0000
1711167000,49.8728035031,8.6511732787,144.0211,-0.163703,0.333388,-142.304663,0.0000,0.0000,0.0000
1711267000,49.8728035031,8.6511732787,144.0220,-0.164171,0.338029,-142.304671,0.0000,0.0000,0.0000
1711367000,49.8728035075,8.6511732787,144.0225,-0.158212,0.354444,-142.254909,0.0000,0.0000,0.0000
1711467000,49.8728035097,8.6511732787,144.0232,-0.161499,0.367192,-142.254937,0.0000,0.0000,0.0000
1711567000,49.8728035075,8.6511732787,144.0190,-0.143281,0.397177,-142.179550,0.0000,0.0000,0.0000
1711667000,49.8728035097,8.6511732787,144.0178,-0.148301,0.393086,-142.129837,0.0000,0.0000,0.0000
1711767000,49.8728035163,8.6511732787,144.0178,-0.142592,0.397758,-142.179548,0.0000,0.0000,0.0000
1711867000,49.8728035031,8.6511732787,144.0197,-0.195855,0.333303,-142.254989,0.0000,0.0000,0.0000
1711969000,49.8728035009,8.6511732787,144.0206,-0.194902,0.341316,-142.255000,0.0000,0.0000,0.0000
1712069000,49.8728035053,8.6511732787,144.0199,-0.166239,0.377615,-142.204728,0.0000,0.0000,0.0000
1712167000,49.8728035031,8.6511732787,144.0194,-0.167469,0.363670,-142.179585,0.0000,0.0000,0.0000
1712268000,49.8728035185,8.6511732787,144.0177,-0.104552,0.461679,-142.129749,0.0000,0.0000,0.0000
1712368000,49.8728035053,8.6511732787,144.0182,-0.142232,0.381588,-142.204654,0.0000,0.0000,0.0000
1712467000,49.8728035053,8.6511732787,144.0183,-0.166792,0.363515,-142.179582,0.0000,0.0000,0.0000
1712567000,49.8728035097,8.6511732787,144.0183,-0.146627,0.370955,-142.179528,0.0000,0.0000,0.0000
1712667000,49.8728035075,8.6511732787,144.0190,-0.164785,0.346973,-142.179552,0.0000,0.0000,0.0000
1712767000,49.8728035338,8.6511732651,144.0159,-0.100288,0.412604,-142.204542,0.0000,0.0000,0.0000
1712867000,49.8728034987,8.6511732787,144.0192,-0.241838,0.291651,-142.204796,0.0000,0.0000,0.0000
1712967000,49.8728035163,8.6511732787,144.0181,-0.167916,0.388889,-142.104768,0.0000,0.0000,0.0000
1713067000,49.8728035338,8.6511732787,144.0157,-0.148186,0.438471,-142.079630,0.0000,0.0000,0.0000
1713167000,49.8728035426,8.6511732923,144.0145,-0.152114,0.441904,-142.079649,0.0000,0.0000,0.0000
1713267000,49.8728035536,8.6511733058,144.0135,-0.154417,0.446617,-142.079665,0.0000,0.0000,0.0000
1713367000,49.8728035514,8.6511733058,144.0136,-0.175831,0.416693,-142.079702,0.0000,0.0000,0.0000
1713467000,49.8728035536,8.6511733194,144.0137,-0.187034,0.385970,-142.054552,0.0000,0.0000,0.0000
1713567000,49.8728035536,8.6511733194,144.0141,-0.195038,0.369749,-142.004868,0.0000,0.0000,0.0000
