# t_us, static pressure [Pa]
2287288000,99636.8968
2287388000,99636.8968
2287488000,99636.8968
2287588000,99636.8968
2287688000,99636.8968
2287788000,99638.3780
2287888000,99636.8968
2287988000,99636.8968
2288088000,99638.3780
2288188000,99636.8968
2288288000,99635.4157
2288388000,99636.8968
2288488000,99636.8968
2288588000,99636.8968
2288688000,99636.8968
2288788000,99635.4157
2288888000,99636.8968
2288988000,99636.8968
2289088000,99638.3780
2289188000,99636.8968
2289288000,99635.4157
2289388000,99636.8968
2289491000,99636.8968
2289588000,99636.8968
2289688000,99636.8968
2289788000,99636.8968
2289893000,99635.4157
2289988000,99636.8968
2290089000,99636.8968
2290188000,99635.4157
2290288000,99636.8968
2290388000,99638.3780
2290488000,99636.8968
2290588000,99636.8968
2290688000,99636.8968
2290788000,99635.4157
2290888000,99636.8968
2290988000,99636.8968
2291088000,99638.3780
2291188000,99638.3780
2291288000,99636.8968
2291388000,99636.8968
2291488000,99636.8968
2291588000,99636.8968
2291688000,99636.8968
2291788000,99636.8968
2291888000,99636.8968
2291988000,99636.8968
2292088000,99636.8968
2292193000,99635.4157
2292293000,99636.8968
2292388000,99636.8968
2292488000,99636.8968
2292589000,99636.8968
2292688000,99636.8968
2292788000,99636.8968
2292888000,99636.8968
2292991000,99635.4157
2293088000,99636.8968
2293188000,99636.8968
2293291000,99636.8968
2293388000,99636.8968
2293490000,99638.3780
2293590000,99638.3780
2293688000,99636.8968
2293788000,99636.8968
2293888000,99633.9346
2293988000,99636.8968
2294090000,99636.8968
2294188000,99636.8968
2294288000,99636.8968
2294388000,99636.8968
2294488000,99636.8968
2294588000,99636.8968
2294688000,99636.8968
2294788000,99636.8968
2294888000,99636.8968
2294988000,99635.4157
2295088000,99635.4157
2295188000,99635.4157
2295288000,99635.4157
2295388000,99635.4157
2295492000,99635.4157
2295588000,99635.4157
2295690000,99635.4157
2295788000,99636.8968
2295890000,99635.4157
2295988000,99635.4157
2296088000,99635.4157
2296189000,99636.8968
2296288000,99636.8968
2296388000,99635.4157
2296488000,99635.4157
2296589000,99636.8968
2296688000,99636.8968
2296788000,99636.8968
2296888000,99636.8968
2296988000,99636.8968
2297088000,99636.8968
2297188000,99635.4157
2297290000,99635.4157
2297388000,99636.8968
2297490000,99636.8968
2297590000,99636.8968
2297688000,99636.8968
2297790000,99635.4157
2297888000,99635.4157
2297988000,99636.8968
2298088000,99635.4157
2298188000,99635.4157
2298289000,99635.4157
2298390000,99636.8968
2298490000,99635.4157
2298588000,99636.8968
2298690000,99635.4157
2298788000,99636.8968
2298890000,99635.4157
2298988000,99635.4157
2299088000,99635.4157
2299188000,99636.8968
2299288000,99636.8968
2299388000,99636.8968
2299488000,99636.8968
2299588000,99636.8968
2299689000,99635.4157
2299788000,99636.8968
2299888000,99636.8968
2299988000,99636.8968
2300088000,99636.8968
2300188000,99636.8968
2300291000,99635.4157
2300391000,99635.4157
2300490000,99635.4157
2300589000,99633.9346
2300690000,99636.8968
2300788000,99636.8968
2300889000,99636.8968
2300988000,99636.8968
2301088000,99635.4157
2301188000,99635.4157
2301288000,99636.8968
2301388000,99635.4157
2301488000,99635.4157
2301588000,99633.9346
2301688000,99633.9346
2301788000,99635.4157
2301888000,99636.8968
2301988000,99635.4157
2302088000,99635.4157
2302188000,99635.4157
2302288000,99636.8968
2302388000,99635.4157
2302488000,99635.4157
2302588000,99635.4157
2302688000,99635.4157
2302788000,99635.4157
2302888000,99635.4157
2302988000,99635.4157
2303088000,99635.4157
2303188000,99636.8968
2303288000,99635.4157
2303388000,99635.4157
2303491000,99635.4157
2303591000,99635.4157
2303688000,99635.4157
2303793000,99636.8968
2303888000,99635.4157
2303988000,99636.8968
2304088000,99635.4157
2304190000,99635.4157
2304288000,99635.4157
2304388000,99638.3780
2304488000,99636.8968
2304588000,99636.8968
2304688000,99636.8968
2304788000,99636.8968
2304888000,99636.8968
2304989000,99636.8968
2305088000,99636.8968
2305188000,99635.4157
2305288000,99636.8968
2305388000,99636.8968
2305488000,99638.3780
2305588000,99638.3780
2305688000,99636.8968
2305788000,99636.8968
2305888000,99638.3780
2305988000,99636.8968
2306088000,99636.8968
2306188000,99638.3780
2306288000,99636.8968
2306388000,99638.3780
2306488000,99636.8968
2306588000,99636.8968
2306688000,99636.8968
2306788000,99636.8968
2306888000,99636.8968
2306988000,99636.8968
2307088000,99636.8968
2307188000,99636.8968
2307288000,99636.8968
2307388000,99635.4157
2307488000,99635.4157
2307590000,99635.4157
2307688000,99633.9346
2307788000,99635.4157
2307888000,99635.4157
2307988000,99635.4157
2308088000,99635.4157
2308188000,99635.4157
2308288000,99635.4157
2308388000,99633.9346
2308488000,99635.4157
2308588000,99633.9346
2308688000,99633.9346
2308788000,99633.9346
2308888000,99635.4157
2308988000,99633.9346
2309088000,99635.4157
2309188000,99633.9346
2309293000,99635.4157
2309388000,99635.4157
2309490000,99635.4157
2309588000,99633.9346
2309690000,99633.9346
2309788000,99633.9346
2309888000,99635.4157
2309989000,99633.9346
2310088000,99635.4157
2310188000,99635.4157
2310290000,99635.4157
2310388000,99635.4157
2310488000,99633.9346
2310591000,99635.4157
2310688000,99635.4157
2310791000,99635.4157
2310888000,99635.4157
2310988000,99635.4157
2311088000,99633.9346
2311190000,99633.9346
2311288000,99633.9346
2311388000,99633.9346
2311488000,99633.9346
2311588000,99633.9346
2311688000,99636.8968
2311788000,99635.4157
2311888000,99635.4157
2311988000,99633.9346
2312089000,99635.4157
2312188000,99633.9346
2312288000,99635.4157
2312388000,99635.4157
2312488000,99635.4157
2312588000,99633.9346
2312688000,99635.4157
2312788000,99635.4157
2312888000,99633.9346
2312988000,99635.4157
2313088000,99633.9346
2313188000,99635.4157
2313289000,99635.4157
2313388000,99633.9346
2313488000,99633.9346
2313588000,99635.4157
2313689000,99633.9346
2313788000,99633.9346
2313888000,99633.9346
2313988000,99633.9346
2314088000,99633.9346
2314188000,99633.9346
2314288000,99633.9346
2314388000,99633.9346
2314488000,99633.9346
2314589000,99633.9346
2314688000,99633.9346
2314788000,99633.9346
2314888000,99633.9346
2314988000,99635.4157
2315088000,99635.4157
2315188000,99635.4157
2315288000,99632.4535
2315388000,99633.9346
2315488000,99633.9346
2315588000,99633.9346
2315688000,99635.4157
2315788000,99633.9346
2315888000,99633.9346
2315988000,99633.9346
2316088000,99635.4157
2316188000,99635.4157
2316288000,99633.9346
2316388000,99635.4157
2316489000,99633.9346
2316588000,99632.4535
2316688000,99633.9346
2316788000,99633.9346
2316888000,99635.4157
2316988000,99635.4157
2317088000,99635.4157
2317188000,99635.4157
2317288000,99635.4157
2317388000,99635.4157
2317488000,99633.9346
2317588000,99633.9346
2317688000,99633.9346
2317788000,99633.9346
2317888000,99635.4157
2317988000,99633.9346
2318088000,99632.4535
2318188000,99632.4535
2318288000,99632.4535
2318388000,99633.9346
2318488000,99633.9346
2318590000,99635.4157
2318688000,99633.9346
2318788000,99633.9346
2318888000,99633.9346
2318988000,99633.9346
2319088000,99633.9346
2319188000,99635.4157
2319288000,99633.9346
2319388000,99633.9346
2319488000,99635.4157
2319588000,99633.9346
2319688000,99635.4157
2319788000,99633.9346
2319888000,99633.9346
2319988000,99633.9346
2320088000,99633.9346
2320188000,99633.9346
2320291000,99633.9346
2320388000,99633.9346
2320494000,99633.9346
2320588000,99633.9346
2320688000,99633.9346
2320790000,99633.9346
2320891000,99635.4157
2320988000,99635.4157
2321088000,99633.9346
2321188000,99633.9346
2321291000,99633.9346
2321388000,99633.9346
2321488000,99633.9346
2321588000,99633.9346
2321688000,99633.9346
2321790000,99633.9346
2321888000,99633.9346
2321988000,99633.9346
2322088000,99635.4157
2322188000,99633.9346
2322289000,99635.4157
2322389000,99633.9346
2322488000,99633.9346
2322589000,99633.9346
2322689000,99633.9346
2322788000,99633.9346
2322890000,99633.9346
2322988000,99633.9346
2323088000,99633.9346
2323188000,99632.4535
2323288000,99633.9346
2323388000,99632.4535
2323488000,99632.4535
2323588000,99632.4535
2323688000,99633.9346
2323788000,99633.9346
2323888000,99633.9346
2323988000,99633.9346
2324088000,99633.9346
2324188000,99633.9346
2324288000,99633.9346
2324388000,99633.9346
2324488000,99633.9346
2324589000,99632.4535
2324688000,99633.9346
2324788000,99633.9346
2324888000,99633.9346
2324988000,99633.9346
2325088000,99632.4535
2325189000,99632.4535
2325288000,99632.4535
2325390000,99632.4535
2325488000,99635.4157
2325588000,99633.9346
2325688000,99635.4157
2325788000,99633.9346
2325888000,99635.4157
2325988000,99633.9346
2326088000,99633.9346
2326191000,99635.4157
2326288000,99635.4157
2326388000,99633.9346
2326488000,99633.9346
2326588000,99633.9346
2326690000,99635.4157
2326788000,99633.9346
2326888000,99633.9346
2326988000,99633.9346
2327088000,99633.9346
2327188000,99633.9346
2327288000,99635.4157
2327388000,99633.9346
2327488000,99633.9346
2327588000,99633.9346
2327688000,99633.9346
2327788000,99633.9346
2327891000,99633.9346
2327988000,99633.9346
2328088000,99633.9346
2328188000,99632.4535
2328288000,99632.4535
2328388000,99633.9346
2328488000,99633.9346
2328588000,99632.4535
2328691000,99633.9346
2328788000,99632.4535
2328888000,99632.4535
2328988000,99633.9346
2329088000,99633.9346
2329188000,99632.4535
2329288000,99632.4535
2329389000,99633.9346
2329488000,99633.9346
2329588000,99633.9346
2329688000,99632.4535
2329788000,99633.9346
2329888000,99633.9346
2329988000,99633.9346
2330088000,99633.9346
2330188000,99633.9346
2330288000,99633.9346
2330388000,99633.9346
2330488000,99633.9346
2330588000,99633.9346
2330688000,99633.9346
2330788000,99633.9346
2330888000,99633.9346
2330988000,99632.4535
2331088000,99633.9346
2331188000,99632.4535
2331288000,99632.4535
2331388000,99632.4535
2331490000,99633.9346
2331588000,99633.9346
2331688000,99632.4535
2331788000,99632.4535
2331888000,99632.4535
2331994000,99632.4535
2332088000,99632.4535
2332188000,99633.9346
2332288000,99633.9346
2332388000,99632.4535
2332488000,99632.4535
2332588000,99633.9346
2332688000,99632.4535
2332788000,99633.9346
2332888000,99630.9724
2332988000,99632.4535
2333088000,99632.4535
2333191000,99632.4535
2333288000,99633.9346
2333388000,99632.4535
2333488000,99632.4535
2333588000,99632.4535
2333688000,99632.4535
2333788000,99632.4535
2333888000,99633.9346
2333988000,99633.9346
2334088000,99633.9346
2334188000,99632.4535
2334288000,99632.4535
2334388000,99632.4535
2334488000,99632.4535
2334588000,99632.4535
2334688000,99632.4535
2334788000,99632.4535
2334888000,99633.9346
2334988000,99632.4535
2335090000,99632.4535
2335188000,99630.9724
2335288000,99633.9346
2335388000,99632.4535
2335488000,99633.9346
2335588000,99632.4535
2335689000,99633.9346
2335788000,99632.4535
2335888000,99632.4535
2335988000,99632.4535
2336088000,99632.4535
2336188000,99632.4535
2336288000,99632.4535
2336389000,99633.9346
2336488000,99632.4535
2336588000,99632.4535
2336688000,99630.9724
2336788000,99630.9724
2336888000,99632.4535
2336988000,99632.4535
2337088000,99630.9724
2337188000,99630.9724
2337288000,99632.4535
2337388000,99632.4535
2337488000,99632.4535
2337593000,99632.4535
2337688000,99632.4535
2337791000,99632.4535
2337888000,99630.9724
2337988000,99632.4535
2338088000,99630.9724
2338188000,99632.4535
2338289000,99632.4535
2338391000,99630.9724
2338488000,99632.4535
2338590000,99632.4535
2338688000,99632.4535
2338788000,99632.4535
2338891000,99630.9724
2338990000,99632.4535
2339090000,99632.4535
2339188000,99630.9724
2339288000,99630.9724
2339388000,99632.4535
2339488000,99632.4535
2339588000,99630.9724
2339688000,99630.9724
2339788000,99630.9724
2339888000,99632.4535
2339988000,99630.9724
2340088000,99632.4535
2340188000,99632.4535
2340288000,99632.4535
2340388000,99632.4535
2340488000,99632.4535
2340588000,99632.4535
2340688000,99632.4535
2340788000,99632.4535
2340888000,99632.4535
2340988000,99632.4535
2341090000,99630.9724
2341188000,99630.9724
2341288000,99630.9724
2341388000,99630.9724
2341488000,99630.9724
2341588000,99632.4535
2341689000,99632.4535
2341788000,99632.4535
2341888000,99632.4535
2341988000,99632.4535
2342088000,99632.4535
2342188000,99632.4535
2342288000,99630.9724
2342388000,99630.9724
2342488000,99630.9724
2342588000,99630.9724
2342688000,99630.9724
2342788000,99630.9724
2342888000,99632.4535
2342988000,99630.9724
2343088000,99630.9724
2343188000,99632.4535
2343291000,99632.4535
2343388000,99630.9724
2343488000,99632.4535
2343588000,99632.4535
2343688000,99630.9724
2343788000,99630.9724
2343888000,99630.9724
2343988000,99632.4535
2344088000,99630.9724
2344188000,99630.9724
2344288000,99630.9724
2344388000,99630.9724
2344488000,99629.4914
2344588000,99630.9724
2344688000,99630.9724
2344788000,99630.9724
2344888000,99630.9724
2344988000,99630.9724
2345088000,99632.4535
2345188000,99630.9724
2345288000,99630.9724
2345388000,99632.4535
2345488000,99632.4535
2345588000,99630.9724
2345688000,99630.9724
2345791000,99630.9724
2345888000,99630.9724
2345988000,99630.9724
2346088000,99629.4914
2346188000,99630.9724
2346288000,99629.4914
2346388000,99630.9724
2346488000,99630.9724
2346588000,99630.9724
2346688000,99630.9724
2346788000,99632.4535
2346891000,99632.4535
2346988000,99632.4535
2347088000,99632.4535
2347188000,99632.4535
2347289000,99630.9724
2347388000,99630.9724
2347488000,99630.9724
2347588000,99630.9724
2347688000,99630.9724
2347788000,99630.9724
2347888000,99632.4535
2347988000,99632.4535
2348088000,99632.4535
2348190000,99630.9724
2348288000,99632.4535
2348388000,99632.4535
2348488000,99632.4535
2348588000,99632.4535
2348688000,99630.9724
2348788000,99630.9724
2348888000,99632.4535
2348988000,99632.4535
2349093000,99632.4535
2349188000,99632.4535
2349291000,99632.4535
2349388000,99630.9724
2349488000,99630.9724
2349588000,99630.9724
2349688000,99632.4535
2349788000,99632.4535
2349888000,99632.4535
2349988000,99632.4535
2350088000,99632.4535
2350188000,99633.9346
2350290000,99632.4535
2350388000,99632.4535
2350488000,99633.9346
2350588000,99632.4535
2350689000,99632.4535
2350788000,99632.4535
2350888000,99632.4535
2350988000,99633.9346
2351088000,99632.4535
2351188000,99632.4535
2351288000,99632.4535
2351388000,99633.9346
2351491000,99633.9346
2351588000,99633.9346
2351688000,99632.4535
2351788000,99633.9346
2351888000,99632.4535
2351988000,99633.9346
2352088000,99633.9346
2352188000,99633.9346
2352290000,99635.4157
2352388000,99633.9346
2352488000,99633.9346
2352588000,99633.9346
2352688000,99633.9346
2352788000,99635.4157
2352890000,99633.9346
2352988000,99635.4157
2353088000,99635.4157
2353188000,99633.9346
2353288000,99633.9346
2353388000,99635.4157
2353488000,99633.9346
2353588000,99635.4157
2353688000,99635.4157
2353791000,99633.9346
2353888000,99633.9346
2353988000,99633.9346
2354088000,99635.4157
2354188000,99633.9346
2354288000,99633.9346
2354388000,99633.9346
2354488000,99633.9346
2354588000,99633.9346
2354689000,99633.9346
2354788000,99633.9346
2354888000,99633.9346
2354988000,99633.9346
2355088000,99633.9346
2355188000,99633.9346
2355289000,99635.4157
2355388000,99633.9346
2355488000,99633.9346
2355589000,99633.9346
2355688000,99633.9346
2355788000,99633.9346
2355888000,99632.4535
2355988000,99633.9346
2356088000,99633.9346
2356188000,99635.4157
2356288000,99635.4157
2356388000,99633.9346
2356488000,99633.9346
2356588000,99633.9346
2356688000,99633.9346
2356788000,99633.9346
2356888000,99633.9346
2356988000,99633.9346
2357088000,99633.9346
2357188000,99633.9346
2357290000,99632.4535
2357388000,99632.4535
2357488000,99633.9346
2357590000,99633.9346
2357688000,99632.4535
2357788000,99633.9346
2357888000,99632.4535
2357988000,99633.9346
2358088000,99632.4535
2358188000,99633.9346
2358288000,99633.9346
2358388000,99632.4535
2358488000,99632.4535
2358588000,99632.4535
2358688000,99632.4535
2358788000,99632.4535
2358893000,99632.4535
2358988000,99633.9346
2359088000,99632.4535
2359188000,99632.4535
2359288000,99632.4535
2359388000,99632.4535
2359488000,99633.9346
2359588000,99632.4535
2359688000,99632.4535
2359788000,99632.4535
2359888000,99632.4535
2359988000,99632.4535
2360088000,99632.4535
2360191000,99632.4535
2360288000,99632.4535
2360388000,99633.9346
2360490000,99632.4535
2360588000,99632.4535
2360688000,99633.9346
2360788000,99632.4535
2360888000,99632.4535
2360988000,99632.4535
2361088000,99632.4535
2361188000,99632.4535
2361288000,99632.4535
2361388000,99632.4535
2361488000,99632.4535
2361588000,99632.4535
2361688000,99632.4535
2361788000,99632.4535
2361888000,99633.9346
2361988000,99632.4535
2362088000,99630.9724
2362188000,99632.4535
2362288000,99630.9724
2362388000,99632.4535
2362488000,99630.9724
2362588000,99630.9724
2362688000,99630.9724
2362788000,99630.9724
2362888000,99630.9724
2362988000,99630.9724
2363088000,99630.9724
2363188000,99629.4914
2363288000,99632.4535
2363388000,99632.4535
2363488000,99630.9724
2363589000,99630.9724
2363688000,99630.9724
2363788000,99630.9724
2363888000,99632.4535
2363988000,99632.4535
2364088000,99630.9724
2364188000,99630.9724
2364288000,99630.9724
2364390000,99629.4914
2364490000,99632.4535
2364588000,99632.4535
2364688000,99632.4535
2364788000,99630.9724
2364888000,99630.9724
2364988000,99630.9724
2365088000,99632.4535
2365188000,99630.9724
2365288000,99632.4535
2365388000,99630.9724
2365488000,99630.9724
2365588000,99632.4535
2365688000,99630.9724
2365788000,99630.9724
2365888000,99630.9724
2365988000,99630.9724
2366088000,99630.9724
2366188000,99629.4914
2366290000,99629.4914
2366388000,99630.9724
2366490000,99630.9724
2366590000,99630.9724
2366688000,99629.4914
2366788000,99630.9724
2366888000,99630.9724
2366988000,99630.9724
2367088000,99630.9724
2367188000,99630.9724
2367291000,99630.9724
2367390000,99630.9724
2367488000,99630.9724
2367588000,99632.4535
2367690000,99629.4914
2367788000,99630.9724
2367888000,99630.9724
2367988000,99632.4535
2368088000,99632.4535
2368188000,99630.9724
2368288000,99630.9724
2368388000,99630.9724
2368488000,99630.9724
2368588000,99630.9724
2368688000,99630.9724
2368788000,99632.4535
