# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# Crazyflie stateEstimate position (flow/UWB deck) as position-only fixes
2287288000,49.8727991149,8.6511852061,144.0082,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2287388000,49.8727990973,8.6511851926,144.0056,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2287488000,49.8727990929,8.6511851518,144.0081,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2287588000,49.8727990699,8.6511851654,144.0060,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2287688000,49.8727990886,8.6511851790,144.0058,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2287788000,49.8727990578,8.6511851790,144.0051,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2287888000,49.8727990957,8.6511851926,144.0128,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2287988000,49.8727990825,8.6511851654,144.0166,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288088000,49.8727990935,8.6511851654,144.0176,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288188000,49.8727991121,8.6511852061,144.0134,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288288000,49.8727990995,8.6511851654,144.0159,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288388000,49.8727991083,8.6511851926,144.0111,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288488000,49.8727990666,8.6511852061,144.0030,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288588000,49.8727991165,8.6511852061,144.0112,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288688000,49.8727991078,8.6511851654,144.0175,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288788000,49.8727990781,8.6511851654,144.0150,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288888000,49.8727990798,8.6511851790,144.0126,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2288988000,49.8727990666,8.6511851926,144.0044,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289088000,49.8727990853,8.6511851654,144.0091,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289188000,49.8727991204,8.6511851926,144.0145,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289288000,49.8727991396,8.6511852061,144.0176,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289388000,49.8727991220,8.6511852197,144.0091,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289491000,49.8727991248,8.6511852197,144.0066,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289588000,49.8727990951,8.6511851790,144.0121,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289688000,49.8727990628,8.6511852333,143.9977,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289788000,49.8727990803,8.6511851518,144.0006,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289893000,49.8727990759,8.6511851518,144.0049,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2289988000,49.8727990721,8.6511851518,144.0090,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290089000,49.8727990836,8.6511851382,144.0183,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290188000,49.8727990864,8.6511851654,144.0169,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290288000,49.8727991132,8.6511851790,144.0238,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290388000,49.8727991237,8.6511852333,144.0118,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290488000,49.8727991023,8.6511851790,144.0163,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290588000,49.8727990693,8.6511852061,144.0055,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290688000,49.8727990897,8.6511851654,144.0122,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290788000,49.8727990721,8.6511851790,144.0076,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290888000,49.8727990370,8.6511852197,144.0002,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2290988000,49.8727991078,8.6511852061,144.0066,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291088000,49.8727991006,8.6511851518,144.0186,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291188000,49.8727990897,8.6511851382,144.0190,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291288000,49.8727990853,8.6511851382,144.0166,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291388000,49.8727990902,8.6511851654,144.0112,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291488000,49.8727990770,8.6511851654,144.0099,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291588000,49.8727990968,8.6511851654,144.0192,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291688000,49.8727990990,8.6511851382,144.0250,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291788000,49.8727991017,8.6511851790,144.0178,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291888000,49.8727990704,8.6511851790,144.0090,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2291988000,49.8727990858,8.6511851926,144.0095,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292088000,49.8727990962,8.6511852197,144.0016,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292193000,49.8727991270,8.6511852197,144.0102,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292293000,49.8727990880,8.6511851790,144.0128,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292388000,49.8727990858,8.6511851790,144.0122,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292488000,49.8727990902,8.6511851518,144.0173,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292589000,49.8727990809,8.6511851518,144.0135,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292688000,49.8727990962,8.6511851654,144.0167,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292788000,49.8727990798,8.6511851654,144.0139,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292888000,49.8727990913,8.6511851518,144.0203,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2292991000,49.8727990940,8.6511851790,144.0117,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293088000,49.8727990792,8.6511851654,144.0129,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293188000,49.8727990792,8.6511851518,144.0125,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293291000,49.8727991111,8.6511851790,144.0155,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293388000,49.8727991034,8.6511851518,144.0196,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293490000,49.8727990973,8.6511851382,144.0250,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293590000,49.8727990995,8.6511851518,144.0241,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293688000,49.8727990875,8.6511851790,144.0158,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293788000,49.8727990984,8.6511851926,144.0079,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293888000,49.8727991286,8.6511852197,144.0046,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2293988000,49.8727991451,8.6511852197,144.0121,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294090000,49.8727991006,8.6511851790,144.0137,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294188000,49.8727991012,8.6511852197,144.0082,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294288000,49.8727990490,8.6511851790,144.0049,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294388000,49.8727991138,8.6511852197,144.0030,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294488000,49.8727991341,8.6511852197,144.0092,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294588000,49.8727991171,8.6511852197,144.0138,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294688000,49.8727990704,8.6511851518,144.0100,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294788000,49.8727990534,8.6511851790,144.0084,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294888000,49.8727990869,8.6511851518,144.0167,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2294988000,49.8727990984,8.6511851246,144.0244,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295088000,49.8727990776,8.6511851654,144.0105,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295188000,49.8727991012,8.6511851790,144.0147,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295288000,49.8727991204,8.6511852061,144.0171,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295388000,49.8727990781,8.6511851790,144.0075,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295492000,49.8727990913,8.6511851790,144.0078,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295588000,49.8727990803,8.6511851518,144.0136,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295690000,49.8727991193,8.6511852061,144.0116,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295788000,49.8727991319,8.6511852197,144.0109,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295890000,49.8727991083,8.6511851926,144.0105,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2295988000,49.8727990886,8.6511851926,144.0091,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296088000,49.8727990825,8.6511851926,144.0081,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296189000,49.8727990979,8.6511851518,144.0226,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296288000,49.8727991061,8.6511851654,144.0208,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296388000,49.8727991023,8.6511851518,144.0248,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296488000,49.8727990748,8.6511851926,144.0101,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296589000,49.8727990798,8.6511851518,144.0146,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296688000,49.8727991132,8.6511851926,144.0172,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296788000,49.8727990929,8.6511852333,144.0065,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296888000,49.8727990869,8.6511851926,144.0012,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2296988000,49.8727990864,8.6511851382,144.0048,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297088000,49.8727990743,8.6511851654,143.9980,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297188000,49.8727990331,8.6511852197,143.9949,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297290000,49.8727991028,8.6511851926,144.0110,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297388000,49.8727991352,8.6511852061,144.0141,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297490000,49.8727990754,8.6511851926,144.0054,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297590000,49.8727991039,8.6511851790,144.0160,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297688000,49.8727991121,8.6511852061,144.0136,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297790000,49.8727991132,8.6511852197,144.0122,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297888000,49.8727990968,8.6511851518,144.0195,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2297988000,49.8727991028,8.6511851654,144.0191,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298088000,49.8727990886,8.6511851382,144.0188,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298188000,49.8727990869,8.6511851382,144.0232,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298289000,49.8727990869,8.6511851382,144.0149,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298390000,49.8727990847,8.6511851518,144.0154,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298490000,49.8727990545,8.6511851926,144.0055,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298588000,49.8727990962,8.6511852061,144.0059,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298690000,49.8727991286,8.6511852197,144.0110,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298788000,49.8727991248,8.6511852197,144.0098,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298890000,49.8727990754,8.6511851790,144.0097,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2298988000,49.8727990962,8.6511851926,144.0086,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299088000,49.8727991220,8.6511852061,144.0104,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299188000,49.8727990913,8.6511852333,144.0016,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299288000,49.8727990946,8.6511851926,144.0046,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299388000,49.8727990770,8.6511851518,144.0111,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299488000,49.8727990392,8.6511851926,144.0042,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299588000,49.8727990331,8.6511851926,144.0027,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299689000,49.8727990847,8.6511851518,144.0159,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299788000,49.8727990995,8.6511851926,144.0190,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299888000,49.8727990979,8.6511851518,144.0213,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2299988000,49.8727991045,8.6511851518,144.0217,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300088000,49.8727990820,8.6511851654,144.0099,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300188000,49.8727990984,8.6511851518,144.0192,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300291000,49.8727990743,8.6511851790,144.0045,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300391000,49.8727990699,8.6511851926,144.0072,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300490000,49.8727990918,8.6511851926,144.0076,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300589000,49.8727990759,8.6511851926,144.0082,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300690000,49.8727990298,8.6511852197,144.0001,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300788000,49.8727990902,8.6511851654,144.0119,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300889000,49.8727991100,8.6511851518,144.0219,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2300988000,49.8727991050,8.6511851518,144.0231,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301088000,49.8727990946,8.6511851654,144.0188,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301188000,49.8727990759,8.6511851654,144.0109,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301288000,49.8727990655,8.6511851790,144.0093,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301388000,49.8727990320,8.6511852061,144.0016,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301488000,49.8727990968,8.6511852061,144.0031,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301588000,49.8727990880,8.6511851790,144.0084,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301688000,49.8727990995,8.6511851654,144.0105,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301788000,49.8727990886,8.6511851654,144.0168,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301888000,49.8727990880,8.6511851654,144.0148,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2301988000,49.8727991039,8.6511851654,144.0190,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302088000,49.8727991143,8.6511852061,144.0137,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302188000,49.8727990924,8.6511851926,144.0106,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302288000,49.8727990880,8.6511851518,144.0166,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302388000,49.8727990973,8.6511852197,144.0052,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302488000,49.8727991067,8.6511851926,144.0086,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302588000,49.8727990902,8.6511851518,144.0145,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302688000,49.8727990798,8.6511851790,144.0062,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302788000,49.8727990946,8.6511851654,144.0174,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302888000,49.8727990984,8.6511851518,144.0249,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2302988000,49.8727991100,8.6511852061,144.0109,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303088000,49.8727991187,8.6511851790,144.0157,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303188000,49.8727991012,8.6511851654,144.0182,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303288000,49.8727991182,8.6511851926,144.0195,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303388000,49.8727991089,8.6511851654,144.0224,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303491000,49.8727990682,8.6511852061,144.0030,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303591000,49.8727989986,8.6511852333,143.9956,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303688000,49.8727990924,8.6511851654,144.0144,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303793000,49.8727990743,8.6511852061,144.0038,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303888000,49.8727991127,8.6511852061,144.0063,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
2303988000,49.8727991522,8.6511852197,144.0092,0.0025,0,0,0.0025,0,0.01,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
