# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]  -- synthesized: WMM(49.8728;8.6512) field rotated by the CF attitude
2287288000,-0.0461,-21.2212,44.0288
2287388000,-0.1005,-21.1584,44.0590
2287488000,-0.1634,-21.1597,44.0581
2287588000,-0.1178,-21.0974,44.0882
2287688000,-0.0911,-21.1665,44.0551
2287788000,-0.0779,-21.0981,44.0879
2287888000,-0.0471,-21.2649,44.0077
2287988000,-0.1372,-21.1930,44.0422
2288088000,-0.1078,-21.2250,44.0269
2288188000,0.0147,-21.2883,43.9964
2288288000,-0.0901,-21.2156,44.0314
2288388000,-0.0293,-21.2685,44.0060
2288488000,0.0068,-21.1356,44.0700
2288588000,-0.0305,-21.3041,43.9888
2288688000,-0.1333,-21.2272,44.0258
2288788000,-0.1272,-21.1642,44.0561
2288888000,-0.0910,-21.2191,44.0298
2288988000,-0.0848,-21.2100,44.0342
2289088000,-0.1594,-21.2429,44.0181
2289188000,-0.0797,-21.3634,43.9600
2289288000,-0.0729,-21.3608,43.9612
2289388000,-0.0252,-21.2055,44.0364
2289491000,-0.0172,-21.2193,44.0298
2289588000,-0.0980,-21.1314,44.0719
2289688000,0.0565,-21.0529,44.1096
2289788000,-0.1637,-21.1577,44.0591
2289893000,-0.1056,-21.1448,44.0655
2289988000,-0.1590,-21.1529,44.0614
2290089000,-0.1991,-21.1875,44.0446
2290188000,-0.1428,-21.2538,44.0129
2290288000,-0.0857,-21.3065,43.9876
2290388000,0.0355,-21.2006,44.0388
2290488000,-0.1035,-21.1401,44.0677
2290588000,-0.0437,-21.0372,44.1170
2290688000,-0.1603,-21.1359,44.0696
2290788000,-0.0986,-21.1262,44.0744
2290888000,-0.0004,-21.0552,44.1085
2290988000,-0.0553,-21.3256,43.9784
2291088000,-0.2158,-21.2101,44.0337
2291188000,-0.2320,-21.1509,44.0620
2291288000,-0.1833,-21.1696,44.0533
2291388000,-0.0987,-21.2180,44.0303
2291488000,-0.1261,-21.1929,44.0423
2291588000,-0.1676,-21.2355,44.0216
2291688000,-0.1832,-21.2173,44.0303
2291788000,-0.0723,-21.2117,44.0334
2291888000,-0.1032,-21.1018,44.0861
2291988000,-0.0830,-21.1745,44.0512
2292088000,-0.0105,-21.2124,44.0331
2292193000,-0.1062,-21.3040,43.9887
2292293000,-0.1184,-21.1762,44.0504
2292388000,-0.1265,-21.0992,44.0873
2292488000,-0.1672,-21.1620,44.0570
2292589000,-0.1605,-21.1446,44.0654
2292688000,-0.1354,-21.2290,44.0249
2292788000,-0.1087,-21.1712,44.0528
2292888000,-0.1213,-21.2318,44.0236
2292991000,-0.0683,-21.2262,44.0264
2293088000,-0.1100,-21.1946,44.0415
2293188000,-0.1691,-21.1873,44.0449
2293291000,-0.0822,-21.3117,43.9851
2293388000,-0.1735,-21.2074,44.0352
2293490000,-0.1914,-21.1732,44.0515
2293590000,-0.1424,-21.1829,44.0471
2293688000,-0.0722,-21.1628,44.0569
2293788000,-0.0665,-21.1917,44.0430
2293888000,-0.0320,-21.3325,43.9750
2293988000,-0.0693,-21.3326,43.9749
2294090000,-0.1013,-21.1097,44.0823
2294188000,-0.0131,-21.1236,44.0758
2294288000,-0.1321,-20.9942,44.1373
2294388000,0.0378,-21.2678,44.0064
2294488000,0.0276,-21.2775,44.0017
2294588000,0.0118,-21.1868,44.0454
2294688000,-0.1584,-21.0593,44.1062
2294788000,-0.1154,-21.0791,44.0969
2294888000,-0.1721,-21.2254,44.0265
2294988000,-0.2202,-21.2382,44.0201
2295088000,-0.0720,-21.2029,44.0376
2295188000,-0.0412,-21.2518,44.0141
2295288000,-0.0288,-21.2823,43.9994
2295388000,-0.1122,-21.1433,44.0662
2295492000,-0.0921,-21.2125,44.0330
2295588000,-0.1948,-21.1664,44.0548
2295690000,-0.0527,-21.3715,43.9561
2295788000,-0.0353,-21.3563,43.9635
2295890000,-0.0790,-21.2385,44.0204
2295988000,-0.0987,-21.1615,44.0575
2296088000,-0.1069,-21.1662,44.0552
2296189000,-0.1826,-21.2186,44.0297
2296288000,-0.1381,-21.2367,44.0211
2296388000,-0.1722,-21.1966,44.0404
2296488000,-0.0542,-21.1007,44.0867
2296589000,-0.1916,-21.1528,44.0613
