# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# Crazyflie onboard estimate (not independent truth)
2287288000,49.8727991149,8.6511852061,144.0082,-0.766840,-0.214090,94.309880,0.0000,0.0000,0.0000
2287388000,49.8727990973,8.6511851926,144.0056,-0.685160,-0.146822,94.316313,0.0000,0.0000,0.0000
2287488000,49.8727990929,8.6511851518,144.0081,-0.687163,-0.085802,94.360002,0.0000,0.0000,0.0000
2287588000,49.8727990699,8.6511851654,144.0060,-0.606708,-0.197057,94.472380,0.0000,0.0000,0.0000
2287688000,49.8727990886,8.6511851790,144.0058,-0.696592,-0.235070,94.479756,0.0000,0.0000,0.0000
2287788000,49.8727990578,8.6511851790,144.0051,-0.607704,-0.255356,94.486672,0.0000,0.0000,0.0000
2287888000,49.8727990957,8.6511851926,144.0128,-0.824485,-0.274316,94.441854,0.0000,0.0000,0.0000
2287988000,49.8727990825,8.6511851654,144.0166,-0.731145,-0.178544,94.486456,0.0000,0.0000,0.0000
2288088000,49.8727990935,8.6511851654,144.0176,-0.772492,-0.197115,94.444704,0.0000,0.0000,0.0000
2288188000,49.8727991121,8.6511852061,144.0134,-0.854571,-0.321799,94.372374,0.0000,0.0000,0.0000
2288288000,49.8727990995,8.6511851654,144.0159,-0.760398,-0.223353,94.451848,0.0000,0.0000,0.0000
2288388000,49.8727991083,8.6511851926,144.0111,-0.829030,-0.290867,94.428003,0.0000,0.0000,0.0000
2288488000,49.8727990666,8.6511852061,144.0030,-0.656034,-0.332621,94.417318,0.0000,0.0000,0.0000
2288588000,49.8727991165,8.6511852061,144.0112,-0.875285,-0.277889,94.403555,0.0000,0.0000,0.0000
2288688000,49.8727991078,8.6511851654,144.0175,-0.775310,-0.157503,94.430460,0.0000,0.0000,0.0000
2288788000,49.8727990781,8.6511851654,144.0150,-0.693991,-0.211029,94.528536,0.0000,0.0000,0.0000
2288888000,49.8727990798,8.6511851790,144.0126,-0.765639,-0.272741,94.560535,0.0000,0.0000,0.0000
2288988000,49.8727990666,8.6511851926,144.0044,-0.753637,-0.269442,94.536020,0.0000,0.0000,0.0000
2289088000,49.8727990853,8.6511851654,144.0091,-0.796461,-0.179156,94.549473,0.0000,0.0000,0.0000
2289188000,49.8727991204,8.6511851926,144.0145,-0.952928,-0.245254,94.469881,0.0000,0.0000,0.0000
2289288000,49.8727991396,8.6511852061,144.0176,-0.949484,-0.247473,94.455911,0.0000,0.0000,0.0000
2289388000,49.8727991220,8.6511852197,144.0091,-0.746585,-0.256975,94.343685,0.0000,0.0000,0.0000
2289491000,49.8727991248,8.6511852197,144.0066,-0.764098,-0.225499,94.254049,0.0000,0.0000,0.0000
2289588000,49.8727990951,8.6511851790,144.0121,-0.650097,-0.145142,94.305777,0.0000,0.0000,0.0000
2289688000,49.8727990628,8.6511852333,143.9977,-0.547677,-0.311048,94.233068,0.0000,0.0000,0.0000
2289788000,49.8727990803,8.6511851518,144.0006,-0.684128,-0.050180,94.284290,0.0000,0.0000,0.0000
2289893000,49.8727990759,8.6511851518,144.0049,-0.667672,-0.149311,94.335890,0.0000,0.0000,0.0000
2289988000,49.8727990721,8.6511851518,144.0090,-0.679118,-0.156762,94.500227,0.0000,0.0000,0.0000
2290089000,49.8727990836,8.6511851382,144.0183,-0.724925,-0.160226,94.619139,0.0000,0.0000,0.0000
2290188000,49.8727990864,8.6511851654,144.0169,-0.811374,-0.241496,94.637309,0.0000,0.0000,0.0000
2290288000,49.8727991132,8.6511851790,144.0238,-0.879170,-0.268406,94.536307,0.0000,0.0000,0.0000
2290388000,49.8727991237,8.6511852333,144.0118,-0.740768,-0.382988,94.445851,0.0000,0.0000,0.0000
