# t_us, static pressure [Pa]
2019445000,99648.7464
2019545000,99648.7464
2019645000,99648.7464
2019745000,99648.7464
2019845000,99648.7464
2019945000,99647.2652
2020047000,99648.7464
2020145000,99648.7464
2020245000,99647.2652
2020345000,99647.2652
2020445000,99647.2652
2020545000,99645.7839
2020645000,99647.2652
2020745000,99647.2652
2020845000,99645.7839
2020945000,99647.2652
2021045000,99647.2652
2021145000,99647.2652
2021245000,99647.2652
2021345000,99647.2652
2021445000,99647.2652
2021545000,99645.7839
2021645000,99647.2652
2021745000,99645.7839
2021845000,99645.7839
2021945000,99647.2652
2022045000,99645.7839
2022145000,99645.7839
2022245000,99647.2652
2022345000,99647.2652
2022445000,99647.2652
2022545000,99645.7839
2022645000,99647.2652
2022745000,99647.2652
2022846000,99647.2652
2022945000,99645.7839
2023045000,99645.7839
2023145000,99647.2652
2023245000,99645.7839
2023345000,99647.2652
2023445000,99647.2652
2023545000,99647.2652
2023645000,99647.2652
2023745000,99645.7839
2023845000,99647.2652
2023945000,99645.7839
2024048000,99647.2652
2024145000,99647.2652
2024245000,99645.7839
2024345000,99647.2652
2024445000,99645.7839
2024545000,99647.2652
2024645000,99647.2652
2024745000,99647.2652
2024845000,99645.7839
2024945000,99645.7839
2025045000,99647.2652
2025145000,99647.2652
2025245000,99647.2652
2025345000,99647.2652
2025445000,99647.2652
2025545000,99647.2652
2025645000,99647.2652
2025746000,99645.7839
2025845000,99647.2652
2025945000,99647.2652
2026045000,99647.2652
2026146000,99648.7464
2026245000,99648.7464
2026345000,99647.2652
2026445000,99648.7464
2026545000,99647.2652
2026645000,99647.2652
2026745000,99647.2652
2026845000,99647.2652
2026945000,99647.2652
2027045000,99647.2652
2027145000,99647.2652
2027245000,99648.7464
2027345000,99648.7464
2027445000,99647.2652
2027545000,99648.7464
2027645000,99648.7464
2027745000,99647.2652
2027845000,99648.7464
2027945000,99648.7464
2028045000,99648.7464
2028145000,99647.2652
2028245000,99648.7464
2028345000,99647.2652
2028445000,99648.7464
2028546000,99647.2652
2028645000,99648.7464
2028745000,99647.2652
2028845000,99648.7464
2028945000,99648.7464
2029045000,99648.7464
2029145000,99647.2652
2029245000,99648.7464
2029345000,99647.2652
2029445000,99647.2652
2029547000,99647.2652
2029645000,99648.7464
2029745000,99647.2652
2029845000,99647.2652
2029945000,99647.2652
2030045000,99647.2652
2030145000,99648.7464
2030245000,99647.2652
2030345000,99647.2652
2030445000,99645.7839
2030545000,99647.2652
2030645000,99647.2652
2030745000,99647.2652
2030845000,99647.2652
2030945000,99647.2652
2031045000,99645.7839
2031145000,99645.7839
2031248000,99645.7839
2031345000,99647.2652
2031445000,99645.7839
2031545000,99644.3027
2031645000,99645.7839
2031745000,99645.7839
2031845000,99645.7839
2031945000,99644.3027
2032045000,99645.7839
2032145000,99645.7839
2032245000,99645.7839
2032345000,99645.7839
2032445000,99647.2652
2032545000,99645.7839
2032645000,99645.7839
2032745000,99644.3027
2032847000,99645.7839
2032946000,99645.7839
2033045000,99645.7839
2033145000,99645.7839
2033245000,99645.7839
2033345000,99645.7839
2033445000,99644.3027
2033545000,99644.3027
2033645000,99644.3027
2033748000,99639.8591
2033845000,99638.3780
2033945000,99636.8968
2034045000,99635.4157
2034145000,99632.4535
2034245000,99630.9724
2034345000,99630.9724
2034449000,99632.4535
2034545000,99630.9724
2034645000,99630.9724
2034745000,99628.0103
2034845000,99629.4914
2034945000,99628.0103
2035045000,99628.0103
2035145000,99628.0103
2035245000,99626.5293
2035345000,99628.0103
2035445000,99626.5293
