# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]  -- synthesized: WMM(49.8728;8.6512) field rotated by the CF attitude
2019445000,-0.6338,20.4909,44.3689
2019545000,-0.6440,20.4843,44.3718
2019645000,-0.7029,20.4891,44.3687
2019745000,-0.7560,20.4890,44.3679
2019845000,-0.8149,20.4747,44.3734
2019945000,-0.8096,20.4443,44.3876
2020047000,-0.6768,20.4735,44.3763
2020145000,-0.6786,20.4105,44.4053
2020245000,-0.7049,20.6933,44.2738
2020345000,-0.7085,20.6914,44.2746
2020445000,-0.7608,20.4011,44.4083
2020545000,-0.5921,20.4073,44.4080
2020645000,-0.6510,20.2926,44.4597
2020745000,-0.7003,20.6383,44.2995
2020845000,-0.7758,20.4890,44.3675
2020945000,-0.7596,20.6507,44.2928
2021045000,-0.7369,20.4493,44.3865
2021145000,-0.6794,20.4281,44.3972
2021245000,-0.6367,20.4367,44.3939
2021345000,-0.7461,20.5546,44.3377
2021445000,-0.7238,20.4598,44.3819
2021545000,-0.6546,20.4140,44.4041
2021645000,-0.6031,20.4426,44.3916
2021745000,-0.7175,20.4381,44.3920
2021845000,-0.8755,20.5747,44.3260
2021945000,-0.8722,20.5711,44.3277
2022045000,-0.8751,20.5665,44.3298
2022145000,-0.8560,20.3228,44.4424
2022245000,-0.8040,20.3145,44.4472
2022345000,-0.5797,20.4461,44.3903
2022445000,-0.6192,20.4748,44.3766
2022545000,-0.5944,20.5135,44.3590
2022645000,-0.5967,20.5316,44.3506
2022745000,-0.7744,20.5285,44.3493
2022846000,-0.8327,20.4961,44.3632
2022945000,-0.8794,20.5804,44.3233
2023045000,-0.8019,20.3909,44.4123
2023145000,-0.7859,20.3615,44.4260
2023245000,-0.7846,20.3620,44.4258
2023345000,-0.7886,20.3621,44.4257
2023445000,-0.7100,20.4654,44.3795
2023545000,-0.6260,20.4083,44.4071
2023645000,-0.6320,20.5380,44.3472
2023745000,-0.5100,20.6190,44.3111
2023845000,-0.5207,20.5878,44.3255
2023945000,-0.5944,20.5136,44.3590
2024048000,-0.5923,20.5126,44.3595
2024145000,-0.6817,20.5183,44.3556
2024245000,-0.7634,20.4756,44.3739
2024345000,-0.7537,20.4580,44.3822
2024445000,-0.6698,20.4855,44.3709
2024545000,-0.7107,20.5144,44.3569
2024645000,-0.7004,20.5135,44.3575
2024745000,-0.7709,20.4305,44.3946
2024845000,-0.7933,20.4205,44.3988
2024945000,-0.8009,20.4389,44.3902
2025045000,-0.8021,20.4344,44.3922
2025145000,-0.7080,20.2804,44.4644
2025245000,-0.7153,20.5058,44.3608
2025345000,-0.5824,20.6006,44.3188
2025445000,-0.5873,20.6192,44.3101
2025545000,-0.6511,20.5557,44.3387
2025645000,-0.6578,20.5114,44.3591
2025746000,-0.6793,20.4702,44.3778
2025845000,-0.7326,20.4622,44.3806
2025945000,-0.7929,20.4581,44.3815
2026045000,-0.8221,20.4368,44.3908
2026146000,-0.9111,20.4681,44.3746
2026245000,-0.8897,20.4800,44.3695
