# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
1895772000,-0.00163731144,-0.00171720627,0.00104928547,-0.0474351204,0.0937479588,-9.80665
1895782000,0.00244584715,0.00573112267,-5.36959855e-05,-0.049081134,0.0950198784,-9.81622681
1895794000,-0.00103437177,-0.00122611937,-0.000286289817,-0.057386021,0.114023854,-9.83538042
1895802000,-0.00131986264,0.00654072364,-0.0019259981,-0.0446668247,0.0958428852,-9.83538042
1895812000,-0.00291882455,0.00179603584,0.00156274293,-0.0463876572,0.0916530323,-9.83538042
1895822000,-0.000646615513,0.00124848992,-0.0018002969,-0.0508393759,0.0906803879,-9.81622681
1895833000,0.000756870382,0.00379873298,-0.00141467117,-0.0497545033,0.0685340225,-9.8018616
1895842000,-0.00118137826,-0.00916979627,0.000127631995,-0.0470610264,0.0911293007,-9.79707319
1895853000,-0.00328314499,-0.000876712631,-0.00144875963,-0.0471358452,0.107140524,-9.81622681
1895862000,-0.00180455795,-0.00215502995,-0.00132945002,-0.0529717117,0.0816273129,-9.81622681
1895873000,-0.00230736277,-0.00178431793,-0.00129216576,-0.0493429998,0.103773678,-9.79707319
1895882000,0.00384134356,0.00279738441,-0.00142319329,-0.0533458057,0.12487258,-9.79228479
1895893000,-0.0025310683,0.000486026899,0.00196860868,-0.0437315897,0.0847697025,-9.80665
1895902000,0.000906007403,-0.00465733611,-0.000227300799,-0.0344353536,0.0757166275,-9.80665
1895913000,0.000676975549,-0.0019110844,0.00120374881,-0.0284872588,0.101304658,-9.80665
1895922000,-0.00336623562,0.00136460374,-0.00260137575,-0.0633715252,0.117241063,-9.79707319
1895932000,-0.00216674786,-0.000115381454,0.00158830927,-0.0664016867,0.106990887,-9.8018616
1895942000,-0.0026269421,-0.00238406181,-0.000495081647,-0.0591816723,0.108487263,-9.81622681
1895952000,0.001144094,-0.000501206917,-0.00138164797,-0.0503156443,0.105494511,-9.82580361
1895962000,-0.00219231421,-0.000794687269,-0.00206128668,-0.0405143812,0.10302549,-9.82580361
1895972000,-0.000900681081,-0.000430100516,0.00438036736,-0.0460509726,0.117914432,-9.8018616
1895982000,0.00423975246,-0.00477664573,-0.0031510522,-0.064007485,0.0900070187,-9.78749639
1895992000,8.80507635e-06,-0.000658333421,7.323693e-05,-0.0708908148,0.0976385365,-9.80665
1896002000,-0.00020053603,0.00367942336,0.00121546672,-0.0535328527,0.109010994,-9.80665
1896012000,-0.00384560461,-0.00322988177,0.00327888393,-0.0474351204,0.0937479588,-9.8018616
1896022000,-0.00230523224,-0.00284425604,-0.00236062599,-0.028225393,0.107215343,-9.81622681
1896032000,-0.00136353848,0.00157978716,-0.0032618397,-0.0664390961,0.0945709656,-9.83538042
1896042000,-0.001272991,-0.000384826778,0.00317448802,-0.0600794979,0.107739075,-9.82580361
1896052000,-0.000533697482,-0.00357928851,-0.00285277816,-0.047771805,0.111105921,-9.83538042
1896062000,0.00272068537,0.00219444474,-0.00381790774,-0.0634089346,0.096665892,-9.80665
1896072000,0.0010498181,-0.00170016204,0.00285916975,-0.0514005169,0.108487263,-9.80665
1896082000,-0.00190895387,-0.000414654182,-0.00202932875,-0.0356137497,0.116343237,-9.79228479
1896092000,-0.000105927232,0.000328101446,-0.00223279426,-0.057573068,0.0888847366,-9.80665
