# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]  -- synthesized: WMM(49.8728;8.6512) field rotated by the CF attitude
1895863000,-0.7900,20.1555,44.5198
1895963000,-0.7334,20.1542,44.5213
1896063000,-0.7592,20.1301,44.5318
1896163000,-0.7219,20.1425,44.5268
1896263000,-0.7444,20.1153,44.5388
1896363000,-0.6098,20.1510,44.5247
1896463000,-0.6293,20.1572,44.5216
1896563000,-0.5855,20.1617,44.5201
1896663000,-0.6620,20.1605,44.5196
1896765000,-0.7278,20.1262,44.5341
1896863000,-0.6395,20.1598,44.5203
1896963000,-0.5726,20.1613,44.5205
1897063000,-0.7160,20.1790,44.5104
1897163000,-0.7750,20.1595,44.5183
1897263000,-0.7660,20.1410,44.5268
1897363000,-0.6966,20.1513,44.5233
1897463000,-0.6977,20.1468,44.5252
1897563000,-0.8502,20.1286,44.5309
1897665000,-0.8330,20.1158,44.5369
1897765000,-0.7594,20.1280,44.5328
1897864000,-0.6990,20.1440,44.5265
1897963000,-0.6578,20.1507,44.5241
1898063000,-0.6482,20.1497,44.5247
1898167000,-0.7335,20.1529,44.5219
1898263000,-0.7733,20.1461,44.5243
1898363000,-0.8120,20.1151,44.5377
1898465000,-0.7521,20.1284,44.5327
1898566000,-0.6846,20.1365,44.5301
1898663000,-0.6863,20.1367,44.5300
1898763000,-0.6577,20.1596,44.5201
1898863000,-0.6273,20.1549,44.5227
1898964000,-0.6538,20.1442,44.5271
1899063000,-0.7750,20.1421,44.5261
1899163000,-0.7719,20.1293,44.5320
1899263000,-0.6815,20.1388,44.5291
1899363000,-0.6807,20.1338,44.5314
1899463000,-0.7845,20.1402,44.5268
1899563000,-0.7355,20.1461,44.5250
1899663000,-0.7834,20.1379,44.5279
1899763000,-0.7427,20.1583,44.5193
1899863000,-0.7992,20.1309,44.5307
1899963000,-0.6871,20.1501,44.5240
1900066000,-0.6671,20.1578,44.5207
1900163000,-0.5816,20.1876,44.5085
1900263000,-0.5605,20.1899,44.5077
1900363000,-0.6049,20.1718,44.5153
1900463000,-0.7924,20.1794,44.5089
1900563000,-0.8704,20.1507,44.5205
1900663000,-0.8231,20.1434,44.5246
1900763000,-0.8251,20.1131,44.5383
1900863000,-0.8267,20.1128,44.5384
1900963000,-0.7397,20.1029,44.5444
1901063000,-0.6054,20.1488,44.5257
1901163000,-0.6131,20.1759,44.5133
1901263000,-0.6191,20.1744,44.5139
1901363000,-0.6991,20.1625,44.5181
1901463000,-0.7830,20.1266,44.5330
1901563000,-0.7074,20.1332,44.5313
1901663000,-0.7442,20.2570,44.4745
1901763000,-0.7116,20.1471,44.5249
1901863000,-0.6413,20.1569,44.5215
1901966000,-0.6781,20.1232,44.5362
1902063000,-0.6610,20.1215,44.5372
1902163000,-0.7613,20.1235,44.5348
1902263000,-0.7422,20.1191,44.5370
1902363000,-0.7697,20.1220,44.5353
1902463000,-0.7022,20.1396,44.5285
1902563000,-0.7332,20.1406,44.5275
1902663000,-0.6531,20.1548,44.5223
1902763000,-0.6536,20.1524,44.5234
1902863000,-0.7463,20.1646,44.5164
1902963000,-0.7624,20.1566,44.5198
1903063000,-0.7170,20.1615,44.5183
1903163000,-0.7205,20.1594,44.5192
1903263000,-0.7518,20.1346,44.5299
1903363000,-0.7289,20.1245,44.5348
1903463000,-0.3202,20.1257,44.5391
1903563000,7.7917,18.9569,44.3712
1903663000,15.2299,15.9108,43.6323
1903763000,11.8470,18.6233,43.6085
1903863000,14.1802,19.4238,42.5502
1903963000,10.7508,21.2768,42.6685
1904063000,11.3952,20.8630,42.7056
1904163000,11.0705,20.0714,43.1678
