# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
0,49.1343453100,8.5646901400,159.3329,0,0,0,0,0,0,0.0025,-0.0019,-0.0009,0,0,0,0,0,0,1
50003,49.1343453100,8.5646901400,159.3329,0,0,0,0,0,0,0.0025,-0.0019,-0.0009,0,0,0,0,0,0,1
100005,49.1343453100,8.5646901400,159.3329,0,0,0,0,0,0,0.0022,0.0019,0.0007,0,0,0,0,0,0,1
150008,49.1343453100,8.5646901400,159.3329,0,0,0,0,0,0,0.0004,-0.0007,-0.0007,0,0,0,0,0,0,1
200010,49.1343453200,8.5646901410,159.3329,0,0,0,0,0,0,0.0035,-0.0002,0.0004,0,0,0,0,0,0,1
250013,49.1343453200,8.5646901400,159.3329,0,0,0,0,0,0,0.0003,0.0012,0.0012,0,0,0,0,0,0,1
300015,49.1343453200,8.5646901410,159.3329,0,0,0,0,0,0,0.0014,-0.0012,-0.0025,0,0,0,0,0,0,1
350018,49.1343453100,8.5646901510,159.3331,0,0,0,0,0,0,0.0047,0.0016,0.0023,0,0,0,0,0,0,1
400020,49.1343453100,8.5646901510,159.3330,0,0,0,0,0,0,-0.0018,-0.0019,-0.0019,0,0,0,0,0,0,1
450023,49.1343453100,8.5646901520,159.3330,0,0,0,0,0,0,0.0043,0.0018,0.0008,0,0,0,0,0,0,1
500026,49.1343453100,8.5646901510,159.3330,0,0,0,0,0,0,0.0024,0.0003,0.0007,0,0,0,0,0,0,1
550028,49.1343453100,8.5646901510,159.3330,0,0,0,0,0,0,-0.0007,-0.0030,-0.0000,0,0,0,0,0,0,1
600031,49.1343453100,8.5646901500,159.3330,0,0,0,0,0,0,0.0053,0.0009,0.0012,0,0,0,0,0,0,1
650033,49.1343453100,8.5646901500,159.3330,0,0,0,0,0,0,-0.0012,-0.0025,0.0004,0,0,0,0,0,0,1
700036,49.1343453100,8.5646901510,159.3330,0,0,0,0,0,0,0.0029,0.0007,-0.0003,0,0,0,0,0,0,1
750038,49.1343453100,8.5646901500,159.3330,0,0,0,0,0,0,0.0012,-0.0002,0.0006,0,0,0,0,0,0,1
800041,49.1343453100,8.5646901510,159.3331,0,0,0,0,0,0,-0.0009,-0.0004,-0.0021,0,0,0,0,0,0,1
850043,49.1343453100,8.5646901510,159.3331,0,0,0,0,0,0,0.0038,0.0017,-0.0012,0,0,0,0,0,0,1
900046,49.1343453200,8.5646901500,159.3331,0,0,0,0,0,0,-0.0002,-0.0020,0.0023,0,0,0,0,0,0,1
950048,49.1343453200,8.5646901510,159.3331,0,0,0,0,0,0,0.0029,0.0023,-0.0025,0,0,0,0,0,0,1
1000051,49.1343453200,8.5646901510,159.3331,0,0,0,0,0,0,0.0019,0.0012,0.0018,0,0,0,0,0,0,1
1050054,49.1343453200,8.5646901510,159.3331,0,0,0,0,0,0,0.0024,-0.0015,0.0019,0,0,0,0,0,0,1
1100056,49.1343453200,8.5646901510,159.3330,0,0,0,0,0,0,0.0025,0.0015,-0.0019,0,0,0,0,0,0,1
1150059,49.1343453200,8.5646901510,159.3330,0,0,0,0,0,0,-0.0002,-0.0026,0.0021,0,0,0,0,0,0,1
1200061,49.1343453200,8.5646901500,159.3330,0,0,0,0,0,0,0.0036,0.0003,-0.0010,0,0,0,0,0,0,1
1250064,49.1343453200,8.5646901500,159.3330,0,0,0,0,0,0,-0.0029,0.0023,-0.0030,0,0,0,0,0,0,1
1300066,49.1343453200,8.5646901510,159.3330,0,0,0,0,0,0,0.0025,-0.0016,0.0013,0,0,0,0,0,0,1
1350069,49.1343453200,8.5646901510,159.3330,0,0,0,0,0,0,0.0028,0.0009,0.0000,0,0,0,0,0,0,1
1400071,49.1343453000,8.5646901700,159.3373,0,0,0,0,0,0,-0.0025,0.0011,-0.0008,0,0,0,0,0,0,1
