# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# attitude from FOG solution
0,49.1343453100,8.5646901400,159.3329,-1.150295,-0.652316,119.279159,0.0025,-0.0019,-0.0009
50003,49.1343453100,8.5646901400,159.3329,-1.150295,-0.652316,119.279159,0.0025,-0.0019,-0.0009
100005,49.1343453100,8.5646901400,159.3329,-1.151940,-0.647094,119.282670,0.0022,0.0019,0.0007
150008,49.1343453100,8.5646901400,159.3329,-1.150493,-0.650837,119.283475,0.0004,-0.0007,-0.0007
200010,49.1343453200,8.5646901410,159.3329,-1.151858,-0.647109,119.280457,0.0035,-0.0002,0.0004
250013,49.1343453200,8.5646901400,159.3329,-1.151404,-0.647836,119.282273,0.0003,0.0012,0.0012
300015,49.1343453200,8.5646901410,159.3329,-1.149284,-0.646337,119.280347,0.0014,-0.0012,-0.0025
350018,49.1343453100,8.5646901510,159.3331,-1.150142,-0.644668,119.280115,0.0047,0.0016,0.0023
400020,49.1343453100,8.5646901510,159.3330,-1.147790,-0.649250,119.280592,-0.0018,-0.0019,-0.0019
450023,49.1343453100,8.5646901520,159.3330,-1.147459,-0.648684,119.278231,0.0043,0.0018,0.0008
500026,49.1343453100,8.5646901510,159.3330,-1.149443,-0.649438,119.281261,0.0024,0.0003,0.0007
550028,49.1343453100,8.5646901510,159.3330,-1.147934,-0.654105,119.277849,-0.0007,-0.0030,-0.0000
600031,49.1343453100,8.5646901500,159.3330,-1.150231,-0.651509,119.279843,0.0053,0.0009,0.0012
650033,49.1343453100,8.5646901500,159.3330,-1.150715,-0.651513,119.281056,-0.0012,-0.0025,0.0004
700036,49.1343453100,8.5646901510,159.3330,-1.151931,-0.648746,119.278179,0.0029,0.0007,-0.0003
750038,49.1343453100,8.5646901500,159.3330,-1.152926,-0.647227,119.283131,0.0012,-0.0002,0.0006
800041,49.1343453100,8.5646901510,159.3331,-1.152386,-0.650195,119.279556,-0.0009,-0.0004,-0.0021
850043,49.1343453100,8.5646901510,159.3331,-1.154306,-0.644758,119.280540,0.0038,0.0017,-0.0012
900046,49.1343453200,8.5646901500,159.3331,-1.151423,-0.647396,119.282242,-0.0002,-0.0020,0.0023
950048,49.1343453200,8.5646901510,159.3331,-1.152070,-0.649988,119.277607,0.0029,0.0023,-0.0025
1000051,49.1343453200,8.5646901510,159.3331,-1.150430,-0.642831,119.283715,0.0019,0.0012,0.0018
1050054,49.1343453200,8.5646901510,159.3331,-1.149699,-0.651709,119.277932,0.0024,-0.0015,0.0019
1100056,49.1343453200,8.5646901510,159.3330,-1.150218,-0.647844,119.280621,0.0025,0.0015,-0.0019
1150059,49.1343453200,8.5646901510,159.3330,-1.148252,-0.646803,119.281368,-0.0002,-0.0026,0.0021
1200061,49.1343453200,8.5646901500,159.3330,-1.151784,-0.655022,119.277824,0.0036,0.0003,-0.0010
1250064,49.1343453200,8.5646901500,159.3330,-1.150625,-0.649035,119.281287,-0.0029,0.0023,-0.0030
1300066,49.1343453200,8.5646901510,159.3330,-1.152646,-0.652109,119.279188,0.0025,-0.0016,0.0013
1350069,49.1343453200,8.5646901510,159.3330,-1.155667,-0.649597,119.280688,0.0028,0.0009,0.0000
1400071,49.1343453000,8.5646901700,159.3373,-1.155124,-0.645555,119.279938,-0.0025,0.0011,-0.0008
1450074,49.1343453000,8.5646901700,159.3373,-1.158192,-0.647556,119.280591,0.0044,-0.0007,-0.0002
1500077,49.1343453000,8.5646901700,159.3373,-1.157715,-0.648022,119.279296,-0.0008,0.0020,-0.0028
1550079,49.1343453000,8.5646901700,159.3374,-1.158325,-0.647893,119.279609,0.0020,0.0004,0.0008
1600082,49.1343453000,8.5646901710,159.3374,-1.157143,-0.650454,119.279239,0.0008,0.0005,-0.0013
1650084,49.1343453000,8.5646901710,159.3374,-1.155558,-0.650995,119.278370,0.0018,0.0012,0.0004
1700087,49.1343453000,8.5646901710,159.3374,-1.154847,-0.649896,119.280317,0.0030,-0.0014,0.0001
1750089,49.1343453100,8.5646901710,159.3374,-1.152215,-0.652320,119.278766,0.0014,-0.0009,0.0013
1800092,49.1343453100,8.5646901720,159.3374,-1.151434,-0.651228,119.280377,0.0010,0.0009,-0.0016
1850094,49.1343453100,8.5646901720,159.3374,-1.150332,-0.647556,119.281642,0.0002,-0.0003,-0.0015
1900097,49.1343453100,8.5646901720,159.3375,-1.150510,-0.651360,119.279968,0.0008,0.0000,-0.0004
1950099,49.1343453100,8.5646901730,159.3375,-1.150662,-0.650173,119.281811,0.0001,0.0015,-0.0021
2000102,49.1343453100,8.5646901730,159.3376,-1.150772,-0.644813,119.283011,0.0016,-0.0015,0.0000
2050105,49.1343453100,8.5646901730,159.3376,-1.151735,-0.648353,119.283229,0.0019,0.0008,0.0017
2100107,49.1343453100,8.5646901730,159.3376,-1.152810,-0.648378,119.282754,-0.0008,0.0003,-0.0037
2150110,49.1343453100,8.5646901740,159.3376,-1.152568,-0.646871,119.284003,0.0014,0.0011,0.0010
2200112,49.1343453100,8.5646901740,159.3377,-1.156458,-0.649615,119.281438,0.0019,-0.0003,0.0001
2250115,49.1343453000,8.5646901670,159.3364,-1.155779,-0.651018,119.280662,-0.0011,-0.0003,-0.0010
2300117,49.1343453000,8.5646901680,159.3364,-1.155999,-0.650632,119.281024,0.0022,0.0012,0.0003
2350120,49.1343453000,8.5646901680,159.3364,-1.159252,-0.651231,119.278379,0.0008,0.0005,-0.0008
2400122,49.1343453000,8.5646901680,159.3364,-1.157935,-0.650584,119.277971,-0.0001,0.0003,0.0003
2450125,49.1343453000,8.5646901690,159.3364,-1.158293,-0.648574,119.278159,0.0026,0.0014,-0.0015
2500128,49.1343453000,8.5646901690,159.3365,-1.159516,-0.650617,119.277058,0.0008,0.0002,0.0015
2550130,49.1343453000,8.5646901700,159.3365,-1.157778,-0.649793,119.278144,0.0010,-0.0000,-0.0026
2600133,49.1343453000,8.5646901700,159.3365,-1.158474,-0.648838,119.276625,0.0010,0.0025,0.0005
2650135,49.1343453000,8.5646901700,159.3365,-1.156887,-0.648338,119.279365,0.0009,-0.0012,-0.0001
2700138,49.1343453000,8.5646901710,159.3365,-1.155369,-0.649338,119.279812,0.0020,0.0004,0.0004
2750140,49.1343453000,8.5646901700,159.3365,-1.156856,-0.650251,119.278963,0.0012,0.0009,0.0004
2800143,49.1343453000,8.5646901710,159.3365,-1.153489,-0.646819,119.282286,-0.0002,-0.0009,-0.0022
2850145,49.1343453100,8.5646901710,159.3365,-1.154143,-0.650330,119.281835,0.0030,0.0004,0.0030
2900148,49.1343453100,8.5646901710,159.3365,-1.154406,-0.651912,119.281320,0.0005,-0.0005,-0.0011
2950151,49.1343453100,8.5646901710,159.3365,-1.152435,-0.648793,119.282159,-0.0009,0.0006,-0.0001
3000153,49.1343453100,8.5646901720,159.3365,-1.154668,-0.648588,119.280376,0.0031,-0.0003,0.0011
3050156,49.1343453100,8.5646901720,159.3365,-1.153534,-0.650526,119.280703,-0.0002,0.0007,-0.0001
3100158,49.1343453100,8.5646901720,159.3365,-1.153227,-0.649708,119.280947,0.0013,0.0014,-0.0003
3150161,49.1343453100,8.5646901730,159.3365,-1.152998,-0.648700,119.280578,0.0011,0.0007,-0.0005
3200163,49.1343453100,8.5646901730,159.3365,-1.153528,-0.649086,119.280099,0.0013,-0.0012,0.0011
3250166,49.1343453100,8.5646901730,159.3365,-1.153775,-0.649957,119.279232,0.0012,-0.0009,0.0013
3300168,49.1343453100,8.5646901730,159.3365,-1.152869,-0.649263,119.280681,0.0006,0.0014,-0.0014
3350171,49.1343453000,8.5646901710,159.3348,-1.154802,-0.649292,119.278372,0.0007,-0.0018,0.0001
3400173,49.1343453000,8.5646901710,159.3348,-1.154028,-0.650800,119.280047,0.0001,0.0008,0.0012
3450176,49.1343453000,8.5646901700,159.3348,-1.154666,-0.651568,119.279982,0.0005,-0.0001,0.0002
3500179,49.1343453000,8.5646901710,159.3348,-1.153602,-0.649597,119.280940,0.0006,-0.0003,-0.0001
3550181,49.1343453000,8.5646901710,159.3347,-1.153604,-0.651177,119.282322,0.0016,0.0000,0.0017
3600184,49.1343453000,8.5646901710,159.3347,-1.153878,-0.651074,119.280600,-0.0003,-0.0016,-0.0011
3650186,49.1343453000,8.5646901710,159.3347,-1.150917,-0.649645,119.282482,0.0010,0.0020,0.0008
3700189,49.1343453000,8.5646901710,159.3347,-1.152617,-0.650221,119.283348,0.0016,-0.0002,0.0012
3750191,49.1343453000,8.5646901720,159.3346,-1.150198,-0.648637,119.282195,0.0005,-0.0015,0.0008
3800194,49.1343453000,8.5646901720,159.3347,-1.150274,-0.650192,119.283146,-0.0001,0.0035,0.0008
3850196,49.1343453000,8.5646901720,159.3346,-1.151778,-0.650083,119.282744,0.0007,-0.0021,-0.0007
3900199,49.1343453000,8.5646901720,159.3346,-1.151321,-0.648968,119.280747,-0.0001,0.0010,-0.0002
3950202,49.1343453000,8.5646901710,159.3346,-1.153261,-0.650695,119.281585,-0.0004,0.0017,-0.0005
4000204,49.1343453000,8.5646901730,159.3346,-1.153307,-0.650645,119.280211,0.0009,-0.0021,0.0000
4050207,49.1343453000,8.5646901720,159.3346,-1.155120,-0.651586,119.280289,-0.0005,0.0042,0.0007
4100209,49.1343453000,8.5646901720,159.3346,-1.155271,-0.650798,119.279473,-0.0005,-0.0040,-0.0010
4150212,49.1343453000,8.5646901730,159.3346,-1.153795,-0.648577,119.279414,0.0019,0.0032,0.0021
4200214,49.1343453000,8.5646901720,159.3346,-1.155703,-0.652600,119.281495,-0.0004,-0.0014,-0.0000
4250217,49.1343453000,8.5646901730,159.3346,-1.153252,-0.648920,119.278326,0.0009,-0.0014,-0.0002
4300219,49.1343453000,8.5646901720,159.3346,-1.154116,-0.650012,119.281499,0.0012,0.0039,0.0018
4350222,49.1343453000,8.5646901730,159.3346,-1.153897,-0.650049,119.279475,-0.0020,-0.0047,-0.0027
4400225,49.1343452900,8.5646901630,159.3324,-1.151463,-0.649469,119.280004,0.0018,0.0033,0.0022
4450227,49.1343452900,8.5646901610,159.3324,-1.152924,-0.651930,119.282686,-0.0012,-0.0026,-0.0004
