# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# Python ahrs.py prototype's OWN attitude estimate over the SAME ADAHRS imu.csv -- NOT an independent truth
0,0.0000000000,0.0000000000,0.0000,-1.238488,-0.676453,111.708984,0.0000,0.0000,0.0000
50003,0.0000000000,0.0000000000,0.0000,-1.243157,-0.676476,111.708185,0.0000,0.0000,0.0000
100005,0.0000000000,0.0000000000,0.0000,-1.243957,-0.677211,111.710526,0.0000,0.0000,0.0000
150008,0.0000000000,0.0000000000,0.0000,-1.243196,-0.677947,111.712867,0.0000,0.0000,0.0000
200010,0.0000000000,0.0000000000,0.0000,-1.249316,-0.676493,111.712049,0.0000,0.0000,0.0000
250013,0.0000000000,0.0000000000,0.0000,-1.243839,-0.678059,111.712064,0.0000,0.0000,0.0000
300015,0.0000000000,0.0000000000,0.0000,-1.243830,-0.674940,111.711978,0.0000,0.0000,0.0000
350018,0.0000000000,0.0000000000,0.0000,-1.246173,-0.677271,111.712791,0.0000,0.0000,0.0000
400020,0.0000000000,0.0000000000,0.0000,-1.242902,-0.678250,111.712007,0.0000,0.0000,0.0000
450023,0.0000000000,0.0000000000,0.0000,-1.245244,-0.679800,111.712804,0.0000,0.0000,0.0000
500026,0.0000000000,0.0000000000,0.0000,-1.242921,-0.682096,111.715177,0.0000,0.0000,0.0000
550028,0.0000000000,0.0000000000,0.0000,-1.244455,-0.682916,111.713616,0.0000,0.0000,0.0000
600031,0.0000000000,0.0000000000,0.0000,-1.244162,-0.684458,111.717531,0.0000,0.0000,0.0000
650033,0.0000000000,0.0000000000,0.0000,-1.244130,-0.685296,111.715188,0.0000,0.0000,0.0000
700036,0.0000000000,0.0000000000,0.0000,-1.249604,-0.685267,111.716730,0.0000,0.0000,0.0000
750038,0.0000000000,0.0000000000,0.0000,-1.247246,-0.683730,111.715894,0.0000,0.0000,0.0000
800041,0.0000000000,0.0000000000,0.0000,-1.247733,-0.684306,111.712760,0.0000,0.0000,0.0000
850043,0.0000000000,0.0000000000,0.0000,-1.251650,-0.680362,111.714992,0.0000,0.0000,0.0000
900046,0.0000000000,0.0000000000,0.0000,-1.246894,-0.683606,111.709581,0.0000,0.0000,0.0000
950048,0.0000000000,0.0000000000,0.0000,-1.247690,-0.682003,111.711868,0.0000,0.0000,0.0000
1000051,0.0000000000,0.0000000000,0.0000,-1.244904,-0.683531,111.711119,0.0000,0.0000,0.0000
1050054,0.0000000000,0.0000000000,0.0000,-1.244836,-0.683637,111.706424,0.0000,0.0000,0.0000
1100056,0.0000000000,0.0000000000,0.0000,-1.241770,-0.683527,111.711865,0.0000,0.0000,0.0000
1150059,0.0000000000,0.0000000000,0.0000,-1.240179,-0.687480,111.709591,0.0000,0.0000,0.0000
1200061,0.0000000000,0.0000000000,0.0000,-1.244409,-0.687755,111.710294,0.0000,0.0000,0.0000
1250064,0.0000000000,0.0000000000,0.0000,-1.242043,-0.690916,111.708783,0.0000,0.0000,0.0000
1300066,0.0000000000,0.0000000000,0.0000,-1.244379,-0.688581,111.708715,0.0000,0.0000,0.0000
1350069,0.0000000000,0.0000000000,0.0000,-1.247511,-0.686221,111.710207,0.0000,0.0000,0.0000
1400071,0.0000000000,0.0000000000,0.0000,-1.248804,-0.691051,111.711031,0.0000,0.0000,0.0000
