# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# KF-GINS GNSS-RTK.txt, position-only (no Doppler velocity in this file, matches KF-GINS's own loosely-coupled position update)
456250000000,30.4447858054,114.4718661162,21.0950,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456251000000,30.4447857891,114.4718661133,21.0910,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456252000000,30.4447858189,114.4718661201,21.0870,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456253000000,30.4447858069,114.4718661154,21.0920,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456254000000,30.4447858370,114.4718661075,21.0910,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456255000000,30.4447857946,114.4718661173,21.0950,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456256000000,30.4447858187,114.4718661324,21.0870,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456257000000,30.4447858376,114.4718661399,21.0840,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456258000000,30.4447858184,114.4718661156,21.0880,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456259000000,30.4447858500,114.4718661232,21.0880,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456260000000,30.4447858269,114.4718661128,21.0890,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456261000000,30.4447858603,114.4718661287,21.0920,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456262000000,30.4447858297,114.4718661103,21.0880,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456263000000,30.4447858175,114.4718660825,21.0900,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456264000000,30.4447858292,114.4718661086,21.0930,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456265000000,30.4447858406,114.4718661493,21.0850,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456266000000,30.4447858345,114.4718661347,21.0920,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456267000000,30.4447857724,114.4718660661,21.0880,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456268000000,30.4447858028,114.4718661555,21.0980,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456269000000,30.4447858104,114.4718661477,21.0920,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456270000000,30.4447858150,114.4718661551,21.0870,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456271000000,30.4447858470,114.4718661349,21.0960,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456272000000,30.4447858262,114.4718661144,21.0920,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456273000000,30.4447858496,114.4718661145,21.0880,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456274000000,30.4447858207,114.4718661167,21.0940,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456275000000,30.4447858048,114.4718661095,21.0890,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456276000000,30.4447858146,114.4718661161,21.0910,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456277000000,30.4447858369,114.4718661375,21.0890,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456278000000,30.4447858194,114.4718661044,21.0940,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456279000000,30.4447858455,114.4718661486,21.0930,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456280000000,30.4447858341,114.4718661060,21.0940,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456281000000,30.4447858381,114.4718661402,21.0920,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456282000000,30.4447858350,114.4718661252,21.0910,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456283000000,30.4447858495,114.4718661145,21.0890,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456284000000,30.4447858469,114.4718661129,21.0920,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456285000000,30.4447858504,114.4718661606,21.0940,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456286000000,30.4447858368,114.4718661647,21.0940,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456287000000,30.4447858264,114.4718661380,21.0960,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456288000000,30.4447858446,114.4718661069,21.0960,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
456289000000,30.4447858148,114.4718661326,21.0940,0.0001,0,0,8.1e-05,0,0.000361,0.0000,0.0000,0.0000,0,0,0,0,0,0,0
