# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# KF-GINS truth.nav, independent post-processed truth, decimated to 10 Hz
456300000000,30.4447873696,114.4718632476,20.9100,0.852523,-2.033964,185.696251,0.0000,-0.0000,0.0000
456300104000,30.4447873704,114.4718632491,20.9100,0.851552,-2.033566,185.697260,0.0010,0.0010,0.0000
456300204000,30.4447873710,114.4718632499,20.9100,0.852253,-2.032724,185.695963,0.0000,0.0010,0.0010
456300304000,30.4447873709,114.4718632504,20.9100,0.851871,-2.033707,185.696817,-0.0010,0.0010,-0.0000
456300404000,30.4447873705,114.4718632506,20.9100,0.851381,-2.034778,185.695095,0.0000,-0.0010,0.0000
456300504000,30.4447873708,114.4718632505,20.9100,0.853913,-2.033792,185.694892,0.0020,-0.0010,0.0000
456300604000,30.4447873714,114.4718632507,20.9090,0.853590,-2.031821,185.695968,-0.0000,0.0010,0.0010
456300704000,30.4447873710,114.4718632509,20.9090,0.853185,-2.032144,185.698059,-0.0020,0.0010,-0.0010
456300804000,30.4447873694,114.4718632509,20.9090,0.852447,-2.034708,185.695629,-0.0010,-0.0010,0.0010
456300904000,30.4447873690,114.4718632510,20.9090,0.851690,-2.034098,185.696897,-0.0000,-0.0000,-0.0010
456301004000,30.4447873689,114.4718632507,20.9090,0.852577,-2.032950,185.696292,-0.0000,-0.0000,0.0010
456301104000,30.4447873684,114.4718632505,20.9090,0.851077,-2.032088,185.695111,-0.0010,0.0010,0.0000
456301204000,30.4447873672,114.4718632501,20.9090,0.851985,-2.033587,185.695396,-0.0010,-0.0010,0.0000
456301304000,30.4447873664,114.4718632504,20.9090,0.850856,-2.033538,185.695901,-0.0000,-0.0000,0.0000
456301404000,30.4447873664,114.4718632506,20.9090,0.851545,-2.032979,185.695577,0.0000,0.0010,0.0010
456301504000,30.4447873664,114.4718632512,20.9090,0.849923,-2.032432,185.695335,-0.0010,0.0010,-0.0000
