# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# KF-GINS's own KF_GINS_Navresult.nav solution, decimated to 10 Hz
456300009412,30.4447873700,114.4718632050,20.8990,0.854253,-2.034958,185.702253,0.0003,0.0006,-0.0002
456300109413,30.4447873700,114.4718632060,20.8990,0.852878,-2.034308,185.702354,0.0004,0.0009,0.0006
456300214412,30.4447873700,114.4718632070,20.8989,0.853195,-2.033247,185.702684,-0.0002,0.0008,-0.0000
456300319412,30.4447873700,114.4718632080,20.8989,0.853890,-2.034863,185.702432,-0.0009,0.0012,0.0006
456300419412,30.4447873690,114.4718632090,20.8988,0.853296,-2.035051,185.701828,-0.0009,0.0014,0.0011
456300524412,30.4447873700,114.4718632090,20.8987,0.855214,-2.034406,185.701718,0.0006,0.0007,0.0016
456300629413,30.4447873710,114.4718632110,20.8985,0.854417,-2.032667,185.702607,0.0007,0.0004,0.0014
456300734412,30.4447873700,114.4718632130,20.8984,0.854615,-2.033650,185.702371,-0.0016,0.0010,0.0011
456300834412,30.4447873690,114.4718632140,20.8982,0.854056,-2.035401,185.701947,0.0000,0.0013,0.0027
456300939412,30.4447873700,114.4718632160,20.8979,0.852927,-2.033909,185.702320,0.0006,0.0026,0.0021
456301039413,30.4447873760,114.4718632120,20.8999,0.853596,-2.033090,185.702581,0.0007,0.0017,0.0022
456301144412,30.4447873760,114.4718632140,20.8996,0.852478,-2.033358,185.702124,-0.0001,0.0004,0.0023
456301244413,30.4447873760,114.4718632150,20.8994,0.853239,-2.034316,185.702725,-0.0000,0.0017,0.0021
456301344413,30.4447873760,114.4718632170,20.8991,0.852579,-2.034094,185.702842,0.0011,0.0014,0.0035
456301449412,30.4447873780,114.4718632190,20.8988,0.851681,-2.032660,185.702150,0.0002,0.0022,0.0030
456301549413,30.4447873780,114.4718632200,20.8985,0.852246,-2.033269,185.702539,0.0004,0.0013,0.0030
456301654413,30.4447873780,114.4718632220,20.8982,0.851060,-2.034120,185.702501,0.0011,0.0004,0.0034
456301759413,30.4447873790,114.4718632240,20.8978,0.852127,-2.033883,185.702288,0.0014,0.0016,0.0035
