# t_us, static pressure [Pa]
170001,92605.828125
209999,92606.000000
250254,92606.078125
290076,92605.875000
330156,92605.921875
369999,92606.140625
410001,92606.671875
450000,92605.671875
490001,92606.656250
530418,92605.093750
570114,92606.046875
610000,92605.890625
650000,92605.953125
690000,92605.328125
730784,92606.109375
770002,92605.359375
810297,92606.093750
850120,92606.515625
890000,92605.328125
930000,92605.859375
970001,92606.734375
1010000,92605.765625
1049999,92605.781250
1090005,92605.906250
1130121,92606.484375
1170002,92606.421875
1209999,92606.593750
1250002,92605.406250
1290002,92605.890625
1330001,92606.234375
1370332,92605.781250
1410155,92605.671875
1450000,92605.593750
1490002,92605.984375
1530353,92605.687500
1570000,92606.453125
1610000,92606.140625
1650002,92605.484375
1690159,92605.921875
1730051,92604.593750
1770002,92605.218750
1810002,92605.890625
1850002,92605.843750
1890001,92605.906250
1930000,92605.437500
1970161,92605.468750
2010002,92605.296875
2050001,92605.703125
2090001,92606.343750
2130000,92605.515625
2170001,92605.468750
2210000,92605.640625
2250162,92605.859375
2290002,92606.343750
2330002,92606.171875
2370001,92605.531250
2410000,92606.093750
2450001,92605.781250
2490005,92605.656250
2530166,92605.953125
2570121,92605.312500
2610001,92605.375000
2650001,92606.015625
2689999,92605.859375
2730001,92605.781250
2770001,92606.531250
2810166,92606.468750
2850000,92605.468750
2890002,92605.796875
2930002,92605.765625
2969999,92605.953125
3010001,92605.515625
3050002,92605.296875
3090168,92606.703125
3130001,92605.203125
3170001,92605.640625
3209999,92605.031250
3249999,92606.359375
3290001,92605.640625
3330001,92606.281250
3370171,92605.515625
3410002,92606.015625
3450002,92605.203125
3490001,92605.640625
3530001,92605.828125
3570001,92605.484375
3610001,92605.625000
3650174,92605.828125
3690003,92605.515625
3730000,92604.968750
3770002,92605.812500
3810000,92606.453125
3850001,92605.296875
3890004,92606.093750
3930175,92605.890625
3970070,92606.406250
4010000,92606.343750
4050002,92605.312500
4090002,92605.890625
4129999,92606.281250
4170003,92605.015625
4210177,92605.656250
4250003,92606.171875
4290002,92605.718750
4330002,92605.015625
4370002,92605.531250
4410002,92606.015625
4450004,92605.671875
4490179,92605.781250
4530004,92606.265625
4569999,92605.906250
4610000,92605.953125
4650004,92605.875000
4690002,92606.515625
4730690,92606.171875
4770183,92606.468750
4810139,92605.437500
4850002,92605.843750
4890000,92605.515625
4930001,92606.093750
4970002,92605.937500
5010001,92606.140625
5050185,92604.984375
5090009,92605.796875
5129999,92605.640625
5169999,92605.156250
5210001,92606.468750
5250001,92605.531250
5290000,92606.500000
5330187,92605.687500
5370009,92605.500000
5410000,92606.281250
5450001,92605.750000
5490000,92605.828125
5530724,92605.734375
5570001,92606.531250
5610188,92605.046875
5650013,92606.843750
5689999,92606.375000
5729999,92606.328125
5770001,92605.562500
5810002,92606.421875
5850003,92605.671875
5890191,92605.343750
5930015,92605.171875
5970002,92606.000000
6009999,92606.406250
6050000,92605.968750
6090001,92605.359375
6130000,92605.859375
6170195,92604.906250
6210088,92605.640625
6250002,92605.593750
6290002,92606.203125
6330002,92605.296875
6370000,92605.812500
6410000,92605.984375
6450196,92605.671875
6490020,92605.750000
6530001,92606.187500
6570001,92605.140625
6610000,92606.046875
6650002,92605.656250
6690001,92605.687500
6730199,92605.031250
6770022,92606.093750
6810002,92605.375000
6850000,92606.484375
6890000,92606.125000
6929999,92606.250000
6969999,92605.875000
7010202,92605.937500
7050158,92605.953125
7090002,92605.906250
7130099,92606.250000
7170002,92606.093750
7210002,92605.843750
7250000,92605.531250
7290207,92605.734375
7330026,92606.031250
7370000,92607.171875
7410002,92605.296875
7450005,92606.531250
7490001,92607.375000
7530002,92606.203125
7570206,92606.000000
7610031,92606.515625
7650003,92605.656250
7690000,92605.656250
7730004,92606.062500
7770001,92606.734375
7810000,92605.750000
7850210,92606.281250
7890032,92605.546875
7930000,92606.515625
7970002,92605.718750
8010001,92605.984375
8050002,92605.515625
8090000,92606.250000
8130213,92605.812500
8170036,92605.156250
8210001,92605.765625
8250000,92605.390625
8290000,92606.812500
8330001,92605.531250
8370000,92606.609375
8410214,92605.812500
8450111,92606.953125
8490002,92605.593750
8530353,92605.765625
8570002,92606.234375
8609999,92605.625000
8649999,92606.625000
8690217,92605.562500
8730039,92605.609375
8770002,92606.046875
8810000,92606.171875
