# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# GNSS-only passthrough (NAV-PVT + NAV-COV), no RTKLIB post-processing -- see inslib_convert_ubx_to_csv.py
29642789,38.6334320000,-0.2668706000,863.9320,89.6052,0,0,89.6052,0,160.402,0.0190,0.0040,0.0390,0.078961,0,0,0.078961,0,0.078961,1
29890436,38.6334335000,-0.2668697000,863.8890,75.7944,0,0,75.7944,0,54.096,-0.0160,-0.0210,-0.0050,0.023104,0,0,0.023104,0,0.023104,1
30090794,38.6334341000,-0.2668693000,863.9510,79.5486,0,0,79.5486,0,68.6247,-0.0140,0.0440,0.0580,0.028561,0,0,0.028561,0,0.028561,1
30291152,38.6334345000,-0.2668689000,863.9980,59.9076,0,0,59.9076,0,59.6293,0.0130,0.0220,0.0560,0.036864,0,0,0.036864,0,0.036864,1
30490265,38.6334347000,-0.2668686000,864.0510,48.3303,0,0,48.3303,0,53.1295,0.0380,0.0380,0.0520,0.035721,0,0,0.035721,0,0.035721,1
30690623,38.6334348000,-0.2668685000,864.0950,40.3606,0,0,40.3606,0,47.8587,0.0090,-0.0070,0.0150,0.036481,0,0,0.036481,0,0.036481,1
30890981,38.6334346000,-0.2668682000,864.1870,33.9423,0,0,33.9423,0,41.4736,-0.0030,0.0040,-0.0260,0.037249,0,0,0.037249,0,0.037249,1
31091339,38.6334344000,-0.2668680000,864.2440,29.3656,0,0,29.3656,0,36.8085,0.0000,-0.0080,0.0510,0.033124,0,0,0.033124,0,0.033124,1
31291697,38.6334343000,-0.2668679000,864.2850,25.8369,0,0,25.8369,0,33.143,-0.0480,-0.0150,0.0940,0.029241,0,0,0.029241,0,0.029241,1
31492055,38.6334344000,-0.2668679000,864.2760,23.1361,0,0,23.1361,0,30.8802,-0.0310,-0.0050,0.0350,0.024336,0,0,0.024336,0,0.024336,1
31697391,38.6334349000,-0.2668675000,864.2530,21.16,0,0,21.16,0,29.106,0.0060,-0.0010,-0.0190,0.025281,0,0,0.025281,0,0.025281,1
31898993,38.6334353000,-0.2668673000,864.2510,19.6072,0,0,19.6072,0,27.636,0.0090,-0.0060,0.0060,0.022801,0,0,0.022801,0,0.022801,1
32098106,38.6334365000,-0.2668668000,864.2400,17.8422,0,0,17.8422,0,26.1019,-0.0160,-0.0040,0.0120,0.0169,0,0,0.0169,0,0.0169,1
32298464,38.6334381000,-0.2668661000,864.2200,16,0,0,16,0,24.5025,-0.0210,-0.0070,-0.0270,0.021609,0,0,0.021609,0,0.021609,1
32498822,38.6334396000,-0.2668653000,864.1990,14.1828,0,0,14.1828,0,22.8867,0.0050,0.0220,-0.0660,0.030976,0,0,0.030976,0,0.030976,1
32700425,38.6334409000,-0.2668646000,864.1810,12.6451,0,0,12.6451,0,21.3906,-0.0070,-0.0260,0.0210,0.021904,0,0,0.021904,0,0.021904,1
32898294,38.6334419000,-0.2668640000,864.1450,11.4447,0,0,11.4447,0,20.1421,0.0250,-0.0140,0.0620,0.026896,0,0,0.026896,0,0.026896,1
33098652,38.6334427000,-0.2668636000,864.1090,10.3942,0,0,10.3942,0,18.9051,0.0250,-0.0130,0.0010,0.0121,0,0,0.0121,0,0.0121,1
33299010,38.6334434000,-0.2668631000,864.1010,9.59141,0,0,9.59141,0,17.9691,0.0210,-0.0020,0.0020,0.011664,0,0,0.011664,0,0.011664,1
33500613,38.6334438000,-0.2668626000,864.1250,8.80902,0,0,8.80902,0,16.7445,-0.0070,-0.0050,-0.0380,0.023104,0,0,0.023104,0,0.023104,1
33700971,38.6334442000,-0.2668622000,864.1460,8.14532,0,0,8.14532,0,15.6737,-0.0170,0.0230,-0.0140,0.019321,0,0,0.019321,0,0.019321,1
33901329,38.6334445000,-0.2668618000,864.1470,7.568,0,0,7.568,0,14.7456,-0.0080,-0.0100,0.0280,0.024649,0,0,0.024649,0,0.024649,1
34101687,38.6334448000,-0.2668614000,864.1510,7.07028,0,0,7.07028,0,13.9204,0.0070,-0.0400,0.0080,0.014641,0,0,0.014641,0,0.014641,1
34300800,38.6334451000,-0.2668611000,864.1560,6.62548,0,0,6.62548,0,13.1769,-0.0180,-0.0030,-0.0070,0.012544,0,0,0.012544,0,0.012544,1
34501158,38.6334453000,-0.2668608000,864.1520,6.24,0,0,6.24,0,12.5245,0.0080,-0.0070,-0.0150,0.014641,0,0,0.014641,0,0.014641,1
34704005,38.6334455000,-0.2668605000,864.1560,5.88062,0,0,5.88062,0,11.9232,-0.0190,0.0120,0.0320,0.015129,0,0,0.015129,0,0.015129,1
34901874,38.6334456000,-0.2668602000,864.1530,5.56016,0,0,5.56016,0,11.3839,-0.0170,0.0190,0.0320,0.013225,0,0,0.013225,0,0.013225,1
35102232,38.6334457000,-0.2668600000,864.1440,5.27162,0,0,5.27162,0,10.8834,0.0220,-0.0120,-0.0030,0.009216,0,0,0.009216,0,0.009216,1
35302590,38.6334458000,-0.2668600000,864.1390,4.9997,0,0,4.9997,0,10.4329,0.0160,-0.0200,0.0070,0.013689,0,0,0.013689,0,0.013689,1
35501704,38.6334457000,-0.2668599000,864.1320,4.70456,0,0,4.70456,0,9.97296,0.0010,0.0140,-0.0160,0.021609,0,0,0.021609,0,0.021609,1
35703307,38.6334456000,-0.2668598000,864.1210,4.43524,0,0,4.43524,0,9.56046,-0.0030,-0.0020,0.0440,0.021609,0,0,0.021609,0,0.021609,1
35904909,38.6334454000,-0.2668598000,864.1000,4.1943,0,0,4.1943,0,9.16878,-0.0190,-0.0040,0.0010,0.007921,0,0,0.007921,0,0.007921,1
36105267,38.6334453000,-0.2668598000,864.0940,3.97205,0,0,3.97205,0,8.81496,0.0140,-0.0150,0.0570,0.025281,0,0,0.025281,0,0.025281,1
36304381,38.6334453000,-0.2668598000,864.0760,3.7636,0,0,3.7636,0,8.4681,0.0180,0.0120,-0.0130,0.012321,0,0,0.012321,0,0.012321,1
36504739,38.6334453000,-0.2668598000,864.0740,3.57588,0,0,3.57588,0,8.15103,0.0270,0.0010,0.0180,0.013689,0,0,0.013689,0,0.013689,1
36705097,38.6334453000,-0.2668597000,864.0690,3.4151,0,0,3.4151,0,7.88486,0.0120,-0.0160,-0.0310,0.013924,0,0,0.013924,0,0.013924,1
36905455,38.6334453000,-0.2668597000,864.0600,3.25081,0,0,3.25081,0,7.62312,-0.0030,-0.0160,0.0340,0.022201,0,0,0.022201,0,0.022201,1
37104569,38.6334453000,-0.2668596000,864.0390,3.10817,0,0,3.10817,0,7.38209,0.0040,-0.0110,0.0510,0.023104,0,0,0.023104,0,0.023104,1
