# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
230001,-4.54545,25.3142,13.0517
330382,-4.44315,25.855,12.584
430002,-4.53084,25.1681,12.5256
530644,-4.5893,25.7235,12.394
630000,-4.50161,25.0219,12.4817
729999,-4.04852,25.1535,13.0371
830207,-3.88775,25.6065,12.5548
930224,-3.99006,25.7089,12.3063
1030002,-4.38468,25.5042,12.891
1130444,-4.38468,25.5481,12.0433
1230002,-4.85238,25.7527,12.7448
1330655,-4.23853,25.4458,12.3502
1430131,-4.22391,25.285,12.321
1529999,-3.99006,25.3581,11.9994
1630002,-3.69775,24.8465,12.9787
1730277,-3.88775,25.4165,12.3502
1830002,-4.18006,25.2558,12.4233
1930592,-4.44315,25.1827,11.8386
2030000,-4.13622,25.2119,12.1602
2130323,-4.29699,25.5189,12.204
2230254,-4.22391,25.6796,12.7448
2330225,-3.75621,25.9135,12.1163
2430000,-4.25314,25.8842,12.6279
2530392,-4.25314,25.9281,12.4087
2629999,-4.3116,25.475,12.4233
2730596,-4.42853,25.5773,12.5694
2830078,-4.35545,25.7819,12.204
2930228,-4.35545,25.6796,12.3502
3030002,-3.75621,24.9927,13.5633
3130323,-4.5893,25.9866,12.5987
3230002,-4.07775,25.7673,12.4963
3330592,-3.90237,25.2704,12.5987
3430001,-4.50161,25.4458,12.7448
3530227,-4.44315,25.7381,13.4171
3630265,-4.34084,25.3873,13.154
3730225,-4.28237,25.665,12.7448
3830001,-3.55159,25.5627,12.9202
3930401,-3.6539,25.8258,12.9787
4029999,-3.85852,25.5189,12.891
4130684,-4.37007,25.4458,12.8033
4230092,-4.29699,25.4896,12.774
4330228,-3.99006,25.8112,12.6863
4430000,-3.85852,25.4604,12.8617
4530230,-4.18006,25.8258,12.0286
4630001,-3.81467,25.8404,12.5402
4729999,-4.28237,25.5189,12.2479
4830000,-4.29699,25.9573,12.8325
4930227,-3.87314,25.7089,12.6279
5030274,-4.42853,25.5919,12.701
5130322,-4.16545,25.6065,13.154
5230003,-4.10699,25.2412,12.8617
5330412,-3.96083,25.0365,13.0371
5430000,-4.44315,25.665,12.6279
5529999,-4.3993,25.5481,12.584
5630103,-4.80854,25.6942,12.9933
5730225,-4.67699,26.1181,12.8179
5829999,-4.80854,26.2789,12.584
5930241,-4.13622,25.9866,12.4379
6030001,-4.25314,26.0596,13.0079
6130685,-4.23853,25.8404,12.8764
6230002,-4.07775,26.0012,12.1894
6330228,-4.06314,25.855,12.6279
6430286,-4.06314,25.6212,12.5987
6530225,-4.07775,25.6212,13.1102
6630002,-3.9316,25.3289,13.1979
6730444,-4.19468,25.5773,12.4087
6830000,-3.80006,25.5335,12.5402
6930598,-3.59544,25.3435,12.7156
7030116,-4.22391,25.9719,12.9787
7130325,-4.28237,25.7527,12.7156
7230002,-3.37621,25.7819,13.154
7330252,-4.00468,25.5919,12.3502
7430002,-4.06314,25.5481,12.8471
7530595,-4.96931,25.5335,13.0079
7630000,-4.07775,25.3289,12.4379
7730230,-4.04852,25.2558,12.5256
7830297,-4.00468,25.3727,12.8325
7930224,-3.87314,25.4896,12.9787
8030001,-4.5893,25.3142,12.2186
8130536,-3.88775,25.285,12.4817
8230001,-4.00468,25.4019,12.774
8330230,-3.97545,25.1681,12.8325
8430126,-3.66852,25.5773,11.9263
8529999,-4.03391,25.7381,11.941
8630000,-4.56007,25.5919,13.3148
8730265,-4.15083,25.4165,12.3063
8830001,-3.66852,25.7381,13.081
8930594,-3.7416,25.7966,12.7156
9030003,-4.18006,25.7235,12.4379
9130323,-4.1216,25.7089,12.6571
9230312,-3.69775,25.7819,12.511
9330225,-4.34084,25.5627,12.2917
9430000,-3.71236,25.4312,12.964
9530450,-4.44315,25.665,12.4379
9630002,-3.72698,25.4165,12.8471
9730231,-4.18006,25.5627,13.3587
9830138,-3.68313,25.5335,12.8325
9930226,-3.91698,25.6504,12.7887
10030002,-3.91698,25.7527,12.321
10130379,-3.96083,25.6065,12.701
10229999,-3.84391,25.5335,13.1687
10330604,-4.28237,25.2558,12.8033
10430000,-4.22391,25.665,12.9202
10529999,-4.04852,25.4165,13.3002
10630332,-3.90237,25.5189,13.0956
10730224,-4.25314,25.4312,12.8471
10830002,-3.9316,25.7527,12.6571
10930471,-3.90237,25.665,12.5402
11030001,-3.90237,25.5773,12.3502
11130793,-3.7416,25.6942,12.5548
11230249,-4.22391,25.285,12.4963
11330224,-3.91698,25.4165,13.4025
11430001,-3.7416,25.6065,12.4087
11530457,-4.34084,25.7235,12.5548
11630002,-3.81467,25.8842,12.5548
11730599,-4.64776,25.665,12.9787
11830017,-4.07775,25.5481,12.7448
11930228,-4.50161,25.855,13.1102
12030354,-3.81467,25.3289,12.6425
12130321,-3.85852,25.3727,12.5548
12230000,-3.97545,25.8989,12.7448
12330485,-3.77083,25.2265,12.8325
12430015,-4.38468,25.9719,12.4817
12530227,-4.45776,25.3435,13.2564
