# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# GNSS-only passthrough (NAV-PVT + NAV-COV), no RTKLIB post-processing -- see inslib_convert_ubx_to_csv.py
1338576814,38.6334365000,-0.2668743000,861.9010,3.557,0,0,3.557,0,0.531441,0.0060,0.0100,-0.0490,0.024649,0,0,0.024649,0,0.024649,1
1338978725,38.6334353000,-0.2668736000,861.9480,1.90716,0,0,1.90716,0,0.394384,0.0080,0.0120,-0.0150,0.011236,0,0,0.011236,0,0.011236,1
1339177814,38.6334350000,-0.2668735000,861.9460,1.22324,0,0,1.22324,0,0.314721,0.0170,-0.0030,-0.0220,0.011449,0,0,0.011449,0,0.011449,1
1339378148,38.6334355000,-0.2668736000,861.9340,0.923521,0,0,0.923521,0,0.286225,-0.0040,0.0110,-0.0090,0.006084,0,0,0.006084,0,0.006084,1
1339578481,38.6334357000,-0.2668739000,861.9240,0.731025,0,0,0.731025,0,0.269361,-0.0020,0.0040,0.0210,0.013225,0,0,0.013225,0,0.013225,1
1339778814,38.6334419000,-0.2668730000,861.8630,0.009025,0,0,0.009025,0,0.015129,-0.0060,-0.0130,0.0520,0.014161,0,0,0.014161,0,0.014161,1
1340381059,38.6334393000,-0.2668726000,861.7820,1.58508,0,0,1.58508,0,0.279841,-0.0080,0.0000,-0.0150,0.012544,0,0,0.012544,0,0.012544,1
1340581392,38.6334381000,-0.2668723000,861.7750,1.0733,0,0,1.0733,0,0.196249,0.0080,0.0060,0.0250,0.012769,0,0,0.012769,0,0.012769,1
1340781726,38.6334419000,-0.2668730000,861.8340,0.010816,0,0,0.010816,0,0.0169,0.0130,0.0060,0.0510,0.013225,0,0,0.013225,0,0.013225,1
1340980815,38.6334419000,-0.2668730000,861.8430,0.005476,0,0,0.005476,0,0.009216,0.0070,0.0030,-0.0230,0.012996,0,0,0.012996,0,0.012996,1
1341583059,38.6334396000,-0.2668738000,861.9810,1.8496,0,0,1.8496,0,0.343396,-0.0070,0.0030,0.0340,0.021316,0,0,0.021316,0,0.021316,1
1342582238,38.6334365000,-0.2668741000,862.0590,3.29422,0,0,3.29422,0,0.499849,-0.0120,0.0060,0.0270,0.0225,0,0,0.0225,0,0.0225,1
1342782571,38.6334416000,-0.2668731000,861.7970,0.012769,0,0,0.012769,0,0.018769,-0.0030,0.0010,0.0030,0.005476,0,0,0.005476,0,0.005476,1
1342981661,38.6334417000,-0.2668731000,861.7950,0.0064,0,0,0.0064,0,0.009801,0.0170,0.0040,-0.0110,0.008281,0,0,0.008281,0,0.008281,1
1343181994,38.6334417000,-0.2668731000,861.7920,0.004356,0,0,0.004356,0,0.007056,-0.0010,0.0040,0.0140,0.012321,0,0,0.012321,0,0.012321,1
1343381083,38.6334417000,-0.2668731000,861.7860,0.003481,0,0,0.003481,0,0.005776,0.0120,0.0080,0.0250,0.012544,0,0,0.012544,0,0.012544,1
1343580172,38.6334417000,-0.2668731000,861.7860,0.002916,0,0,0.002916,0,0.005184,-0.0110,0.0070,0.0380,0.014884,0,0,0.014884,0,0.014884,1
1343780506,38.6334418000,-0.2668733000,861.7450,0.000289,0,0,0.000289,0,0.000784,-0.0160,0.0120,0.0390,0.013924,0,0,0.013924,0,0.013924,1
1343979595,38.6334419000,-0.2668733000,861.7390,0.000225,0,0,0.000225,0,0.000576,0.0040,-0.0050,0.0210,0.011664,0,0,0.011664,0,0.011664,1
1344182417,38.6334419000,-0.2668733000,861.7360,0.000225,0,0,0.000225,0,0.000529,-0.0090,0.0170,0.0140,0.007396,0,0,0.007396,0,0.007396,1
1344380262,38.6334419000,-0.2668734000,861.7360,0.000225,0,0,0.000225,0,0.000529,-0.0030,-0.0070,0.0270,0.012769,0,0,0.012769,0,0.012769,1
1344580596,38.6334419000,-0.2668734000,861.7360,0.000225,0,0,0.000225,0,0.000529,0.0080,-0.0090,0.0350,0.012321,0,0,0.012321,0,0.012321,1
1344779685,38.6334419000,-0.2668734000,861.7350,0.000225,0,0,0.000225,0,0.000529,0.0060,0.0090,0.0120,0.009216,0,0,0.009216,0,0.009216,1
1344980019,38.6334419000,-0.2668734000,861.7360,0.000225,0,0,0.000225,0,0.000529,-0.0020,-0.0030,0.0080,0.008464,0,0,0.008464,0,0.008464,1
1345176619,38.6334419000,-0.2668734000,861.7330,0.000225,0,0,0.000225,0,0.000529,-0.0080,0.0070,0.0460,0.013924,0,0,0.013924,0,0.013924,1
1345375709,38.6334419000,-0.2668734000,861.7310,0.000225,0,0,0.000225,0,0.000529,0.0030,0.0110,0.0560,0.013689,0,0,0.013689,0,0.013689,1
1345576043,38.6334419000,-0.2668734000,861.7320,0.000225,0,0,0.000225,0,0.000529,-0.0030,0.0090,0.0330,0.013225,0,0,0.013225,0,0.013225,1
1345776376,38.6334419000,-0.2668733000,861.7290,0.000225,0,0,0.000225,0,0.000529,-0.0090,0.0000,-0.0310,0.012544,0,0,0.012544,0,0.012544,1
1345976710,38.6334419000,-0.2668734000,861.7350,0.000225,0,0,0.000225,0,0.000529,0.0040,0.0100,-0.0550,0.013924,0,0,0.013924,0,0.013924,1
1346177044,38.6334418000,-0.2668734000,861.7350,0.000225,0,0,0.000225,0,0.000529,-0.0150,0.0150,0.0250,0.01,0,0,0.01,0,0.01,1
1346376133,38.6334419000,-0.2668734000,861.7290,0.000225,0,0,0.000225,0,0.000529,0.0130,0.0080,0.0350,0.0121,0,0,0.0121,0,0.0121,1
1346577711,38.6334419000,-0.2668734000,861.7270,0.000225,0,0,0.000225,0,0.000529,0.0010,0.0010,0.0240,0.011449,0,0,0.011449,0,0.011449,1
1346776800,38.6334419000,-0.2668734000,861.7250,0.000225,0,0,0.000225,0,0.000529,0.0140,-0.0170,0.0290,0.008836,0,0,0.008836,0,0.008836,1
1346978378,38.6334419000,-0.2668734000,861.7250,0.000225,0,0,0.000225,0,0.000529,-0.0050,0.0020,0.0270,0.012996,0,0,0.012996,0,0.012996,1
1347178712,38.6334419000,-0.2668734000,861.7260,0.000225,0,0,0.000225,0,0.000529,-0.0080,0.0100,0.0060,0.005476,0,0,0.005476,0,0.005476,1
1347379046,38.6334419000,-0.2668734000,861.7290,0.000225,0,0,0.000225,0,0.000529,0.0170,-0.0010,-0.0130,0.0081,0,0,0.0081,0,0.0081,1
1347579380,38.6334419000,-0.2668734000,861.7280,0.000225,0,0,0.000225,0,0.000529,-0.0070,-0.0020,0.0060,0.006889,0,0,0.006889,0,0.006889,1
1347778469,38.6334419000,-0.2668733000,861.7270,0.000196,0,0,0.000196,0,0.000484,-0.0130,-0.0080,0.0140,0.009025,0,0,0.009025,0,0.009025,1
1347977558,38.6334419000,-0.2668733000,861.7280,0.000225,0,0,0.000225,0,0.000484,0.0200,0.0080,0.0300,0.010404,0,0,0.010404,0,0.010404,1
1348176648,38.6334419000,-0.2668733000,861.7310,0.000225,0,0,0.000225,0,0.000529,-0.0110,-0.0160,-0.0380,0.012321,0,0,0.012321,0,0.012321,1
1348376982,38.6334419000,-0.2668733000,861.7280,0.000225,0,0,0.000225,0,0.000529,0.0030,0.0150,0.0320,0.012544,0,0,0.012544,0,0.012544,1
1348576071,38.6334419000,-0.2668733000,861.7250,0.000225,0,0,0.000225,0,0.000529,-0.0010,0.0020,0.0710,0.014641,0,0,0.014641,0,0.014641,1
1348777649,38.6334419000,-0.2668733000,861.7280,0.000225,0,0,0.000225,0,0.000529,-0.0090,-0.0060,-0.0080,0.007744,0,0,0.007744,0,0.007744,1
1348977983,38.6334419000,-0.2668733000,861.7330,0.000225,0,0,0.000225,0,0.000484,0.0120,-0.0020,-0.0460,0.013225,0,0,0.013225,0,0.013225,1
1349177073,38.6334419000,-0.2668733000,861.7310,0.000196,0,0,0.000196,0,0.000484,0.0040,-0.0020,0.0340,0.011664,0,0,0.011664,0,0.011664,1
1349378651,38.6334419000,-0.2668733000,861.7290,0.000196,0,0,0.000196,0,0.000484,0.0090,-0.0020,0.0190,0.010816,0,0,0.010816,0,0.010816,1
1349581473,38.6334419000,-0.2668733000,861.7300,0.000196,0,0,0.000196,0,0.000484,-0.0080,-0.0100,0.0060,0.005329,0,0,0.005329,0,0.005329,1
1349778074,38.6334419000,-0.2668734000,861.7330,0.000196,0,0,0.000196,0,0.000484,0.0250,0.0000,-0.0310,0.01,0,0,0.01,0,0.01,1
1349978408,38.6334419000,-0.2668733000,861.7320,0.000196,0,0,0.000196,0,0.000484,0.0140,-0.0060,0.0540,0.012321,0,0,0.012321,0,0.012321,1
1350179986,38.6334419000,-0.2668733000,861.7320,0.000196,0,0,0.000196,0,0.000484,0.0130,-0.0010,-0.0250,0.011881,0,0,0.011881,0,0.011881,1
1350380320,38.6334419000,-0.2668733000,861.7330,0.000196,0,0,0.000196,0,0.000484,-0.0090,-0.0020,0.0140,0.010816,0,0,0.010816,0,0.010816,1
1350580654,38.6334419000,-0.2668733000,861.7320,0.000196,0,0,0.000196,0,0.000484,0.0190,-0.0040,0.0030,0.003364,0,0,0.003364,0,0.003364,1
1350780988,38.6334419000,-0.2668734000,861.7330,0.000196,0,0,0.000196,0,0.000484,0.0070,-0.0160,-0.0230,0.01,0,0,0.01,0,0.01,1
1350981322,38.6334419000,-0.2668734000,861.7370,0.000196,0,0,0.000196,0,0.000484,-0.0300,-0.0020,-0.0060,0.003721,0,0,0.003721,0,0.003721,1
1351180412,38.6334418000,-0.2668733000,861.7350,0.000196,0,0,0.000196,0,0.000484,-0.0060,0.0030,-0.0130,0.008464,0,0,0.008464,0,0.008464,1
1351380746,38.6334419000,-0.2668734000,861.7340,0.000196,0,0,0.000196,0,0.000484,0.0080,-0.0130,0.0080,0.004356,0,0,0.004356,0,0.004356,1
1351581079,38.6334419000,-0.2668734000,861.7360,0.000196,0,0,0.000196,0,0.000484,0.0000,0.0120,0.0310,0.012321,0,0,0.012321,0,0.012321,1
1351781413,38.6334418000,-0.2668733000,861.7350,0.000196,0,0,0.000196,0,0.000484,-0.0080,0.0040,0.0250,0.011881,0,0,0.011881,0,0.011881,1
1351980509,38.6334418000,-0.2668733000,861.7350,0.000196,0,0,0.000196,0,0.000484,0.0220,0.0150,-0.0240,0.0081,0,0,0.0081,0,0.0081,1
1352582749,38.6334398000,-0.2668726000,861.7840,1.84416,0,0,1.84416,0,0.330625,0.0110,0.0080,0.0640,0.022201,0,0,0.022201,0,0.022201,1
1353178774,38.6334359000,-0.2668702000,861.5450,2.01924,0,0,2.01924,0,0.310249,0.0090,0.0070,0.0380,0.017689,0,0,0.017689,0,0.017689,1
1353379108,38.6334348000,-0.2668700000,861.5500,1.241,0,0,1.241,0,0.217156,-0.0090,-0.0070,0.0470,0.015376,0,0,0.015376,0,0.015376,1
1353579442,38.6334344000,-0.2668698000,861.5500,0.894916,0,0,0.894916,0,0.185761,-0.0110,0.0010,-0.0070,0.005329,0,0,0.005329,0,0.005329,1
1353781020,38.6334419000,-0.2668734000,861.7310,0.000361,0,0,0.000361,0,0.000961,0.0110,0.0030,0.0260,0.011881,0,0,0.011881,0,0.011881,1
1353982598,38.6334419000,-0.2668734000,861.7270,0.000225,0,0,0.000225,0,0.000576,0.0160,-0.0160,0.0070,0.003136,0,0,0.003136,0,0.003136,1
1354180444,38.6334419000,-0.2668734000,861.7260,0.000225,0,0,0.000225,0,0.000576,0.0000,-0.0020,0.0230,0.013225,0,0,0.013225,0,0.013225,1
1354380778,38.6334419000,-0.2668734000,861.7280,0.000225,0,0,0.000225,0,0.000529,-0.0030,0.0020,-0.0080,0.005929,0,0,0.005929,0,0.005929,1
1354579868,38.6334419000,-0.2668734000,861.7270,0.000225,0,0,0.000225,0,0.000529,0.0030,0.0020,0.0490,0.013456,0,0,0.013456,0,0.013456,1
1354780202,38.6334419000,-0.2668734000,861.7260,0.000225,0,0,0.000225,0,0.000529,0.0020,-0.0010,0.0380,0.012996,0,0,0.012996,0,0.012996,1
1354979291,38.6334419000,-0.2668734000,861.7290,0.000225,0,0,0.000225,0,0.000529,0.0050,0.0140,0.0060,0.004761,0,0,0.004761,0,0.004761,1
1355178381,38.6334419000,-0.2668734000,861.7300,0.000225,0,0,0.000225,0,0.000529,-0.0050,-0.0020,0.0310,0.013924,0,0,0.013924,0,0.013924,1
1355378715,38.6334418000,-0.2668734000,861.7290,0.000225,0,0,0.000225,0,0.000529,0.0080,0.0010,0.0510,0.013924,0,0,0.013924,0,0.013924,1
1355577805,38.6334419000,-0.2668734000,861.7300,0.000225,0,0,0.000225,0,0.000529,-0.0080,-0.0200,0.0020,0.0036,0,0,0.0036,0,0.0036,1
1355775651,38.6334418000,-0.2668734000,861.7310,0.000225,0,0,0.000225,0,0.000529,0.0020,-0.0020,0.0470,0.013924,0,0,0.013924,0,0.013924,1
1355975985,38.6334419000,-0.2668734000,861.7320,0.000225,0,0,0.000225,0,0.000529,0.0180,0.0220,0.0240,0.007921,0,0,0.007921,0,0.007921,1
1356176319,38.6334419000,-0.2668734000,861.7350,0.000225,0,0,0.000225,0,0.000529,-0.0010,0.0020,0.0220,0.012996,0,0,0.012996,0,0.012996,1
1356377897,38.6334419000,-0.2668734000,861.7320,0.000225,0,0,0.000225,0,0.000529,0.0080,-0.0010,0.0490,0.013225,0,0,0.013225,0,0.013225,1
1356576987,38.6334419000,-0.2668734000,861.7320,0.000225,0,0,0.000225,0,0.000529,-0.0060,-0.0060,0.0240,0.012544,0,0,0.012544,0,0.012544,1
1356777322,38.6334419000,-0.2668734000,861.7370,0.000225,0,0,0.000225,0,0.000529,0.0130,0.0120,-0.0190,0.009801,0,0,0.009801,0,0.009801,1
