utc_iso,host_unix_s,imu_t_us,timesync_t_us,gps_week,gps_tow_s,n_timesync_pairs,segment,mcu_restarts
2026-08-22T14:23:10.701053+00:00,1787408590.701050,1337940973,,,,0,0,0
2026-08-22T14:24:10.715654+00:00,1787408650.715641,1397958062,1396719624,2432,570248.000000,49,0,0
2026-08-22T14:25:10.728925+00:00,1787408710.728917,1457975160,1455723184,2432,570307.000000,100,0,0
2026-08-22T14:26:10.738497+00:00,1787408770.738491,1517976113,1515726775,2432,570367.000000,140,0,0
2026-08-22T14:27:10.739840+00:00,1787408830.739832,1577988060,1577730471,2432,570429.000000,180,0,0
2026-08-22T14:28:10.747029+00:00,1787408890.747023,1637985802,1637734043,2432,570489.000000,238,0,0
2026-08-22T14:29:10.771324+00:00,1787408950.771320,1697996570,1697737609,2432,570549.000000,280,0,0
2026-08-22T14:30:10.793444+00:00,1787409010.793435,1758053886,1757741172,2432,570609.000000,325,0,0
2026-08-22T14:31:10.801316+00:00,1787409070.801308,1818063247,1817744726,2432,570669.000000,385,0,0
2026-08-22T14:32:10.816952+00:00,1787409130.816947,1878083235,1877748272,2432,570729.000000,422,0,0
2026-08-22T14:33:10.830233+00:00,1787409190.830224,1938098720,1937751815,2432,570789.000000,472,0,0
