# t_us, static pressure [Pa]
2020291000,92511.890625
2020331003,92512.671875
2020371268,92512.578125
2020411096,92512.718750
2020451000,92511.812500
2020491002,92512.609375
2020531002,92512.796875
2020571002,92512.187500
2020611007,92512.296875
2020651278,92512.375000
2020691099,92511.609375
2020731001,92511.859375
2020771001,92512.640625
2020811002,92511.500000
2020851001,92512.203125
2020890999,92511.906250
2020931325,92512.171875
2020971147,92511.328125
2021011003,92512.296875
2021051002,92511.765625
2021091002,92511.968750
2021131001,92511.437500
2021171004,92511.640625
2021211335,92511.843750
2021251160,92511.593750
2021291001,92512.500000
2021331029,92512.187500
2021371000,92512.656250
2021411002,92512.843750
2021451001,92512.125000
2021491345,92511.890625
2021531166,92511.218750
2021571017,92512.031250
2021611002,92512.234375
2021652747,92512.156250
2021692001,92511.812500
2021732001,92511.562500
2021772000,92512.062500
2021812418,92511.734375
2021852471,92512.828125
2021892068,92512.453125
2021932001,92512.375000
2021972002,92512.343750
2022012000,92511.390625
2022052000,92511.906250
2022092429,92512.437500
2022132253,92511.906250
2022172074,92510.843750
2022212000,92512.265625
2022252000,92512.187500
2022292000,92511.906250
2022332001,92511.453125
2022372436,92512.140625
2022412260,92511.359375
2022452090,92512.328125
2022492001,92512.609375
2022532001,92512.156250
2022572002,92511.968750
2022612002,92511.921875
2022652522,92511.171875
2022692266,92512.375000
2022732090,92511.656250
2022772002,92511.265625
2022812001,92512.078125
2022852002,92510.796875
2022892000,92512.187500
2022932453,92512.812500
2022972278,92512.343750
2023012098,92512.218750
2023052002,92511.625000
2023092002,92512.859375
2023131999,92511.953125
2023172001,92511.781250
2023212461,92511.437500
2023252285,92511.640625
2023292109,92510.937500
2023332002,92511.593750
2023372005,92511.156250
2023412001,92511.921875
2023452001,92510.937500
2023494573,92512.218750
2023534002,92511.453125
2023574001,92511.921875
2023614431,92511.765625
2023654251,92512.187500
2023694273,92511.828125
2023734002,92512.296875
2023773999,92511.718750
2023814002,92512.203125
2023854000,92511.109375
2023894438,92511.765625
2023934261,92511.000000
2023974083,92511.984375
2024014000,92512.000000
2024054003,92511.453125
2024094002,92510.812500
2024134002,92511.843750
2024174447,92511.718750
2024214267,92512.125000
2024254096,92511.031250
2024294000,92511.671875
2024334002,92511.875000
2024374003,92511.562500
2024414000,92511.265625
2024454452,92512.812500
2024494347,92511.500000
2024534101,92511.718750
2024574001,92511.843750
2024614001,92512.437500
2024653999,92511.625000
2024694002,92512.218750
2024734459,92512.031250
2024774283,92512.171875
2024814108,92512.046875
2024854002,92511.968750
2024894000,92511.750000
2024934002,92510.671875
2024974002,92512.468750
2025014687,92511.765625
2025054292,92511.640625
2025094114,92512.109375
2025134002,92512.468750
2025174000,92511.921875
2025214002,92511.171875
2025254001,92512.562500
2025294000,92511.984375
2025336408,92512.500000
2025376002,92511.843750
2025416437,92512.187500
2025456260,92510.953125
2025496084,92512.500000
2025536061,92512.656250
2025576001,92512.515625
2025616002,92512.109375
2025656002,92511.828125
2025696443,92512.421875
2025736266,92512.671875
2025776089,92512.671875
2025816002,92512.812500
2025856001,92512.343750
2025896002,92512.328125
2025936000,92512.812500
2025976496,92511.656250
2026016278,92511.718750
2026056099,92512.890625
2026096001,92511.984375
2026136000,92511.375000
2026176001,92511.562500
2026216001,92512.578125
2026256459,92512.234375
2026296330,92512.703125
2026336180,92512.296875
2026376000,92512.640625
2026416002,92511.781250
2026456001,92512.078125
2026496001,92512.312500
2026536467,92511.390625
2026576292,92510.953125
2026616163,92511.734375
2026656002,92512.171875
2026696001,92512.125000
2026736000,92511.984375
2026776004,92512.906250
2026816000,92512.515625
2026856523,92512.234375
2026896125,92512.734375
2026935999,92512.937500
2026976000,92511.953125
2027016676,92513.109375
2027055999,92512.906250
2027096002,92511.828125
2027136309,92512.453125
2027178242,92512.718750
2027218230,92512.218750
2027258268,92512.468750
2027298092,92512.593750
2027338002,92512.062500
2027378010,92512.468750
2027418001,92511.281250
2027458000,92512.125000
2027498454,92512.812500
2027538277,92511.453125
2027578103,92512.437500
2027618001,92512.125000
2027658002,92512.296875
2027698001,92511.203125
2027738001,92512.156250
2027778461,92511.609375
2027818285,92512.546875
2027858108,92512.171875
2027898002,92512.000000
2027938001,92512.171875
2027978000,92512.578125
2028018000,92512.500000
2028058000,92512.765625
2028098295,92512.406250
2028138115,92511.687500
2028178010,92511.828125
2028218000,92512.125000
2028258002,92512.687500
2028298001,92512.484375
2028338003,92512.671875
2028378301,92511.531250
2028418125,92512.328125
2028458000,92512.015625
2028498002,92511.656250
2028538001,92512.171875
2028578002,92511.640625
2028618002,92512.671875
2028658311,92512.375000
2028698354,92512.265625
2028738000,92512.578125
2028778004,92512.812500
2028817999,92512.687500
2028858001,92512.281250
2028898007,92510.796875
2028938319,92511.796875
2028978143,92511.812500
2029020075,92511.718750
2029060279,92512.593750
2029100102,92512.328125
2029140385,92512.890625
2029180002,92512.656250
2029220002,92512.953125
2029260002,92512.265625
2029300462,92512.109375
2029340287,92512.734375
2029380108,92511.531250
2029420002,92511.687500
2029460002,92511.593750
2029499999,92511.828125
2029540001,92511.781250
2029580471,92512.140625
2029620296,92512.453125
2029660119,92512.031250
2029700002,92512.562500
2029740001,92512.828125
2029780000,92511.515625
2029820001,92512.406250
2029860005,92512.046875
2029900305,92512.140625
2029940128,92512.046875
2029980000,92512.000000
2030020002,92511.921875
2030060001,92512.140625
2030100001,92512.921875
2030139999,92512.265625
2030180276,92511.640625
2030220097,92511.906250
2030260001,92512.031250
2030300000,92511.500000
2030340002,92512.625000
2030380002,92511.296875
2030419999,92511.765625
2030460277,92511.375000
2030500099,92512.156250
2030540143,92511.906250
2030579999,92511.546875
2030620001,92512.953125
2030660002,92511.375000
2030700000,92512.453125
2030740284,92511.906250
2030780106,92511.687500
2030820001,92512.218750
2030861863,92511.484375
2030901000,92510.609375
2030941002,92510.656250
2030980999,92511.093750
2031021000,92510.843750
2031061416,92509.828125
2031101183,92509.437500
2031141010,92508.875000
2031181004,92508.390625
2031221002,92506.546875
2031261000,92506.250000
2031301001,92504.953125
2031341371,92505.468750
2031381195,92504.281250
2031421017,92503.421875
2031461001,92502.859375
2031501002,92502.421875
2031541000,92501.687500
2031581002,92500.328125
2031621378,92500.859375
2031661203,92500.937500
2031701023,92499.890625
2031741002,92499.937500
2031781000,92498.578125
2031821002,92497.875000
2031861002,92498.921875
2031901388,92497.640625
2031941208,92498.015625
2031981037,92497.203125
2032021002,92496.078125
2032061002,92496.171875
2032101002,92496.671875
2032141000,92495.625000
2032181395,92496.171875
2032221226,92496.171875
2032261040,92496.671875
2032301000,92496.484375
2032341002,92496.453125
2032381002,92496.718750
2032421001,92496.625000
2032461447,92496.843750
2032501231,92497.265625
2032541052,92497.390625
2032581096,92497.781250
2032621000,92497.640625
2032661000,92496.734375
2032701002,92498.468750
2032741416,92498.718750
2032781281,92499.187500
2032821407,92498.765625
2032861001,92498.296875
2032902816,92499.171875
2032942002,92499.125000
2032982001,92499.687500
2033022001,92499.750000
2033062000,92500.000000
2033102401,92499.359375
2033142138,92499.703125
2033182002,92499.781250
2033222011,92499.734375
2033262002,92499.421875
2033302002,92500.562500
2033342001,92499.187500
2033382322,92500.312500
2033422320,92500.406250
2033462002,92499.437500
2033502002,92499.937500
2033542000,92499.703125
2033582002,92500.859375
2033622182,92499.578125
2033662338,92499.625000
2033702154,92500.218750
2033742023,92499.296875
2033782003,92498.609375
2033822000,92499.234375
2033862004,92499.109375
2033902001,92498.343750
2033942340,92499.562500
2033982164,92498.859375
2034022002,92498.812500
2034062002,92498.593750
2034102002,92498.656250
2034141999,92498.968750
2034182001,92499.359375
2034222349,92498.671875
2034262174,92499.156250
2034302002,92498.812500
2034342002,92498.203125
2034382001,92498.812500
2034422000,92498.671875
2034462002,92498.968750
2034502357,92497.765625
2034542181,92498.375000
2034582004,92498.562500
2034622047,92499.171875
2034662001,92499.203125
2034702001,92499.750000
2034742002,92499.593750
2034782368,92499.937500
2034822186,92499.718750
2034862016,92499.343750
2034902000,92499.562500
2034943763,92498.875000
2034983001,92499.406250
2035023001,92499.140625
2035063001,92499.296875
2035103002,92498.937500
2035143305,92498.921875
2035183086,92499.390625
2035223000,92498.546875
2035263001,92498.875000
2035303000,92498.765625
2035343001,92499.734375
2035383002,92499.750000
2035423275,92499.843750
2035463097,92499.828125
2035503001,92498.906250
2035542999,92499.593750
2035583002,92499.906250
2035623000,92499.281250
2035663000,92499.843750
2035703282,92499.125000
2035743107,92499.203125
2035783000,92498.234375
2035823002,92498.468750
2035863000,92497.937500
2035903001,92498.093750
2035943002,92498.031250
2035983294,92497.078125
2036023316,92498.234375
2036063000,92498.062500
2036103000,92497.593750
2036143000,92497.328125
2036183001,92499.093750
2036223000,92498.921875
2036263306,92499.531250
2036303121,92499.187500
2036343000,92498.671875
2036383000,92499.437500
2036423000,92499.078125
2036463001,92498.312500
2036503002,92498.640625
2036543305,92498.734375
2036583131,92498.250000
2036623001,92499.234375
2036663001,92498.343750
2036703000,92499.500000
2036742999,92498.843750
2036783002,92498.984375
2036823316,92499.796875
2036863140,92500.046875
2036903002,92500.312500
2036943001,92500.328125
2036984718,92499.375000
2037024000,92500.828125
2037064001,92500.953125
2037104001,92501.093750
2037144391,92501.671875
2037184349,92501.312500
2037224042,92501.609375
2037264002,92501.890625
2037303999,92501.296875
2037344002,92501.484375
2037383999,92502.171875
2037424401,92501.687500
2037464224,92502.843750
2037504051,92502.843750
2037544001,92502.593750
2037584004,92503.343750
2037624000,92503.812500
2037664000,92504.343750
2037704412,92504.625000
2037744233,92504.250000
2037784058,92505.234375
