# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# GNSS-only passthrough (NAV-PVT + NAV-COV), no RTKLIB post-processing -- see inslib_convert_ubx_to_csv.py
2020418107,38.6334421000,-0.2668734000,861.7560,0.000324,0,0,0.000324,0,0.000961,-0.0050,0.0040,0.0120,0.009216,0,0,0.009216,0,0.009216,1
2020618468,38.6334421000,-0.2668733000,861.7520,0.000324,0,0,0.000324,0,0.000961,0.0100,0.0100,0.0350,0.011025,0,0,0.011025,0,0.011025,1
2020817585,38.6334421000,-0.2668733000,861.7530,0.000324,0,0,0.000324,0,0.000961,-0.0030,-0.0030,-0.0100,0.007056,0,0,0.007056,0,0.007056,1
2021017946,38.6334421000,-0.2668734000,861.7550,0.000324,0,0,0.000324,0,0.000961,-0.0240,-0.0260,0.0520,0.010404,0,0,0.010404,0,0.010404,1
2021218307,38.6334421000,-0.2668734000,861.7520,0.000324,0,0,0.000324,0,0.000961,0.0150,0.0090,-0.0170,0.008836,0,0,0.008836,0,0.008836,1
2021418669,38.6334421000,-0.2668733000,861.7550,0.000324,0,0,0.000324,0,0.000961,-0.0320,-0.0040,0.0550,0.011236,0,0,0.011236,0,0.011236,1
2021620274,38.6334420000,-0.2668734000,861.7510,0.000324,0,0,0.000324,0,0.000961,-0.0060,-0.0040,0.0150,0.010201,0,0,0.010201,0,0.010201,1
2021819391,38.6334421000,-0.2668733000,861.7520,0.000324,0,0,0.000324,0,0.000961,0.0080,0.0160,0.0180,0.007225,0,0,0.007225,0,0.007225,1
2022019753,38.6334421000,-0.2668733000,861.7500,0.000324,0,0,0.000324,0,0.000961,0.0010,-0.0040,0.0170,0.009216,0,0,0.009216,0,0.009216,1
2022220114,38.6334421000,-0.2668733000,861.7530,0.000324,0,0,0.000324,0,0.000961,-0.0070,0.0050,0.0240,0.010609,0,0,0.010609,0,0.010609,1
2022419231,38.6334421000,-0.2668733000,861.7530,0.000361,0,0,0.000361,0,0.000961,-0.0090,-0.0020,0.0080,0.007056,0,0,0.007056,0,0.007056,1
2022618348,38.6334421000,-0.2668733000,861.7560,0.000361,0,0,0.000361,0,0.000961,0.0210,0.0060,-0.0090,0.005184,0,0,0.005184,0,0.005184,1
2022818709,38.6334421000,-0.2668733000,861.7550,0.000361,0,0,0.000361,0,0.000961,0.0260,-0.0050,-0.0160,0.005776,0,0,0.005776,0,0.005776,1
2023024048,38.6334421000,-0.2668733000,861.7530,0.000361,0,0,0.000361,0,0.000961,-0.0020,-0.0060,0.0540,0.011881,0,0,0.011881,0,0.011881,1
2023218187,38.6334421000,-0.2668733000,861.7510,0.000361,0,0,0.000361,0,0.000961,-0.0150,0.0030,0.0170,0.008464,0,0,0.008464,0,0.008464,1
2023418549,38.6334421000,-0.2668734000,861.7530,0.000361,0,0,0.000361,0,0.000961,0.0040,-0.0100,-0.0030,0.002704,0,0,0.002704,0,0.002704,1
2023618910,38.6334421000,-0.2668734000,861.7520,0.000361,0,0,0.000361,0,0.000961,-0.0100,0.0040,0.0150,0.009025,0,0,0.009025,0,0.009025,1
