# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
2020329002,-4.44315,35.3698,11.7948
2020429002,-4.10699,35.1505,11.2833
2020529320,-4.37007,35.2528,12.3648
2020629000,-4.50161,35.3405,11.4148
2020728999,-4.23853,35.0628,12.6717
2020829236,-4.16545,35.0336,12.1894
2020929002,-4.2093,35.3844,12.014
2021029002,-3.9316,35.3844,12.1748
2021129195,-3.97545,35.3844,12.701
2021229000,-3.87314,35.5744,12.7156
2021329001,-4.18006,35.4867,12.6863
2021429128,-4.15083,35.8959,13.5925
2021529001,-4.18006,35.8229,11.5317
2021629003,-4.15083,35.5013,13.081
2021729263,-4.29699,35.2967,12.6863
2021828999,-4.32622,35.8229,12.6863
2021929402,-4.38468,35.6036,12.0579
2022029003,-4.1216,35.1359,12.9348
2022129000,-4.04852,34.8875,12.4963
2022229321,-4.28237,35.1505,12.2771
2022329000,-3.99006,35.9106,12.4671
2022429002,-4.18006,35.589,11.8533
2022529240,-4.18006,34.8582,12.2186
2022629001,-4.26776,35.4867,12.321
2022729001,-4.3116,35.1213,12.3356
2022829160,-4.06314,35.3844,12.4233
2022929002,-4.63315,35.6329,12.6133
2023029000,-4.23853,35.7059,12.3794
2023129079,-4.34084,35.0482,12.7887
2023229001,-4.50161,35.1798,12.6425
2023329444,-4.18006,35.4721,12.2479
2023429002,-4.2093,35.6475,12.2333
2023529002,-3.44928,35.5305,12.5987
2023629407,-3.9316,35.2821,12.2771
2023729001,-4.2093,35.7352,12.8033
2023829000,-3.56621,35.5452,12.0725
2023929283,-3.69775,35.3698,11.9117
2024029002,-3.68313,35.5452,12.1748
2024129001,-4.06314,35.2821,12.774
2024229201,-4.03391,35.6621,12.7594
2024328999,-3.69775,35.4867,13.081
2024429002,-4.10699,35.2967,12.4525
2024529121,-4.7793,35.5452,13.081
2024629002,-4.09237,35.3698,12.774
2024729002,-4.22391,36.0275,12.3356
2024829041,-4.1216,35.1798,12.1017
2024929001,-4.15083,35.5598,12.8033
2025029402,-4.19468,35.5159,12.584
2025129000,-4.70623,35.5305,11.5317
2025229002,-4.03391,35.3259,12.2917
2025329324,-3.90237,35.2675,12.8033
2025429002,-3.78544,35.7498,12.6571
2025529000,-3.66852,35.5744,13.081
2025629241,-4.01929,35.9398,12.8325
2025728999,-4.06314,35.5744,12.5548
2025828999,-4.10699,35.2236,12.1017
2025929164,-3.59544,35.5452,11.824
2026029000,-3.87314,35.2675,12.511
2026129002,-4.07775,35.6767,12.4817
2026229084,-4.03391,36.1152,12.9494
2026329000,-4.2093,35.3552,12.1456
2026431550,-3.91698,35.399,12.5402
2026531111,-3.99006,35.1798,13.0664
2026631196,-3.82929,35.3405,12.7448
2026731000,-3.81467,35.7059,13.081
2026831413,-3.47851,35.6182,13.2564
2026930999,-4.28237,35.7498,13.3148
2027031001,-3.81467,35.7644,12.9202
2027131333,-3.96083,35.4282,12.5987
2027231001,-4.18006,35.3698,12.9494
2027330999,-3.94621,35.2382,12.7448
2027431326,-4.04852,35.3259,12.8033
2027531002,-4.25314,35.2382,12.1456
2027631001,-4.01929,35.6182,12.6133
2027731173,-4.45776,35.2675,12.6571
2027831000,-3.69775,35.2528,11.8533
2027931001,-4.25314,35.6621,12.8764
2028031090,-4.22391,35.0044,12.511
2028131000,-3.72698,35.6182,12.9787
2028231452,-3.97545,35.1067,12.321
2028331011,-3.30313,35.2675,12.5256
2028431003,-3.80006,35.0482,13.0225
2028531371,-3.39082,35.1067,12.6717
2028631000,-4.09237,34.9313,12.5987
2028731000,-3.72698,34.7998,13.1394
2028831295,-3.78544,35.4136,12.8033
2028931002,-3.87314,35.1067,12.8179
2029031001,-3.9316,35.8082,12.3794
2029131214,-3.7416,35.7644,13.3879
2029231001,-3.9316,35.5013,12.8617
2029331003,-4.00468,35.9398,12.2625
2029431135,-3.80006,35.8521,12.6717
2029531000,-3.66852,35.5013,12.774
2029631005,-4.06314,35.5013,11.9702
2029731097,-4.28237,35.4429,12.7156
2029831000,-3.69775,35.6329,11.7509
2029931416,-4.06314,35.399,12.774
2030031002,-4.04852,35.6621,13.0225
2030131002,-3.77083,35.4867,12.7448
2030231296,-3.72698,34.9898,12.8325
2030331001,-3.68313,35.4867,12.8471
2030431001,-3.33236,35.1652,12.8179
2030531211,-2.5285,34.6828,12.584
2030631001,0.073078,33.6597,12.4817
2030731001,1.85618,32.4905,11.6194
2030831134,2.29465,31.4382,11.2833
2030931001,3.04005,29.5966,12.7448
2031031002,3.81467,27.0243,12.5987
2031131052,3.39082,23.2973,14.031
2031231001,2.36773,19.5118,15.4487
2031331458,1.00848,17.2318,16.2233
2031431002,1.44695,16.3256,14.8933
2031531003,1.92926,16.2818,15.4195
2031631336,1.33002,16.4133,15.741
2031731000,1.4031,17.4949,15.6679
2031831000,1.06694,18.0795,15.8726
2031931253,-0.59924,18.5034,16.4864
2032031000,-0.321543,19.4534,16.7787
2032131000,-0.745396,19.7018,16.3841
2032231177,-2.67466,20.0234,17.1003
2032331000,-5.51008,21.6896,18.1087
2032431003,-7.87781,23.7796,18.7664
2032531318,-10.6402,26.3666,18.5326
2032631002,-10.7132,28.9389,17.0856
2032731001,-12.6571,32.9728,16.2964
2032831020,-14.1625,35.779,14.6302
2032931000,-14.9372,38.9944,12.774
2033031379,-16.4426,42.2245,10.4794
2033131000,-17.2464,43.6568,9.09091
2033231001,-17.4364,45.7615,7.29319
2033331298,-17.5387,46.4046,5.56855
2033431002,-19.1318,47.15,5.15931
2033531001,-20.7688,47.8807,3.99006
2033631218,-21.2072,48.7431,3.40544
2033731001,-20.9734,48.9769,3.52236
2033831002,-18.2257,48.8307,4.34084
2033931142,-14.8641,47.9538,4.64776
2034031000,-12.014,46.9892,5.29085
2034131002,-10.6548,45.703,6.32856
2034231061,-8.30167,43.7007,7.76089
2034330999,-6.22625,40.7191,9.32476
2034431421,-4.25314,38.2052,10.6986
2034531022,-3.08389,35.1067,12.5256
2034631000,-3.06928,33.8059,13.6217
2034731339,-3.15697,32.1397,14.791
2034831002,-3.71236,31.7451,15.171
2034931002,-5.14469,32.052,14.8641
2035031260,-5.55393,32.7682,15.0395
2035131000,-5.13008,33.192,14.8348
2035231002,-5.89009,32.8851,14.7179
2035331180,-6.09471,33.2505,14.7471
2035431001,-5.56855,32.1251,14.7033
2035531002,-5.36393,32.3297,15.2587
2035631102,-3.88775,32.4028,14.8933
2035730999,-3.61006,32.0228,14.411
2035831001,-5.01315,31.862,15.2733
2035931024,-7.76089,30.9266,16.2964
2036031001,-9.69015,30.6489,17.0564
2036131427,-11.7802,30.6928,17.261
2036231000,-11.6779,31.1312,17.2903
2036331000,-10.1725,31.8182,15.9164
2036431304,-8.03858,32.4028,16.1502
2036531001,-7.8632,31.2774,16.2672
2036631000,-7.92166,30.722,16.3987
2036731223,-7.41011,29.962,15.9164
2036831003,-6.59164,29.4066,16.3549
2036931002,-5.58316,29.2897,16.3841
2037031148,-4.54545,29.4358,15.4633
2037131000,-2.49927,30.1082,15.3318
2037231000,-0.160772,31.1605,13.2564
2037333175,0,31.4089,12.9348
2037433201,0.555393,32.1251,12.4379
2037533000,-0.073078,31.8036,12.4087
2037633000,-0.438468,31.7013,12.2333
2037733032,0.190003,31.5989,12.6717
2037833000,1.05232,32.0374,12.3794
2037933397,0.789243,32.1105,12.3063
2038033000,0,31.8913,12.8617
2038133002,-1.14002,31.3505,13.2856
2038233317,0.204619,31.3943,13.1248
2038333025,-1.08156,32.052,12.8033
2038433001,-2.23619,31.8766,13.5487
2038533390,-3.94621,32.2713,13.9725
2038633001,-6.09471,32.2274,15.1856
2038733002,-7.60012,32.7536,14.7471
2038833286,-6.7378,33.2213,14.601
2038933001,-7.14703,33.5428,14.5571
2039033002,-7.67319,33.5428,14.7618
2039133080,-8.09705,32.812,15.4487
2039233100,-7.61473,32.2128,15.6679
2039333001,-6.67933,32.5051,15.2587
2039433002,-6.00702,32.7828,14.2941
2039533000,-6.44548,32.9144,14.6448
2039633360,-7.52704,33.1482,14.2941
2039733000,-7.26396,32.6513,14.9079
2039833002,-6.57702,31.8913,14.8056
2039933279,-5.64163,31.8328,14.7471
2040033001,-6.62087,31.9936,14.7325
2040133001,-7.71704,32.3297,14.4402
2040233203,-7.17626,32.1543,14.0748
2040333001,-7.05934,31.7305,14.5133
2040433001,-6.34317,32.1543,14.7618
2040533125,-5.32008,32.0082,13.9579
2040633002,-6.67933,32.2859,14.9518
2040733000,-7.96551,32.1982,14.6156
2040833045,-8.84244,31.7597,15.0541
2040933001,-8.76937,31.672,15.0102
2041033406,-7.79012,32.359,14.3087
2041133002,-8.65244,32.8851,15.0833
2041233100,-8.9886,32.7243,14.4402
2041333329,-9.85092,33.2505,14.9372
2041433000,-9.2663,33.4551,14.5864
2041533000,-7.48319,33.4844,14.1625
2041633245,-6.95703,34.0105,13.8118
2041733000,-7.55627,34.4051,13.9579
2041833002,-8.5209,33.4697,14.601
2041933170,-8.15551,33.002,14.601
2042033000,-8.53552,33.5282,14.4402
2042133001,-7.43935,34.0105,14.4256
2042233132,-8.40398,34.6975,13.9871
2042332999,-8.76937,34.4636,13.6217
2042433007,-9.01783,34.1859,14.7618
2042533008,-8.19936,33.6744,15.0541
2042632999,-6.66472,34.5513,13.8556
2042733373,-5.90471,34.7998,13.9871
2042833000,-5.89009,34.9752,13.4317
2042933002,-6.47471,34.4782,13.5487
2043033292,-7.33704,34.829,14.221
2043133002,-6.6501,34.0544,14.2795
2043233100,-5.15931,33.9228,14.0602
2043333435,-5.77317,33.8498,14.4841
2043433001,-6.08009,33.2944,14.3525
2043533001,-6.40164,33.3967,14.5864
2043633135,-6.2701,33.0313,14.4841
2043733001,-6.03625,32.3736,15.2148
2043833000,-4.91084,32.622,14.3818
2043933056,-5.01315,32.9144,14.0018
2044033003,-5.5247,33.1336,14.3087
2044133419,-5.9924,32.549,14.5425
2044233099,-5.96317,32.8851,14.2795
2044333000,-5.20316,33.2213,13.8702
2044433339,-4.80854,33.1482,13.3879
2044533001,-5.64163,33.192,14.411
2044633001,-6.37241,33.0751,14.9079
2044733257,-7.00088,32.1982,15.2148
2044833001,-6.00702,32.359,15.0833
2044933001,-4.79392,32.812,14.0018
2045033181,-4.69161,33.3674,13.6948
2045133002,-5.247,34.0836,13.1833
2045233104,-5.55393,34.6682,13.4902
2045333102,-6.69395,35.5013,13.6656
2045433000,-5.48085,35.399,13.2125
2045533001,-4.61853,35.7352,11.6633
2045633022,-4.63315,35.5305,12.511
2045733000,-4.42853,35.1944,11.4879
2045833385,-4.83777,34.7851,12.3794
2045933001,-3.50775,34.1128,13.6217
2046033752,-2.04619,32.4613,12.9056
2046133307,-0.701549,31.4382,12.9348
2046233099,0.0584624,29.5381,13.081
2046333000,-0.657702,27.4335,14.0164
2046433450,-1.19848,25.8112,14.981
2046533001,-2.29465,25.1681,15.7995
