# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# ArduPilot EKF3 (Tools/Replay) -- a second estimate, not a ground truth
2020334726,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020375794,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020416862,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020457930,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020508954,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020559977,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020611001,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020662025,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020713048,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020764072,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020815096,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020856164,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020907187,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020958211,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021009235,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021060258,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021111282,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021162306,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021213329,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021254397,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021305421,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021356445,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021407468,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021458492,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021509516,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021560539,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021611563,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021652631,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021703655,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021754678,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021805702,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021856726,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021907749,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021958773,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2022009797,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2022050865,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2022101888,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2022152912,38.633442100,-0.266873400,861.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
