# t_us, static pressure [Pa]
0,101204.9262
100000,101202.9049
200000,101200.8820
300000,101198.8581
400000,101196.8338
500000,101194.8095
600000,101192.7860
700000,101190.7637
800000,101188.7432
900000,101186.7251
1000000,101184.7100
1100000,101182.6983
1200000,101180.6908
1300000,101178.6880
1400000,101176.6904
1500000,101174.6986
1600000,101172.7132
1700000,101170.7348
1800000,101168.7638
1900000,101166.8010
2000000,101164.8468
2100000,101162.9018
2200000,101160.9667
2300000,101159.0419
2400000,101157.1280
2500000,101155.2257
2600000,101153.3354
2700000,101151.4578
2800000,101149.5933
2900000,101147.7427
3000000,101145.9064
3100000,101144.0851
3200000,101142.2792
3300000,101140.4894
3400000,101138.7162
3500000,101136.9602
3600000,101135.2220
3700000,101133.5022
3800000,101131.8012
3900000,101130.1197
4000000,101128.4582
4100000,101126.8174
4200000,101125.1978
4300000,101123.5999
4400000,101122.0243
4500000,101120.4716
4600000,101118.9423
4700000,101117.4371
4800000,101115.9565
4900000,101114.5011
5000000,101113.0714
5100000,101111.6680
5200000,101110.2914
5300000,101108.9423
5400000,101107.6212
5500000,101106.3287
5600000,101105.0653
5700000,101103.8317
5800000,101102.6283
5900000,101101.4558
6000000,101100.3147
6100000,101099.2056
6200000,101098.1291
6300000,101097.0857
6400000,101096.0760
6500000,101095.1005
6600000,101094.1599
6700000,101093.2547
6800000,101092.3854
6900000,101091.5527
7000000,101090.7572
7100000,101089.9993
7200000,101089.2796
7300000,101088.5988
7400000,101087.9573
7500000,101087.3558
7600000,101086.7948
7700000,101086.2749
7800000,101085.7967
7900000,101085.3607
8000000,101084.9676
8100000,101084.5972
8200000,101084.2292
8300000,101083.8636
8400000,101083.5005
8500000,101083.1398
8600000,101082.7815
8700000,101082.4258
8800000,101082.0725
8900000,101081.7217
9000000,101081.3734
9100000,101081.0276
9200000,101080.6843
9300000,101080.3436
9400000,101080.0054
9500000,101079.6698
9600000,101079.3367
9700000,101079.0062
9800000,101078.6783
9900000,101078.3531
10000000,101078.0304
10100000,101077.7104
10200000,101077.3930
10300000,101077.0783
10400000,101076.7662
10500000,101076.4568
10600000,101076.1501
10700000,101075.8461
10800000,101075.5448
10900000,101075.2462
11000000,101074.9504
11100000,101074.6573
11200000,101074.3670
11300000,101074.0794
11400000,101073.7946
11500000,101073.5127
11600000,101073.2335
11700000,101072.9571
11800000,101072.6836
11900000,101072.4129
12000000,101072.1450
12100000,101071.8800
12200000,101071.6179
12300000,101071.3587
12400000,101071.1024
12500000,101070.8490
12600000,101070.5985
12700000,101070.3509
12800000,101070.1063
12900000,101069.8646
13000000,101069.6259
13100000,101069.3902
13200000,101069.1575
13300000,101068.9278
13400000,101068.7011
13500000,101068.4774
13600000,101068.2567
13700000,101068.0391
13800000,101067.8246
13900000,101067.6132
14000000,101067.4048
14100000,101067.1995
14200000,101066.9973
14300000,101066.7983
14400000,101066.6024
14500000,101066.4096
14600000,101066.2200
14700000,101066.0335
14800000,101065.8503
14900000,101065.6702
15000000,101065.4933
15100000,101065.3196
15200000,101065.1492
15300000,101064.9820
15400000,101064.8180
15500000,101064.6573
15600000,101064.4999
15700000,101064.3458
15800000,101064.1949
15900000,101064.0474
16000000,101063.9032
16100000,101063.7623
16200000,101063.6247
16300000,101063.4905
16400000,101063.3597
16500000,101063.2323
16600000,101063.1082
16700000,101062.9875
16800000,101062.8703
16900000,101062.7564
17000000,101062.6460
17100000,101062.5391
17200000,101062.4356
17300000,101062.3356
17400000,101062.2391
17500000,101062.1460
17600000,101062.0565
17700000,101061.9705
17800000,101061.8880
17900000,101061.8090
18000000,101061.7336
18100000,101061.6618
18200000,101061.5935
18300000,101061.5289
18400000,101061.4678
18500000,101061.4103
18600000,101061.3565
18700000,101061.3063
18800000,101061.2597
18900000,101061.2168
19000000,101061.1776
19100000,101061.1421
19200000,101061.1102
19300000,101061.0820
19400000,101061.0576
19500000,101061.0369
19600000,101061.0199
19700000,101061.0067
19800000,101060.9972
19900000,101060.9916
20000000,101060.9897
20100000,101060.9897
20200000,101060.9897
20300000,101060.9897
20400000,101060.9897
20500000,101060.9897
20600000,101060.9897
20700000,101060.9897
20800000,101060.9897
20900000,101060.9897
21000000,101060.9897
21100000,101060.9897
21200000,101060.9897
21300000,101060.9897
21400000,101060.9897
21500000,101060.9897
21600000,101060.9897
21700000,101060.9897
21800000,101060.9897
21900000,101060.9897
22000000,101060.9897
22100000,101060.9897
22200000,101060.9897
22300000,101060.9897
22400000,101060.9897
22500000,101060.9897
22600000,101060.9897
22700000,101060.9897
22800000,101060.9897
22900000,101060.9897
23000000,101060.9897
23100000,101060.9897
23200000,101060.9897
23300000,101060.9897
23400000,101060.9897
23500000,101060.9897
23600000,101060.9897
23700000,101060.9897
23800000,101060.9897
23900000,101060.9897
24000000,101060.9897
24100000,101060.9897
24200000,101060.9897
24300000,101060.9897
24400000,101060.9897
24500000,101060.9897
24600000,101060.9897
24700000,101060.9897
24800000,101060.9897
24900000,101060.9897
25000000,101060.9897
25100000,101060.9897
25200000,101060.9897
25300000,101060.9897
25400000,101060.9897
25500000,101060.9897
25600000,101060.9897
25700000,101060.9897
25800000,101060.9897
25900000,101060.9897
26000000,101060.9897
26100000,101060.9897
26200000,101060.9897
26300000,101060.9897
26400000,101060.9897
26500000,101060.9897
26600000,101060.9897
26700000,101060.9897
26800000,101060.9897
26900000,101060.9897
27000000,101060.9897
27100000,101060.9897
27200000,101060.9897
27300000,101060.9897
27400000,101060.9897
27500000,101060.9897
27600000,101060.9897
27700000,101060.9897
27800000,101060.9897
27900000,101060.9897
28000000,101060.9897
28100000,101060.9897
28200000,101060.9897
28300000,101060.9897
28400000,101060.9897
28500000,101060.9897
28600000,101060.9897
28700000,101060.9897
28800000,101060.9897
28900000,101060.9897
29000000,101060.9897
29100000,101060.9897
29200000,101060.9897
29300000,101060.9897
29400000,101060.9897
29500000,101060.9897
29600000,101060.9897
29700000,101060.9897
29800000,101060.9897
29900000,101060.9897
30000000,101060.9897
30100000,101060.9897
30200000,101060.9897
30300000,101060.9897
30400000,101060.9897
30500000,101060.9897
30600000,101060.9897
30700000,101060.9897
30800000,101060.9897
30900000,101060.9897
31000000,101060.9897
31100000,101060.9897
31200000,101060.9897
31300000,101060.9897
31400000,101060.9897
31500000,101060.9897
31600000,101060.9897
31700000,101060.9897
31800000,101060.9897
31900000,101060.9897
32000000,101060.9897
32100000,101060.9930
32200000,101061.0029
32300000,101061.0193
32400000,101061.0421
32500000,101061.0712
32600000,101061.1065
32700000,101061.1481
32800000,101061.1957
32900000,101061.2493
33000000,101061.3088
33100000,101061.3741
33200000,101061.4452
33300000,101061.5219
33400000,101061.6043
33500000,101061.6921
33600000,101061.7853
33700000,101061.8839
33800000,101061.9877
33900000,101062.0966
34000000,101062.2107
34100000,101062.3297
34200000,101062.4536
34300000,101062.5824
34400000,101062.7159
34500000,101062.8541
34600000,101062.9969
34700000,101063.1441
34800000,101063.2958
34900000,101063.4518
35000000,101063.6120
35100000,101063.7764
35200000,101063.9449
35300000,101064.1174
35400000,101064.2938
35500000,101064.4740
35600000,101064.6580
35700000,101064.8456
35800000,101065.0368
35900000,101065.2315
36000000,101065.4297
36100000,101065.6311
36200000,101065.8358
36300000,101066.0437
36400000,101066.2546
36500000,101066.4686
36600000,101066.6854
36700000,101066.9051
36800000,101067.1276
36900000,101067.3527
37000000,101067.5804
37100000,101067.8105
37200000,101068.0431
37300000,101068.2781
37400000,101068.5152
37500000,101068.7546
37600000,101068.9960
37700000,101069.2394
37800000,101069.4848
37900000,101069.7319
38000000,101069.9808
38100000,101070.2314
38200000,101070.4836
38300000,101070.7372
38400000,101070.9923
38500000,101071.2487
38600000,101071.5064
38700000,101071.7652
38800000,101072.0251
38900000,101072.2861
39000000,101072.5479
39100000,101072.8105
39200000,101073.0740
39300000,101073.3380
39400000,101073.6027
39500000,101073.8678
39600000,101074.1334
39700000,101074.3993
39800000,101074.6655
39900000,101074.9318
40000000,101075.1982
40100000,101075.4646
40200000,101075.7310
40300000,101075.9971
40400000,101076.2631
40500000,101076.5286
40600000,101076.7938
40700000,101077.0585
40800000,101077.3226
40900000,101077.5860
41000000,101077.8486
41100000,101078.1105
41200000,101078.3714
41300000,101078.6313
41400000,101078.8902
41500000,101079.1479
41600000,101079.4043
41700000,101079.6594
41800000,101079.9131
41900000,101080.1652
42000000,101080.4158
42100000,101080.6648
42200000,101080.9120
42300000,101081.1573
42400000,101081.4008
42500000,101081.6422
42600000,101081.8816
42700000,101082.1188
42800000,101082.3537
42900000,101082.5864
43000000,101082.8166
43100000,101083.0443
43200000,101083.2694
43300000,101083.4919
43400000,101083.7116
43500000,101083.9285
43600000,101084.1425
43700000,101084.3534
43800000,101084.5613
43900000,101084.7661
44000000,101084.9676
44100000,101085.1661
44200000,101085.3621
44300000,101085.5557
44400000,101085.7468
44500000,101085.9356
44600000,101086.1221
44700000,101086.3064
44800000,101086.4886
44900000,101086.6686
45000000,101086.8467
45100000,101087.0228
45200000,101087.1970
45300000,101087.3695
45400000,101087.5401
45500000,101087.7091
45600000,101087.8764
45700000,101088.0422
45800000,101088.2065
45900000,101088.3693
46000000,101088.5308
46100000,101088.6910
46200000,101088.8499
46300000,101089.0077
46400000,101089.1644
46500000,101089.3200
46600000,101089.4746
46700000,101089.6284
46800000,101089.7813
46900000,101089.9334
47000000,101090.0848
47100000,101090.2356
47200000,101090.3857
47300000,101090.5354
47400000,101090.6846
47500000,101090.8334
47600000,101090.9819
47700000,101091.1301
47800000,101091.2781
47900000,101091.4260
48000000,101091.5738
48100000,101091.7217
48200000,101091.8696
48300000,101092.0176
48400000,101092.1658
48500000,101092.3143
48600000,101092.4631
48700000,101092.6123
48800000,101092.7619
48900000,101092.9121
49000000,101093.0629
49100000,101093.2143
49200000,101093.3664
49300000,101093.5193
49400000,101093.6731
49500000,101093.8277
49600000,101093.9834
49700000,101094.1400
49800000,101094.2978
49900000,101094.4568
50000000,101094.6170
50100000,101094.7785
50200000,101094.9413
50300000,101095.1056
50400000,101095.2714
50500000,101095.4387
50600000,101095.6077
50700000,101095.7784
50800000,101095.9508
50900000,101096.1250
51000000,101096.3011
51100000,101096.4792
51200000,101096.6593
51300000,101096.8415
51400000,101097.0258
51500000,101097.2123
51600000,101097.4012
51700000,101097.5923
51800000,101097.7859
51900000,101097.9819
52000000,101098.1805
52100000,101098.3816
52200000,101098.5855
52300000,101098.7920
52400000,101099.0014
52500000,101099.2136
52600000,101099.4288
52700000,101099.6469
52800000,101099.8681
52900000,101100.0924
53000000,101100.3199
53100000,101100.5507
53200000,101100.7848
53300000,101101.0223
53400000,101101.2632
53500000,101101.5076
53600000,101101.7556
53700000,101102.0072
53800000,101102.2626
53900000,101102.5217
54000000,101102.7847
54100000,101103.0515
54200000,101103.3224
54300000,101103.5972
54400000,101103.8762
54500000,101104.1593
54600000,101104.4467
54700000,101104.7383
54800000,101105.0343
54900000,101105.3348
55000000,101105.6397
55100000,101105.9492
55200000,101106.2633
55300000,101106.5820
55400000,101106.9056
55500000,101107.2339
55600000,101107.5671
55700000,101107.9053
55800000,101108.2484
55900000,101108.5967
56000000,101108.9501
56100000,101109.3206
56200000,101109.7199
56300000,101110.1476
56400000,101110.6034
56500000,101111.0868
56600000,101111.5976
56700000,101112.1353
56800000,101112.6995
56900000,101113.2900
57000000,101113.9062
57100000,101114.5479
57200000,101115.2147
57300000,101115.9061
57400000,101116.6219
57500000,101117.3616
57600000,101118.1249
57700000,101118.9114
57800000,101119.7207
57900000,101120.5525
58000000,101121.4063
58100000,101122.2819
58200000,101123.1787
58300000,101124.0966
58400000,101125.0350
58500000,101125.9937
58600000,101126.9722
58700000,101127.9701
58800000,101128.9872
58900000,101130.0230
59000000,101131.0771
59100000,101132.1492
59200000,101133.2389
59300000,101134.3458
59400000,101135.4696
59500000,101136.6098
59600000,101137.7662
59700000,101138.9383
59800000,101140.1258
59900000,101141.3282
60000000,101142.5453
60100000,101143.7766
60200000,101145.0218
60300000,101146.2805
60400000,101147.5523
60500000,101148.8368
60600000,101150.1337
60700000,101151.4427
60800000,101152.7632
60900000,101154.0950
61000000,101155.4377
61100000,101156.7909
61200000,101158.1542
61300000,101159.5273
61400000,101160.9098
61500000,101162.3013
61600000,101163.7014
61700000,101165.1098
61800000,101166.5261
61900000,101167.9500
62000000,101169.3809
62100000,101170.8187
62200000,101172.2628
62300000,101173.7129
62400000,101175.1688
62500000,101176.6298
62600000,101178.0958
62700000,101179.5664
62800000,101181.0411
62900000,101182.5195
63000000,101184.0014
63100000,101185.4863
63200000,101186.9739
63300000,101188.4638
63400000,101189.9555
63500000,101191.4489
63600000,101192.9433
63700000,101194.4386
63800000,101195.9343
63900000,101197.4301
64000000,101198.9255
