# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
0,51.0000000000,0.0000000000,10.0000,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.7149,-0.2160,-1.6833,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
500000,51.0000034019,-0.0000015088,10.8430,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.7986,-0.2062,-1.6866,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
1000000,51.0000071750,-0.0000029182,11.6846,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.8800,-0.1882,-1.6779,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
1500000,51.0000113074,-0.0000041714,12.5189,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.9584,-0.1625,-1.6574,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
2000000,51.0000157841,-0.0000052184,13.3400,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.0331,-0.1305,-1.6250,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
2500000,51.0000205875,-0.0000060182,14.1420,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.1037,-0.0934,-1.5808,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
3000000,51.0000256983,-0.0000065407,14.9188,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.1699,-0.0529,-1.5246,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
3500000,51.0000310964,-0.0000067686,15.6646,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.2315,-0.0110,-1.4566,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
4000000,51.0000367616,-0.0000066983,16.3734,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.2888,0.0304,-1.3767,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
4500000,51.0000426750,-0.0000063412,17.0393,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.3420,0.0692,-1.2849,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
5000000,51.0000488196,-0.0000057239,17.6563,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.3918,0.1031,-1.1813,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
5500000,51.0000551809,-0.0000048885,18.2186,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.4385,0.1301,-1.0657,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
6000000,51.0000617470,-0.0000038931,18.7201,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.4830,0.1478,-0.9383,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
6500000,51.0000685085,-0.0000028107,19.1549,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.5256,0.1541,-0.7990,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
7000000,51.0000754578,-0.0000017299,19.5172,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.5666,0.1470,-0.6479,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
7500000,51.0000825875,-0.0000007539,19.8008,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.6058,0.1243,-0.4848,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
8000000,51.0000898887,0.0000000000,20.0000,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.6427,0.0843,-0.3099,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
8500000,51.0000975637,0.0000004326,20.1525,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.7712,0.0358,-0.2998,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
9000000,51.0001057970,0.0000004944,20.2998,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.8911,-0.0194,-0.2895,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
9500000,51.0001145499,0.0000001447,20.4419,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.0024,-0.0793,-0.2789,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
10000000,51.0001237831,-0.0000006409,20.5786,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.1049,-0.1414,-0.2680,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
10500000,51.0001334582,-0.0000018684,20.7099,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.1990,-0.2030,-0.2569,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
11000000,51.0001435382,-0.0000035247,20.8355,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.2852,-0.2614,-0.2456,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
11500000,51.0001539889,-0.0000055776,20.9554,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.3641,-0.3139,-0.2340,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
12000000,51.0001647794,-0.0000079756,21.0695,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.4365,-0.3578,-0.2222,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
12500000,51.0001758818,-0.0000106490,21.1776,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.5031,-0.3908,-0.2102,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
13000000,51.0001872719,-0.0000135104,21.2796,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.5646,-0.4103,-0.1979,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
13500000,51.0001989279,-0.0000164562,21.3754,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.6215,-0.4141,-0.1853,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
14000000,51.0002108298,-0.0000193683,21.4649,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.6740,-0.4005,-0.1725,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
14500000,51.0002229575,-0.0000221156,21.5479,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.7220,-0.3676,-0.1595,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
15000000,51.0002352893,-0.0000245565,21.6244,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.7647,-0.3142,-0.1462,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
15500000,51.0002477996,-0.0000265410,21.6941,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.8011,-0.2394,-0.1327,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
16000000,51.0002604566,-0.0000279141,21.7570,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.8296,-0.1425,-0.1189,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
16500000,51.0002732197,-0.0000285192,21.8130,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.8480,-0.0238,-0.1049,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
17000000,51.0002860378,-0.0000282022,21.8619,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.8536,0.1162,-0.0907,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
17500000,51.0002988470,-0.0000268165,21.9036,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.8435,0.2760,-0.0762,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
18000000,51.0003115696,-0.0000242289,21.9380,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.8145,0.4533,-0.0614,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
18500000,51.0003241135,-0.0000203250,21.9650,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.7635,0.6450,-0.0464,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
19000000,51.0003363726,-0.0000150166,21.9844,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.6874,0.8469,-0.0312,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
19500000,51.0003482289,-0.0000082476,21.9962,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.5838,1.0542,-0.0157,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
20000000,51.0003595549,0.0000000000,22.0001,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.4512,1.2610,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
20500000,51.0003704167,0.0000098726,22.0001,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.3770,1.5108,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
21000000,51.0003808746,0.0000215117,22.0001,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.2715,1.7563,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
21500000,51.0003907892,0.0000348714,22.0001,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.1354,1.9931,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
22000000,51.0004000257,0.0000498739,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.9700,2.2169,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
22500000,51.0004084569,0.0000664111,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.7774,2.4234,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
23000000,51.0004159661,0.0000843467,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.5603,2.6089,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
23500000,51.0004224499,0.0001035192,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.3217,2.7702,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
24000000,51.0004278203,0.0001237458,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.0655,2.9045,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
24500000,51.0004320067,0.0001448266,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.7955,3.0097,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
25000000,51.0004349571,0.0001665489,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.5161,3.0845,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
25500000,51.0004366386,0.0001886926,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.2317,3.1280,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
26000000,51.0004370384,0.0002110347,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0535,3.1402,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
26500000,51.0004361627,0.0002333542,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.3352,3.1218,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
27000000,51.0004340364,0.0002554366,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.6094,3.0739,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
27500000,51.0004307019,0.0002770781,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.8723,2.9983,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
28000000,51.0004262174,0.0002980893,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.1206,2.8973,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
28500000,51.0004206551,0.0003182982,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.3515,2.7735,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
29000000,51.0004140991,0.0003375526,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.5624,2.6299,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
29500000,51.0004066433,0.0003557225,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.7516,2.4695,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
30000000,51.0003983891,0.0003727003,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.9175,2.2957,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
30500000,51.0003894431,0.0003884024,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.0593,2.1119,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
31000000,51.0003799150,0.0004027685,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.1765,1.9212,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
31500000,51.0003699154,0.0004157615,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.2692,1.7268,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
32000000,51.0003595541,0.0004273664,22.0002,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.3376,1.5319,0.0000,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
32500000,51.0003489408,0.0004375922,21.9934,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.3827,1.3415,0.0269,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
33000000,51.0003381562,0.0004465060,21.9736,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4143,1.1634,0.0521,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
33500000,51.0003272549,0.0004541942,21.9416,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4352,0.9973,0.0755,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
34000000,51.0003162789,0.0004607393,21.8983,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4479,0.8424,0.0972,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
34500000,51.0003052596,0.0004662190,21.8446,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4548,0.6980,0.1172,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
35000000,51.0002942194,0.0004707049,21.7814,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4575,0.5632,0.1354,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
35500000,51.0002831731,0.0004742622,21.7095,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4577,0.4371,0.1519,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
36000000,51.0002721292,0.0004769494,21.6298,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4566,0.3187,0.1667,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
36500000,51.0002610910,0.0004788182,21.5431,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4553,0.2071,0.1797,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
37000000,51.0002500574,0.0004799140,21.4504,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4547,0.1015,0.1910,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
37500000,51.0002390238,0.0004802757,21.3524,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4555,0.0009,0.2005,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
38000000,51.0002279827,0.0004799365,21.2501,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4581,-0.0955,0.2083,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
38500000,51.0002169243,0.0004789241,21.1444,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4632,-0.1883,0.2144,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
39000000,51.0002058368,0.0004772610,21.0360,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4711,-0.2782,0.2188,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
39500000,51.0001947068,0.0004749655,20.9259,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4822,-0.3660,0.2214,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
40000000,51.0001835199,0.0004720516,20.8149,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4965,-0.4519,0.2222,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
40500000,51.0001722603,0.0004685302,20.7040,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.5145,-0.5366,0.2214,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
41000000,51.0001609114,0.0004644094,20.5939,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.5363,-0.6203,0.2187,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
41500000,51.0001494556,0.0004596949,20.4855,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.5621,-0.7033,0.2144,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
42000000,51.0001378745,0.0004543913,20.3797,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.5921,-0.7858,0.2083,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
42500000,51.0001261486,0.0004485021,20.2774,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.6266,-0.8677,0.2005,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
43000000,51.0001142571,0.0004420311,20.1795,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.6658,-0.9491,0.1910,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
43500000,51.0001021781,0.0004349829,20.0867,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.7101,-1.0298,0.1797,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
44000000,51.0000898880,0.0004273641,20.0001,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.7599,-1.1093,0.1667,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
44500000,51.0000767926,0.0004187687,19.9193,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.0583,-1.3077,0.1565,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
45000000,51.0000624853,0.0004086740,19.8433,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.2981,-1.5317,0.1477,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
45500000,51.0000472460,0.0003968694,19.7714,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.4715,-1.7889,0.1402,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
46000000,51.0000313935,0.0003831010,19.7029,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.5693,-2.0836,0.1341,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
46500000,51.0000152919,0.0003670987,19.6371,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.5805,-2.4156,0.1294,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
47000000,50.9999993561,0.0003486147,19.5733,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.4937,-2.7788,0.1260,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
47500000,50.9999840506,0.0003274710,19.5108,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.2984,-3.1596,0.1240,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
48000000,50.9999698812,0.0003036126,19.4491,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.9873,-3.5369,0.1233,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
48500000,50.9999573740,0.0002771597,19.3873,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.5592,-3.8830,0.1240,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
49000000,50.9999470411,0.0002484496,19.3249,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.0219,-4.1651,0.1260,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
49500000,50.9999393346,0.0002180574,19.2611,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.3947,-4.3499,0.1294,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
50000000,50.9999345923,0.0001867848,19.1953,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.7091,-4.4081,0.1341,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
50500000,50.9999329843,0.0001556105,19.1267,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0078,-4.3201,0.1402,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
51000000,50.9999344718,0.0001256025,19.0548,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.6598,-4.0812,0.1477,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
