# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
0,0.003295772,0.001537615,0.040684252,-0.000054,-0.000019,-9.829817
10000,0.003294404,0.001539380,0.040695892,-0.000054,-0.000019,-9.829342
20000,0.003291641,0.001542908,0.040719091,-0.000054,-0.000020,-9.828866
30000,0.003288823,0.001546436,0.040742128,-0.000054,-0.000020,-9.828390
40000,0.003285951,0.001549961,0.040765003,-0.000054,-0.000020,-9.827914
50000,0.003283025,0.001553485,0.040787716,-0.000054,-0.000020,-9.827439
60000,0.003280045,0.001557006,0.040810266,-0.000054,-0.000020,-9.826963
70000,0.003277011,0.001560525,0.040832654,-0.000054,-0.000020,-9.826487
80000,0.003273922,0.001564042,0.040854879,-0.000054,-0.000020,-9.826011
90000,0.003270780,0.001567556,0.040876942,-0.000054,-0.000020,-9.825536
100000,0.003267583,0.001571067,0.040898842,-0.000054,-0.000020,-9.825060
110000,0.003264333,0.001574576,0.040920579,-0.000054,-0.000020,-9.824584
120000,0.003261029,0.001578081,0.040942154,-0.000054,-0.000020,-9.824109
130000,0.003257670,0.001581584,0.040963565,-0.000054,-0.000020,-9.823633
140000,0.003254258,0.001585082,0.040984813,-0.000054,-0.000021,-9.823157
150000,0.003250793,0.001588578,0.041005898,-0.000054,-0.000021,-9.822682
160000,0.003247273,0.001592069,0.041026820,-0.000054,-0.000021,-9.822206
170000,0.003243700,0.001595557,0.041047578,-0.000054,-0.000021,-9.821730
180000,0.003240073,0.001599041,0.041068173,-0.000054,-0.000021,-9.821255
190000,0.003236392,0.001602520,0.041088604,-0.000054,-0.000021,-9.820779
200000,0.003232658,0.001605996,0.041108872,-0.000054,-0.000021,-9.820303
210000,0.003228870,0.001609466,0.041128975,-0.000054,-0.000021,-9.819828
220000,0.003225029,0.001612932,0.041148915,-0.000054,-0.000021,-9.819352
230000,0.003221134,0.001616393,0.041168691,-0.000053,-0.000021,-9.818876
240000,0.003217186,0.001619849,0.041188303,-0.000053,-0.000021,-9.818401
250000,0.003213185,0.001623300,0.041207751,-0.000053,-0.000022,-9.817925
260000,0.003209130,0.001626746,0.041227034,-0.000053,-0.000022,-9.817449
270000,0.003205022,0.001630186,0.041246153,-0.000053,-0.000022,-9.816974
280000,0.003200860,0.001633620,0.041265108,-0.000053,-0.000022,-9.816498
290000,0.003196646,0.001637049,0.041283898,-0.000053,-0.000022,-9.816022
300000,0.003192379,0.001640471,0.041302523,-0.000053,-0.000022,-9.815547
310000,0.003188058,0.001643888,0.041320984,-0.000053,-0.000022,-9.815071
320000,0.003183684,0.001647298,0.041339280,-0.000053,-0.000022,-9.814595
330000,0.003179258,0.001650701,0.041357411,-0.000053,-0.000022,-9.814120
340000,0.003174778,0.001654098,0.041375377,-0.000053,-0.000022,-9.813644
350000,0.003170246,0.001657488,0.041393179,-0.000053,-0.000022,-9.813168
360000,0.003165661,0.001660871,0.041410815,-0.000053,-0.000022,-9.812693
370000,0.003161023,0.001664247,0.041428285,-0.000053,-0.000023,-9.812217
380000,0.003156333,0.001667616,0.041445591,-0.000053,-0.000023,-9.811742
390000,0.003151590,0.001670977,0.041462731,-0.000053,-0.000023,-9.811266
400000,0.003146964,0.001674011,0.061832433,-0.000053,-0.000023,-9.810790
410000,0.003142629,0.001676398,0.082225055,-0.000053,-0.000023,-9.810315
420000,0.003138414,0.001678459,0.082287625,-0.000053,-0.000023,-9.809839
430000,0.003134149,0.001680514,0.082349540,-0.000053,-0.000023,-9.809363
440000,0.003129835,0.001682563,0.082410801,-0.000053,-0.000023,-9.808888
450000,0.003125472,0.001684607,0.082471406,-0.000052,-0.000023,-9.808412
460000,0.003121059,0.001686644,0.082531356,-0.000052,-0.000023,-9.807937
470000,0.003116598,0.001688676,0.082590649,-0.000052,-0.000023,-9.807461
480000,0.003112087,0.001690701,0.082649286,-0.000052,-0.000023,-9.806985
490000,0.003107526,0.001692720,0.082707266,-0.000052,-0.000023,-9.806510
500000,0.003102917,0.001694733,0.082764588,-0.000052,-0.000023,-9.806034
510000,0.003098259,0.001696739,0.082821252,-0.000052,-0.000023,-9.805558
520000,0.003093551,0.001698739,0.082877258,-0.000052,-0.000024,-9.805083
530000,0.003088795,0.001700732,0.082932605,-0.000052,-0.000024,-9.804607
540000,0.003083989,0.001702719,0.082987293,-0.000052,-0.000024,-9.804132
550000,0.003079135,0.001704698,0.083041321,-0.000052,-0.000024,-9.803656
560000,0.003074232,0.001706672,0.083094688,-0.000052,-0.000024,-9.803180
570000,0.003069280,0.001708638,0.083147395,-0.000052,-0.000024,-9.802705
580000,0.003064280,0.001710597,0.083199441,-0.000052,-0.000024,-9.802229
590000,0.003059231,0.001712549,0.083250825,-0.000052,-0.000024,-9.801754
600000,0.003054133,0.001714495,0.083301547,-0.000052,-0.000024,-9.801278
610000,0.003048986,0.001716433,0.083351607,-0.000052,-0.000024,-9.800802
620000,0.003043791,0.001718363,0.083401003,-0.000052,-0.000024,-9.800327
630000,0.003038548,0.001720287,0.083449737,-0.000052,-0.000024,-9.799851
640000,0.003033256,0.001722203,0.083497807,-0.000052,-0.000024,-9.799376
650000,0.003027916,0.001724111,0.083545212,-0.000052,-0.000024,-9.798900
660000,0.003022527,0.001726012,0.083591953,-0.000052,-0.000024,-9.798424
670000,0.003017090,0.001727906,0.083638029,-0.000052,-0.000024,-9.797949
