# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
0,19.4315,5.9106,44.5924
100000,19.4485,5.8460,44.5935
200000,19.4653,5.7807,44.5947
300000,19.4817,5.7148,44.5960
400000,19.4978,5.6482,44.5974
500000,19.5363,5.5012,44.5990
600000,19.5738,5.3525,44.6006
700000,19.6102,5.2024,44.6024
800000,19.6454,5.0508,44.6043
900000,19.6796,4.8979,44.6063
1000000,19.7124,4.7439,44.6085
1100000,19.7441,4.5888,44.6107
1200000,19.7744,4.4328,44.6131
1300000,19.8033,4.2759,44.6155
1400000,19.8309,4.1184,44.6181
1500000,19.8570,3.9604,44.6208
1600000,19.8818,3.8019,44.6235
1700000,19.9050,3.6432,44.6264
1800000,19.9268,3.4843,44.6294
1900000,19.9471,3.3254,44.6324
2000000,19.9660,3.1666,44.6355
2100000,19.9833,3.0080,44.6387
2200000,19.9992,2.8499,44.6420
2300000,20.0136,2.6922,44.6454
2400000,20.0265,2.5353,44.6487
2500000,20.0380,2.3791,44.6522
2600000,20.0481,2.2239,44.6557
2700000,20.0567,2.0697,44.6592
2800000,20.0640,1.9168,44.6627
2900000,20.0700,1.7652,44.6663
3000000,20.0746,1.6152,44.6699
3100000,20.0780,1.4667,44.6735
3200000,20.0802,1.3200,44.6771
3300000,20.0812,1.1752,44.6807
3400000,20.0811,1.0325,44.6843
3500000,20.0799,0.8919,44.6878
3600000,20.0777,0.7537,44.6913
3700000,20.0746,0.6179,44.6948
3800000,20.0706,0.4847,44.6983
3900000,20.0657,0.3541,44.7017
4000000,20.0601,0.2265,44.7050
4100000,20.0538,0.1018,44.7083
4200000,20.0468,-0.0199,44.7116
4300000,20.0393,-0.1383,44.7147
4400000,20.0313,-0.2533,44.7178
4500000,20.0229,-0.3648,44.7208
4600000,20.0141,-0.4728,44.7237
4700000,20.0050,-0.5770,44.7266
4800000,19.9957,-0.6774,44.7293
4900000,19.9863,-0.7738,44.7320
5000000,19.9767,-0.8661,44.7345
5100000,19.9672,-0.9543,44.7370
5200000,19.9577,-1.0380,44.7394
5300000,19.9483,-1.1174,44.7417
5400000,19.9391,-1.1921,44.7439
5500000,19.9300,-1.2622,44.7460
5600000,19.9213,-1.3275,44.7480
5700000,19.9129,-1.3879,44.7499
5800000,19.9048,-1.4433,44.7517
5900000,19.8971,-1.4935,44.7535
6000000,19.8899,-1.5385,44.7552
6100000,19.8832,-1.5781,44.7568
6200000,19.8769,-1.6122,44.7583
6300000,19.8712,-1.6407,44.7598
6400000,19.8660,-1.6636,44.7613
6500000,19.8614,-1.6806,44.7627
6600000,19.8573,-1.6917,44.7641
6700000,19.8537,-1.6968,44.7655
6800000,19.8507,-1.6957,44.7669
6900000,19.8481,-1.6884,44.7683
7000000,19.8461,-1.6748,44.7697
7100000,19.8445,-1.6546,44.7712
7200000,19.8433,-1.6279,44.7727
7300000,19.8424,-1.5946,44.7743
7400000,19.8418,-1.5544,44.7760
7500000,19.8413,-1.5074,44.7778
7600000,19.8410,-1.4533,44.7797
7700000,19.8407,-1.3923,44.7818
7800000,19.8403,-1.3251,44.7840
