# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
0,51.0000000000,0.0000000000,10.0000,0.331078,-0.931895,-15.916950,0.7149,-0.2160,-1.6833
10000,51.0000000643,-0.0000000308,10.0168,0.332587,-0.931150,-15.893632,0.7166,-0.2159,-1.6835
20000,51.0000001288,-0.0000000615,10.0337,0.334095,-0.930402,-15.870300,0.7183,-0.2158,-1.6837
30000,51.0000001935,-0.0000000922,10.0505,0.335602,-0.929654,-15.846956,0.7200,-0.2156,-1.6839
40000,51.0000002583,-0.0000001229,10.0673,0.337106,-0.928904,-15.823598,0.7217,-0.2155,-1.6840
50000,51.0000003232,-0.0000001536,10.0842,0.338609,-0.928152,-15.800226,0.7233,-0.2154,-1.6842
60000,51.0000003883,-0.0000001843,10.1010,0.340111,-0.927400,-15.776842,0.7250,-0.2153,-1.6843
70000,51.0000004535,-0.0000002150,10.1179,0.341611,-0.926646,-15.753445,0.7267,-0.2151,-1.6845
80000,51.0000005189,-0.0000002456,10.1347,0.343109,-0.925890,-15.730036,0.7284,-0.2150,-1.6846
90000,51.0000005845,-0.0000002762,10.1516,0.344606,-0.925134,-15.706613,0.7301,-0.2149,-1.6848
100000,51.0000006502,-0.0000003068,10.1684,0.346101,-0.924376,-15.683178,0.7318,-0.2147,-1.6849
110000,51.0000007161,-0.0000003374,10.1853,0.347594,-0.923617,-15.659730,0.7335,-0.2146,-1.6851
120000,51.0000007821,-0.0000003680,10.2021,0.349085,-0.922856,-15.636270,0.7351,-0.2144,-1.6852
130000,51.0000008482,-0.0000003985,10.2190,0.350575,-0.922094,-15.612798,0.7368,-0.2143,-1.6853
140000,51.0000009145,-0.0000004290,10.2358,0.352062,-0.921331,-15.589313,0.7385,-0.2141,-1.6854
150000,51.0000009810,-0.0000004595,10.2527,0.353548,-0.920566,-15.565817,0.7402,-0.2140,-1.6856
160000,51.0000010476,-0.0000004900,10.2695,0.355032,-0.919801,-15.542308,0.7419,-0.2138,-1.6857
170000,51.0000011144,-0.0000005204,10.2864,0.356515,-0.919033,-15.518787,0.7436,-0.2136,-1.6858
180000,51.0000011813,-0.0000005508,10.3033,0.357995,-0.918265,-15.495254,0.7452,-0.2135,-1.6859
190000,51.0000012483,-0.0000005812,10.3201,0.359473,-0.917495,-15.471710,0.7469,-0.2133,-1.6860
200000,51.0000013156,-0.0000006116,10.3370,0.360949,-0.916724,-15.448153,0.7486,-0.2131,-1.6861
210000,51.0000013829,-0.0000006420,10.3538,0.362423,-0.915952,-15.424586,0.7503,-0.2129,-1.6861
220000,51.0000014504,-0.0000006723,10.3707,0.363895,-0.915178,-15.401006,0.7520,-0.2128,-1.6862
230000,51.0000015181,-0.0000007026,10.3876,0.365366,-0.914403,-15.377416,0.7536,-0.2126,-1.6863
240000,51.0000015859,-0.0000007328,10.4044,0.366833,-0.913627,-15.353814,0.7553,-0.2124,-1.6864
250000,51.0000016539,-0.0000007631,10.4213,0.368299,-0.912849,-15.330200,0.7570,-0.2122,-1.6864
260000,51.0000017220,-0.0000007933,10.4381,0.369763,-0.912070,-15.306576,0.7587,-0.2120,-1.6865
270000,51.0000017903,-0.0000008235,10.4550,0.371224,-0.911290,-15.282941,0.7603,-0.2118,-1.6866
280000,51.0000018587,-0.0000008536,10.4719,0.372684,-0.910508,-15.259294,0.7620,-0.2116,-1.6866
290000,51.0000019273,-0.0000008838,10.4887,0.374141,-0.909725,-15.235637,0.7637,-0.2114,-1.6867
300000,51.0000019960,-0.0000009139,10.5056,0.375595,-0.908941,-15.211969,0.7653,-0.2112,-1.6867
