# t_us, static pressure [Pa]
-1080,101169.0000
98980,101167.5000
200293,101169.0000
299947,101161.5000
401061,101160.0000
498736,101163.0000
600629,101151.0000
698594,101154.0000
800408,101146.5000
900991,101140.5000
999474,101146.5000
1100556,101140.5000
1201171,101137.5000
1298636,101130.0000
1401348,101136.0000
1499498,101134.5000
1600757,101127.0000
1699350,101127.0000
1800020,101122.5000
1900452,101116.5000
2000233,101116.5000
2100718,101115.0000
2198807,101107.5000
2300655,101110.5000
2400364,101106.0000
2500663,101104.5000
2601025,101104.5000
2700872,101098.5000
2799022,101098.5000
2900140,101094.0000
2999867,101089.5000
3101239,101086.5000
3199130,101086.5000
3299131,101080.5000
3399923,101077.5000
3499495,101076.0000
3599694,101073.0000
3700239,101077.5000
3800058,101064.0000
3900944,101070.0000
4000020,101065.5000
4101125,101061.0000
4199463,101061.0000
4300929,101058.0000
4398584,101058.0000
4500460,101059.5000
4599781,101055.0000
4699482,101052.0000
4801408,101049.0000
4900949,101044.5000
4999446,101043.0000
5100515,101043.0000
5200130,101040.0000
5300023,101035.5000
5400896,101038.5000
5500625,101034.0000
5599665,101032.5000
5698767,101031.0000
5801395,101026.5000
5898935,101025.0000
6000186,101025.0000
6099058,101025.0000
6199769,101020.5000
6299864,101019.0000
6400140,101013.0000
6501031,101019.0000
6599729,101010.0000
6699737,101008.5000
6801367,101008.5000
6898758,101004.0000
7001463,101001.0000
7100886,101001.0000
7199994,100998.0000
7298799,100996.5000
7400148,100996.5000
7499749,100998.0000
7598678,100993.5000
7698528,100992.0000
7799087,100992.0000
7898712,100992.0000
8001132,100990.5000
8099690,100990.5000
8200595,100983.0000
8298876,100993.5000
8401421,100990.5000
8499731,100981.5000
8599012,100986.0000
8701427,100984.5000
8800382,100983.0000
8898957,100978.5000
9000001,100981.5000
9099592,100977.0000
9198965,100978.5000
9299871,100975.5000
9399318,100971.0000
9498589,100968.0000
9599053,100971.0000
9700294,100971.0000
9800438,100971.0000
9900796,100969.5000
10001068,100966.5000
10099555,100969.5000
10200070,100963.5000
10298669,100966.5000
10399667,100965.0000
10500929,100962.0000
10601116,100959.0000
10700900,100960.5000
10799421,100959.0000
10899576,100954.5000
11001078,100951.5000
11100130,100957.5000
11201428,100951.5000
11301325,100954.5000
11400975,100953.0000
11499769,100951.5000
11600184,100945.5000
11701103,100945.5000
11800967,100944.0000
11900801,100947.0000
12001200,100945.5000
12098762,100947.0000
12198777,100944.0000
12300365,100944.0000
12400874,100936.5000
12500103,100942.5000
12601442,100941.0000
12698781,100941.0000
12798894,100933.5000
12900891,100941.0000
12999699,100933.5000
13098957,100933.5000
13200800,100935.0000
13300261,100933.5000
13400680,100933.5000
13500686,100927.5000
13600659,100933.5000
13701017,100926.0000
13798526,100926.0000
13901405,100920.0000
13999079,100929.0000
14099204,100926.0000
14201457,100924.5000
14298887,100923.0000
14401189,100923.0000
14500422,100923.0000
14600513,100918.5000
14701492,100923.0000
14801074,100918.5000
14899813,100915.5000
15000849,100917.0000
15099698,100915.5000
15201454,100914.0000
15300468,100915.5000
15399822,100915.5000
15498693,100915.5000
15600878,100914.0000
15698578,100912.5000
15799642,100914.0000
15900613,100912.5000
16001410,100908.0000
16099072,100906.5000
16199187,100903.5000
16299212,100903.5000
16399331,100905.0000
16499966,100905.0000
16598724,100903.5000
16698850,100906.5000
16799887,100905.0000
16900475,100903.5000
16999008,100906.5000
17101401,100903.5000
17200431,100908.0000
17301153,100897.5000
17400390,100900.5000
17500913,100900.5000
17599944,100902.0000
17699597,100897.5000
17799079,100899.0000
17898551,100894.5000
18000735,100896.0000
18099460,100893.0000
18198715,100894.5000
18300614,100893.0000
18401460,100893.0000
18500860,100899.0000
18599112,100893.0000
18700612,100891.5000
18801005,100891.5000
18898792,100891.5000
18999892,100891.5000
19101218,100887.0000
19200455,100887.0000
19301056,100890.0000
19401151,100884.0000
19499650,100884.0000
19599691,100891.5000
19699424,100885.5000
19799135,100885.5000
19901045,100885.5000
19998540,100884.0000
20100927,100884.0000
20201322,100887.0000
20298703,100879.5000
20400417,100878.0000
20500828,100876.5000
20599658,100876.5000
20700452,100876.5000
20798950,100881.0000
20899252,100878.0000
21001112,100879.5000
21099204,100879.5000
21201479,100876.5000
21299163,100873.5000
21399317,100878.0000
21498505,100876.5000
21599678,100873.5000
21699392,100875.0000
21801096,100872.0000
21899251,100875.0000
21999960,100870.5000
22099887,100870.5000
22200904,100872.0000
22299766,100873.5000
22400508,100870.5000
22500461,100869.0000
22600337,100873.5000
22701038,100867.5000
22798943,100866.0000
22901205,100870.5000
22999942,100870.5000
23099425,100869.0000
23200588,100866.0000
23300454,100867.5000
23401403,100867.5000
23501480,100866.0000
23599009,100866.0000
23701270,100866.0000
23799320,100861.5000
23900490,100866.0000
23999819,100863.0000
24101341,100866.0000
24199507,100861.5000
24299152,100854.0000
24400571,100863.0000
24500072,100858.5000
24600124,100863.0000
24699607,100860.0000
24798935,100861.5000
24899537,100860.0000
24998723,100857.0000
25098514,100858.5000
25199526,100857.0000
25301276,100860.0000
25399219,100858.5000
25498710,100860.0000
25599062,100855.5000
25698849,100854.0000
25800534,100858.5000
25899278,100854.0000
26001013,100848.0000
26100907,100852.5000
26200020,100851.0000
26299488,100848.0000
26399035,100854.0000
26498601,100855.5000
26600847,100848.0000
26699151,100857.0000
26801487,100854.0000
26899338,100843.5000
26999818,100846.5000
27099571,100848.0000
27201318,100854.0000
27299465,100848.0000
27401117,100848.0000
27499201,100852.5000
27599992,100845.0000
27700515,100848.0000
27798780,100843.5000
27900828,100845.0000
27999405,100842.0000
28100295,100845.0000
28199335,100840.5000
28298829,100842.0000
28399831,100846.5000
28500766,100842.0000
28600942,100846.5000
28699201,100842.0000
28799217,100840.5000
28899272,100843.5000
29001174,100839.0000
29098506,100846.5000
29201127,100840.5000
29300420,100842.0000
29398576,100836.0000
29499183,100839.0000
29601290,100837.5000
29700824,100840.5000
29801092,100837.5000
29900060,100836.0000
29999009,100836.0000
30099238,100834.5000
30200707,100834.5000
30298799,100834.5000
30398940,100836.0000
30500921,100834.5000
30600925,100836.0000
30699602,100834.5000
30800918,100834.5000
30899387,100834.5000
30999915,100834.5000
31099905,100839.0000
31200555,100831.5000
31298585,100833.0000
31400332,100828.5000
31498902,100831.5000
31598789,100831.5000
31700993,100833.0000
31800824,100825.5000
31899669,100833.0000
31999324,100827.0000
32099930,100824.0000
32200330,100830.0000
32301078,100827.0000
32399771,100830.0000
32500904,100827.0000
32598867,100825.5000
32701468,100827.0000
32799906,100827.0000
32900190,100822.5000
33000942,100824.0000
33099062,100827.0000
33201478,100824.0000
33299779,100825.5000
33401085,100825.5000
33500304,100828.5000
33598893,100824.0000
33701499,100822.5000
33800089,100824.0000
33901013,100825.5000
34001267,100824.0000
34099261,100822.5000
34199175,100821.0000
34300398,100824.0000
34399986,100822.5000
34499352,100825.5000
34600840,100819.5000
34700618,100819.5000
34800777,100821.0000
34901030,100819.5000
35000094,100821.0000
35100021,100825.5000
35200110,100819.5000
35299500,100818.0000
35400349,100818.0000
35501153,100819.5000
35598603,100818.0000
35698986,100818.0000
35800901,100818.0000
35900894,100819.5000
36000380,100816.5000
36100228,100822.5000
36200937,100819.5000
36300107,100819.5000
36400283,100819.5000
36501239,100818.0000
36598671,100821.0000
36699663,100818.0000
36799362,100816.5000
36900144,100819.5000
37001037,100821.0000
37099237,100815.0000
37200470,100816.5000
37299202,100819.5000
37399867,100816.5000
37499329,100821.0000
37600816,100813.5000
37699083,100815.0000
37800850,100821.0000
37901446,100816.5000
38001341,100815.0000
38099219,100813.5000
38200011,100821.0000
38300834,100812.0000
38400880,100813.5000
38498868,100818.0000
38598712,100818.0000
38700496,100818.0000
38801397,100818.0000
38901276,100819.5000
39001034,100810.5000
39100088,100815.0000
39199248,100819.5000
39300048,100815.0000
39400733,100816.5000
39500578,100819.5000
39598890,100818.0000
39701329,100813.5000
39801181,100815.0000
39899500,100818.0000
40000722,100815.0000
40098692,100816.5000
40200854,100818.0000
40298792,100815.0000
40400265,100813.5000
40500248,100816.5000
40599536,100816.5000
40699155,100813.5000
40799702,100818.0000
40901187,100816.5000
41001199,100813.5000
41100306,100815.0000
41199957,100818.0000
41299129,100815.0000
41398850,100815.0000
41499266,100813.5000
41601478,100816.5000
41698699,100812.0000
41799890,100816.5000
41899053,100816.5000
41999907,100818.0000
42100568,100816.5000
42198837,100816.5000
42298870,100815.0000
42399392,100812.0000
42500049,100822.5000
42600631,100819.5000
42700935,100824.0000
42799677,100813.5000
42900013,100815.0000
43000912,100816.5000
43100505,100818.0000
43198877,100819.5000
43299406,100818.0000
43399095,100818.0000
43498610,100816.5000
43598549,100819.5000
43700076,100816.5000
43800939,100816.5000
43900185,100819.5000
44001316,100813.5000
44101063,100821.0000
44199884,100818.0000
44301366,100816.5000
44400529,100818.0000
44499874,100821.0000
44600751,100816.5000
44701407,100819.5000
44799096,100816.5000
44899616,100816.5000
45001120,100816.5000
45098567,100813.5000
45200965,100815.0000
45299728,100819.5000
45400352,100815.0000
45500577,100822.5000
45600972,100821.0000
45699139,100821.0000
45800403,100816.5000
45898826,100818.0000
46000664,100819.5000
46100385,100813.5000
46198972,100819.5000
46299071,100822.5000
46400849,100819.5000
46498644,100821.0000
46600655,100821.0000
46699367,100822.5000
46800095,100822.5000
46899995,100822.5000
47001316,100822.5000
47100096,100821.0000
47198765,100819.5000
47298883,100825.5000
47400209,100824.0000
47500602,100822.5000
47600123,100822.5000
47701116,100822.5000
47800137,100825.5000
47901076,100822.5000
48000995,100819.5000
48099929,100822.5000
48200371,100816.5000
48299213,100828.5000
48400189,100828.5000
48501017,100824.0000
48599291,100828.5000
48700329,100824.0000
48799809,100821.0000
48900382,100822.5000
48998606,100818.0000
49100242,100821.0000
49201325,100825.5000
49300868,100822.5000
49398728,100824.0000
49498838,100822.5000
49599827,100828.5000
49701300,100824.0000
49800134,100830.0000
49901132,100821.0000
49999322,100824.0000
50099759,100825.5000
50198585,100827.0000
50299313,100827.0000
50400027,100827.0000
50499878,100825.5000
50600421,100830.0000
50699629,100827.0000
50799242,100822.5000
50900840,100828.5000
50999822,100824.0000
51099683,100834.5000
51201145,100831.5000
51298656,100831.5000
51399786,100827.0000
51499825,100830.0000
51599645,100830.0000
51701146,100827.0000
51800729,100827.0000
51899744,100824.0000
52001493,100825.5000
52100737,100830.0000
52201320,100834.5000
52300306,100833.0000
52399081,100834.5000
52498735,100830.0000
52600375,100828.5000
52700975,100828.5000
52800608,100833.0000
52900742,100833.0000
52999183,100831.5000
53099682,100833.0000
53200812,100830.0000
53300731,100834.5000
53399111,100833.0000
53500455,100834.5000
53601103,100827.0000
53700740,100837.5000
53800593,100833.0000
53901276,100834.5000
54000259,100830.0000
54098652,100836.0000
54200898,100834.5000
54298681,100828.5000
54398957,100834.5000
54500845,100837.5000
54600205,100834.5000
54700310,100834.5000
54800295,100839.0000
54900530,100831.5000
55000471,100842.0000
55101245,100836.0000
55199159,100839.0000
55301035,100833.0000
55400747,100840.5000
55500937,100842.0000
55599779,100837.5000
55699174,100840.5000
55801143,100836.0000
55900444,100837.5000
56000912,100833.0000
56098741,100840.5000
56199200,100839.0000
56300045,100839.0000
56399891,100840.5000
56500622,100837.5000
56598582,100840.5000
56699283,100840.5000
56799703,100839.0000
56898725,100840.5000
56999418,100837.5000
57100841,100837.5000
57201103,100840.5000
57298516,100842.0000
57399944,100837.5000
57500173,100839.0000
57600346,100840.5000
57701353,100842.0000
57799011,100839.0000
57900374,100845.0000
57999802,100842.0000
58099338,100843.5000
58201349,100843.5000
58300270,100845.0000
58400711,100845.0000
58498585,100840.5000
58600622,100845.0000
58699379,100843.5000
58800754,100840.5000
58899981,100845.0000
59001470,100845.0000
59100205,100845.0000
59201218,100843.5000
59300985,100849.5000
59401450,100846.5000
59501411,100845.0000
59598871,100854.0000
59698934,100845.0000
59801359,100842.0000
59898734,100848.0000
60000373,100846.5000
60101231,100849.5000
60200224,100852.5000
60299458,100848.0000
60399268,100849.5000
60499095,100849.5000
60598980,100851.0000
60700658,100852.5000
60800562,100852.5000
60900751,100848.0000
60999887,100854.0000
61100487,100852.5000
61199185,100857.0000
61299920,100855.5000
61399743,100854.0000
61501377,100854.0000
61598873,100852.5000
61699319,100858.5000
61799160,100855.5000
61901487,100858.5000
62000763,100861.5000
62100780,100858.5000
62201002,100861.5000
62298852,100863.0000
62398961,100860.0000
62500218,100864.5000
62599504,100863.0000
62700684,100866.0000
62801019,100860.0000
62899466,100863.0000
62998801,100863.0000
63099327,100864.5000
63198965,100870.5000
63300983,100863.0000
63399391,100866.0000
63498647,100864.5000
63600105,100866.0000
63699512,100869.0000
63800663,100867.5000
63898878,100867.5000
63999901,100869.0000
64100790,100873.5000
64201169,100872.0000
64301058,100875.0000
64399216,100875.0000
64500270,100873.5000
64600768,100870.5000
64699205,100873.5000
64800221,100875.0000
64899291,100879.5000
65001421,100875.0000
65100899,100873.5000
65198601,100875.0000
65299185,100878.0000
65400590,100882.5000
65498502,100881.0000
65599421,100881.0000
65699458,100881.0000
65800674,100885.5000
65899228,100890.0000
66000276,100882.5000
66100251,100882.5000
66198577,100884.0000
66300761,100885.5000
66400321,100890.0000
66499188,100887.0000
66598834,100888.5000
66699154,100888.5000
66798744,100887.0000
66899164,100891.5000
67001181,100891.5000
67099315,100890.0000
67199687,100893.0000
67298985,100896.0000
67399928,100893.0000
67499730,100899.0000
67599994,100897.5000
67699729,100894.5000
67799977,100897.5000
67899245,100893.0000
67999757,100894.5000
68098510,100896.0000
68200924,100899.0000
68299986,100902.0000
68398579,100900.5000
68501329,100899.0000
68600458,100903.5000
68698819,100902.0000
68799547,100908.0000
68898981,100902.0000
68999390,100909.5000
69101472,100908.0000
69200287,100906.5000
69298639,100908.0000
69399190,100905.0000
69501061,100906.5000
69599918,100912.5000
69700957,100906.5000
69798865,100912.5000
69900459,100914.0000
69999770,100909.5000
70099194,100909.5000
70200755,100912.5000
70299331,100911.0000
70399854,100915.5000
70500869,100915.5000
70601280,100917.0000
70700949,100914.0000
70799976,100912.5000
70900021,100915.5000
70999677,100918.5000
71101302,100921.5000
71199886,100918.5000
71298849,100921.5000
71399890,100920.0000
71500761,100923.0000
71598693,100920.0000
71700583,100923.0000
71799470,100920.0000
71899243,100923.0000
72001246,100923.0000
72100795,100920.0000
72200682,100924.5000
72299218,100924.5000
72399080,100927.5000
72499786,100923.0000
72599830,100932.0000
72701129,100932.0000
72800887,100927.5000
72901074,100927.5000
72998599,100929.0000
73100259,100923.0000
73201349,100933.5000
73301144,100930.5000
73398820,100930.5000
73499798,100929.0000
73598860,100929.0000
