# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
129,51.0000296806,-0.0000006863,11.3916,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.7116,-0.1150,-2.4525,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
500953,51.0000317542,-0.0000039543,12.6005,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.8649,-0.2171,-2.2516,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
1000199,51.0000378089,-0.0000023542,13.7454,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.9988,-0.0572,-2.3008,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
1500679,51.0000417957,-0.0000066791,14.8860,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.0567,-0.1070,-2.1873,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
1998626,51.0000479114,-0.0000072461,16.3251,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.1676,-0.1806,-2.1382,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
2499785,51.0000536132,-0.0000072714,17.0657,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.1903,-0.0647,-2.0509,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
2998594,51.0000605001,-0.0000058127,17.4839,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.3255,-0.1152,-2.1631,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
3500028,51.0000673903,-0.0000036734,18.3379,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.4748,-0.0527,-2.0655,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
4001039,51.0000757552,-0.0000016065,19.4303,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.2886,-0.0940,-1.8646,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
4499126,51.0000830090,-0.0000026385,20.4874,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.6530,0.0738,-1.8213,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
4998719,51.0000917045,0.0000022050,21.2763,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.8881,0.0373,-1.8197,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
5500462,51.0001010785,0.0000049603,22.0789,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.6774,-0.0203,-1.6183,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
5998901,51.0001087848,0.0000098204,22.6261,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.6924,0.1266,-1.5155,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
6499919,51.0001188129,0.0000107168,23.4244,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.9008,0.1301,-1.5093,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
6998854,51.0001280112,0.0000169299,23.9114,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.8979,0.1518,-1.3619,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
7499734,51.0001376080,0.0000168696,24.3185,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,1.9999,0.1447,-1.1439,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
