# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
-1460,0.0050,-0.0000,0.0235,0.45,-0.33,-10.16
8620,0.0055,0.0021,0.0240,-0.11,0.29,-9.87
20590,0.0042,-0.0011,0.0224,0.54,-0.24,-10.15
30996,-0.0009,0.0035,0.0222,0.44,0.16,-9.30
38736,0.0036,-0.0005,0.0176,0.34,0.07,-9.96
49155,0.0060,-0.0019,0.0227,-0.27,0.47,-9.49
59165,0.0063,0.0056,0.0208,-0.49,0.10,-9.56
69344,0.0026,0.0013,0.0187,0.02,-0.13,-9.02
79390,0.0071,-0.0000,0.0227,-0.04,-0.34,-9.59
90398,0.0060,-0.0013,0.0179,-0.04,0.00,-9.72
99476,0.0039,-0.0045,0.0216,-0.40,0.06,-9.71
109546,0.0068,-0.0000,0.0238,0.27,-0.38,-9.64
121333,0.0060,-0.0029,0.0283,0.39,-0.29,-9.76
129708,0.0023,-0.0003,0.0224,0.59,-0.01,-10.31
139295,0.0004,0.0003,0.0291,-0.24,0.52,-9.70
149952,0.0079,0.0032,0.0208,0.48,0.02,-9.80
161174,0.0012,-0.0056,0.0190,-0.14,0.24,-8.98
170576,0.0012,0.0040,0.0211,0.14,-0.23,-9.81
178984,0.0095,-0.0032,0.0246,-0.58,0.41,-9.52
191391,0.0127,0.0043,0.0256,-0.15,-0.31,-9.66
199848,0.0106,-0.0003,0.0187,-0.08,-0.22,-9.07
209754,0.0007,-0.0008,0.0238,0.34,-0.54,-9.83
219696,0.0028,0.0005,0.0187,0.00,-0.06,-9.99
230065,0.0074,0.0021,0.0232,0.13,-0.12,-10.28
240376,0.0044,-0.0021,0.0240,0.46,-0.07,-9.44
250354,-0.0046,0.0016,0.0216,0.37,-0.18,-9.96
260721,0.0063,-0.0040,0.0240,0.43,0.44,-9.81
268903,0.0047,0.0043,0.0240,-0.37,0.67,-9.97
279198,0.0111,0.0016,0.0219,-0.02,-0.07,-9.40
289887,0.0068,0.0011,0.0246,-0.21,-0.16,-9.24
300916,0.0092,0.0016,0.0227,0.23,-0.34,-9.72
308603,0.0031,-0.0016,0.0198,-0.50,0.44,-9.69
319113,-0.0036,0.0013,0.0176,-0.03,-0.48,-9.71
331199,0.0063,0.0011,0.0195,0.18,-0.18,-9.42
339964,0.0018,0.0013,0.0243,0.59,-0.77,-10.19
350542,0.0002,0.0013,0.0227,-0.06,0.39,-9.81
360904,0.0023,-0.0032,0.0216,0.27,-0.14,-10.07
370962,0.0020,-0.0027,0.0203,0.15,0.43,-9.28
381181,-0.0017,0.0061,0.0216,0.67,-0.26,-9.89
388655,-0.0041,-0.0024,0.0208,-0.01,0.36,-9.54
400146,0.0034,0.0011,0.0366,-0.26,0.25,-9.69
411440,0.0034,0.0011,0.0424,-0.25,0.04,-9.31
420529,0.0031,-0.0008,0.0421,0.02,-0.64,-9.47
430631,0.0082,-0.0032,0.0384,0.29,-0.33,-9.72
439254,0.0058,0.0067,0.0405,-0.41,-0.11,-10.06
448806,0.0050,0.0027,0.0403,0.22,-0.25,-10.08
460882,0.0044,-0.0019,0.0459,0.17,-0.35,-9.68
470576,0.0071,-0.0027,0.0467,0.85,-0.27,-9.90
479383,0.0015,-0.0027,0.0405,-0.20,0.67,-9.94
490881,-0.0009,0.0045,0.0413,0.15,0.13,-10.16
500646,0.0042,0.0024,0.0400,-0.28,0.15,-9.05
509069,0.0036,-0.0013,0.0461,0.15,-0.65,-9.57
520215,0.0007,-0.0005,0.0445,-0.23,0.19,-9.32
529340,0.0004,0.0037,0.0451,-0.23,-0.20,-9.77
538709,0.0082,0.0045,0.0363,-0.10,-0.08,-9.34
550194,0.0023,-0.0048,0.0427,0.46,-0.71,-9.84
559125,0.0114,0.0067,0.0499,0.45,-0.11,-9.59
569421,0.0066,0.0035,0.0499,0.15,-0.06,-10.39
578739,0.0044,0.0005,0.0456,-0.03,0.09,-9.71
589036,0.0082,-0.0035,0.0475,0.27,-0.05,-9.53
601042,0.0066,0.0024,0.0416,0.44,0.18,-9.49
610922,0.0028,0.0032,0.0435,-0.29,0.33,-9.76
619040,0.0007,0.0013,0.0461,-0.24,0.15,-9.48
630721,0.0090,0.0053,0.0435,-0.43,-0.16,-9.17
639304,0.0074,0.0045,0.0451,0.40,-0.48,-9.47
651013,0.0028,0.0011,0.0405,-0.16,-0.10,-9.52
660195,0.0060,-0.0013,0.0403,0.29,-0.22,-10.21
670391,0.0068,0.0011,0.0421,-0.10,0.17,-9.45
678701,0.0055,0.0024,0.0397,0.61,-0.55,-9.90
690879,-0.0046,0.0035,0.0440,0.36,0.15,-9.79
700378,0.0050,0.0024,0.0427,0.09,0.11,-10.33
711434,0.0023,-0.0019,0.0475,-0.06,0.55,-9.50
720220,0.0050,-0.0019,0.0496,0.12,-0.28,-9.39
729255,0.0028,0.0005,0.0440,0.15,-0.15,-9.33
738801,0.0052,0.0032,0.0499,-0.32,0.15,-10.17
750540,0.0090,0.0032,0.0403,-0.25,0.04,-9.46
759438,0.0076,0.0013,0.0395,-0.01,-0.19,-9.65
769623,0.0066,0.0008,0.0424,0.53,-0.71,-9.75
778784,0.0007,0.0043,0.0416,0.11,-0.11,-9.88
789273,-0.0052,-0.0011,0.0419,0.36,-0.01,-10.04
800701,0.0050,-0.0035,0.0421,-0.04,0.40,-9.77
809036,0.0063,0.0027,0.0427,0.89,-0.36,-9.64
818683,0.0095,0.0003,0.0464,-0.03,0.37,-9.51
831248,0.0015,0.0027,0.0496,0.07,0.22,-10.09
839823,0.0052,0.0005,0.0421,-0.53,0.69,-9.21
849275,0.0023,0.0029,0.0485,0.20,-0.44,-9.30
859399,0.0047,-0.0029,0.0437,-0.01,-0.16,-9.15
869310,0.0060,0.0032,0.0424,0.19,-0.22,-10.11
880402,-0.0004,0.0019,0.0475,-0.13,0.23,-9.68
891019,0.0044,0.0013,0.0427,0.06,-0.27,-9.76
899783,0.0010,-0.0024,0.0477,0.54,-0.29,-9.44
910525,0.0124,-0.0013,0.0445,0.22,-0.03,-10.16
920027,0.0060,-0.0003,0.0403,0.38,0.44,-9.84
930417,0.0068,0.0029,0.0451,-0.07,0.22,-9.63
940195,0.0108,0.0003,0.0451,0.32,-0.20,-9.31
951176,0.0018,0.0035,0.0456,-0.09,0.24,-9.43
959213,0.0031,0.0067,0.0475,-0.09,0.07,-9.81
970314,0.0103,0.0029,0.0499,-0.71,0.17,-9.32
979257,0.0082,0.0029,0.0459,0.44,-0.77,-9.52
990539,0.0034,-0.0016,0.0440,0.01,-0.31,-9.32
1001141,0.0063,0.0008,0.0421,0.47,-0.13,-10.34
1010420,0.0055,0.0024,0.0389,-0.17,0.21,-9.71
1020197,0.0079,0.0005,0.0488,0.62,-0.40,-10.17
1030372,-0.0014,0.0040,0.0421,0.27,0.08,-9.25
1039310,0.0028,0.0003,0.0483,0.42,0.09,-10.24
1050223,0.0002,-0.0019,0.0429,-0.34,0.59,-9.50
1061024,0.0015,-0.0043,0.0464,-0.32,0.25,-9.71
1071413,-0.0006,0.0083,0.0472,0.18,-0.23,-9.05
1081185,0.0055,0.0056,0.0456,-0.05,-0.30,-9.53
1090564,0.0026,0.0037,0.0491,0.02,-0.08,-9.52
1100498,0.0047,-0.0035,0.0520,-0.32,-0.09,-9.58
1109515,-0.0004,0.0013,0.0493,0.34,-0.50,-9.51
1118839,0.0031,0.0069,0.0483,0.32,-0.18,-9.56
1129352,0.0012,-0.0037,0.0435,0.61,-0.08,-10.26
1141423,0.0012,0.0032,0.0429,-0.14,0.63,-9.77
1150906,0.0020,0.0035,0.0448,0.39,-0.14,-9.57
1161223,0.0023,0.0021,0.0451,0.15,0.30,-9.15
1171039,-0.0009,-0.0008,0.0501,0.20,-0.08,-9.60
1179305,0.0042,-0.0005,0.0525,-0.63,0.63,-9.24
1189798,0.0066,0.0040,0.0496,-0.24,-0.42,-9.65
1199246,0.0044,0.0008,0.0464,-0.22,-0.20,-8.81
1210550,-0.0006,0.0077,0.0541,0.25,-0.46,-9.85
1219345,0.0039,0.0024,0.0405,0.11,0.18,-9.71
1231220,0.0071,0.0027,0.0448,0.03,-0.15,-10.25
1240862,0.0044,-0.0013,0.0475,0.43,-0.17,-9.53
1250009,0.0066,0.0003,0.0427,0.50,-0.08,-9.71
1261383,0.0063,-0.0021,0.0491,0.36,0.41,-10.04
1270796,0.0044,-0.0003,0.0472,-0.28,0.53,-9.69
1281320,0.0066,0.0037,0.0477,-0.08,-0.16,-9.24
1289288,0.0082,0.0056,0.0493,-0.20,-0.10,-8.99
1299006,0.0042,-0.0021,0.0499,-0.05,-0.19,-9.55
1308879,0.0034,0.0008,0.0451,-0.59,0.31,-9.65
1319364,0.0060,0.0048,0.0477,0.14,-0.70,-9.66
1331058,0.0010,0.0064,0.0448,0.32,-0.20,-9.35
1339277,0.0036,0.0069,0.0419,0.73,-0.52,-10.01
1350054,0.0076,-0.0029,0.0525,0.09,0.37,-9.86
1358871,0.0026,0.0032,0.0443,0.28,0.11,-10.09
1369095,0.0044,-0.0016,0.0517,0.07,0.21,-9.29
1379359,0.0026,0.0011,0.0485,0.38,-0.06,-9.54
1390979,0.0042,0.0011,0.0477,-0.10,0.39,-9.28
1399888,0.0020,0.0056,0.0443,-0.36,0.12,-9.70
1409456,0.0031,-0.0061,0.0459,-0.03,-0.21,-9.20
1420439,0.0079,0.0008,0.0451,0.18,-0.20,-9.43
1430662,0.0044,0.0019,0.0464,0.45,-0.48,-9.55
1440862,0.0031,0.0005,0.0440,-0.44,0.09,-10.05
1451241,0.0039,-0.0008,0.0475,0.24,-0.40,-9.88
1461149,0.0044,-0.0027,0.0496,0.29,0.02,-9.42
1470656,-0.0022,0.0008,0.0533,0.67,-0.23,-10.06
1479209,0.0063,0.0077,0.0480,-0.13,0.56,-9.99
1491239,0.0058,0.0093,0.0485,0.06,0.17,-9.91
1499671,0.0031,-0.0003,0.0507,-0.29,0.22,-8.83
1510558,0.0058,-0.0003,0.0456,0.44,-0.54,-9.39
1521076,0.0068,-0.0037,0.0491,-0.26,0.26,-9.22
1528894,0.0047,-0.0013,0.0461,-0.05,-0.34,-9.97
1541109,0.0076,-0.0024,0.0459,-0.15,-0.23,-9.10
1550127,0.0055,-0.0043,0.0477,0.34,-0.81,-9.53
1560953,0.0028,-0.0008,0.0491,0.46,-0.17,-9.79
1569997,0.0044,0.0011,0.0485,-0.03,0.11,-10.59
1579979,0.0066,0.0016,0.0432,0.39,0.24,-9.67
1588635,-0.0006,-0.0003,0.0504,0.26,-0.04,-9.54
1599174,0.0058,-0.0037,0.0461,0.55,0.11,-9.45
1610464,0.0036,0.0008,0.0456,-0.23,0.39,-9.75
1620673,0.0012,0.0013,0.0429,-0.23,0.07,-9.41
1629096,0.0066,0.0048,0.0483,-0.36,-0.02,-8.89
1641312,0.0023,0.0003,0.0451,0.25,-0.64,-9.49
1649437,0.0042,-0.0000,0.0469,-0.23,0.15,-9.62
1659893,0.0031,0.0064,0.0501,0.06,-0.11,-10.03
1669192,0.0066,-0.0024,0.0525,-0.23,-0.02,-9.37
1678650,0.0052,0.0013,0.0509,0.80,-0.57,-9.68
1689052,0.0010,0.0021,0.0496,0.15,0.10,-9.58
1701487,-0.0004,-0.0029,0.0416,0.31,0.03,-10.01
1710310,0.0031,0.0032,0.0509,-0.15,0.30,-9.46
1720052,0.0055,-0.0011,0.0467,0.16,-0.20,-9.52
1731079,0.0066,0.0013,0.0512,-0.05,-0.06,-9.07
1740856,0.0020,-0.0008,0.0467,-0.25,0.04,-9.79
1749064,0.0036,-0.0011,0.0477,-0.23,0.16,-9.38
1759515,0.0007,0.0040,0.0459,-0.29,-0.46,-9.38
1768746,0.0047,0.0021,0.0448,0.49,-0.51,-9.60
1779863,0.0060,0.0003,0.0475,-0.01,-0.14,-9.85
1790217,0.0007,-0.0008,0.0523,0.14,-0.07,-10.06
1800930,-0.0044,0.0003,0.0456,0.00,0.35,-9.64
1808803,-0.0028,0.0040,0.0496,0.68,-0.40,-9.56
