# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
1432,21.2118,3.1934,45.5040
100927,21.2790,3.6550,45.5189
201072,21.9397,3.3172,46.2629
300436,20.8418,3.5336,46.3735
398949,20.9402,3.2584,45.6113
499752,21.1387,3.1286,45.5480
600674,21.0948,3.3465,45.5485
699206,20.9752,2.4295,46.0304
801315,20.8734,2.3919,45.1474
900891,20.6133,2.6279,45.7404
1000564,21.5159,2.7602,45.6957
1100412,20.9870,2.4502,45.8569
1200516,21.0520,2.8851,45.7766
1299353,20.5298,2.2437,46.1955
1400117,20.7758,2.4088,46.4079
1499302,21.0970,2.3042,46.1132
1600017,20.7594,2.2539,46.0434
1700671,20.8994,2.0738,45.7154
1799447,21.3039,1.6658,45.5802
1899645,21.4213,1.9891,45.9559
2000827,20.8955,2.2060,45.4865
2101355,21.2724,1.3809,46.3691
2200131,21.4497,1.7642,45.8684
2299373,21.6904,1.5858,45.6133
2400814,20.7751,1.7955,45.5649
2499016,20.5206,1.7288,45.9759
2601123,21.2365,1.2766,45.8473
2700821,21.4142,1.1792,45.7973
2800542,21.1174,1.0035,45.5731
2900994,20.7781,1.2794,45.6381
2998827,21.3047,1.1903,45.8110
3100784,21.4667,0.9329,45.1949
3200124,21.0442,1.0065,45.9863
3301374,21.1132,0.6061,46.1023
3401258,20.8032,1.1312,45.8585
3500496,20.9428,0.8764,45.7219
3599787,20.7359,0.0809,45.6211
3699088,20.7975,0.4950,45.6376
3800312,21.2296,0.0290,45.6608
3899316,20.8527,0.4758,46.1213
3999906,21.0739,-0.0369,45.8116
4098828,21.7459,-0.0140,46.0905
4200277,20.4778,-0.3003,46.0124
4298757,21.0540,0.1293,45.9535
4399513,20.8120,0.2717,45.8206
4500281,21.0249,-0.5618,45.9913
4600542,20.6812,-0.7363,45.6617
4698960,20.8663,-0.3383,46.1135
4798570,20.8362,-0.8476,45.3994
4899212,20.7049,-1.0970,46.3866
4998962,20.9332,-1.0734,45.6635
5100667,20.6196,-0.8175,45.9560
5201231,20.5657,-0.5902,46.2593
5299279,20.7655,-0.9118,45.3409
5399259,20.7245,-1.3272,45.2939
5499485,20.8912,-1.0602,46.5050
5600188,20.7635,-1.1003,45.7807
5701493,20.8648,-1.2479,45.8422
5800089,21.1771,-1.0747,46.0803
5901497,21.2631,-1.0580,46.3026
6000060,20.3939,-1.0565,46.0903
6099172,21.0752,-1.5061,46.2549
6201380,20.9066,-0.7176,45.3575
6300087,20.9859,-1.4311,46.7321
6398948,20.9658,-1.3892,46.0140
6500882,21.3780,-1.6650,46.3782
6600224,20.8003,-1.3235,45.8993
6698950,20.5807,-1.3502,45.3117
6799064,21.2803,-1.8839,45.6437
6899482,20.8083,-1.6442,45.8211
7000015,20.8374,-1.5678,46.1931
7099399,21.1762,-0.8857,46.1889
7199182,20.5740,-1.6840,45.9994
7299216,20.6680,-1.3400,45.8881
7401307,20.5715,-1.7788,45.7577
7500868,20.9467,-1.9046,46.1852
7601311,20.9509,-1.9832,45.8849
7698589,20.5807,-1.4912,45.7694
7800401,20.4882,-2.1715,46.1347
7899976,20.6294,-1.6391,46.2590
8000239,22.1786,-2.2583,45.6017
8099205,22.0894,-1.6051,45.6566
8198804,22.9356,-1.5856,44.8708
8300827,22.4208,-1.9306,45.0068
8400004,21.7876,-1.3745,44.8596
8501378,22.0639,-1.6466,45.3685
8601163,21.9046,-2.0652,45.1237
8700528,22.3019,-2.0005,46.0016
8799430,22.0571,-1.8700,45.2890
8900104,21.7172,-1.6574,46.0351
9000340,21.4413,-1.2241,45.8776
9099441,22.3374,-1.5938,45.1677
9198564,22.6241,-1.2628,44.9049
9298871,21.9277,-1.2824,45.3863
9401199,21.6447,-1.1365,45.8520
9501347,21.2542,-1.2467,45.4392
9599025,21.8377,-1.3761,45.0979
9699297,21.8431,-0.3617,44.9741
9799155,22.2258,-1.2398,45.1146
9900246,21.8057,-1.0405,45.6272
9998931,21.8349,-0.9896,45.6038
10099491,21.9289,-1.0245,45.3880
10200736,22.0995,-1.2004,45.5582
10301363,21.9774,-1.5002,45.1641
10399411,21.0202,-0.6634,45.2900
10498860,21.8949,-1.3667,46.0803
10601313,21.4644,-1.1641,45.9031
10699482,21.5705,-0.9553,45.6299
10800422,21.4338,-1.0715,44.7302
10901342,21.6710,-1.1909,45.5668
11000156,21.9102,-1.0853,45.3758
11098788,22.2551,-0.8107,44.9529
11199065,22.2061,-0.5754,45.4157
11299103,22.0437,-1.4110,45.8081
11399986,21.3148,-0.9054,45.4622
11500212,22.0462,-1.0718,45.5809
11600604,21.7122,-0.9299,45.1393
11700794,22.0561,-0.7049,45.8919
11801018,21.3308,-0.6037,45.7414
11899649,21.1756,-1.0799,45.5269
11999134,21.6120,-0.3495,44.9683
12101263,21.2416,-0.4896,45.6305
12200120,21.4765,-1.0928,45.4924
12300979,21.6272,-0.3716,45.7527
12398990,21.2857,-0.5295,45.6992
12501447,21.3841,-0.4758,45.5522
12600194,21.6676,-0.9046,45.7697
12700185,21.9363,-0.6315,45.7966
