# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
0,51.0000000000,0.0000000000,10.0000,0.169463,-1.321002,-9.999659,0.7799,-0.1437,-2.2971
10000,51.0000000702,-0.0000000205,10.0230,0.170608,-1.319977,-9.988011,0.7822,-0.1438,-2.2970
20000,51.0000001406,-0.0000000410,10.0459,0.171753,-1.318952,-9.976350,0.7845,-0.1439,-2.2968
30000,51.0000002112,-0.0000000615,10.0689,0.172899,-1.317926,-9.964675,0.7868,-0.1440,-2.2967
40000,51.0000002821,-0.0000000820,10.0919,0.174046,-1.316899,-9.952987,0.7890,-0.1441,-2.2966
50000,51.0000003531,-0.0000001025,10.1148,0.175193,-1.315872,-9.941286,0.7913,-0.1442,-2.2964
60000,51.0000004243,-0.0000001231,10.1378,0.176340,-1.314844,-9.929571,0.7936,-0.1443,-2.2963
70000,51.0000004958,-0.0000001437,10.1608,0.177488,-1.313816,-9.917843,0.7958,-0.1444,-2.2962
80000,51.0000005674,-0.0000001642,10.1837,0.178636,-1.312787,-9.906102,0.7981,-0.1445,-2.2960
90000,51.0000006392,-0.0000001848,10.2067,0.179785,-1.311757,-9.894347,0.8004,-0.1446,-2.2959
100000,51.0000007113,-0.0000002054,10.2296,0.180935,-1.310727,-9.882580,0.8026,-0.1446,-2.2957
110000,51.0000007835,-0.0000002260,10.2526,0.182084,-1.309697,-9.870799,0.8049,-0.1447,-2.2956
120000,51.0000008560,-0.0000002466,10.2756,0.183234,-1.308666,-9.859005,0.8071,-0.1448,-2.2954
130000,51.0000009286,-0.0000002673,10.2985,0.184385,-1.307634,-9.847198,0.8094,-0.1449,-2.2952
140000,51.0000010015,-0.0000002879,10.3215,0.185535,-1.306602,-9.835379,0.8116,-0.1449,-2.2951
150000,51.0000010745,-0.0000003086,10.3444,0.186686,-1.305569,-9.823546,0.8139,-0.1450,-2.2949
160000,51.0000011478,-0.0000003292,10.3674,0.187838,-1.304536,-9.811701,0.8161,-0.1451,-2.2947
170000,51.0000012213,-0.0000003499,10.3903,0.188989,-1.303502,-9.799843,0.8184,-0.1451,-2.2945
180000,51.0000012949,-0.0000003706,10.4132,0.190141,-1.302467,-9.787972,0.8206,-0.1452,-2.2944
190000,51.0000013688,-0.0000003913,10.4362,0.191293,-1.301432,-9.776088,0.8229,-0.1452,-2.2942
200000,51.0000014429,-0.0000004120,10.4591,0.192445,-1.300396,-9.764192,0.8251,-0.1453,-2.2940
210000,51.0000015171,-0.0000004327,10.4821,0.193598,-1.299360,-9.752283,0.8274,-0.1454,-2.2938
220000,51.0000015916,-0.0000004534,10.5050,0.194750,-1.298323,-9.740362,0.8296,-0.1454,-2.2936
230000,51.0000016663,-0.0000004741,10.5279,0.195903,-1.297286,-9.728428,0.8319,-0.1454,-2.2934
240000,51.0000017412,-0.0000004948,10.5509,0.197056,-1.296248,-9.716482,0.8341,-0.1455,-2.2932
250000,51.0000018163,-0.0000005155,10.5738,0.198209,-1.295210,-9.704523,0.8363,-0.1455,-2.2930
260000,51.0000018915,-0.0000005363,10.5967,0.199361,-1.294170,-9.692552,0.8386,-0.1456,-2.2928
270000,51.0000019670,-0.0000005570,10.6197,0.200514,-1.293131,-9.680569,0.8408,-0.1456,-2.2926
280000,51.0000020427,-0.0000005778,10.6426,0.201667,-1.292090,-9.668573,0.8431,-0.1456,-2.2924
290000,51.0000021186,-0.0000005985,10.6655,0.202820,-1.291050,-9.656565,0.8453,-0.1457,-2.2922
300000,51.0000021947,-0.0000006193,10.6884,0.203973,-1.290008,-9.644546,0.8475,-0.1457,-2.2919
310000,51.0000022709,-0.0000006400,10.7113,0.205126,-1.288966,-9.632514,0.8498,-0.1457,-2.2917
320000,51.0000023474,-0.0000006608,10.7343,0.206279,-1.287924,-9.620470,0.8520,-0.1457,-2.2915
330000,51.0000024241,-0.0000006815,10.7572,0.207431,-1.286880,-9.608414,0.8542,-0.1458,-2.2912
340000,51.0000025010,-0.0000007023,10.7801,0.208584,-1.285837,-9.596346,0.8564,-0.1458,-2.2910
350000,51.0000025781,-0.0000007231,10.8030,0.209736,-1.284792,-9.584266,0.8587,-0.1458,-2.2908
360000,51.0000026554,-0.0000007438,10.8259,0.210888,-1.283747,-9.572175,0.8609,-0.1458,-2.2905
370000,51.0000027328,-0.0000007646,10.8488,0.212040,-1.282702,-9.560071,0.8631,-0.1458,-2.2903
380000,51.0000028105,-0.0000007854,10.8717,0.213192,-1.281656,-9.547956,0.8653,-0.1458,-2.2900
390000,51.0000028884,-0.0000008062,10.8946,0.214343,-1.280609,-9.535830,0.8675,-0.1458,-2.2898
400000,51.0000029665,-0.0000008269,10.9175,0.215495,-1.279562,-9.523691,0.8698,-0.1458,-2.2895
410000,51.0000030448,-0.0000008477,10.9404,0.216385,-1.278558,-9.499871,0.8720,-0.1458,-2.2892
420000,51.0000031232,-0.0000008685,10.9633,0.217275,-1.277554,-9.476013,0.8742,-0.1458,-2.2890
430000,51.0000032019,-0.0000008892,10.9862,0.218165,-1.276550,-9.452116,0.8764,-0.1458,-2.2887
440000,51.0000032808,-0.0000009100,11.0091,0.219054,-1.275546,-9.428181,0.8786,-0.1458,-2.2884
450000,51.0000033599,-0.0000009308,11.0319,0.219942,-1.274542,-9.404209,0.8808,-0.1458,-2.2882
460000,51.0000034392,-0.0000009515,11.0548,0.220830,-1.273537,-9.380199,0.8830,-0.1458,-2.2879
470000,51.0000035186,-0.0000009723,11.0777,0.221718,-1.272533,-9.356151,0.8852,-0.1457,-2.2876
480000,51.0000035983,-0.0000009931,11.1006,0.222604,-1.271529,-9.332066,0.8874,-0.1457,-2.2873
490000,51.0000036782,-0.0000010138,11.1235,0.223490,-1.270524,-9.307944,0.8896,-0.1457,-2.2870
500000,51.0000037582,-0.0000010346,11.1463,0.224376,-1.269520,-9.283786,0.8918,-0.1457,-2.2867
510000,51.0000038385,-0.0000010553,11.1692,0.225261,-1.268515,-9.259590,0.8940,-0.1456,-2.2864
520000,51.0000039190,-0.0000010761,11.1920,0.226145,-1.267511,-9.235359,0.8962,-0.1456,-2.2861
530000,51.0000039996,-0.0000010968,11.2149,0.227029,-1.266506,-9.211091,0.8984,-0.1456,-2.2858
540000,51.0000040805,-0.0000011175,11.2378,0.227911,-1.265501,-9.186787,0.9006,-0.1455,-2.2855
550000,51.0000041615,-0.0000011383,11.2606,0.228793,-1.264496,-9.162447,0.9028,-0.1455,-2.2852
560000,51.0000042428,-0.0000011590,11.2835,0.229675,-1.263491,-9.138071,0.9050,-0.1454,-2.2849
570000,51.0000043242,-0.0000011797,11.3063,0.230555,-1.262486,-9.113660,0.9072,-0.1454,-2.2846
580000,51.0000044059,-0.0000012004,11.3292,0.231435,-1.261481,-9.089214,0.9094,-0.1454,-2.2843
590000,51.0000044877,-0.0000012211,11.3520,0.232314,-1.260476,-9.064733,0.9116,-0.1453,-2.2839
600000,51.0000045697,-0.0000012418,11.3748,0.233192,-1.259471,-9.040217,0.9138,-0.1452,-2.2836
610000,51.0000046520,-0.0000012625,11.3977,0.234070,-1.258465,-9.015667,0.9159,-0.1452,-2.2833
620000,51.0000047344,-0.0000012832,11.4205,0.234946,-1.257460,-8.991082,0.9181,-0.1451,-2.2830
630000,51.0000048170,-0.0000013039,11.4433,0.235822,-1.256455,-8.966463,0.9203,-0.1451,-2.2826
640000,51.0000048999,-0.0000013245,11.4662,0.236697,-1.255449,-8.941810,0.9225,-0.1450,-2.2823
650000,51.0000049829,-0.0000013452,11.4890,0.237571,-1.254443,-8.917123,0.9247,-0.1449,-2.2819
660000,51.0000050661,-0.0000013658,11.5118,0.238444,-1.253438,-8.892403,0.9268,-0.1449,-2.2816
670000,51.0000051495,-0.0000013864,11.5346,0.239316,-1.252432,-8.867649,0.9290,-0.1448,-2.2812
680000,51.0000052331,-0.0000014071,11.5574,0.240187,-1.251426,-8.842863,0.9312,-0.1447,-2.2809
690000,51.0000053169,-0.0000014277,11.5802,0.241057,-1.250420,-8.818043,0.9334,-0.1446,-2.2805
700000,51.0000054009,-0.0000014483,11.6030,0.241926,-1.249414,-8.793190,0.9355,-0.1446,-2.2801
710000,51.0000054851,-0.0000014689,11.6258,0.242794,-1.248408,-8.768305,0.9377,-0.1445,-2.2798
