# t_us, static pressure [Pa]
0,101203.5000
100000,101202.0000
200000,101206.5000
300000,101206.5000
400000,101203.5000
500000,101208.0000
600000,101208.0000
700000,101205.0000
800000,101208.0000
900000,101206.5000
1000000,101208.0000
1100000,101206.5000
1200000,101208.0000
1300000,101200.5000
1400000,101205.0000
1500000,101202.0000
1600000,101203.5000
1700000,101205.0000
1800000,101202.0000
1900000,101208.0000
2000000,101206.5000
2100000,101202.0000
2200000,101205.0000
2300000,101209.5000
2400000,101205.0000
2500000,101200.5000
2600000,101208.0000
2700000,101206.5000
2800000,101202.0000
2900000,101197.5000
3000000,101205.0000
3100000,101202.0000
3200000,101208.0000
3300000,101205.0000
3400000,101202.0000
3500000,101205.0000
3600000,101206.5000
3700000,101205.0000
3800000,101208.0000
3900000,101202.0000
4000000,101206.5000
4100000,101209.5000
4200000,101205.0000
4300000,101205.0000
4400000,101209.5000
4500000,101203.5000
4600000,101202.0000
4700000,101208.0000
4800000,101206.5000
4900000,101208.0000
5000000,101206.5000
5100000,101205.0000
5200000,101206.5000
5300000,101203.5000
5400000,101203.5000
5500000,101205.0000
5600000,101206.5000
5700000,101205.0000
5800000,101205.0000
5900000,101208.0000
6000000,101206.5000
6100000,101206.5000
6200000,101205.0000
6300000,101205.0000
6400000,101206.5000
6500000,101205.0000
6600000,101203.5000
6700000,101203.5000
6800000,101208.0000
6900000,101205.0000
7000000,101208.0000
7100000,101200.5000
7200000,101208.0000
7300000,101206.5000
7400000,101206.5000
7500000,101202.0000
7600000,101205.0000
7700000,101208.0000
7800000,101206.5000
7900000,101203.5000
8000000,101206.5000
8100000,101205.0000
8200000,101203.5000
8300000,101208.0000
8400000,101206.5000
8500000,101202.0000
8600000,101209.5000
8700000,101208.0000
8800000,101202.0000
8900000,101205.0000
9000000,101206.5000
9100000,101208.0000
9200000,101205.0000
9300000,101208.0000
9400000,101203.5000
9500000,101206.5000
9600000,101203.5000
9700000,101208.0000
9800000,101203.5000
9900000,101209.5000
10000000,101203.5000
10100000,101200.5000
10200000,101203.5000
10300000,101208.0000
10400000,101205.0000
10500000,101208.0000
10600000,101208.0000
10700000,101205.0000
10800000,101211.0000
10900000,101208.0000
11000000,101206.5000
11100000,101205.0000
11200000,101203.5000
11300000,101208.0000
11400000,101206.5000
11500000,101211.0000
11600000,101202.0000
11700000,101203.5000
11800000,101208.0000
11900000,101199.0000
12000000,101205.0000
12100000,101203.5000
12200000,101205.0000
12300000,101200.5000
12400000,101205.0000
12500000,101203.5000
12600000,101200.5000
12700000,101203.5000
