# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
0,51.0000093686,-0.0000115013,7.2722,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0704,-0.0743,-0.0118,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
500000,51.0000099672,-0.0000074510,7.4743,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0939,0.0327,-0.1329,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
1000000,51.0000096770,-0.0000083387,7.7012,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0050,0.0771,-0.0408,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
1500000,51.0000103012,-0.0000056786,7.7744,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0335,-0.0719,0.0136,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
2000000,51.0000101681,-0.0000061211,7.5347,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0325,-0.1108,0.0977,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
2500000,51.0000093605,-0.0000044160,7.4415,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0227,-0.0419,0.1196,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
3000000,51.0000092523,-0.0000056984,7.3903,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0728,-0.0231,-0.0818,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
3500000,51.0000076110,-0.0000034279,7.5470,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0763,-0.0496,-0.0916,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
4000000,51.0000070054,-0.0000025011,7.5559,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0461,-0.0083,-0.0730,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
4500000,51.0000088180,-0.0000001648,7.4454,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0219,-0.0303,0.0051,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
