# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
0,0.000383,-0.001577,-0.000612,0.0180,-0.1572,-9.8226
10000,-0.000509,-0.001275,0.000115,0.0255,0.0628,-9.7090
20000,0.005163,-0.001080,-0.000561,-0.1114,0.0032,-9.7839
30000,0.000253,-0.000705,-0.003599,-0.0539,-0.1235,-9.9161
40000,-0.002181,-0.001112,0.001062,-0.1864,-0.0152,-9.8518
50000,0.001152,0.001027,0.001383,0.0503,-0.1116,-9.8949
60000,0.001879,0.002208,-0.003611,-0.1409,0.0367,-9.6946
70000,-0.000942,0.003490,0.002683,0.0556,0.0508,-9.8101
80000,-0.001333,0.003878,0.000971,0.0427,0.0690,-9.7380
90000,-0.001564,0.003302,-0.000601,-0.0611,0.0180,-9.7331
100000,0.000357,0.001819,0.002157,-0.1594,-0.0777,-9.7428
110000,-0.000628,-0.000685,0.003246,0.0342,0.0551,-9.8703
120000,-0.000059,-0.001703,-0.000461,-0.1020,0.0218,-9.8591
130000,-0.003681,-0.000237,-0.004120,-0.0159,0.1477,-9.8290
140000,0.000251,-0.000849,0.001772,0.0386,-0.0155,-9.6489
150000,-0.000990,0.001070,0.001862,0.0677,0.0133,-9.7443
160000,0.000009,0.001157,-0.002512,0.0170,0.0604,-9.7855
170000,-0.000908,0.002070,0.000968,-0.0383,0.0612,-9.9820
180000,-0.002740,0.001203,-0.000883,-0.0628,0.0262,-9.7584
190000,0.001145,-0.000396,0.000403,0.1021,0.0398,-9.8700
200000,-0.002110,-0.002194,0.000919,-0.0822,0.0694,-9.7730
210000,0.001090,0.002694,-0.000356,0.0578,0.1082,-9.7843
220000,-0.001463,-0.000733,0.000216,0.0626,-0.0246,-9.7105
230000,0.000196,-0.000240,-0.000871,0.0671,-0.0257,-9.8516
240000,0.001686,-0.001500,0.002279,-0.0114,0.1048,-9.8759
250000,0.001814,0.003127,0.000680,-0.1200,0.1389,-9.8910
260000,0.000880,-0.002298,-0.000111,0.1120,-0.0346,-9.8136
270000,-0.001886,-0.000411,-0.001741,0.0030,0.1050,-9.7069
280000,0.002363,-0.001113,0.000894,-0.0077,-0.0570,-9.8976
290000,-0.000165,-0.000113,-0.003189,-0.0691,-0.0716,-9.7448
300000,0.000720,0.001136,0.000596,0.0550,-0.1139,-9.7449
310000,0.003399,-0.000589,0.002016,-0.0229,-0.1092,-9.7763
320000,-0.000425,0.004262,0.003018,0.0050,0.0951,-9.7415
330000,-0.001752,-0.001947,-0.002010,0.0228,0.1710,-9.8483
340000,0.001779,-0.000264,-0.000239,0.1372,0.1164,-9.8707
350000,0.002185,-0.001185,0.000762,-0.0073,-0.0176,-9.7499
360000,0.003987,0.001656,0.003387,0.0805,0.0084,-9.7181
370000,0.001995,-0.002038,0.000130,-0.0016,-0.0617,-9.8166
380000,-0.000461,0.003982,-0.002877,0.0183,-0.0779,-9.7838
390000,0.000800,-0.000277,0.003111,-0.0630,-0.0121,-9.8706
400000,0.003523,-0.002606,0.000449,0.1097,0.0542,-9.6777
410000,-0.000900,0.001480,-0.000097,-0.0844,-0.0641,-9.7166
420000,0.002804,0.001624,-0.002633,0.1160,-0.0396,-9.7857
430000,-0.000519,0.002355,0.001105,0.0243,-0.0020,-9.8331
440000,-0.002044,-0.004191,-0.001755,0.1081,-0.0380,-9.8909
450000,0.000176,0.002025,0.000395,0.0174,0.0157,-9.9046
460000,0.001136,-0.000069,-0.000512,0.1355,0.0395,-9.6696
470000,0.002625,0.000803,0.002266,0.1413,-0.1355,-9.8002
480000,0.000922,0.000024,-0.002126,0.0521,0.0197,-9.8205
490000,0.000853,-0.001442,-0.000100,-0.0350,-0.0578,-9.7050
500000,0.000167,0.001398,-0.001323,-0.0407,-0.0489,-9.7689
510000,-0.000496,0.001954,0.001470,-0.0942,0.1565,-9.8893
520000,-0.000259,-0.001150,-0.001067,0.0475,-0.0710,-9.7005
530000,-0.002007,-0.000678,-0.001578,-0.0679,0.1521,-9.8184
540000,0.001995,0.002575,0.002983,-0.0587,0.0779,-9.7690
550000,0.002256,0.002348,-0.001399,-0.0666,-0.0395,-9.6851
560000,0.000760,-0.000744,0.002925,0.0886,0.0962,-9.6907
570000,0.000968,-0.001333,-0.000119,0.0125,-0.0278,-9.8416
580000,0.003314,-0.000918,0.003553,-0.0046,-0.0637,-9.8963
590000,-0.000278,-0.000633,0.002332,0.0928,0.1056,-9.9539
600000,0.002057,-0.001096,-0.002722,0.0064,-0.0019,-9.9157
610000,-0.002055,0.001879,0.000215,-0.0040,0.0769,-9.7951
620000,0.000115,-0.000860,-0.000159,-0.0226,-0.1614,-9.8392
630000,-0.002988,0.002164,-0.000384,-0.0499,0.0403,-9.7324
640000,0.003227,-0.001699,0.000052,0.0298,-0.0228,-9.7982
650000,-0.000420,0.001646,0.002669,0.0098,-0.0299,-9.7661
660000,0.001268,-0.001972,-0.000436,-0.0372,0.1993,-9.7482
670000,0.000014,0.001021,0.000735,0.0011,-0.0283,-9.7114
680000,-0.000101,-0.002354,-0.002741,0.0483,-0.1209,-9.9095
690000,-0.000209,0.000752,-0.001205,0.0774,-0.0205,-9.7813
700000,0.000732,-0.001745,0.000579,0.0351,0.0520,-9.9223
710000,-0.003069,0.001866,0.003193,0.0104,0.0122,-9.7671
720000,0.002382,-0.001773,0.002142,-0.0218,-0.0468,-9.8687
730000,0.000027,0.000760,-0.000711,0.0743,0.0038,-9.8013
740000,-0.000109,0.001087,0.002754,-0.1189,0.0168,-9.9824
750000,0.003739,-0.001560,0.001507,0.0420,-0.1161,-9.8220
760000,0.000573,0.001540,0.000980,0.0793,0.0058,-9.8220
770000,0.004041,0.000527,0.003750,-0.0302,0.0040,-9.7370
780000,-0.000262,0.000140,-0.000335,-0.0621,-0.1026,-9.6726
790000,-0.000294,-0.001018,0.000050,0.1218,0.0197,-9.8384
800000,0.001472,0.003889,-0.000991,-0.1267,0.0056,-9.7588
810000,0.001276,0.000118,-0.000610,-0.0383,-0.0747,-9.8095
820000,0.003484,-0.001527,0.000134,0.0852,0.0878,-9.7903
830000,0.002236,-0.002397,-0.001097,0.0359,-0.0461,-9.8995
840000,-0.000348,-0.000410,-0.001992,-0.1671,-0.0999,-9.7405
850000,-0.000314,0.000946,0.002827,0.0797,0.0146,-9.8050
860000,0.000075,-0.003014,-0.000702,0.0101,0.0085,-9.8275
870000,-0.002907,0.000671,-0.002788,0.0270,-0.0734,-9.7734
880000,-0.003046,0.000935,0.002074,0.0529,0.0490,-9.8779
890000,0.001000,-0.001982,-0.002336,-0.0816,-0.2021,-9.7404
900000,0.002016,-0.002751,-0.002901,0.0579,0.0247,-9.9197
910000,0.001860,0.002689,0.000370,0.0699,0.0703,-9.7459
920000,0.000120,0.004573,0.002353,0.0097,0.0449,-9.8448
930000,-0.001482,-0.000450,0.002468,0.0536,-0.0599,-9.8194
940000,0.001310,-0.003923,0.000037,0.0714,0.1462,-9.7502
