# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
0,17.0736,-9.3980,44.7362
100000,17.5692,-9.8454,45.2818
200000,16.7669,-9.7657,45.0400
300000,17.0323,-9.3330,44.9824
400000,17.3311,-9.4792,44.5616
500000,17.1147,-9.3222,45.1200
600000,17.0793,-9.5841,44.9416
700000,17.3128,-10.0827,44.9072
800000,16.3967,-9.4808,44.7988
900000,16.7267,-9.3938,45.0519
1000000,17.1091,-9.4143,44.6313
1100000,17.4050,-9.4069,44.9823
1200000,16.7079,-9.1288,44.6333
1300000,16.7490,-9.7330,45.2247
1400000,17.1909,-9.3573,44.9792
1500000,17.0028,-9.3932,45.2772
1600000,16.9963,-9.5102,44.8559
1700000,16.9045,-9.6538,44.8181
1800000,17.2688,-9.7769,44.4822
1900000,17.1173,-9.4121,44.9958
2000000,17.0584,-9.5857,45.3266
2100000,17.6150,-9.3373,45.2384
2200000,16.8470,-9.1589,44.9960
2300000,17.0760,-9.1182,44.8628
2400000,16.9587,-9.6501,45.2106
2500000,17.0943,-9.7469,44.9051
2600000,17.0539,-9.8058,45.4809
2700000,17.2195,-9.4577,44.9784
2800000,17.4181,-9.1750,44.6344
2900000,17.1469,-9.2720,45.0081
3000000,17.0714,-9.4959,44.7633
3100000,17.3488,-9.6908,45.1185
3200000,16.9229,-9.7235,44.5986
3300000,17.2259,-10.0274,45.5616
3400000,16.8722,-9.4411,45.0195
3500000,16.9767,-9.2965,44.6309
3600000,17.2381,-9.4341,45.4317
3700000,17.0103,-9.5477,45.0591
3800000,16.5668,-9.4003,45.8213
3900000,16.6593,-9.3382,45.0331
4000000,17.5930,-9.4456,45.0120
4100000,17.6435,-9.3315,45.0184
4200000,16.9891,-9.7938,44.6800
4300000,17.0993,-9.0265,45.2193
4400000,16.7881,-9.6453,44.6926
4500000,17.2510,-9.5724,45.0430
4600000,17.1759,-9.2530,44.6508
4700000,17.4977,-9.6884,44.8012
4800000,16.7975,-8.9357,44.5777
4900000,17.1859,-8.9777,44.7262
5000000,16.8134,-9.8517,44.6110
5100000,17.6252,-9.3735,45.1320
5200000,17.1334,-9.6451,44.7560
5300000,17.7920,-9.3511,44.9858
5400000,16.9267,-9.6670,45.2243
5500000,17.2289,-9.2228,45.0616
5600000,17.6288,-9.1021,44.8473
5700000,16.9829,-9.3301,44.8021
5800000,17.7108,-9.3883,44.8665
5900000,16.9784,-9.1428,44.6082
6000000,17.0373,-8.9625,44.5289
6100000,16.9273,-9.6641,44.9218
6200000,16.9984,-9.5813,44.6113
6300000,16.4308,-9.6053,45.0350
6400000,16.9743,-9.2701,44.4422
6500000,17.0696,-9.1558,45.1231
6600000,17.4421,-9.3182,45.3872
6700000,17.4168,-8.8266,45.4715
6800000,17.3140,-9.2473,45.0375
6900000,16.9060,-9.0607,44.7810
7000000,17.0706,-9.9372,45.5028
7100000,16.5859,-8.9635,44.7349
7200000,16.6890,-9.0071,45.4659
7300000,16.9154,-9.4968,44.5829
7400000,17.2512,-9.4817,45.1037
7500000,16.6451,-9.1238,45.1231
7600000,17.2789,-9.5011,44.9584
7700000,16.8815,-9.2993,45.0865
7800000,16.8248,-9.4997,44.7307
7900000,17.3601,-9.2730,44.6483
8000000,16.9249,-9.4972,44.6826
8100000,17.4520,-9.5832,45.0199
8200000,16.8807,-9.9562,44.9215
8300000,16.9866,-9.0408,45.2780
8400000,17.1320,-9.8449,44.8510
8500000,17.3360,-9.0149,45.1759
8600000,16.7779,-9.3620,44.8883
8700000,16.7159,-9.5682,45.1055
