# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
0,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
10000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
20000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
30000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
40000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
50000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
60000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
70000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
80000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
90000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
100000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
110000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
120000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
130000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
140000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
150000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
160000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
170000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
180000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
190000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
200000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
210000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
220000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
230000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
240000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
250000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
260000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
270000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
280000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
290000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
300000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
310000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
320000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
330000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
340000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
350000,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,30.000000,0.0000,0.0000,0.0000
