# t_us, static pressure [Pa]
0,101203.5000
100000,101206.5000
200000,101200.5000
300000,101202.0000
400000,101205.0000
500000,101202.0000
600000,101205.0000
700000,101205.0000
800000,101205.0000
900000,101202.0000
1000000,101203.5000
1100000,101206.5000
1200000,101203.5000
1300000,101203.5000
1400000,101202.0000
1500000,101202.0000
1600000,101203.5000
1700000,101203.5000
1800000,101202.0000
1900000,101208.0000
2000000,101208.0000
2100000,101203.5000
2200000,101206.5000
2300000,101202.0000
2400000,101205.0000
2500000,101206.5000
2600000,101206.5000
2700000,101208.0000
2800000,101202.0000
2900000,101206.5000
3000000,101203.5000
3100000,101208.0000
3200000,101200.5000
3300000,101199.0000
3400000,101203.5000
3500000,101206.5000
3600000,101203.5000
3700000,101205.0000
3800000,101203.5000
3900000,101206.5000
4000000,101206.5000
4100000,101205.0000
4200000,101200.5000
4300000,101206.5000
4400000,101203.5000
4500000,101206.5000
4600000,101203.5000
4700000,101206.5000
4800000,101203.5000
4900000,101206.5000
5000000,101208.0000
5100000,101203.5000
5200000,101205.0000
5300000,101208.0000
5400000,101200.5000
5500000,101203.5000
5600000,101206.5000
5700000,101209.5000
5800000,101203.5000
5900000,101205.0000
6000000,101206.5000
6100000,101203.5000
6200000,101200.5000
6300000,101206.5000
6400000,101203.5000
6500000,101203.5000
6600000,101206.5000
6700000,101208.0000
6800000,101208.0000
6900000,101205.0000
7000000,101206.5000
7100000,101208.0000
7200000,101206.5000
7300000,101209.5000
7400000,101206.5000
7500000,101202.0000
7600000,101208.0000
7700000,101205.0000
7800000,101206.5000
7900000,101205.0000
8000000,101209.5000
8100000,101205.0000
8200000,101203.5000
8300000,101206.5000
8400000,101205.0000
8500000,101208.0000
8600000,101205.0000
8700000,101203.5000
8800000,101203.5000
8900000,101205.0000
9000000,101206.5000
9100000,101208.0000
9200000,101203.5000
9300000,101205.0000
9400000,101202.0000
9500000,101205.0000
9600000,101200.5000
9700000,101208.0000
9800000,101206.5000
9900000,101205.0000
10000000,101206.5000
10100000,101203.5000
10200000,101206.5000
10300000,101203.5000
10400000,101208.0000
10500000,101202.0000
10600000,101202.0000
10700000,101202.0000
10800000,101208.0000
10900000,101208.0000
11000000,101205.0000
11100000,101200.5000
11200000,101203.5000
11300000,101200.5000
11400000,101202.0000
11500000,101206.5000
11600000,101200.5000
11700000,101200.5000
11800000,101196.0000
11900000,101196.0000
12000000,101199.0000
12100000,101193.0000
12200000,101190.0000
12300000,101194.5000
12400000,101190.0000
12500000,101185.5000
12600000,101188.5000
12700000,101184.0000
12800000,101184.0000
12900000,101179.5000
13000000,101179.5000
13100000,101176.5000
13200000,101170.5000
13300000,101173.5000
13400000,101169.0000
13500000,101167.5000
13600000,101155.5000
13700000,101157.0000
13800000,101154.0000
13900000,101152.5000
14000000,101149.5000
14100000,101145.0000
14200000,101140.5000
14300000,101133.0000
14400000,101131.5000
14500000,101127.0000
14600000,101122.5000
14700000,101118.0000
14800000,101110.5000
14900000,101110.5000
15000000,101106.0000
15100000,101098.5000
15200000,101095.5000
15300000,101089.5000
15400000,101086.5000
15500000,101085.0000
15600000,101073.0000
15700000,101068.5000
15800000,101065.5000
15900000,101058.0000
16000000,101049.0000
16100000,101047.5000
16200000,101040.0000
16300000,101032.5000
16400000,101031.0000
16500000,101031.0000
16600000,101020.5000
16700000,101013.0000
16800000,101007.0000
16900000,101001.0000
17000000,100993.5000
17100000,100987.5000
17200000,100983.0000
17300000,100981.5000
17400000,100968.0000
17500000,100959.0000
17600000,100956.0000
17700000,100950.0000
17800000,100950.0000
17900000,100945.5000
18000000,100933.5000
18100000,100927.5000
18200000,100921.5000
18300000,100920.0000
18400000,100912.5000
18500000,100908.0000
18600000,100899.0000
18700000,100899.0000
18800000,100891.5000
18900000,100884.0000
19000000,100879.5000
19100000,100870.5000
19200000,100866.0000
19300000,100863.0000
19400000,100857.0000
19500000,100851.0000
19600000,100848.0000
19700000,100842.0000
19800000,100830.0000
19900000,100828.5000
20000000,100827.0000
20100000,100821.0000
20200000,100816.5000
20300000,100810.5000
20400000,100810.5000
20500000,100807.5000
20600000,100795.5000
20700000,100797.0000
20800000,100794.0000
20900000,100788.0000
21000000,100780.5000
21100000,100783.5000
21200000,100773.0000
21300000,100768.5000
21400000,100767.0000
21500000,100765.5000
21600000,100758.0000
21700000,100759.5000
21800000,100758.0000
21900000,100753.5000
22000000,100753.5000
22100000,100752.0000
22200000,100752.0000
22300000,100747.5000
22400000,100740.0000
22500000,100741.5000
22600000,100741.5000
22700000,100740.0000
22800000,100741.5000
22900000,100740.0000
23000000,100734.0000
23100000,100725.0000
23200000,100734.0000
23300000,100737.0000
23400000,100729.5000
23500000,100732.5000
23600000,100729.5000
23700000,100725.0000
23800000,100731.0000
23900000,100729.5000
24000000,100726.5000
24100000,100725.0000
24200000,100731.0000
24300000,100725.0000
24400000,100726.5000
24500000,100723.5000
24600000,100726.5000
24700000,100731.0000
24800000,100725.0000
24900000,100729.5000
25000000,100723.5000
25100000,100725.0000
25200000,100728.0000
25300000,100725.0000
25400000,100722.0000
25500000,100725.0000
25600000,100726.5000
25700000,100726.5000
25800000,100728.0000
25900000,100725.0000
26000000,100726.5000
26100000,100726.5000
26200000,100725.0000
26300000,100729.5000
26400000,100729.5000
26500000,100729.5000
26600000,100725.0000
26700000,100725.0000
26800000,100726.5000
26900000,100725.0000
27000000,100722.0000
27100000,100722.0000
27200000,100726.5000
27300000,100723.5000
27400000,100725.0000
27500000,100725.0000
27600000,100723.5000
27700000,100725.0000
27800000,100725.0000
27900000,100726.5000
28000000,100728.0000
28100000,100726.5000
28200000,100726.5000
28300000,100728.0000
28400000,100723.5000
28500000,100723.5000
28600000,100726.5000
28700000,100725.0000
28800000,100725.0000
28900000,100726.5000
29000000,100728.0000
29100000,100722.0000
29200000,100723.5000
29300000,100726.5000
29400000,100725.0000
29500000,100728.0000
29600000,100725.0000
29700000,100725.0000
29800000,100722.0000
29900000,100726.5000
30000000,100726.5000
30100000,100719.0000
30200000,100726.5000
30300000,100725.0000
30400000,100726.5000
30500000,100729.5000
30600000,100725.0000
30700000,100725.0000
30800000,100722.0000
30900000,100725.0000
31000000,100723.5000
31100000,100723.5000
31200000,100725.0000
31300000,100728.0000
31400000,100720.5000
31500000,100725.0000
31600000,100726.5000
31700000,100725.0000
31800000,100723.5000
31900000,100728.0000
32000000,100723.5000
32100000,100728.0000
32200000,100723.5000
32300000,100726.5000
32400000,100719.0000
32500000,100732.5000
32600000,100728.0000
32700000,100728.0000
32800000,100725.0000
32900000,100720.5000
33000000,100720.5000
33100000,100726.5000
33200000,100725.0000
33300000,100720.5000
33400000,100723.5000
33500000,100725.0000
33600000,100722.0000
33700000,100725.0000
33800000,100728.0000
33900000,100726.5000
34000000,100723.5000
34100000,100725.0000
34200000,100720.5000
34300000,100723.5000
34400000,100725.0000
34500000,100722.0000
34600000,100728.0000
34700000,100725.0000
34800000,100726.5000
34900000,100728.0000
35000000,100726.5000
35100000,100726.5000
35200000,100725.0000
35300000,100729.5000
35400000,100725.0000
35500000,100722.0000
35600000,100722.0000
35700000,100725.0000
35800000,100728.0000
35900000,100725.0000
36000000,100723.5000
36100000,100725.0000
36200000,100725.0000
36300000,100729.5000
36400000,100725.0000
36500000,100728.0000
36600000,100725.0000
36700000,100728.0000
36800000,100728.0000
36900000,100725.0000
37000000,100728.0000
37100000,100725.0000
37200000,100726.5000
37300000,100725.0000
37400000,100735.5000
37500000,100726.5000
37600000,100726.5000
37700000,100723.5000
37800000,100723.5000
37900000,100725.0000
38000000,100725.0000
38100000,100723.5000
38200000,100719.0000
38300000,100726.5000
38400000,100726.5000
38500000,100726.5000
38600000,100725.0000
38700000,100726.5000
38800000,100728.0000
38900000,100726.5000
39000000,100726.5000
39100000,100726.5000
39200000,100725.0000
39300000,100725.0000
39400000,100728.0000
39500000,100722.0000
39600000,100722.0000
39700000,100723.5000
39800000,100722.0000
39900000,100720.5000
40000000,100725.0000
40100000,100729.5000
40200000,100729.5000
40300000,100725.0000
40400000,100726.5000
40500000,100725.0000
40600000,100728.0000
40700000,100723.5000
40800000,100716.0000
40900000,100719.0000
41000000,100722.0000
41100000,100713.0000
41200000,100708.5000
41300000,100708.5000
41400000,100708.5000
41500000,100707.0000
41600000,100699.5000
41700000,100704.0000
41800000,100702.5000
41900000,100705.5000
42000000,100701.0000
42100000,100701.0000
42200000,100701.0000
42300000,100704.0000
42400000,100699.5000
42500000,100699.5000
42600000,100705.5000
42700000,100704.0000
42800000,100707.0000
42900000,100701.0000
43000000,100705.5000
43100000,100710.0000
43200000,100710.0000
43300000,100711.5000
43400000,100711.5000
43500000,100713.0000
43600000,100719.0000
43700000,100719.0000
43800000,100722.0000
43900000,100716.0000
44000000,100717.5000
44100000,100722.0000
44200000,100729.5000
44300000,100728.0000
44400000,100728.0000
44500000,100731.0000
44600000,100735.5000
44700000,100738.5000
44800000,100737.0000
44900000,100738.5000
45000000,100738.5000
45100000,100744.5000
45200000,100744.5000
45300000,100741.5000
45400000,100744.5000
45500000,100747.5000
45600000,100744.5000
45700000,100750.5000
45800000,100755.0000
45900000,100753.5000
46000000,100747.5000
46100000,100747.5000
46200000,100750.5000
46300000,100750.5000
46400000,100755.0000
46500000,100749.0000
46600000,100747.5000
46700000,100747.5000
46800000,100746.0000
46900000,100744.5000
47000000,100743.0000
47100000,100744.5000
47200000,100747.5000
47300000,100743.0000
47400000,100741.5000
47500000,100740.0000
47600000,100738.5000
47700000,100740.0000
47800000,100732.5000
47900000,100731.0000
48000000,100734.0000
48100000,100734.0000
48200000,100728.0000
48300000,100726.5000
48400000,100726.5000
48500000,100719.0000
48600000,100717.5000
48700000,100720.5000
48800000,100719.0000
48900000,100720.5000
49000000,100717.5000
49100000,100714.5000
49200000,100710.0000
49300000,100708.5000
49400000,100707.0000
49500000,100708.5000
49600000,100705.5000
49700000,100707.0000
49800000,100704.0000
49900000,100702.5000
50000000,100702.5000
50100000,100707.0000
50200000,100704.0000
50300000,100704.0000
50400000,100698.0000
50500000,100699.5000
50600000,100702.5000
50700000,100705.5000
50800000,100701.0000
50900000,100707.0000
51000000,100705.5000
51100000,100704.0000
51200000,100704.0000
51300000,100710.0000
51400000,100708.5000
51500000,100710.0000
51600000,100710.0000
51700000,100713.0000
51800000,100713.0000
51900000,100711.5000
52000000,100714.5000
52100000,100717.5000
52200000,100720.5000
52300000,100726.5000
52400000,100726.5000
52500000,100723.5000
52600000,100731.0000
52700000,100731.0000
52800000,100728.0000
52900000,100738.5000
53000000,100738.5000
53100000,100740.0000
53200000,100738.5000
53300000,100737.0000
53400000,100741.5000
53500000,100741.5000
53600000,100740.0000
53700000,100744.5000
53800000,100744.5000
53900000,100746.0000
54000000,100746.0000
54100000,100744.5000
54200000,100747.5000
54300000,100752.0000
54400000,100743.0000
54500000,100750.5000
54600000,100750.5000
54700000,100749.0000
54800000,100753.5000
54900000,100747.5000
55000000,100749.0000
55100000,100747.5000
55200000,100749.0000
55300000,100743.0000
55400000,100744.5000
55500000,100743.0000
55600000,100743.0000
55700000,100744.5000
55800000,100741.5000
55900000,100738.5000
56000000,100738.5000
56100000,100735.5000
56200000,100734.0000
56300000,100732.5000
56400000,100732.5000
56500000,100725.0000
56600000,100728.0000
56700000,100728.0000
56800000,100728.0000
56900000,100723.5000
57000000,100717.5000
57100000,100720.5000
57200000,100716.0000
57300000,100717.5000
57400000,100714.5000
57500000,100711.5000
57600000,100710.0000
57700000,100710.0000
57800000,100705.5000
57900000,100708.5000
58000000,100704.0000
58100000,100707.0000
58200000,100702.5000
58300000,100702.5000
58400000,100705.5000
58500000,100704.0000
58600000,100704.0000
58700000,100714.5000
58800000,100710.0000
58900000,100711.5000
59000000,100711.5000
59100000,100714.5000
59200000,100722.0000
59300000,100720.5000
59400000,100723.5000
59500000,100731.0000
59600000,100725.0000
59700000,100726.5000
59800000,100729.5000
59900000,100728.0000
60000000,100726.5000
60100000,100722.0000
60200000,100723.5000
60300000,100726.5000
60400000,100725.0000
60500000,100725.0000
60600000,100722.0000
60700000,100728.0000
60800000,100729.5000
60900000,100722.0000
61000000,100726.5000
61100000,100725.0000
61200000,100729.5000
61300000,100728.0000
61400000,100734.0000
61500000,100726.5000
61600000,100729.5000
61700000,100732.5000
61800000,100735.5000
61900000,100731.0000
62000000,100731.0000
62100000,100729.5000
62200000,100729.5000
62300000,100732.5000
62400000,100732.5000
62500000,100729.5000
62600000,100735.5000
62700000,100735.5000
62800000,100737.0000
62900000,100738.5000
63000000,100732.5000
63100000,100741.5000
63200000,100735.5000
63300000,100741.5000
63400000,100740.0000
63500000,100741.5000
63600000,100746.0000
63700000,100747.5000
63800000,100752.0000
63900000,100756.5000
64000000,100753.5000
64100000,100755.0000
64200000,100759.5000
64300000,100755.0000
64400000,100764.0000
64500000,100755.0000
64600000,100762.5000
64700000,100765.5000
64800000,100770.0000
64900000,100768.5000
65000000,100774.5000
65100000,100779.0000
65200000,100777.5000
65300000,100780.5000
65400000,100780.5000
65500000,100789.5000
65600000,100792.5000
65700000,100792.5000
65800000,100794.0000
65900000,100798.5000
66000000,100801.5000
66100000,100801.5000
66200000,100800.0000
66300000,100812.0000
66400000,100810.5000
66500000,100818.0000
66600000,100818.0000
66700000,100822.5000
66800000,100830.0000
66900000,100833.0000
67000000,100836.0000
67100000,100836.0000
67200000,100842.0000
67300000,100851.0000
67400000,100845.0000
67500000,100854.0000
67600000,100854.0000
67700000,100857.0000
67800000,100863.0000
67900000,100866.0000
68000000,100869.0000
68100000,100875.0000
68200000,100876.5000
68300000,100881.0000
68400000,100890.0000
68500000,100891.5000
68600000,100897.5000
68700000,100894.5000
68800000,100899.0000
68900000,100906.5000
69000000,100908.0000
69100000,100915.5000
69200000,100920.0000
69300000,100923.0000
69400000,100930.5000
69500000,100932.0000
69600000,100935.0000
69700000,100941.0000
69800000,100948.5000
69900000,100950.0000
70000000,100951.5000
70100000,100962.0000
70200000,100962.0000
70300000,100965.0000
70400000,100968.0000
70500000,100968.0000
70600000,100972.5000
70700000,100978.5000
70800000,100987.5000
70900000,100987.5000
71000000,100999.5000
71100000,101002.5000
71200000,101005.5000
71300000,101008.5000
71400000,101010.0000
71500000,101017.5000
71600000,101023.5000
71700000,101031.0000
71800000,101034.0000
71900000,101035.5000
72000000,101035.5000
72100000,101035.5000
72200000,101043.0000
72300000,101046.0000
72400000,101053.5000
72500000,101046.0000
72600000,101062.5000
72700000,101062.5000
72800000,101064.0000
72900000,101068.5000
73000000,101074.5000
73100000,101080.5000
73200000,101074.5000
73300000,101086.5000
73400000,101083.5000
73500000,101091.0000
73600000,101097.0000
73700000,101098.5000
73800000,101101.5000
73900000,101106.0000
74000000,101110.5000
74100000,101110.5000
74200000,101113.5000
74300000,101116.5000
74400000,101121.0000
74500000,101122.5000
74600000,101130.0000
74700000,101127.0000
74800000,101127.0000
74900000,101127.0000
75000000,101131.5000
75100000,101137.5000
75200000,101137.5000
75300000,101140.5000
75400000,101140.5000
75500000,101146.5000
75600000,101145.0000
75700000,101145.0000
75800000,101151.0000
75900000,101154.0000
76000000,101152.5000
76100000,101152.5000
76200000,101155.5000
76300000,101157.0000
76400000,101163.0000
76500000,101161.5000
76600000,101164.5000
76700000,101166.0000
76800000,101164.5000
76900000,101163.0000
77000000,101169.0000
77100000,101172.0000
77200000,101172.0000
77300000,101172.0000
77400000,101167.5000
77500000,101172.0000
77600000,101173.5000
77700000,101178.0000
77800000,101178.0000
77900000,101181.0000
78000000,101175.0000
78100000,101173.5000
78200000,101178.0000
78300000,101178.0000
78400000,101181.0000
78500000,101178.0000
78600000,101178.0000
78700000,101179.5000
78800000,101178.0000
78900000,101182.5000
79000000,101184.0000
79100000,101181.0000
79200000,101181.0000
79300000,101181.0000
79400000,101176.5000
79500000,101181.0000
79600000,101178.0000
79700000,101181.0000
79800000,101179.5000
79900000,101185.5000
80000000,101184.0000
80100000,101178.0000
80200000,101184.0000
80300000,101181.0000
80400000,101182.5000
80500000,101181.0000
80600000,101179.5000
80700000,101181.0000
80800000,101182.5000
80900000,101182.5000
81000000,101176.5000
81100000,101182.5000
81200000,101182.5000
81300000,101179.5000
81400000,101181.0000
81500000,101181.0000
81600000,101182.5000
81700000,101179.5000
81800000,101187.0000
81900000,101181.0000
82000000,101182.5000
82100000,101179.5000
82200000,101184.0000
82300000,101178.0000
82400000,101181.0000
82500000,101181.0000
82600000,101179.5000
82700000,101179.5000
82800000,101179.5000
82900000,101182.5000
83000000,101181.0000
83100000,101181.0000
83200000,101181.0000
83300000,101179.5000
83400000,101184.0000
83500000,101182.5000
83600000,101182.5000
83700000,101181.0000
83800000,101181.0000
83900000,101179.5000
84000000,101179.5000
