# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
0,51.0000028212,-0.0000174254,7.7010,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0070,0.0651,0.0214,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
500000,51.0000023482,-0.0000152341,7.6411,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0784,-0.0112,-0.0877,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
1000000,51.0000031387,-0.0000161982,7.7407,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0817,0.0856,0.0007,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
1500000,51.0000029448,-0.0000135787,7.2584,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0371,-0.0300,-0.1283,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
2000000,51.0000017016,-0.0000134199,7.5797,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0700,-0.1490,0.1582,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
2500000,51.0000012746,-0.0000162991,8.0657,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0699,-0.1181,-0.0482,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
3000000,51.0000013783,-0.0000204289,8.0045,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0202,-0.1525,0.0643,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
3500000,51.0000002521,-0.0000220090,8.2208,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0295,-0.0498,-0.0623,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
4000000,51.0000007355,-0.0000208855,8.1677,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0441,-0.0461,-0.0335,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
4500000,50.9999993837,-0.0000224326,8.1237,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0726,-0.0238,-0.0851,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
5000000,50.9999962840,-0.0000191088,7.9360,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0685,0.0261,0.0921,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
5500000,50.9999971157,-0.0000151349,7.8859,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0705,-0.0441,-0.1073,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
6000000,50.9999991560,-0.0000141585,7.7895,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0085,-0.0631,-0.0425,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
6500000,50.9999987567,-0.0000144165,7.4593,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0637,0.0230,-0.0329,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
7000000,50.9999997511,-0.0000129863,7.7937,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0829,-0.0549,0.2066,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
7500000,51.0000001856,-0.0000138239,8.1555,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0843,-0.0787,0.0625,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
8000000,50.9999989523,-0.0000114031,8.1032,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0980,-0.0481,-0.0076,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
8500000,50.9999994199,-0.0000118637,7.8812,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0597,0.0065,-0.0763,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
9000000,50.9999980733,-0.0000174384,7.3758,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0778,-0.0750,-0.0358,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
9500000,50.9999983896,-0.0000162290,7.3100,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.1282,0.0970,-0.0698,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
10000000,50.9999995921,-0.0000180520,7.5682,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.1342,-0.0807,-0.0393,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
10500000,51.0000007604,-0.0000163299,7.8771,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.1060,0.0056,-0.1006,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
11000000,51.0000010174,-0.0000149912,7.7049,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0198,0.0067,-0.4512,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
11500000,51.0000008713,-0.0000174148,8.0619,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0648,-0.0322,-0.6991,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
12000000,51.0000029407,-0.0000174758,8.2589,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0124,0.1069,-0.9939,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
12500000,51.0000024621,-0.0000187882,8.3372,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0901,-0.0873,-1.5777,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
13000000,51.0000004208,-0.0000163127,9.5374,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0087,0.0752,-2.0885,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
13500000,51.0000006224,-0.0000183695,10.9900,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0752,0.0411,-2.6208,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
14000000,51.0000020330,-0.0000214392,12.2817,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0326,-0.0467,-2.9536,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
14500000,51.0000007927,-0.0000243335,14.1967,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0127,0.0942,-3.4796,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
15000000,51.0000025522,-0.0000289955,16.5352,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0665,-0.0001,-3.9375,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
15500000,51.0000026578,-0.0000250236,18.4696,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0261,1.0034,-4.3550,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
16000000,50.9999999568,-0.0000076411,20.7347,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0154,3.4593,-4.5603,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
16500000,50.9999983917,0.0000217578,22.9185,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.1130,3.8235,-4.8606,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
17000000,50.9999976974,0.0000444856,25.2832,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0423,2.0924,-4.9727,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
17500000,50.9999966635,0.0000557877,28.0492,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0280,1.8256,-5.0971,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
18000000,50.9999970775,0.0000693852,30.1809,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0487,1.5074,-4.9184,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
18500000,50.9999989627,0.0000831771,32.7561,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0031,1.1254,-4.7878,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
19000000,51.0000002578,0.0000914051,35.4158,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0341,0.8042,-4.6099,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
19500000,50.9999991799,0.0000949388,37.8546,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0166,0.3059,-4.3349,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
20000000,51.0000004140,0.0000962463,39.9730,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,-0.0151,0.0052,-3.9084,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
20500000,51.0000036449,0.0000949570,41.7036,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.0442,-0.4445,-3.5732,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
21000000,51.0000052162,0.0000931825,43.6765,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.1761,-0.7688,-3.0526,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
21500000,51.0000047177,0.0000845420,44.6903,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.1322,-1.1543,-2.4967,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
22000000,51.0000072193,0.0000774650,45.4945,6.2500,0.0000,0.0000,6.2500,0.0000,6.2500,0.2051,-1.2991,-2.1150,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1
