# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
0,0.001317,-0.001351,-0.002845,0.0774,0.0482,-9.8410
10000,-0.003141,0.001721,0.000825,-0.0744,0.0695,-9.6019
20000,0.002753,0.001378,-0.000762,-0.2469,0.1244,-9.6754
30000,-0.002330,0.001737,0.002426,0.0417,-0.0214,-9.6367
40000,-0.003315,0.000436,0.002952,-0.0069,0.0310,-9.4252
50000,-0.001762,-0.000698,0.000018,0.0283,-0.0474,-9.5734
60000,-0.002974,0.002499,0.001310,0.1102,-0.0157,-9.7099
70000,-0.002520,-0.004806,-0.000728,0.0288,-0.0974,-9.6309
80000,-0.001699,-0.003721,-0.001361,-0.0094,0.0795,-9.6674
90000,0.002545,-0.000457,-0.000808,0.0606,-0.0329,-9.6786
100000,0.001076,0.001348,0.000087,-0.0346,-0.0773,-9.5956
110000,-0.001798,0.000371,0.001944,0.0766,0.0546,-9.7154
120000,-0.000479,-0.000166,0.002453,-0.0144,-0.0404,-9.6648
130000,-0.000499,0.000217,-0.002878,0.1487,0.0490,-9.7355
140000,-0.001853,-0.001984,0.003756,-0.0189,0.0626,-9.7304
150000,-0.001337,-0.002029,0.004375,0.1745,-0.0505,-9.8482
160000,0.000930,0.000478,-0.000620,-0.0862,0.0408,-9.7202
170000,-0.002160,-0.002302,-0.000995,-0.0362,0.0695,-9.7807
180000,0.000780,-0.001276,0.000586,0.0556,-0.0392,-9.5946
190000,-0.001433,-0.002029,0.001290,-0.1354,-0.0632,-9.7028
200000,-0.000425,-0.002655,-0.004360,0.1432,0.0058,-9.6796
210000,0.001310,-0.000183,0.002017,-0.0459,0.0958,-9.5617
220000,0.000062,-0.001361,-0.003554,0.0245,0.1252,-9.5428
230000,0.000595,-0.004729,-0.001059,0.1463,-0.1245,-9.6883
240000,0.000352,-0.000682,-0.000306,-0.1134,-0.0405,-9.6688
250000,0.000547,-0.001649,-0.000640,-0.0542,-0.0109,-9.7000
260000,0.003699,-0.002618,0.001321,0.0584,0.0860,-9.6249
270000,0.001337,-0.000108,0.003817,-0.0645,-0.1146,-9.6450
280000,0.001634,-0.002861,-0.000480,0.0541,0.1993,-9.5869
290000,0.000225,-0.000553,0.001759,0.0407,-0.0545,-9.6498
300000,0.000861,0.000055,0.000627,-0.0295,-0.0814,-9.5849
310000,-0.001766,0.002075,0.000417,-0.0265,-0.0959,-9.5991
320000,0.002068,-0.001006,-0.003232,0.0674,0.1300,-9.6584
330000,0.000795,0.000915,-0.002506,-0.1246,-0.0599,-9.6558
340000,-0.004612,0.002841,-0.001448,-0.1502,-0.0181,-9.6061
350000,0.001862,-0.001552,0.002447,0.1084,-0.0589,-9.6428
360000,-0.000082,0.002078,-0.001610,-0.0755,-0.0061,-9.5775
370000,-0.002057,-0.000657,-0.002300,-0.1130,0.0934,-9.5369
380000,-0.001910,0.000244,0.002545,-0.0301,0.0678,-9.5737
390000,0.001473,-0.000742,0.000144,0.0364,0.0408,-9.7497
400000,-0.000725,0.000084,0.002182,0.1538,-0.0231,-9.5911
410000,-0.001342,0.000481,-0.001493,0.0170,0.0359,-9.6201
420000,0.000777,0.000752,0.002778,-0.0688,-0.0068,-9.7055
430000,0.001584,0.000844,0.003678,-0.0753,0.0682,-9.5792
440000,0.001859,0.002244,0.002051,-0.1872,0.1692,-9.7455
450000,0.000330,0.000518,0.002791,0.0513,-0.0026,-9.7066
460000,0.003332,0.000566,-0.001764,0.0498,-0.1162,-9.6286
470000,0.000720,0.002844,0.001695,-0.0460,0.1319,-9.6417
480000,-0.002938,0.000733,0.003153,0.0507,-0.0001,-9.5890
490000,-0.000196,0.002004,0.000961,-0.0078,0.0630,-9.7233
500000,-0.000374,-0.000236,-0.001672,-0.0248,0.0168,-9.7552
510000,-0.001646,0.001038,-0.003322,0.0665,0.0052,-9.5934
520000,0.002537,-0.002923,-0.000640,-0.0571,0.0702,-9.6862
530000,-0.000341,-0.000504,0.002263,0.0906,0.0426,-9.7549
540000,-0.000738,-0.000527,-0.000340,0.0891,0.0448,-9.5575
550000,-0.000037,-0.000651,0.000673,0.0096,0.0319,-9.5390
560000,0.000346,-0.000287,-0.000243,-0.0063,-0.0354,-9.6634
570000,-0.000739,0.001817,-0.000159,-0.0610,0.0280,-9.7064
580000,0.001297,-0.000170,-0.004472,-0.1718,-0.1435,-9.6972
590000,0.001502,-0.000956,0.000930,-0.0219,-0.0427,-9.5429
600000,-0.000840,-0.001009,-0.001957,-0.0319,0.0519,-9.7359
610000,0.000565,0.003315,-0.004870,0.0998,-0.0120,-9.6448
620000,0.005469,0.003392,-0.000786,0.0075,-0.0088,-9.7379
630000,0.000757,-0.003650,-0.001839,0.0058,-0.0057,-9.6568
