# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
0,18.3885,-6.8213,44.5462
100000,18.2959,-6.6621,44.8948
200000,18.1150,-6.2822,45.1044
300000,18.6206,-5.9897,44.9023
400000,17.9906,-6.4879,44.7838
500000,18.9014,-6.6801,44.5919
600000,18.7005,-6.3328,44.9167
700000,18.7950,-6.4560,45.0832
800000,18.8505,-5.8043,44.9462
900000,18.5127,-6.1143,44.7940
1000000,18.7069,-6.2963,45.1034
1100000,18.4653,-6.0877,45.3797
1200000,18.7172,-7.1677,45.3302
1300000,18.4561,-6.6598,45.2932
1400000,18.9845,-6.1952,45.0758
1500000,18.3140,-5.8522,44.2248
1600000,18.8572,-5.7572,44.9701
1700000,18.4447,-6.5224,44.9359
1800000,18.5839,-5.9487,44.9905
1900000,18.4933,-6.3585,44.8222
2000000,18.2590,-6.6557,44.9719
2100000,17.8699,-6.3896,44.8754
2200000,18.1844,-6.4024,44.9744
2300000,18.3370,-6.4279,45.0851
2400000,18.7924,-6.8575,44.5841
2500000,18.8482,-5.9691,44.7467
2600000,18.2794,-6.5718,45.0586
2700000,18.4435,-6.4428,45.1403
2800000,18.4274,-6.3755,44.8804
2900000,18.3134,-6.0215,44.1820
3000000,18.6317,-6.5641,45.0295
3100000,18.4983,-5.8002,45.4290
3200000,18.2343,-6.5184,44.8470
3300000,18.1968,-6.8700,44.8017
3400000,17.8621,-6.3262,44.9878
3500000,18.5115,-6.5866,45.2708
3600000,18.3422,-6.5547,45.2130
3700000,18.7841,-6.5961,44.8614
3800000,18.3842,-6.3068,44.6487
3900000,19.0209,-5.7635,45.3479
4000000,18.3382,-6.7055,45.0132
4100000,18.3979,-7.1057,44.5419
4200000,18.5912,-6.2418,44.7019
4300000,18.2100,-6.6865,45.0086
4400000,17.7566,-6.0289,44.7889
4500000,18.6528,-6.3789,45.0792
4600000,18.0546,-6.9334,45.0039
4700000,17.9381,-6.3846,45.2384
4800000,18.5297,-6.5398,45.5739
4900000,18.0264,-6.5090,44.8894
5000000,18.8051,-6.1720,44.5126
5100000,18.3319,-6.6445,44.3271
5200000,18.6840,-6.8118,44.6904
5300000,18.7543,-6.2651,45.1962
5400000,18.2473,-6.8451,44.8909
5500000,18.4256,-6.4596,45.0239
5600000,18.8988,-6.3534,44.9543
5700000,18.2443,-6.2974,44.4275
5800000,18.6249,-6.7208,44.4657
5900000,18.4780,-6.4657,45.3001
6000000,18.0731,-6.4190,44.7928
6100000,18.4761,-6.4793,44.3931
6200000,18.6980,-6.1879,44.9100
6300000,18.4192,-6.2613,45.0413
