# t_us, static pressure [Pa]
0,101205.7162
100000,101193.4380
200000,101193.1429
300000,101186.9765
400000,101174.5602
500000,101170.2305
600000,101164.7143
700000,101157.4745
800000,101148.3381
900000,101143.0820
1000000,101132.9243
1100000,101128.8167
1200000,101122.1065
1300000,101117.3979
1400000,101110.9642
1500000,101099.6203
1600000,101096.5223
1700000,101085.0456
1800000,101079.4988
1900000,101074.5613
2000000,101063.0431
2100000,101058.2235
2200000,101055.7679
2300000,101049.0855
2400000,101040.5449
2500000,101036.1283
2600000,101029.8466
2700000,101019.6305
2800000,101015.9365
2900000,101009.8584
3000000,101005.3430
3100000,101000.5347
3200000,100991.8104
3300000,100987.3867
3400000,100983.7068
3500000,100978.1372
3600000,100974.9157
3700000,100966.6219
3800000,100962.0393
3900000,100959.1596
4000000,100956.4358
4100000,100948.3946
4200000,100947.4778
4300000,100936.7789
4400000,100935.0003
4500000,100934.9381
4600000,100930.0102
4700000,100927.8053
4800000,100924.4209
4900000,100922.8538
5000000,100915.9727
5100000,100919.7474
5200000,100913.2837
5300000,100912.3870
5400000,100910.7215
5500000,100908.5286
5600000,100906.9969
5700000,100907.6816
5800000,100905.2328
5900000,100909.1271
6000000,100906.5935
6100000,100908.6777
6200000,100907.2578
6300000,100905.2570
6400000,100909.2194
6500000,100906.3389
6600000,100906.2466
6700000,100904.3498
6800000,100900.1571
6900000,100906.2678
7000000,100905.9109
7100000,100903.0166
7200000,100906.5884
7300000,100904.9174
7400000,100904.5570
7500000,100908.3891
7600000,100902.8803
7700000,100898.8546
7800000,100909.0354
7900000,100909.0299
8000000,100905.9804
8100000,100904.9218
8200000,100903.4549
8300000,100903.6505
8400000,100901.4234
8500000,100910.0436
8600000,100904.3947
8700000,100907.7555
8800000,100905.0057
8900000,100902.9193
9000000,100905.5559
9100000,100901.8152
9200000,100906.0129
9300000,100901.6817
9400000,100904.2958
9500000,100905.8943
9600000,100904.3191
9700000,100905.1817
9800000,100904.2509
9900000,100905.5680
10000000,100905.9906
10100000,100903.9329
10200000,100905.8435
10300000,100908.4502
10400000,100903.9011
10500000,100905.5920
10600000,100906.5431
10700000,100906.6011
10800000,100906.7753
10900000,100902.0523
11000000,100901.4676
11100000,100908.0822
11200000,100907.8447
11300000,100904.8033
11400000,100905.5386
11500000,100903.2141
11600000,100905.2478
11700000,100909.5538
11800000,100906.4488
11900000,100905.7840
12000000,100902.9637
12100000,100904.3314
12200000,100904.7744
12300000,100904.3689
12400000,100908.0589
12500000,100905.9797
12600000,100905.4641
12700000,100905.4809
12800000,100903.2058
12900000,100904.9751
13000000,100907.0233
13100000,100900.6505
13200000,100903.5364
13300000,100903.1575
13400000,100904.7982
13500000,100903.3080
13600000,100906.7104
13700000,100905.9040
13800000,100905.5956
13900000,100903.0074
14000000,100904.3401
14100000,100903.6562
14200000,100906.8216
14300000,100906.8158
14400000,100904.1761
14500000,100903.1835
14600000,100904.4186
14700000,100909.5257
14800000,100902.5763
14900000,100905.8741
15000000,100903.8423
15100000,100908.7914
15200000,100902.2103
15300000,100905.5466
15400000,100905.7187
15500000,100902.9152
15600000,100902.5224
15700000,100901.1307
15800000,100901.9387
15900000,100903.2636
16000000,100906.2069
16100000,100902.1656
16200000,100901.2515
16300000,100908.5526
16400000,100905.7907
16500000,100905.8362
16600000,100903.6130
16700000,100908.3197
16800000,100902.3800
16900000,100907.0696
17000000,100906.1531
17100000,100908.0515
17200000,100906.2708
17300000,100905.1158
17400000,100910.0271
17500000,100902.6120
17600000,100903.7460
17700000,100907.4409
17800000,100907.2536
17900000,100900.1913
18000000,100907.6491
18100000,100904.5629
18200000,100908.8627
18300000,100908.6384
18400000,100902.2950
18500000,100906.5189
18600000,100903.7425
18700000,100907.2983
18800000,100906.5251
18900000,100910.1898
19000000,100905.3604
19100000,100909.0919
19200000,100905.7110
19300000,100905.1227
19400000,100907.3414
19500000,100905.2476
19600000,100904.7726
19700000,100909.2056
19800000,100903.5379
19900000,100900.8665
20000000,100905.2695
20100000,100902.9170
20200000,100906.6978
20300000,100903.7280
20400000,100906.3019
20500000,100903.7739
20600000,100904.6357
20700000,100905.0865
20800000,100904.4209
20900000,100905.5284
21000000,100902.6084
21100000,100902.9065
21200000,100905.5325
21300000,100905.7337
21400000,100905.6301
21500000,100904.4064
21600000,100905.9302
21700000,100908.2693
21800000,100905.1411
21900000,100905.1050
22000000,100900.9972
22100000,100904.2639
22200000,100906.2875
22300000,100905.9398
22400000,100905.9018
22500000,100903.4515
22600000,100905.4350
22700000,100904.4679
22800000,100906.4677
22900000,100900.8749
23000000,100904.9524
23100000,100900.5211
23200000,100903.8246
23300000,100902.9429
23400000,100909.3583
23500000,100905.8025
23600000,100905.5397
23700000,100905.4715
23800000,100902.4343
23900000,100903.3373
24000000,100906.9168
24100000,100904.9208
24200000,100905.4846
24300000,100908.8517
24400000,100906.4875
24500000,100904.2186
24600000,100903.0504
24700000,100904.7771
24800000,100903.0508
24900000,100902.5956
25000000,100905.8324
25100000,100905.8332
25200000,100905.9691
25300000,100906.5050
25400000,100907.1657
25500000,100906.0646
25600000,100905.9474
25700000,100905.8326
25800000,100902.9948
25900000,100906.9367
26000000,100904.5611
26100000,100909.8334
26200000,100905.8846
26300000,100904.0837
26400000,100907.6921
26500000,100902.3368
26600000,100905.0322
26700000,100903.3099
26800000,100909.6338
26900000,100903.2275
27000000,100903.7290
27100000,100903.3225
27200000,100904.8797
27300000,100904.0180
27400000,100907.1328
27500000,100905.0711
27600000,100904.5445
27700000,100906.1152
27800000,100906.2733
27900000,100905.5185
28000000,100907.4334
28100000,100902.8195
28200000,100905.2397
28300000,100908.5385
28400000,100906.6218
28500000,100902.4584
28600000,100904.5465
28700000,100906.6144
28800000,100902.3877
28900000,100905.9157
29000000,100910.6930
29100000,100905.7433
29200000,100906.5586
29300000,100905.7525
29400000,100904.1337
29500000,100908.1224
29600000,100902.6257
29700000,100904.3533
29800000,100906.6733
29900000,100901.8282
30000000,100902.5738
30100000,100903.3457
30200000,100904.0383
30300000,100908.6605
30400000,100906.5664
30500000,100906.7948
30600000,100905.4065
30700000,100905.1323
30800000,100902.6365
30900000,100906.7595
31000000,100906.4764
31100000,100907.5989
31200000,100905.6986
31300000,100903.1359
31400000,100904.9737
31500000,100906.5762
31600000,100904.9981
31700000,100905.7892
31800000,100906.3825
31900000,100906.7650
32000000,100905.9640
32100000,100903.3314
32200000,100904.3769
32300000,100904.3489
32400000,100906.3417
32500000,100905.0852
32600000,100907.0034
32700000,100902.9263
32800000,100905.6531
32900000,100902.4596
33000000,100905.9529
33100000,100904.3909
33200000,100904.0649
33300000,100908.8547
33400000,100905.3952
33500000,100908.9018
33600000,100903.6163
33700000,100908.4851
33800000,100903.4022
33900000,100905.8333
34000000,100907.6067
34100000,100905.0779
34200000,100903.1511
34300000,100904.2929
34400000,100907.8363
34500000,100905.2895
34600000,100906.8165
34700000,100901.6085
34800000,100903.3446
34900000,100907.0914
35000000,100904.2572
35100000,100908.1964
35200000,100904.2708
35300000,100905.6568
35400000,100906.3605
35500000,100905.4055
35600000,100903.0090
35700000,100904.2204
35800000,100905.3788
35900000,100904.1288
36000000,100906.7403
36100000,100901.1999
36200000,100904.9036
36300000,100902.9002
36400000,100902.5057
36500000,100906.6707
36600000,100905.6900
36700000,100906.4704
36800000,100903.6245
36900000,100907.9743
37000000,100904.8553
37100000,100903.9677
37200000,100899.7834
37300000,100902.6724
37400000,100905.7329
37500000,100904.7713
37600000,100903.7604
37700000,100908.5863
37800000,100903.0550
37900000,100904.9859
38000000,100905.1468
38100000,100904.3466
38200000,100905.5586
