# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
500000,50.9999960138,-0.0000011819,9.6629,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0502,-0.0132,-5.5509,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
1000000,50.9999961761,-0.0000015051,12.5400,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0176,0.0284,-5.7739,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
1500000,50.9999962662,-0.0000017398,15.4409,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0075,-0.0334,-5.7512,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
2000000,50.9999962529,-0.0000015813,18.3106,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0111,0.0198,-5.7146,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
2500000,50.9999965208,-0.0000016573,21.1859,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0353,-0.0118,-5.5539,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
3000000,50.9999966537,-0.0000019403,23.8684,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0208,-0.0077,-5.2629,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
3500000,50.9999965704,-0.0000021126,26.4157,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0533,0.0173,-4.8846,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
4000000,50.9999967961,-0.0000019891,28.7434,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0248,-0.0025,-4.3087,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
4500000,50.9999968213,-0.0000014007,30.7491,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0105,0.0297,-3.7308,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
5000000,50.9999964404,-0.0000016891,32.4393,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0162,-0.0048,-2.9395,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
5500000,50.9999963035,-0.0000017196,33.7036,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0140,-0.0588,-2.1110,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
6000000,50.9999963590,-0.0000016956,34.5612,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0128,0.0630,-1.1525,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
6500000,50.9999961562,-0.0000016549,34.8451,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0047,-0.0547,-0.0185,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
7000000,50.9999987010,-0.0000090808,34.8104,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.0570,-2.0397,-0.0104,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
7500000,51.0000056423,-0.0000308235,34.8481,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.1666,-3.9533,-0.0280,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
8000000,51.0000174906,-0.0000641067,34.8266,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,3.3136,-5.5829,-0.0226,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
8500000,51.0000351979,-0.0001085788,34.8937,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,4.6331,-6.8491,-0.0379,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
9000000,51.0000590497,-0.0001609511,35.0007,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,6.0862,-7.8152,0.0114,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
9500000,51.0000897112,-0.0002187728,34.9598,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,7.7134,-8.3835,-0.0041,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
10000000,51.0001276208,-0.0002793585,34.8275,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,9.3634,-8.5604,0.0349,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
