# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
0,50.9999960138,-0.0000011819,9.6629,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0111,-0.0118,-5.5523,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
500000,50.9999961761,-0.0000015051,12.5400,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0353,-0.0077,-5.7526,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
1000000,50.9999962662,-0.0000017398,15.4409,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0208,0.0173,-5.7555,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
1500000,50.9999962529,-0.0000015813,18.3106,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0533,-0.0025,-5.7563,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
2000000,50.9999965208,-0.0000016573,21.1859,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0248,0.0297,-5.5437,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
2500000,50.9999966537,-0.0000019403,23.8684,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0105,-0.0048,-5.2939,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
3000000,50.9999965704,-0.0000021126,26.4157,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0162,-0.0588,-4.9141,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
3500000,50.9999967961,-0.0000019891,28.7434,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0140,0.0630,-4.3588,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
4000000,50.9999968213,-0.0000014007,30.7491,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0128,-0.0547,-3.7141,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
4500000,50.9999964404,-0.0000016891,32.4393,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0047,0.0308,-2.9793,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
5000000,50.9999963035,-0.0000017196,33.7036,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0010,-0.0190,-2.1059,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
5500000,50.9999963590,-0.0000016956,34.5612,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0281,-0.0396,-1.1374,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
6000000,50.9999961562,-0.0000016549,34.8451,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.0002,0.0022,0.0114,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
6500000,50.9999987010,-0.0000090808,34.8104,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.0669,-2.0733,-0.0041,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
7000000,51.0000056423,-0.0000308235,34.8481,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.1421,-3.9328,0.0349,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
7500000,51.0000174906,-0.0000641067,34.8266,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,3.3569,-5.5686,0.0130,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
8000000,51.0000351979,-0.0001085788,34.8937,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,4.6456,-6.8578,0.0491,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
8500000,51.0000590497,-0.0001609511,35.0007,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,6.0617,-7.8270,-0.0632,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
9000000,51.0000897112,-0.0002187728,34.9598,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,7.7234,-8.4058,0.0513,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
9500000,51.0001276208,-0.0002793585,34.8275,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,9.3168,-8.5314,0.0186,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
10000000,51.0001734332,-0.0003392511,34.8099,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,11.0535,-8.3047,0.0042,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
10500000,51.0002266608,-0.0003966279,34.8528,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,12.6817,-7.5087,-0.0230,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
11000000,51.0002868905,-0.0004458266,34.8758,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,14.1317,-6.3526,0.0657,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
11500000,51.0003526507,-0.0004858495,34.8696,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,15.3108,-4.8878,0.0134,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
12000000,51.0004237753,-0.0005137240,34.8461,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,16.2635,-3.0466,-0.0136,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
12500000,51.0004983932,-0.0005289244,34.8004,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,16.7172,-1.0098,-0.0132,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
13000000,51.0005738533,-0.0005280036,34.8061,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,16.7996,1.1468,0.0293,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
13500000,51.0006490860,-0.0005126384,34.8766,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,16.4830,3.1825,0.0164,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
14000000,51.0007218644,-0.0004823803,34.9474,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,15.6439,5.1285,-0.0300,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
14500000,51.0007896884,-0.0004399430,34.9014,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,14.5457,6.8114,-0.0433,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
15000000,51.0008521996,-0.0003867044,34.9528,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,13.1452,8.1626,0.0434,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
15500000,51.0009077067,-0.0003242867,35.0377,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,11.5671,9.0874,-0.0088,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
16000000,51.0009560808,-0.0002585976,35.0454,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,9.9068,9.6026,-0.0244,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
16500000,51.0009968330,-0.0001897255,35.0547,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,8.1271,9.6057,-0.0147,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
17000000,51.0010298123,-0.0001228421,35.0456,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,6.5273,9.2542,0.0445,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
17500000,51.0010554309,-0.0000589116,35.0219,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,5.0341,8.4677,0.0300,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
18000000,51.0010745236,-0.0000021254,35.0204,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,3.6811,7.3221,0.0317,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
18500000,51.0010891392,0.0000490364,35.0771,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,3.0332,6.9630,0.0471,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
19000000,51.0011011585,0.0000981297,35.0953,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,2.4036,6.6405,0.0220,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
19500000,51.0011107151,0.0001443028,35.0595,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.9789,6.4234,-0.0023,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
20000000,51.0011183453,0.0001888301,35.0012,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.5633,6.0694,-0.0109,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
20500000,51.0011248657,0.0002316744,34.9881,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,1.2261,5.8288,-0.0082,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
21000000,51.0011296581,0.0002730112,34.9365,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.9050,5.6043,-0.0607,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
21500000,51.0011330050,0.0003132885,34.9715,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.6945,5.4200,-0.0363,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
22000000,51.0011355649,0.0003513737,34.9898,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.4357,5.3875,-0.0210,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
22500000,51.0011368366,0.0003893348,34.9873,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,0.1906,5.2514,0.0140,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
23000000,51.0011371087,0.0004270344,35.0099,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.0159,5.2052,-0.0555,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
23500000,51.0011370621,0.0004645277,35.0502,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.2269,5.3026,0.0146,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
24000000,51.0011359310,0.0005019926,35.0480,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.4039,5.3361,-0.0104,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
24500000,51.0011336288,0.0005402977,35.0965,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.6268,5.4512,0.0530,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
25000000,51.0011300938,0.0005794048,35.1206,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-0.9032,5.5783,0.0144,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
25500000,51.0011255356,0.0006203359,35.0599,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.2511,5.8663,0.0373,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
26000000,51.0011192060,0.0006630988,35.0736,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.6020,6.0853,0.0385,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
26500000,51.0011109397,0.0007071722,35.1015,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-1.9739,6.3594,0.0164,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
27000000,51.0011011059,0.0007539341,35.0069,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-2.4235,6.7174,0.0312,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
27500000,51.0010888108,0.0008029528,35.0036,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.0237,6.9855,0.0179,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
28000000,51.0010740544,0.0008546054,35.0370,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-3.7035,7.3386,0.0637,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
28500000,51.0010555614,0.0009098971,35.0435,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-4.6229,8.0041,0.0719,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
29000000,51.0010318893,0.0009685841,35.0819,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-5.7139,8.3838,0.0082,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
29500000,51.0010035954,0.0010288462,35.1244,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-6.8820,8.4703,-0.0180,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
30000000,51.0009696888,0.0010892020,35.1494,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-8.1122,8.3963,-0.0272,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
30500000,51.0009307065,0.0011479445,35.0920,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-9.3024,8.0230,0.0305,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
31000000,51.0008859056,0.0012043011,35.0982,0.2500,0.0000,0.0000,0.2500,0.0000,0.6400,-10.4935,7.5142,-0.0607,0.002500,0.000000,0.000000,0.002500,0.000000,0.002500,1
