# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
0,-0.000821,-0.000880,0.000715,-0.0331,-0.0051,-10.2954
10000,-0.000172,-0.000094,-0.000395,0.0283,-0.0204,-10.2474
20000,-0.000295,-0.000083,0.000032,-0.0221,0.0411,-10.2657
30000,-0.000223,-0.000254,0.000406,-0.0098,-0.0213,-10.2506
40000,-0.000169,-0.000412,-0.000161,-0.0258,-0.0204,-10.2693
50000,0.000452,0.000458,-0.000091,0.0159,-0.0020,-10.2943
60000,0.000177,-0.001034,0.000148,-0.0303,0.0080,-10.2631
70000,-0.000145,0.001226,0.000682,-0.0052,-0.0125,-10.2817
80000,-0.000641,0.000345,0.000080,0.0012,0.0057,-10.2288
90000,0.000590,-0.001086,0.000385,0.0259,0.0315,-10.1751
100000,-0.000869,0.000539,-0.000108,-0.0184,-0.0190,-10.2347
110000,-0.001103,-0.001140,0.000128,-0.0214,-0.0134,-10.2214
120000,0.000077,0.000371,-0.000186,-0.0067,0.0299,-10.2485
130000,-0.000180,0.000274,-0.001473,0.0479,0.0218,-10.2229
140000,0.000398,0.000080,-0.000146,0.0435,0.0015,-10.2162
150000,0.000083,-0.000822,-0.000280,-0.0286,0.0099,-10.2294
160000,0.000421,-0.000085,-0.000062,0.0174,0.0160,-10.1786
170000,0.000528,0.000628,0.000260,-0.0065,-0.0211,-10.1823
180000,0.000543,-0.000124,-0.000214,0.0048,-0.0001,-10.1863
190000,-0.000062,-0.000759,0.000136,-0.0123,0.0220,-10.2157
200000,-0.000140,-0.000473,0.000243,-0.0109,-0.0243,-10.1779
210000,0.000240,0.000290,0.000105,-0.0093,0.0004,-10.1865
220000,-0.000291,0.000705,0.000160,-0.0194,0.0193,-10.1886
230000,0.000143,0.000312,0.000004,-0.0206,-0.0019,-10.1722
240000,0.001024,0.001061,-0.001555,0.0491,-0.0353,-10.1545
250000,-0.000466,0.000235,-0.001160,-0.0048,-0.0244,-10.1792
260000,-0.000941,0.000223,0.001319,-0.0186,-0.0073,-10.1528
270000,-0.000105,-0.000611,0.000073,-0.0202,-0.0230,-10.1710
280000,-0.000053,0.000074,-0.000157,-0.0128,0.0051,-10.1246
290000,0.000444,-0.000189,-0.000204,-0.0225,-0.0120,-10.1344
300000,-0.000636,-0.000120,0.000221,0.0042,0.0129,-10.1417
310000,-0.000351,-0.000354,-0.000168,0.0077,0.0089,-10.1301
320000,0.000600,-0.000645,-0.000140,0.0076,-0.0038,-10.1112
330000,0.000307,0.000842,-0.000762,-0.0074,-0.0022,-10.1075
340000,-0.000063,0.000178,0.001131,0.0044,0.0066,-10.1484
350000,0.000062,0.000056,0.000708,-0.0060,-0.0158,-10.1105
360000,-0.000300,0.000159,0.000018,0.0239,-0.0170,-10.1097
370000,-0.000078,0.000172,-0.000193,0.0177,-0.0191,-10.1221
380000,0.000391,-0.000235,0.000112,-0.0158,0.0306,-10.1059
390000,0.000470,0.000020,-0.000235,-0.0246,-0.0042,-10.0528
400000,0.000576,0.000624,-0.000487,-0.0186,0.0142,-10.1194
410000,-0.000270,0.000055,0.000023,-0.0039,-0.0271,-10.1011
420000,-0.000258,0.000418,0.001073,0.0404,0.0208,-10.0744
430000,-0.000220,0.000695,0.000121,-0.0362,-0.0218,-10.0968
440000,0.000526,-0.000529,-0.000197,-0.0270,-0.0099,-10.0548
450000,0.000105,-0.000422,-0.000918,0.0063,-0.0044,-10.0562
460000,0.000053,-0.000161,0.000280,-0.0057,-0.0255,-10.0146
470000,0.000363,-0.000037,0.000113,0.0176,0.0010,-10.0478
480000,0.000303,-0.000178,0.000167,0.0343,-0.0164,-10.0157
490000,-0.000130,0.000600,0.000325,0.0390,-0.0442,-10.0411
500000,-0.000180,0.000579,-0.000200,-0.0310,-0.0207,-10.0767
510000,0.000395,0.000049,-0.000167,0.0193,0.0077,-10.0551
520000,-0.001013,-0.000098,0.001206,0.0123,0.0085,-10.0312
530000,-0.000338,-0.000360,0.000208,0.0014,-0.0130,-10.0373
540000,0.000242,0.000258,-0.000054,-0.0128,0.0058,-10.0178
550000,-0.000146,-0.000361,0.000123,-0.0142,-0.0010,-10.0149
560000,-0.000354,-0.000055,-0.000115,-0.0146,0.0199,-10.0013
570000,-0.000641,-0.000484,-0.000040,0.0006,0.0150,-9.9624
580000,-0.000433,0.000044,-0.000849,0.0050,0.0059,-10.0073
590000,-0.000223,0.000333,0.000773,-0.0068,-0.0221,-9.9801
600000,-0.000272,-0.000025,0.000771,0.0009,-0.0272,-9.9694
610000,-0.000532,-0.001011,0.000057,0.0284,0.0200,-9.9943
620000,0.000117,-0.000010,0.000894,-0.0120,-0.0073,-9.9837
630000,-0.000166,0.001025,-0.000738,0.0034,0.0018,-9.9594
640000,-0.000388,0.000974,0.000346,-0.0378,0.0096,-9.9739
650000,0.000964,-0.000763,0.000337,-0.0073,0.0076,-9.9836
660000,-0.000541,0.000880,-0.000437,0.0137,-0.0181,-9.9798
670000,0.000987,-0.000701,0.000347,-0.0155,0.0240,-10.0033
680000,0.000145,-0.000172,-0.000720,-0.0446,-0.0029,-10.0067
690000,-0.000458,0.000658,0.000507,0.0015,-0.0065,-9.9572
700000,-0.000767,0.000434,0.000190,0.0055,0.0011,-9.9407
710000,-0.000563,0.000040,0.000045,0.0050,-0.0434,-9.9473
720000,-0.000152,-0.000402,0.000240,-0.0041,-0.0019,-9.9447
730000,-0.000458,-0.000177,-0.000076,-0.0113,-0.0061,-9.8979
740000,0.000551,-0.000151,0.000051,0.0008,-0.0076,-9.9259
750000,0.000034,-0.000620,0.000720,0.0318,-0.0192,-9.8937
760000,-0.000255,0.000495,-0.000062,0.0156,-0.0210,-9.8840
770000,0.000321,-0.000748,-0.000304,-0.0231,0.0083,-9.9035
780000,0.000027,0.000980,0.000636,-0.0038,-0.0090,-9.8870
790000,-0.000263,0.000910,-0.000627,-0.0013,0.0129,-9.8876
800000,0.000156,0.000214,0.000226,0.0215,0.0054,-9.8979
810000,0.000189,0.000012,0.000212,-0.0344,-0.0257,-9.9142
820000,-0.000536,0.000941,-0.000274,0.0042,-0.0332,-9.8652
830000,0.000135,-0.000827,0.001093,-0.0202,-0.0417,-9.9046
840000,0.000218,0.000277,0.000164,0.0180,0.0157,-9.8337
850000,0.000307,0.000126,0.000212,0.0144,-0.0056,-9.8572
860000,0.000587,-0.000015,0.000231,-0.0049,-0.0232,-9.8677
870000,-0.000279,0.000500,-0.000087,0.0057,0.0245,-9.9013
880000,0.000312,-0.000587,0.000848,-0.0159,0.0235,-9.8768
890000,0.000113,-0.000464,0.000020,-0.0278,0.0044,-9.8553
900000,0.000402,0.000381,0.000177,-0.0031,0.0333,-9.8219
910000,-0.000241,-0.000272,-0.000264,0.0107,0.0222,-9.8806
920000,-0.000843,0.000155,-0.000559,-0.0101,-0.0043,-9.8324
930000,-0.000897,-0.000146,0.000388,-0.0170,-0.0082,-9.8326
940000,-0.000167,-0.000026,0.000440,-0.0002,0.0133,-9.8305
950000,0.000658,-0.000247,-0.000484,-0.0130,0.0298,-9.8576
960000,0.000093,0.000445,0.000150,-0.0046,-0.0107,-9.8100
970000,0.000538,-0.000073,0.000019,-0.0076,0.0072,-9.8005
980000,0.000516,0.000028,-0.000559,-0.0446,0.0195,-9.8169
990000,-0.000135,-0.000625,0.000608,0.0146,0.0128,-9.7906
1000000,0.000222,0.000143,0.000007,0.0032,0.0044,-9.8051
1010000,-0.000320,-0.000104,0.000305,0.0058,0.0109,-9.8160
1020000,0.001193,-0.000543,0.000202,0.0070,-0.0035,-9.8016
1030000,-0.000363,0.001003,0.000010,0.0185,0.0057,-9.7983
1040000,0.000406,0.000286,0.000629,0.0142,-0.0313,-9.7770
1050000,-0.000535,0.000086,-0.000391,0.0485,-0.0176,-9.8000
1060000,-0.000687,0.000064,0.000170,-0.0080,-0.0249,-9.7847
1070000,0.000276,-0.000221,-0.000032,-0.0264,0.0048,-9.7716
1080000,-0.000039,0.000030,0.000479,0.0154,0.0263,-9.7905
1090000,0.000274,-0.000663,-0.000347,-0.0020,0.0274,-9.7525
1100000,-0.000715,0.000337,-0.000107,0.0009,0.0082,-9.7550
1110000,0.000019,0.000463,0.000486,-0.0070,0.0096,-9.7759
1120000,-0.000367,-0.000210,0.000489,0.0098,-0.0037,-9.7550
1130000,-0.000109,0.000200,0.000294,0.0068,-0.0029,-9.7134
1140000,-0.000059,-0.000113,-0.000191,-0.0025,0.0089,-9.7176
1150000,0.000457,-0.000845,-0.000847,0.0093,-0.0159,-9.7533
1160000,0.000136,-0.000235,0.000438,0.0340,-0.0006,-9.7581
1170000,0.001095,-0.000044,0.000113,-0.0021,0.0338,-9.7338
1180000,0.000143,-0.001028,0.000843,-0.0173,0.0403,-9.7136
1190000,-0.000571,-0.000531,0.000327,0.0111,0.0206,-9.6845
1200000,-0.000153,-0.000645,-0.000036,0.0144,-0.0014,-9.7798
1210000,0.000147,0.000195,-0.000131,-0.0122,0.0227,-9.7247
1220000,0.000047,-0.000274,-0.000169,0.0054,0.0542,-9.7188
1230000,0.001070,0.000527,0.000143,-0.0446,0.0358,-9.6593
1240000,-0.000757,0.000173,-0.000518,-0.0024,-0.0129,-9.6662
1250000,-0.000286,0.000636,0.000154,0.0044,0.0158,-9.7157
1260000,-0.000400,-0.000219,-0.001032,0.0186,-0.0169,-9.6740
1270000,-0.000608,-0.000645,0.000348,-0.0004,-0.0157,-9.7053
1280000,0.000530,0.000079,0.000430,-0.0440,0.0156,-9.7114
1290000,0.000047,-0.000016,-0.000581,0.0026,0.0577,-9.7039
1300000,-0.000053,0.000664,0.000055,-0.0207,-0.0222,-9.6810
1310000,0.000277,-0.001076,-0.000370,0.0239,0.0384,-9.6593
1320000,-0.000447,0.000257,0.001077,0.0228,0.0445,-9.6556
1330000,0.000369,-0.000109,-0.000799,-0.0051,0.0085,-9.6841
1340000,0.000364,0.000057,0.000088,0.0442,0.0120,-9.6378
1350000,-0.000191,0.000196,-0.000710,-0.0199,-0.0146,-9.6383
1360000,-0.000120,-0.000327,0.000377,0.0048,-0.0147,-9.6544
1370000,-0.000081,0.000316,0.000148,0.0174,-0.0100,-9.6509
1380000,-0.000191,0.000057,-0.000181,0.0116,0.0444,-9.6286
1390000,-0.000199,0.000269,-0.000243,0.0230,-0.0320,-9.6041
1400000,0.000535,-0.000217,-0.000012,0.0077,0.0149,-9.6336
1410000,-0.000644,-0.000439,-0.000419,-0.0168,-0.0215,-9.6304
1420000,0.000051,-0.000747,-0.000273,-0.0306,-0.0347,-9.6182
1430000,0.000686,0.000150,-0.000165,-0.0325,-0.0138,-9.6011
1440000,0.000331,0.000866,0.000120,-0.0091,0.0197,-9.6017
1450000,0.000389,-0.000341,-0.000258,-0.0337,0.0030,-9.5974
1460000,-0.000519,-0.000084,0.001054,0.0089,-0.0263,-9.5861
1470000,0.000161,0.000471,0.000517,-0.0103,0.0077,-9.5966
1480000,-0.000515,-0.000180,-0.000580,-0.0274,0.0094,-9.6017
1490000,-0.000276,0.000768,-0.000658,0.0093,0.0158,-9.6110
1500000,-0.000842,-0.000813,0.000257,0.0263,-0.0111,-9.5666
1510000,-0.000639,-0.000496,-0.000071,-0.0213,0.0122,-9.5881
1520000,0.000016,-0.000127,-0.000147,0.0320,-0.0071,-9.5650
1530000,0.000864,0.000458,-0.000545,0.0196,-0.0228,-9.5315
1540000,-0.000101,0.000239,0.000415,-0.0042,-0.0017,-9.5729
1550000,-0.000098,0.000414,-0.000339,0.0153,0.0129,-9.5521
1560000,-0.000017,0.000639,-0.000239,0.0003,-0.0491,-9.5271
1570000,0.000618,0.000508,0.000824,-0.0074,-0.0061,-9.5361
1580000,0.000134,-0.000468,0.000054,-0.0397,0.0159,-9.5611
1590000,-0.000710,-0.000232,-0.000209,-0.0069,0.0133,-9.5415
1600000,0.000125,0.000761,-0.000119,0.0108,-0.0137,-9.5083
1610000,0.000120,-0.000563,-0.000666,0.0066,-0.0003,-9.5496
1620000,-0.000582,0.000070,0.000771,0.0176,-0.0336,-9.5294
1630000,-0.000648,-0.000136,0.001086,-0.0370,0.0084,-9.5059
1640000,-0.000510,-0.000940,-0.000412,-0.0111,-0.0044,-9.5056
1650000,0.000280,-0.000161,-0.000100,0.0172,0.0207,-9.5175
1660000,0.000135,0.000039,-0.000050,0.0244,-0.0173,-9.4944
1670000,0.000112,0.000433,-0.000451,-0.0097,-0.0159,-9.5129
1680000,-0.000126,0.000217,0.001288,0.0205,-0.0097,-9.4610
1690000,-0.000370,0.000666,0.000188,-0.0162,0.0245,-9.4615
1700000,-0.000048,-0.000670,-0.000778,-0.0103,-0.0205,-9.4835
1710000,-0.000203,0.000573,-0.000799,0.0040,0.0122,-9.4616
1720000,0.000441,-0.000504,-0.000322,0.0206,-0.0162,-9.4784
