# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
0,8.4893,17.6689,45.1637
100000,8.3223,17.6293,45.0667
200000,8.5788,17.6963,45.0850
300000,8.6253,17.9784,44.9429
400000,8.2134,17.1991,44.9027
500000,8.1525,17.9617,44.6143
600000,8.4392,17.5565,45.1344
700000,8.6692,17.6853,44.7016
800000,8.5632,17.5610,44.8425
900000,8.1699,17.6564,44.7805
1000000,8.4649,17.2273,44.9439
1100000,8.1211,17.6148,44.7008
1200000,8.4741,17.3321,44.9307
1300000,8.6042,17.5354,44.9582
1400000,8.4716,17.5801,44.8328
1500000,8.5051,18.0366,45.0664
1600000,8.6106,17.3817,44.7980
1700000,8.6044,17.4526,44.9252
1800000,8.2669,17.4544,44.9108
1900000,8.6439,17.9810,45.0475
2000000,8.4700,17.5187,44.7739
2100000,8.6378,17.5706,44.8677
2200000,8.2155,17.7811,44.8184
2300000,8.7206,17.3860,44.9483
2400000,8.3562,17.4031,45.1762
2500000,8.3690,17.1476,44.7291
2600000,8.4367,17.3930,44.9429
2700000,8.3747,17.6713,45.1865
2800000,8.2730,17.7662,44.7451
2900000,8.7091,17.5709,44.8637
3000000,8.5443,17.5120,45.1375
3100000,8.2928,17.8292,45.1630
3200000,8.5262,17.2477,44.8044
3300000,8.2684,17.4205,44.6867
3400000,8.5295,17.2964,45.0854
3500000,8.3909,17.4535,44.8392
3600000,8.5221,17.1322,45.0997
3700000,8.5562,17.4920,44.8839
3800000,8.5820,17.1624,44.6304
3900000,8.5665,17.2801,45.0688
4000000,8.3050,18.0064,44.6209
4100000,8.6241,17.4079,45.0749
4200000,8.2690,17.4540,44.7741
4300000,8.4622,17.7766,45.2227
4400000,8.8455,17.6565,44.7512
4500000,8.4411,17.4986,44.8179
4600000,8.2185,17.5526,44.4768
4700000,8.5031,17.8425,44.8593
4800000,8.2019,17.9334,44.7073
4900000,8.2168,17.6681,44.9162
5000000,8.6512,17.2090,44.7501
5100000,8.6883,17.9625,44.9313
5200000,8.5913,17.4503,45.1188
5300000,8.3130,17.8494,44.9177
5400000,8.7466,17.8356,44.5034
5500000,8.5433,17.7459,45.0787
5600000,8.3817,17.9527,44.8583
5700000,8.4245,17.5515,44.9959
5800000,8.2492,17.5377,45.1108
5900000,8.2865,17.7449,44.8133
6000000,27.4347,17.6316,36.5321
6100000,26.9566,17.4190,36.9577
6200000,27.1284,17.5109,36.5115
6300000,27.0884,17.5297,36.7432
6400000,27.1273,17.6000,37.1524
6500000,26.1955,17.8467,37.1865
6600000,26.3015,17.7923,36.9425
6700000,25.9037,17.9874,37.2861
6800000,25.8311,18.5666,37.2028
6900000,25.9425,18.4297,36.9038
7000000,25.5795,18.6995,37.4059
7100000,25.4716,19.0220,37.5476
7200000,25.3964,19.1954,37.2065
7300000,25.2048,19.3168,37.5445
7400000,24.6282,19.4520,37.4714
7500000,24.7883,19.9555,37.3536
7600000,24.9012,19.9416,37.1244
7700000,24.9832,19.9453,37.3755
7800000,24.2301,20.2088,37.1349
7900000,24.3201,20.4468,37.2186
8000000,24.3753,21.0060,37.2081
8100000,24.3084,21.4988,36.6932
8200000,24.1465,21.5562,37.1418
8300000,24.0558,21.3120,36.8311
8400000,23.9173,21.7468,36.5762
