# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
0,51.0000000000,0.0000000000,10.0000,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5556
10000,51.0000000000,0.0000000000,10.0556,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5602
20000,51.0000000000,0.0000000000,10.1112,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5647
30000,51.0000000000,0.0000000000,10.1669,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5692
40000,51.0000000000,0.0000000000,10.2226,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5737
50000,51.0000000000,0.0000000000,10.2783,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5781
60000,51.0000000000,0.0000000000,10.3341,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5825
70000,51.0000000000,0.0000000000,10.3900,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5868
80000,51.0000000000,0.0000000000,10.4459,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5911
90000,51.0000000000,0.0000000000,10.5018,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5953
100000,51.0000000000,0.0000000000,10.5578,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.5995
110000,51.0000000000,0.0000000000,10.6138,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.6037
120000,51.0000000000,0.0000000000,10.6699,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.6078
130000,51.0000000000,0.0000000000,10.7260,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.6118
140000,51.0000000000,0.0000000000,10.7821,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.6158
150000,51.0000000000,0.0000000000,10.8383,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.6198
160000,51.0000000000,0.0000000000,10.8945,0.000000,-0.000000,-63.410115,0.0000,0.0000,-5.6237
