# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# groves-profile_1: Groves LS GNSS fixes (Export_Demo_4.m)
0,51.0000037847,-0.0000191994,12.4537,6.25,0,0,6.25,0,6.25,-0.0134,0.0359,0.0243,0.01,0,0,0.01,0,0.01,1
500000,51.0000033024,-0.0000210655,8.7972,6.25,0,0,6.25,0,6.25,0.0512,-0.0146,-0.0623,0.01,0,0,0.01,0,0.01,1
1000000,50.9999906006,-0.0000068080,9.6398,6.25,0,0,6.25,0,6.25,0.0019,0.0094,0.0514,0.01,0,0,0.01,0,0.01,1
1500000,51.0000034366,-0.0000254770,9.3525,6.25,0,0,6.25,0,6.25,0.8649,-0.0056,-0.0259,0.01,0,0,0.01,0,0.01,1
2000000,51.0000157571,-0.0000412378,9.6011,6.25,0,0,6.25,0,6.25,2.8185,-0.0027,-0.0027,0.01,0,0,0.01,0,0.01,1
2500000,51.0000195489,-0.0000158707,10.7130,6.25,0,0,6.25,0,6.25,4.7826,0.0079,0.0180,0.01,0,0,0.01,0,0.01,1
3000000,51.0000421296,-0.0000112471,13.1498,6.25,0,0,6.25,0,6.25,6.3741,-0.0143,-0.0167,0.01,0,0,0.01,0,0.01,1
3500000,51.0000901963,-0.0000201909,12.6483,6.25,0,0,6.25,0,6.25,7.9381,-0.0064,-0.0317,0.01,0,0,0.01,0,0.01,1
4000000,51.0001258806,-0.0000315561,9.2052,6.25,0,0,6.25,0,6.25,9.4278,0.0188,0.0263,0.01,0,0,0.01,0,0.01,1
4500000,51.0001653001,-0.0000102042,10.3420,6.25,0,0,6.25,0,6.25,10.7934,0.0184,-0.0369,0.01,0,0,0.01,0,0.01,1
5000000,51.0002150895,-0.0000264494,10.9339,6.25,0,0,6.25,0,6.25,12.1549,0.0250,0.0289,0.01,0,0,0.01,0,0.01,1
5500000,51.0002711074,-0.0000254569,9.1764,6.25,0,0,6.25,0,6.25,13.4000,0.0020,-0.0437,0.01,0,0,0.01,0,0.01,1
6000000,51.0003395572,-0.0000305778,11.4826,6.25,0,0,6.25,0,6.25,14.5603,0.0282,-0.0122,0.01,0,0,0.01,0,0.01,1
6500000,51.0004025912,-0.0000049265,10.1886,6.25,0,0,6.25,0,6.25,15.6925,0.0164,0.0019,0.01,0,0,0.01,0,0.01,1
7000000,51.0004780304,-0.0000213961,10.3296,6.25,0,0,6.25,0,6.25,16.6598,-0.0052,-0.0075,0.01,0,0,0.01,0,0.01,1
7500000,51.0005570122,-0.0000274713,10.1256,6.25,0,0,6.25,0,6.25,17.6744,-0.0152,0.0122,0.01,0,0,0.01,0,0.01,1
8000000,51.0006330836,-0.0000300946,7.9674,6.25,0,0,6.25,0,6.25,18.5032,-0.0034,-0.0055,0.01,0,0,0.01,0,0.01,1
8500000,51.0007199095,-0.0000230119,6.5840,6.25,0,0,6.25,0,6.25,19.2850,0.0112,0.0128,0.01,0,0,0.01,0,0.01,1
9000000,51.0008190191,-0.0000312007,11.2136,6.25,0,0,6.25,0,6.25,19.9792,0.0047,0.0217,0.01,0,0,0.01,0,0.01,1
9500000,51.0009120754,-0.0000372806,10.9162,6.25,0,0,6.25,0,6.25,20.0029,-0.0135,0.0083,0.01,0,0,0.01,0,0.01,1
10000000,51.0009968248,-0.0000288724,10.6373,6.25,0,0,6.25,0,6.25,19.9962,0.0212,0.0038,0.01,0,0,0.01,0,0.01,1
10500000,51.0010803458,-0.0000174550,10.7317,6.25,0,0,6.25,0,6.25,19.9908,0.0118,-0.0392,0.01,0,0,0.01,0,0.01,1
11000000,51.0011703340,-0.0000073117,8.2285,6.25,0,0,6.25,0,6.25,19.9981,0.0116,-0.0137,0.01,0,0,0.01,0,0.01,1
11500000,51.0012720202,-0.0000412743,10.4450,6.25,0,0,6.25,0,6.25,19.9943,0.0132,-0.0314,0.01,0,0,0.01,0,0.01,1
12000000,51.0013479585,-0.0000180527,10.2224,6.25,0,0,6.25,0,6.25,20.0056,0.0264,-0.0881,0.01,0,0,0.01,0,0.01,1
12500000,51.0014368376,-0.0000079753,8.3336,6.25,0,0,6.25,0,6.25,20.0007,0.0018,-0.0946,0.01,0,0,0.01,0,0.01,1
13000000,51.0015311586,-0.0000203778,10.8225,6.25,0,0,6.25,0,6.25,20.0047,0.0034,-0.0915,0.01,0,0,0.01,0,0.01,1
13500000,51.0016284440,-0.0000165195,9.3015,6.25,0,0,6.25,0,6.25,20.0178,-0.0064,-0.0724,0.01,0,0,0.01,0,0.01,1
14000000,51.0017015288,-0.0000228809,10.6379,6.25,0,0,6.25,0,6.25,19.9904,-0.0052,-0.0267,0.01,0,0,0.01,0,0.01,1
14500000,51.0017978162,-0.0000070464,7.8051,6.25,0,0,6.25,0,6.25,19.9349,1.0555,-0.1120,0.01,0,0,0.01,0,0.01,1
15000000,51.0018957551,-0.0000013569,10.6857,6.25,0,0,6.25,0,6.25,19.8325,2.3057,-0.1119,0.01,0,0,0.01,0,0.01,1
15500000,51.0019869385,0.0000301306,10.8113,6.25,0,0,6.25,0,6.25,19.7168,3.5010,-0.1590,0.01,0,0,0.01,0,0.01,1
16000000,51.0020726479,0.0000412766,10.7846,6.25,0,0,6.25,0,6.25,19.4106,4.6123,-0.1430,0.01,0,0,0.01,0,0.01,1
16500000,51.0021519816,0.0000728742,12.0869,6.25,0,0,6.25,0,6.25,19.0640,5.6947,-0.1634,0.01,0,0,0.01,0,0.01,1
17000000,51.0022390474,0.0001205067,10.5509,6.25,0,0,6.25,0,6.25,18.6899,6.8292,-0.1440,0.01,0,0,0.01,0,0.01,1
17500000,51.0023115228,0.0001907264,11.0083,6.25,0,0,6.25,0,6.25,18.1998,8.0088,-0.1833,0.01,0,0,0.01,0,0.01,1
18000000,51.0024077072,0.0002432569,12.1356,6.25,0,0,6.25,0,6.25,17.7184,9.1813,-0.1941,0.01,0,0,0.01,0,0.01,1
18500000,51.0024712427,0.0003162294,12.7313,6.25,0,0,6.25,0,6.25,17.0630,10.2135,-0.2187,0.01,0,0,0.01,0,0.01,1
19000000,51.0025653337,0.0003648531,12.4822,6.25,0,0,6.25,0,6.25,16.4470,11.2807,-0.2062,0.01,0,0,0.01,0,0.01,1
19500000,51.0026264945,0.0004653021,12.6081,6.25,0,0,6.25,0,6.25,15.7006,12.2941,-0.2690,0.01,0,0,0.01,0,0.01,1
20000000,51.0027020760,0.0005495862,12.7655,6.25,0,0,6.25,0,6.25,14.8699,13.2830,-0.2586,0.01,0,0,0.01,0,0.01,1
20500000,51.0027585290,0.0006541883,12.5546,6.25,0,0,6.25,0,6.25,14.0691,14.2457,-0.2900,0.01,0,0,0.01,0,0.01,1
