# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
10000,-0.0044,0.0008,-0.0024,-0.13,0.23,-9.95
20000,0,0.0042,-0,-0.01,-0.03,-9.82
30000,0.0012,0.0026,0.0016,-0.04,0.01,-9.84
40000,-0.0012,0.0058,-0.0018,0.07,-0.05,-9.78
50000,0.001,-0.0006,-0.0018,-0.16,0.08,-9.84
60000,0.0004,0.0074,0.0032,0.11,-0.11,-9.8
70000,0.0006,0.0084,0.0026,0.15,0.19,-9.82
80000,-0.0018,0.0016,-0.0044,-0.1,-0.23,-9.77
90000,0.0032,-0.001,-0.0014,-0.26,-0.05,-9.88
100000,-0.0022,0.0046,-0.0004,0.12,0.14,-9.79
110000,-0.0004,0.0072,0.0034,0.2,-0.04,-9.75
120000,0.0006,0.0042,-0.0002,-0.05,-0.07,-9.84
130000,-0.0008,0.0076,0.0002,0.02,0.27,-9.75
140000,0.0016,0.005,0.0024,0.14,-0.09,-9.87
150000,-0.0014,0.0006,-0.0036,-0.04,-0.05,-9.87
160000,-0.0002,0.0052,-0.001,-0.02,-0.19,-9.68
170000,0.0016,-0.0014,-0.0002,-0.04,-0.19,-9.9
180000,0.0016,0.0046,-0.0014,-0.23,0.13,-9.77
190000,-0.0036,0.0034,0.001,-0.15,0.09,-9.76
200000,0.0014,0.0054,-0.0014,0.26,0.07,-9.84
210000,0.0004,0.0058,0.0026,0.09,-0.22,-9.8
220000,-0.0008,0.0056,0.0008,0.13,0.17,-9.78
230000,-0.0032,0.0058,-0.0008,0.02,0.09,-9.93
240000,0.004,0.0026,0.0006,-0.05,-0.16,-9.72
250000,0.0014,0.0066,0.003,-0.09,0.23,-9.82
260000,-0.0022,0.0052,-0.0028,0.15,0.01,-9.74
270000,-0.0004,0.0078,0.0004,0.13,0.01,-9.89
280000,0.0022,0.0014,0.0018,0.03,-0.12,-9.75
290000,-0.001,0.0032,-0.0024,0,-0.19,-9.79
300000,-0.0006,0.0016,-0.0014,-0.02,0.12,-9.91
310000,-0.0042,0.0052,-0.0016,-0.11,0.06,-9.72
320000,0.004,0.0042,0.0008,0.12,-0.27,-9.78
330000,0.0044,0.002,-0.0024,0,0.05,-9.88
340000,-0.0026,0.0008,0.002,-0.01,-0.26,-9.8
350000,-0.0022,0.006,0.0004,0.1,0.11,-9.74
360000,0.0038,0.0026,-0.0018,-0.29,-0.01,-9.86
370000,-0.0008,0.0052,-0.001,-0.15,0.11,-9.71
380000,-0.0028,0.0024,0.0018,0.04,-0.05,-9.82
390000,0,0.0064,-0.0004,0.02,-0.05,-9.97
400000,0.0016,0.003,-0.001,0.29,0.08,-9.68
410000,-0.0006,0.0056,0.004,0.09,-0.04,-9.86
420000,0.0008,0.0044,-0.0014,0.02,-0.17,-9.71
430000,-0.0024,0.0072,-0.0002,0.09,-0.15,-9.71
440000,0.0018,0.0026,0.001,0.07,0.28,-9.88
450000,-0.0034,0.0034,-0.0046,0.18,0.1,-9.86
460000,0.0002,0.0066,0.0036,-0.12,-0.04,-9.88
470000,0.0024,0.0038,-0.0014,-0.24,-0.26,-9.85
480000,0.0016,0.003,0.002,0.23,0.05,-9.66
490000,-0.0002,0.0046,0.0024,-0.14,0.22,-9.81
500000,0.0016,0.0062,0.0006,0.08,-0,-9.84
510000,0.0018,0.0034,-0.0016,-0.09,0.02,-9.73
520000,-0.004,0.0058,-0.0014,0.25,-0.01,-9.82
530000,-0.0036,0.0052,0,0.15,0.16,-9.98
540000,0.0034,0.007,0.0004,0.04,-0.17,-9.72
550000,0.0026,0.0032,0.0002,0.06,-0.05,-9.84
560000,-0.0006,0.0024,0.0016,-0.01,-0.09,-9.74
570000,-0.0012,0.0002,-0.0018,0.02,0.03,-9.74
580000,0.0002,0.0072,-0.0006,0.03,-0.24,-9.84
590000,-0.0024,0.0022,0.0004,0,0.01,-9.82
600000,0.002,0.0036,-0.0018,-0.02,0.1,-9.89
610000,0.001,0.0034,-0.0042,-0.2,0.06,-9.76
620000,-0.0052,0.0058,0.0026,0.13,-0.02,-9.79
630000,0.0054,0.0016,-0.0018,0.15,-0.04,-9.71
640000,-0.0012,0.007,0.0024,-0,-0.25,-9.86
650000,0.0024,0.0036,0.0002,0.05,0.13,-9.62
660000,0.0018,0.0026,-0.0026,-0.04,-0.1,-10.08
670000,-0.001,0.0062,0.0032,-0.01,-0.16,-9.8
680000,-0.0014,-0.0012,-0.0012,0.05,-0.15,-9.83
690000,-0.002,0.0022,0.0002,0.03,0.09,-9.85
700000,0,0.008,0,0.11,-0,-9.67
710000,-0.001,0.0024,-0.002,-0.26,0.25,-9.78
720000,0.005,0.0044,0.0002,0.03,-0.27,-9.93
730000,0.0018,0.0056,0.001,-0.22,0.14,-9.81
740000,-0.0026,0.0038,-0.0022,0.13,-0.06,-9.72
750000,-0.0012,0.0054,0.0002,0.09,0.21,-9.85
760000,-0.0016,0.0012,0.0016,0.02,-0.28,-9.81
770000,0.0004,0.005,0.0026,0.02,-0.03,-10.16
780000,-0.0004,0.0056,-0.0032,0.03,-0.05,-9.61
790000,-0.0006,0.0056,-0.0002,0.12,0.21,-9.71
800000,0.002,0.0016,-0.0006,0.2,-0.15,-9.77
810000,0.0026,0.0044,0.0032,0.03,-0.04,-9.78
820000,-0.003,0.0054,0.0006,0.12,-0.01,-9.89
830000,0.0012,0.0026,-0.0002,0.06,-0.06,-9.72
840000,-0.0004,0.006,-0.0014,0.02,-0.15,-9.79
850000,0.0008,0.006,-0.001,0.1,-0.06,-9.65
860000,-0.0032,0.0052,0.0006,0.06,-0.14,-9.86
870000,0.0008,0.003,-0.0002,0.12,0.11,-9.86
880000,0.001,0.004,0.001,0,0.16,-9.8
890000,-0.0004,0.0026,-0.0022,0.17,0.03,-9.7
900000,-0.003,0.0052,-0.0022,0.08,0.06,-9.95
910000,0.0036,0.0062,0.0014,-0.07,0.01,-9.63
920000,-0.0032,0.0044,0.0022,-0.01,-0.04,-10.04
930000,0.0024,0.0042,-0.0002,-0.16,-0.02,-9.82
940000,0,0.0038,-0.0014,-0.03,-0.25,-9.85
950000,0.0006,0.0024,-0.0026,0.15,0.05,-9.73
960000,0.001,0.0048,0.0044,0.15,0,-9.74
970000,-0.0014,0.0072,0.0022,-0.08,0.03,-9.75
980000,0.0014,0.0014,0,0.03,0.18,-9.86
990000,0.0004,0.0044,-0.0022,0.15,-0.02,-9.92
1000000,0.0012,0.0062,0.0028,0.01,-0.04,-9.69
1010000,0.0032,0.0028,-0.003,0.03,-0.06,-9.63
1020000,-0.0014,0.0048,0.0016,-0.04,0.04,-9.89
1030000,-0.0038,0.0032,0,0.06,-0.02,-9.82
1040000,-0.0002,0.007,-0.0016,0.27,-0.02,-9.83
1050000,-0.0056,0.0048,-0,0.11,0.11,-9.97
