# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
0,51.0000000000,0.0000000000,10.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000
10000,50.9999999999,0.0000000002,10.0000,-0.002523,0.000421,-0.001302,-0.0013,0.0023,-0.0015
20000,50.9999999998,0.0000000005,10.0000,-0.002503,0.002780,-0.001292,-0.0013,0.0023,-0.0015
30000,50.9999999997,0.0000000008,10.0000,-0.001811,0.004163,-0.000365,-0.0018,0.0025,-0.0017
40000,50.9999999995,0.0000000012,10.0001,-0.002464,0.007498,-0.001271,-0.0013,0.0023,-0.0015
50000,50.9999999994,0.0000000016,10.0001,-0.001917,0.007116,-0.002258,-0.0030,0.0032,-0.0018
60000,50.9999999991,0.0000000020,10.0001,-0.001752,0.011239,-0.000334,-0.0018,0.0024,-0.0016
70000,50.9999999990,0.0000000025,10.0001,-0.001376,0.016127,0.001250,-0.0003,0.0044,-0.0018
80000,50.9999999990,0.0000000029,10.0001,-0.002384,0.016933,-0.001230,-0.0012,0.0022,-0.0014
90000,50.9999999987,0.0000000032,10.0001,-0.000494,0.016355,-0.002054,-0.0040,0.0016,-0.0020
100000,50.9999999984,0.0000000035,10.0002,-0.001817,0.018911,-0.002207,-0.0030,0.0031,-0.0017
110000,50.9999999982,0.0000000040,10.0002,-0.002094,0.023055,-0.000175,-0.0011,0.0028,-0.0012
120000,50.9999999981,0.0000000043,10.0002,-0.001633,0.025393,-0.000272,-0.0017,0.0023,-0.0016
130000,50.9999999980,0.0000000049,10.0002,-0.002163,0.029708,-0.000088,-0.0015,0.0051,-0.0011
140000,50.9999999979,0.0000000055,10.0002,-0.001237,0.032640,0.001322,-0.0003,0.0042,-0.0017
150000,50.9999999978,0.0000000061,10.0002,-0.002127,0.032880,-0.000699,-0.0009,0.0038,-0.0026
160000,50.9999999978,0.0000000065,10.0003,-0.002225,0.035804,-0.001148,-0.0011,0.0021,-0.0013
170000,50.9999999976,0.0000000067,10.0003,-0.001303,0.035003,-0.001258,-0.0016,0.0003,-0.0022
180000,50.9999999974,0.0000000068,10.0003,-0.000315,0.037585,-0.001962,-0.0039,0.0015,-0.0019
190000,50.9999999970,0.0000000071,10.0003,-0.002422,0.039486,-0.001352,-0.0054,0.0024,-0.0013
200000,50.9999999966,0.0000000075,10.0003,-0.001619,0.042500,-0.002104,-0.0029,0.0030,-0.0016
210000,50.9999999964,0.0000000077,10.0003,-0.001423,0.045824,-0.000587,-0.0022,0.0009,-0.0013
220000,50.9999999962,0.0000000080,10.0003,-0.001876,0.049003,-0.000062,-0.0010,0.0026,-0.0011
230000,50.9999999961,0.0000000084,10.0004,-0.003682,0.052286,-0.000482,-0.0009,0.0036,-0.0023
240000,50.9999999960,0.0000000088,10.0004,-0.001394,0.053699,-0.000149,-0.0016,0.0021,-0.0014
250000,50.9999999958,0.0000000093,10.0004,-0.000620,0.057468,0.001612,-0.0027,0.0046,-0.0017
260000,50.9999999957,0.0000000100,10.0004,-0.001905,0.060373,0.000045,-0.0014,0.0048,-0.0009
270000,50.9999999956,0.0000000107,10.0004,-0.002114,0.064865,0.000355,-0.0003,0.0050,-0.0019
280000,50.9999999956,0.0000000113,10.0004,-0.000959,0.065664,0.001466,-0.0001,0.0040,-0.0016
290000,50.9999999955,0.0000000118,10.0005,-0.001542,0.067460,0.000179,-0.0002,0.0021,-0.0014
300000,50.9999999955,0.0000000121,10.0005,-0.001829,0.068263,-0.000545,-0.0007,0.0035,-0.0024
310000,50.9999999954,0.0000000127,10.0005,-0.004242,0.071147,-0.001433,-0.0019,0.0043,-0.0016
320000,50.9999999953,0.0000000131,10.0005,-0.001907,0.073547,-0.000984,-0.0010,0.0018,-0.0011
330000,50.9999999952,0.0000000134,10.0005,0.000496,0.074744,-0.002291,-0.0012,0.0024,-0.0020
340000,50.9999999950,0.0000000136,10.0005,-0.000965,0.075104,-0.001084,-0.0014,-0.0000,-0.0020
350000,50.9999999950,0.0000000137,10.0006,-0.002138,0.078553,-0.000765,-0.0006,0.0012,-0.0012
360000,50.9999999948,0.0000000138,10.0006,0.000043,0.080045,-0.001777,-0.0037,0.0011,-0.0017
370000,50.9999999944,0.0000000141,10.0006,-0.000434,0.082936,-0.002281,-0.0054,0.0024,-0.0009
380000,50.9999999939,0.0000000144,10.0006,-0.002045,0.084305,-0.001157,-0.0052,0.0021,-0.0011
390000,50.9999999934,0.0000000147,10.0006,-0.002082,0.087956,-0.001433,-0.0053,0.0016,-0.0027
400000,50.9999999931,0.0000000150,10.0006,-0.001221,0.089677,-0.001899,-0.0027,0.0026,-0.0014
410000,50.9999999928,0.0000000153,10.0007,-0.001487,0.092845,0.000365,-0.0020,0.0023,-0.0020
420000,50.9999999927,0.0000000155,10.0007,-0.001006,0.095361,-0.000371,-0.0020,0.0005,-0.0011
430000,50.9999999925,0.0000000155,10.0007,-0.002418,0.099354,-0.000468,-0.0012,-0.0008,-0.0002
440000,50.9999999924,0.0000000156,10.0007,-0.001439,0.100898,0.000163,-0.0008,0.0022,-0.0008
450000,50.9999999924,0.0000000160,10.0007,-0.003415,0.102811,-0.002390,0.0008,0.0034,-0.0013
460000,50.9999999924,0.0000000165,10.0007,-0.003225,0.106541,-0.000246,-0.0006,0.0032,-0.0020
470000,50.9999999923,0.0000000168,10.0007,-0.001813,0.108676,-0.001018,-0.0034,0.0008,-0.0025
480000,50.9999999920,0.0000000169,10.0008,-0.000917,0.110313,0.000097,-0.0014,0.0017,-0.0011
490000,50.9999999918,0.0000000173,10.0008,-0.000979,0.112870,0.001496,-0.0029,0.0041,-0.0011
500000,50.9999999916,0.0000000179,10.0008,-0.000123,0.116441,0.001868,-0.0024,0.0041,-0.0014
510000,50.9999999913,0.0000000185,10.0008,0.000840,0.118363,0.001076,-0.0034,0.0044,-0.0004
520000,50.9999999911,0.0000000192,10.0008,-0.001389,0.121704,0.000311,-0.0011,0.0043,-0.0006
530000,50.9999999911,0.0000000199,10.0008,-0.003485,0.124588,0.000403,0.0002,0.0061,-0.0025
540000,50.9999999911,0.0000000207,10.0008,-0.001578,0.128555,0.000632,-0.0000,0.0045,-0.0015
550000,50.9999999911,0.0000000213,10.0008,-0.000114,0.130295,0.000765,0.0005,0.0042,-0.0020
