# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# groves-profile_3: Groves LS GNSS fixes (Export_Demo_4.m)
0,50.4250088115,-3.5958536519,10000.8440,6.25,0,0,6.25,0,6.25,-0.0052,199.9993,0.0515,0.01,0,0,0.01,0,0.01,1
500000,50.4250090701,-3.5944428013,10001.5469,6.25,0,0,6.25,0,6.25,0.0295,200.0232,0.0467,0.01,0,0,0.01,0,0.01,1
1000000,50.4249964562,-3.5930258745,10000.8923,6.25,0,0,6.25,0,6.25,0.0134,200.0049,0.0223,0.01,0,0,0.01,0,0.01,1
1500000,50.4250016300,-3.5916320565,9999.1560,6.25,0,0,6.25,0,6.25,-0.0174,200.0076,0.0029,0.01,0,0,0.01,0,0.01,1
2000000,50.4249857292,-3.5902344996,9999.0789,6.25,0,0,6.25,0,6.25,-0.0257,200.0280,0.0056,0.01,0,0,0.01,0,0.01,1
2500000,50.4250005394,-3.5888195938,10001.4901,6.25,0,0,6.25,0,6.25,-0.0296,200.0212,-0.0071,0.01,0,0,0.01,0,0.01,1
3000000,50.4249941077,-3.5874122312,9998.9397,6.25,0,0,6.25,0,6.25,-0.0065,199.9814,-0.0031,0.01,0,0,0.01,0,0.01,1
3500000,50.4249922244,-3.5860186737,9999.9509,6.25,0,0,6.25,0,6.25,-0.0282,199.9930,0.0106,0.01,0,0,0.01,0,0.01,1
4000000,50.4250061485,-3.5846184653,10001.1686,6.25,0,0,6.25,0,6.25,0.0087,199.9812,0.0131,0.01,0,0,0.01,0,0.01,1
4500000,50.4250050805,-3.5832249700,10002.2082,6.25,0,0,6.25,0,6.25,-0.0137,199.9958,-0.0035,0.01,0,0,0.01,0,0.01,1
5000000,50.4249995073,-3.5817932455,9999.6139,6.25,0,0,6.25,0,6.25,-0.0099,199.9654,0.0084,0.01,0,0,0.01,0,0.01,1
5500000,50.4249945864,-3.5803871761,9999.6005,6.25,0,0,6.25,0,6.25,0.0058,200.0020,0.0269,0.01,0,0,0.01,0,0.01,1
6000000,50.4249951743,-3.5789829435,9999.5549,6.25,0,0,6.25,0,6.25,0.0115,200.0097,-0.0121,0.01,0,0,0.01,0,0.01,1
6500000,50.4250093818,-3.5775873879,9998.6659,6.25,0,0,6.25,0,6.25,0.0106,199.9839,-0.0060,0.01,0,0,0.01,0,0.01,1
7000000,50.4250041019,-3.5761826032,9999.7398,6.25,0,0,6.25,0,6.25,0.0103,200.0068,0.0176,0.01,0,0,0.01,0,0.01,1
7500000,50.4250105552,-3.5747771418,9999.9223,6.25,0,0,6.25,0,6.25,0.0170,200.0054,-0.0292,0.01,0,0,0.01,0,0.01,1
8000000,50.4250053931,-3.5733835363,9998.4197,6.25,0,0,6.25,0,6.25,-0.0061,200.0054,-0.0058,0.01,0,0,0.01,0,0.01,1
8500000,50.4250019665,-3.5719650263,9999.3032,6.25,0,0,6.25,0,6.25,-0.0053,199.9827,-0.0527,0.01,0,0,0.01,0,0.01,1
9000000,50.4250036012,-3.5705628554,9998.2313,6.25,0,0,6.25,0,6.25,-0.0199,199.9901,0.0029,0.01,0,0,0.01,0,0.01,1
9500000,50.4250013886,-3.5691603847,10000.7532,6.25,0,0,6.25,0,6.25,-0.0247,200.0167,-0.0084,0.01,0,0,0.01,0,0.01,1
