# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
10000,-0,0,-0.0002,-0.11,-0.04,-9.76
20000,-0,-0,-0,-0.02,-0.05,-9.77
30000,-0,-0,-0.0002,0.15,-0.05,-9.74
40000,-0.0002,-0,-0.0002,0.18,-0.03,-9.76
50000,-0,-0,-0,0.02,-0.05,-9.73
60000,-0.0002,-0,-0.0002,-0.18,-0.06,-9.78
70000,0,-0,-0.0002,-0.1,-0.06,-9.76
80000,0,-0,-0,0.09,-0.04,-9.77
90000,0,-0.0002,-0.0002,0.11,-0.04,-9.74
100000,0,0,-0.0002,-0.02,-0.05,-9.75
110000,0,0,-0,-0.06,-0.05,-9.75
120000,-0,0,-0.0002,-0.03,-0.05,-9.75
130000,-0,0,-0.0002,0,-0.04,-9.77
140000,-0,0,0,0.03,-0.06,-9.74
150000,-0,0.0002,-0.0002,0.06,-0.05,-9.75
160000,-0.0002,-0,-0,0.05,-0.04,-9.76
170000,0,-0.0002,-0.0002,-0.02,-0.04,-9.75
180000,0,0.0002,-0.0002,-0.07,-0.04,-9.77
190000,0,-0.0002,-0,0,-0.05,-9.77
200000,0.0002,0,-0.0002,0.08,-0.04,-9.75
210000,-0.0002,-0,-0,0.06,-0.05,-9.75
220000,0,-0,-0.0002,-0.04,-0.03,-9.76
230000,0,0,-0.0002,-0.05,-0.04,-9.75
240000,0,0,-0,-0.02,-0.04,-9.75
250000,-0,0,-0.0002,0,-0.04,-9.75
260000,-0,0,-0,0.03,-0.05,-9.75
270000,-0,0,-0.0002,0.07,-0.05,-9.75
280000,-0.0002,0,-0,0.03,-0.05,-9.75
290000,0,0,-0.0002,-0.1,-0.04,-9.76
300000,0,0,-0,-0.08,-0.05,-9.75
310000,-0,0,-0.0002,0.11,-0.06,-9.76
320000,-0,0,-0.0002,0.2,-0.04,-9.74
330000,-0.0002,0,-0,-0,-0.06,-9.75
340000,0,0,-0.0002,-0.18,-0.05,-9.76
350000,0,0,-0.0002,-0.11,-0.05,-9.75
360000,-0,0,-0,0.1,-0.04,-9.76
370000,-0,0,-0.0002,0.09,-0.04,-9.76
380000,-0.0002,0.0002,-0.0002,-0.02,-0.04,-9.74
390000,0,-0,-0,-0.05,-0.05,-9.75
400000,0,-0.0002,-0.0002,-0.03,-0.03,-9.74
410000,-0,0.0002,-0.0002,0,-0.04,-9.76
420000,0,-0,-0,0.02,-0.03,-9.75
430000,-0,-0,-0.0002,0.06,-0.05,-9.77
440000,-0,-0,-0.0002,0.05,-0.03,-9.74
450000,-0.0002,-0.0002,-0,-0.04,-0.03,-9.76
460000,0,0,-0.0002,-0.06,-0.07,-9.75
470000,-0,0.0002,-0,0,-0.04,-9.75
480000,-0.0002,-0,-0.0002,0.07,-0.03,-9.74
490000,-0,-0.0002,-0.0002,0.06,-0.05,-9.77
500000,-0,0,-0,-0.03,-0.04,-9.74
510000,0,0,-0.0002,-0.06,-0.03,-9.76
520000,-0,-0,-0,-0.03,-0.04,-9.77
530000,-0,-0,-0.0002,0.01,-0.03,-9.75
540000,-0.0002,0,-0.0002,0.04,-0.02,-9.75
550000,0,-0,-0,0.07,-0.05,-9.77
