# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
0,50.4250000000,-3.5958333000,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0000,0.0000
10000,50.4250000000,-3.5958051990,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9988,0.0000
20000,50.4250000000,-3.5957770990,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9984,0.0000
30000,50.4250000000,-3.5957489990,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9997,0.0000
40000,50.4250000000,-3.5957208980,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0015,0.0000
50000,50.4250000000,-3.5956927970,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0015,0.0000
60000,50.4250000000,-3.5956646960,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9997,0.0000
70000,50.4250000000,-3.5956365960,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9986,0.0000
80000,50.4250000000,-3.5956084960,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9995,0.0000
90000,50.4250000000,-3.5955803950,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0006,0.0000
100000,50.4250000000,-3.5955522940,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0004,0.0000
110000,50.4250000000,-3.5955241940,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9997,0.0000
120000,50.4250000000,-3.5954960930,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9995,0.0000
130000,50.4250000000,-3.5954679930,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9995,0.0000
140000,50.4250000000,-3.5954398920,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9997,0.0000
150000,50.4250000000,-3.5954117920,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0004,0.0000
160000,50.4250000000,-3.5953836910,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0008,0.0000
170000,50.4250000000,-3.5953555900,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0004,0.0000
180000,50.4250000000,-3.5953274900,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9997,0.0000
190000,50.4250000000,-3.5952993890,10000.0000,0.000000,0.000000,90.000000,0.0000,199.9997,0.0000
200000,50.4250000000,-3.5952712890,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0004,0.0000
210000,50.4250000000,-3.5952431880,10000.0000,0.000000,0.000000,90.000000,0.0000,200.0008,0.0000
