# t_us, static pressure [Pa]
4942719983,100436.578125
4942759982,100426.687500
4942799984,100432.890625
4942839983,100431.203125
4942880170,100431.054688
4942920103,100438.265625
4942960033,100432.890625
4942999983,100438.265625
4943039982,100432.890625
4943079982,100435.578125
4943119983,100430.203125
4943159982,100435.578125
4943199982,100430.203125
4943239983,100433.890625
4943279984,100435.578125
4943319984,100434.750000
4943359983,100436.578125
4943399984,100430.203125
4943440196,100432.890625
4943480128,100435.578125
4943520055,100430.203125
4943559989,100436.437500
4943599982,100435.578125
4943639983,100437.265625
4943679982,100436.578125
4943719982,100435.578125
4943759983,100435.578125
4943799983,100439.125000
4943839983,100431.203125
4943879983,100424.812500
4943919983,100427.507812
4943959982,100435.578125
4943999985,100432.890625
4944040145,100432.890625
4944080077,100431.203125
4944120008,100430.203125
4944159982,100434.750000
4944199982,100432.890625
4944239984,100435.578125
4944279984,100436.437500
4944319983,100432.062500
4944359983,100429.375000
4944399982,100433.750000
4944439983,100435.578125
4944479982,100433.890625
4944519983,100432.890625
4944559982,100433.750000
4944600171,100432.890625
4944640100,100432.890625
4944680030,100430.203125
4944719982,100432.890625
4944759982,100432.062500
4944799982,100429.375000
4944839983,100431.203125
4944879982,100430.203125
4944919983,100432.062500
4944959983,100433.750000
4944999984,100422.984375
4945039983,100429.375000
4945079982,100430.203125
4945119984,100432.062500
4945160190,100439.953125
4945200120,100427.507812
4945240049,100427.507812
4945279983,100434.750000
4945319982,100432.062500
4945359983,100433.750000
4945399983,100430.203125
4945439982,100432.890625
4945479982,100432.890625
4945519983,100430.203125
4945559982,100430.203125
4945599983,100431.203125
4945639984,100422.984375
4945679983,100427.507812
4945719982,100427.507812
4945760145,100432.890625
4945800074,100432.890625
4945840005,100424.812500
4945879984,100429.375000
4945919984,100428.359375
4945959982,100432.890625
4945999982,100435.578125
4946039983,100423.140625
4946079984,100428.359375
4946119982,100427.507812
4946159983,100430.203125
4946199982,100425.828125
4946239984,100428.359375
4946279983,100426.687500
4946320164,100425.828125
4946360094,100428.515625
4946400025,100428.515625
4946439981,100428.359375
4946479982,100429.375000
4946519984,100428.359375
4946559983,100426.687500
4946599983,100428.515625
4946639983,100431.054688
4946679982,100423.140625
4946719983,100430.203125
4946759982,100431.875000
4946799982,100425.828125
4946839983,100424.812500
4946880190,100427.507812
4946920120,100429.375000
4946960050,100423.992188
4946999988,100427.507812
4947039981,100429.375000
4947079982,100427.507812
4947119985,100429.375000
4947159981,100425.828125
4947199982,100429.375000
4947239982,100422.125000
4947279983,100426.687500
4947319982,100422.125000
4947359983,100425.828125
4947399982,100423.140625
4947439983,100428.515625
4947480140,100420.445312
4947520068,100418.617188
4947560000,100424.812500
4947599982,100429.375000
4947639982,100429.375000
4947679983,100423.140625
4947719983,100424.812500
4947759983,100430.203125
4947799982,100428.359375
4947839982,100429.375000
4947879982,100427.507812
4947919982,100422.125000
4947959983,100426.687500
4947999986,100423.992188
4948040165,100429.375000
4948080094,100426.687500
4948120023,100418.617188
4948159982,100423.992188
4948199983,100432.062500
4948239982,100422.125000
4948279983,100427.507812
4948319982,100416.750000
4948359984,100423.140625
4948399982,100424.812500
4948439984,100421.304688
4948479983,100423.992188
4948519983,100421.304688
4948559982,100422.125000
4948600183,100418.617188
4948640113,100421.304688
4948680043,100424.812500
4948719982,100425.828125
4948759982,100421.304688
4948799983,100427.507812
4948839982,100423.992188
4948879982,100428.515625
4948919982,100422.125000
4948959983,100430.203125
4948999982,100427.507812
4949039982,100427.507812
4949079983,100426.687500
4949119982,100423.140625
4949159988,100422.125000
4949200138,100415.062500
4949240070,100425.671875
4949279998,100423.992188
4949319984,100424.812500
4949359982,100427.507812
4949399983,100423.992188
4949439982,100422.125000
4949479982,100418.617188
4949519984,100422.125000
4949559982,100428.515625
4949599982,100422.125000
4949639982,100419.437500
4949679982,100420.445312
4949719984,100423.140625
4949760159,100423.992188
4949800090,100420.445312
4949840020,100415.062500
4949879982,100420.445312
4949919982,100422.312500
4949959983,100425.828125
4949999983,100428.515625
4950039982,100420.445312
4950079982,100420.445312
4950119983,100420.445312
4950159983,100424.812500
4950199984,100419.625000
4950239983,100421.304688
4950279982,100420.445312
4950320181,100421.304688
4950360112,100423.140625
4950400044,100422.125000
4950439983,100418.617188
4950479982,100415.062500
4950519981,100422.125000
4950559983,100420.445312
4950599981,100419.437500
4950639982,100421.304688
4950679983,100423.140625
4950719984,100420.445312
4950759983,100421.304688
4950799982,100421.304688
4950839982,100420.445312
4950879986,100423.140625
4950920133,100416.750000
4950960062,100423.140625
4950999995,100424.812500
4951039982,100419.625000
4951079983,100417.757812
4951119983,100414.062500
4951159983,100422.125000
4951199984,100421.304688
4951239984,100421.304688
4951279982,100417.757812
4951319983,100420.445312
4951359983,100418.617188
4951399983,100416.750000
4951439984,100422.125000
4951480156,100423.812500
4951520089,100416.750000
4951560017,100422.125000
4951599983,100417.757812
4951639983,100412.375000
4951679983,100416.750000
4951719982,100417.609375
4951759983,100419.437500
4951799983,100415.921875
4951839982,100418.617188
4951879983,100411.375000
4951919984,100410.546875
4951959983,100420.445312
4951999982,100419.437500
4952040176,100413.234375
4952080108,100411.375000
4952120039,100417.757812
4952159983,100414.062500
4952199984,100410.546875
4952239984,100422.125000
4952279983,100415.921875
4952319982,100406.171875
4952359982,100413.234375
4952399982,100414.062500
4952439984,100409.687500
4952479983,100407.000000
4952519982,100411.375000
4952559983,100414.062500
4952600203,100412.375000
4952640130,100413.234375
4952680063,100408.687500
4952719991,100411.375000
4952759983,100407.000000
4952799982,100403.304688
4952839982,100405.992188
4952879982,100405.992188
4952919982,100408.687500
4952959983,100412.375000
4952999984,100416.750000
4953039983,100405.171875
4953079984,100414.921875
4953119984,100403.304688
4953159984,100405.992188
4953200152,100404.312500
4953240082,100405.992188
4953280013,100408.687500
4953319983,100411.375000
4953359982,100404.312500
4953399983,100411.375000
4953439982,100408.687500
4953479983,100408.687500
4953519983,100399.789062
4953559983,100401.625000
4953599983,100397.921875
4953639984,100404.156250
4953679982,100398.929688
4953719984,100401.625000
4953760177,100400.617188
4953800105,100397.921875
4953840036,100410.546875
4953879982,100405.992188
4953919984,100404.312500
4953959982,100405.992188
4953999983,100403.304688
4954039983,100407.000000
4954079982,100402.484375
4954119982,100408.687500
4954159984,100398.929688
4954199983,100411.375000
4954239984,100403.304688
4954279982,100397.101562
4954320196,100401.625000
4954360127,100405.171875
4954400054,100401.625000
4954439987,100397.921875
4954479983,100400.617188
4954519982,100407.000000
4954559982,100408.687500
4954599983,100402.484375
4954639983,100405.992188
4954679983,100400.617188
4954719982,100407.671875
4954759983,100400.617188
4954799983,100402.484375
4954839983,100400.617188
4954879982,100396.242188
4954920149,100399.789062
4954960079,100396.242188
4955000012,100406.851562
4955039982,100397.101562
4955079983,100404.312500
4955119983,100405.992188
4955159982,100405.171875
4955199982,100399.789062
4955239983,100407.859375
4955279984,100407.859375
4955319982,100410.546875
4955359982,100408.687500
4955399982,100405.992188
4955439982,100411.375000
4955480169,100405.992188
4955520100,100402.484375
4955560030,100404.312500
4955599983,100411.375000
4955639982,100403.304688
4955679982,100399.789062
4955719983,100404.312500
4955759983,100405.992188
4955799982,100399.789062
4955839984,100405.171875
4955879982,100403.304688
4955919984,100400.617188
4955959983,100401.625000
4955999982,100405.171875
4956040192,100405.171875
4956080124,100404.156250
4956120054,100403.304688
4956159985,100400.617188
4956199983,100400.617188
4956239982,100400.617188
4956279983,100405.992188
4956319982,100400.617188
