# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
4942701237,0.0143889741,0.022915773,0.215301677,0.148440503,2.58573779,-9.62469067
4942703233,0.0122572738,0.0269127096,0.213702915,0.256179578,2.66953485,-9.42118353
4942705230,0.00559571185,0.0218499239,0.214768762,0.0933738647,2.98796367,-9.46427916
4942707227,-0.00479632452,0.00719448703,0.21663399,-0.131681091,3.24893165,-9.73482395
4942709223,-0.0143889741,-0.00319754985,0.220897395,-0.316034619,3.23217224,-9.93833109
4942711219,-0.0197182236,-0.000266462482,0.222229708,-0.296881006,3.08373174,-9.91917748
4942713216,-0.0175865234,0.0143889741,0.221163861,-0.203507141,2.97599266,-9.79467899
4942715212,-0.00905972449,0.0373047491,0.217433388,-0.0885854614,2.99993468,-9.74440076
4942717209,0.00106584993,0.0572894345,0.215301677,0.0885854614,3.05739552,-9.78749639
4942719205,0.00666156197,0.0671485443,0.216101075,0.0790086548,3.14358678,-9.62947908
4942721202,0.00826033716,0.0594211327,0.216900456,0.107739075,3.21780703,-9.39963572
4942723198,0.00719448703,0.0357059745,0.218499235,0.0574608398,3.1675288,-9.30865605
4942725195,0.00506278731,0,0.218499235,0.0502782349,3.13161577,-9.47385597
4942727191,0.00399693718,-0.0303767228,0.218232769,0.0454898315,3.10767375,-9.68215151
4942729188,0.00426339971,-0.0439663095,0.218499235,0.0311246216,3.13879838,-9.89044706
4942731184,0.00772741209,-0.0375712109,0.216900456,0.0670376465,3.22498964,-9.96706151
4942733181,0.00959264903,-0.0186523746,0.216367541,-0.0790086548,3.27766207,-9.9550905
4942735178,0.0114578865,-0.00506278731,0.216367541,-0.263362183,3.32554611,-9.88326445
4942737174,0.0151883614,-0.000532924964,0.216101075,-0.418985291,3.28245048,-9.87368765
4942739170,0.0186523746,0,0.216367541,-0.407014282,3.21541283,-9.99100353
4942741167,0.0221163856,0.00452986224,0.216900456,-0.296881006,3.24174905,-10.0819832
4942743163,0.0231822368,0.0210505366,0.216101075,-0.12928689,3.30399829,-10.1681745
4942745160,0.0247810115,0.0402358367,0.216101075,0.0646434448,3.28245048,-10.1777513
