# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# MVP placeholder: this is the GNSS solution again, NOT an independent reference. roll/pitch/yaw hardcoded to 0/0/0 -- see inslib_convert_ubx_to_csv.py module docstring
4942735178,48.9614427000,8.4087498000,164.9970,0.000000,0.000000,0.000000,4.6240,-15.1560,-0.1660
4942940818,48.9614515000,8.4087088000,165.0490,0.000000,0.000000,0.000000,5.1700,-14.8680,-0.1660
4943132484,48.9614613000,8.4086685000,165.0920,0.000000,0.000000,0.000000,5.7880,-14.6810,-0.1820
4943232309,48.9614667000,8.4086486000,165.0960,0.000000,0.000000,0.000000,6.0690,-14.4690,-0.0930
4943332135,48.9614724000,8.4086290000,165.0960,0.000000,0.000000,0.000000,6.2700,-14.3900,-0.0600
4943433957,48.9614782000,8.4086094000,165.1140,0.000000,0.000000,0.000000,6.5470,-14.2780,-0.0880
4943531787,48.9614842000,8.4085900000,165.1340,0.000000,0.000000,0.000000,6.6920,-14.1580,-0.0830
4943631612,48.9614904000,8.4085708000,165.1570,0.000000,0.000000,0.000000,6.9360,-14.0580,-0.1380
4943731438,48.9614968000,8.4085517000,165.1730,0.000000,0.000000,0.000000,7.2460,-13.9830,-0.0610
4943831264,48.9615034000,8.4085326000,165.1910,0.000000,0.000000,0.000000,7.3990,-13.9010,-0.1260
4943941072,48.9615102000,8.4085137000,165.2230,0.000000,0.000000,0.000000,7.6320,-13.8030,-0.1710
4944034908,48.9615172000,8.4084949000,165.2340,0.000000,0.000000,0.000000,7.8610,-13.7540,-0.0850
4944228570,48.9615317000,8.4084576000,165.2550,0.000000,0.000000,0.000000,8.2120,-13.5710,-0.0410
4944324403,48.9615392000,8.4084391000,165.2820,0.000000,0.000000,0.000000,8.3730,-13.5240,-0.1680
4944494106,48.9615468000,8.4084206000,165.2950,0.000000,0.000000,0.000000,8.4590,-13.4920,-0.1170
4944629869,48.9615623000,8.4083839000,165.3120,0.000000,0.000000,0.000000,8.8100,-13.4240,-0.0890
4944731691,48.9615703000,8.4083656000,165.3340,0.000000,0.000000,0.000000,8.9280,-13.3900,-0.1740
4944825527,48.9615785000,8.4083473000,165.3530,0.000000,0.000000,0.000000,9.1820,-13.3820,-0.1570
4944929346,48.9615868000,8.4083290000,165.3840,0.000000,0.000000,0.000000,9.2210,-13.3090,-0.2440
4945029172,48.9615952000,8.4083108000,165.4070,0.000000,0.000000,0.000000,9.3290,-13.3420,-0.2330
4945127001,48.9616036000,8.4082926000,165.4380,0.000000,0.000000,0.000000,9.3210,-13.2900,-0.2900
4945220837,48.9616120000,8.4082745000,165.4660,0.000000,0.000000,0.000000,9.4370,-13.3470,-0.2820
4945330645,48.9616205000,8.4082562000,165.5020,0.000000,0.000000,0.000000,9.4650,-13.3070,-0.3070
4945490366,48.9616291000,8.4082380000,165.5340,0.000000,0.000000,0.000000,9.6210,-13.3510,-0.2730
4945628126,48.9616464000,8.4082018000,165.5810,0.000000,0.000000,0.000000,9.5720,-13.1750,-0.1960
