# t_us, static pressure [Pa]
3228085237,99253.625000
3228126224,99253.515625
3228166664,99253.984375
3228206447,99254.093750
3228246542,99253.765625
3228286235,99253.187500
3228326890,99253.406250
3228367099,99254.031250
3228408005,99253.453125
3228448816,99253.781250
3228488402,99253.328125
3228528546,99253.500000
3228568952,99253.968750
3228608755,99253.968750
3228648733,99254.375000
3228688637,99254.046875
3228728517,99253.546875
3228768757,99253.437500
3228808493,99254.203125
3228848702,99253.453125
3228888644,99253.296875
3228928410,99253.781250
3228968281,99254.015625
3229008748,99253.187500
3229048470,99253.625000
3229090978,99253.718750
3229130924,99254.203125
3229170638,99253.437500
3229210437,99254.015625
3229250337,99253.750000
3229290674,99254.031250
3229331129,99253.625000
3229372089,99253.875000
3229413107,99253.312500
3229455507,99253.703125
3229495883,99254.218750
3229535279,99254.234375
3229575058,99254.859375
3229615168,99253.515625
3229655439,99253.218750
3229695296,99254.328125
3229735668,99253.734375
3229775124,99253.640625
3229819136,99253.796875
3229860014,99254.031250
3229900196,99254.250000
3229940350,99253.765625
3229980299,99253.531250
3230020891,99253.421875
3230060622,99253.125000
3230100708,99254.156250
3230140526,99253.796875
3230182390,99253.671875
3230222927,99253.609375
3230262892,99253.984375
3230302306,99253.875000
3230342667,99253.718750
3230382696,99253.500000
3230422087,99253.875000
3230462985,99253.890625
3230502752,99253.234375
3230542725,99254.484375
3230582979,99253.250000
3230623052,99253.468750
3230663152,99253.421875
3230703413,99253.343750
3230746648,99253.125000
3230786402,99253.546875
3230826863,99253.453125
3230867168,99253.609375
3230907848,99253.828125
3230947058,99253.718750
3230988022,99254.031250
3231028475,99253.187500
3231068704,99253.265625
3231110936,99253.203125
3231150029,99253.437500
3231190037,99254.140625
3231230584,99253.437500
3231270673,99253.406250
3231310356,99254.359375
3231350037,99253.890625
3231390710,99253.203125
3231430586,99253.437500
3231470318,99254.609375
3231510050,99253.937500
3231550939,99253.625000
3231590928,99253.703125
3231630253,99253.531250
3231672676,99253.890625
3231712796,99253.765625
3231752885,99253.468750
3231792672,99253.515625
3231832244,99253.843750
3231872516,99253.984375
3231912036,99254.390625
3231952617,99254.140625
3231992365,99254.000000
3232035911,99253.546875
3232075040,99253.609375
3232116074,99253.765625
3232156559,99253.968750
3232196342,99253.906250
3232236081,99253.343750
3232276716,99253.000000
3232316833,99254.203125
3232357033,99253.062500
3232397982,99253.687500
3232437747,99254.000000
3232477210,99253.375000
3232517285,99253.937500
3232557970,99253.640625
3232597773,99253.796875
3232637888,99254.546875
3232677571,99254.125000
3232718094,99254.187500
3232758443,99254.093750
3232798401,99253.718750
3232838517,99253.875000
3232878222,99253.828125
3232918433,99253.921875
3232958655,99254.156250
3232998153,99254.515625
3233038202,99254.218750
3233078829,99254.250000
3233118811,99253.968750
3233158120,99253.203125
3233199065,99253.640625
3233240022,99253.984375
3233281292,99253.875000
3233321420,99253.656250
3233361499,99253.593750
3233402707,99253.671875
3233443003,99253.343750
3233484299,99253.546875
3233524462,99253.562500
3233567752,99253.734375
3233607161,99253.171875
3233647731,99254.171875
3233687222,99253.968750
3233727127,99253.796875
3233767412,99253.734375
3233807124,99252.781250
3233847699,99253.796875
3233887420,99253.375000
3233931389,99253.562500
3233971434,99253.812500
3234012037,99254.015625
3234052030,99253.578125
3234095449,99254.328125
3234135203,99253.718750
3234175727,99254.250000
3234215139,99253.500000
3234256185,99253.296875
3234296187,99254.234375
3234337041,99253.765625
3234377026,99254.375000
3234417667,99254.187500
3234461006,99253.687500
3234501000,99253.828125
3234541968,99253.843750
3234581544,99253.593750
3234627422,99253.234375
3234667579,99254.265625
3234707623,99254.796875
3234748160,99253.656250
3234792647,99254.218750
3234832910,99253.515625
3234872014,99253.859375
3234912301,99253.578125
3234953076,99253.968750
3234993093,99254.281250
3235033370,99254.546875
3235074611,99253.921875
3235114572,99254.875000
3235158680,99253.875000
3235198189,99254.125000
3235238912,99254.359375
3235278301,99254.031250
3235318507,99254.000000
3235358270,99253.953125
3235398076,99253.921875
3235438769,99253.375000
3235478693,99253.859375
3235521551,99253.453125
3235561450,99254.281250
3235601245,99253.515625
3235642049,99254.687500
3235682897,99253.968750
3235722053,99254.187500
3235762777,99254.578125
3235802421,99254.078125
3235842363,99253.656250
3235882056,99254.328125
3235922178,99254.250000
3235962430,99254.015625
3236002253,99254.500000
3236043096,99253.968750
3236087218,99253.812500
3236127808,99254.046875
3236167176,99254.156250
3236208092,99253.953125
3236251961,99254.000000
3236291560,99253.531250
3236331042,99253.609375
3236371113,99253.796875
3236412085,99254.734375
3236452692,99254.312500
3236492817,99254.625000
3236532134,99252.828125
3236572920,99254.093750
3236612610,99254.687500
3236652005,99253.828125
3236692846,99253.906250
3236732257,99253.546875
3236772573,99254.312500
3236812401,99253.812500
3236853046,99253.484375
3236893508,99253.093750
3236933089,99254.312500
3236973247,99254.421875
3237013037,99254.078125
3237053585,99254.515625
3237093186,99254.187500
3237133594,99254.265625
3237173199,99254.796875
3237213139,99254.125000
3237253559,99253.843750
3237293376,99253.546875
3237333241,99253.484375
3237373723,99254.171875
3237413763,99254.406250
3237453052,99253.421875
3237493022,99253.437500
3237533478,99253.750000
3237573279,99253.718750
3237613595,99253.500000
3237653919,99253.781250
3237693571,99254.906250
3237734217,99254.171875
3237774193,99253.250000
3237814904,99254.000000
3237855137,99254.265625
3237895173,99253.843750
3237935974,99254.031250
3237975815,99254.125000
3238018561,99253.375000
3238058041,99254.140625
3238098590,99254.843750
3238138401,99254.125000
3238178581,99254.656250
3238218058,99254.453125
3238258116,99254.265625
3238298858,99253.406250
3238338115,99253.781250
3238378034,99254.500000
3238418658,99254.484375
3238458706,99254.671875
3238498533,99254.546875
3238538853,99254.640625
3238579022,99254.437500
3238619913,99254.484375
3238659970,99254.093750
3238699059,99254.281250
3238739152,99254.593750
3238782126,99254.468750
3238822878,99253.812500
3238862196,99254.671875
3238902497,99254.312500
3238942262,99255.015625
3238982196,99255.031250
3239022643,99254.281250
3239062452,99254.218750
3239102746,99253.625000
3239145274,99254.187500
3239186572,99254.687500
3239226001,99254.484375
3239266767,99254.500000
3239308706,99254.296875
3239349119,99254.171875
3239389877,99254.031250
3239429061,99253.921875
3239469836,99254.515625
3239509691,99254.265625
3239549979,99254.546875
3239590113,99254.187500
3239630615,99254.250000
3239670469,99253.984375
3239710493,99253.906250
3239750145,99254.234375
3239790517,99254.546875
3239831143,99255.343750
3239875420,99254.015625
3239915290,99254.437500
3239955258,99253.640625
3239995289,99254.171875
3240035325,99254.078125
3240076593,99253.968750
3240116830,99253.921875
3240156021,99255.109375
3240196351,99254.281250
3240236396,99254.343750
3240277622,99253.750000
3240317229,99254.281250
3240357544,99254.609375
3240397721,99255.093750
3240437953,99255.031250
3240477087,99254.359375
3240517594,99255.687500
3240557351,99254.546875
3240597788,99253.843750
3240638106,99254.515625
3240678491,99254.640625
3240718163,99254.312500
3240759094,99254.062500
3240799307,99253.906250
3240844766,99253.796875
3240884939,99254.734375
3240924369,99254.703125
3240964689,99254.218750
3241008341,99254.265625
3241048090,99254.546875
3241089055,99254.390625
3241129708,99254.640625
3241169974,99254.875000
3241209179,99254.125000
3241250198,99255.218750
3241291096,99254.203125
3241331474,99254.625000
3241373110,99254.906250
3241413422,99254.140625
3241453206,99253.843750
3241494153,99254.687500
3241537203,99255.046875
3241577549,99255.312500
3241617660,99253.796875
3241657889,99254.609375
3241697540,99254.500000
3241737832,99254.703125
3241777887,99254.421875
3241817981,99254.390625
3241857804,99254.875000
3241901409,99254.515625
3241941767,99254.906250
3241981234,99254.046875
3242021906,99254.828125
3242061908,99254.468750
3242101782,99254.375000
3242141351,99254.625000
3242181454,99254.781250
3242221773,99255.156250
3242265743,99254.593750
3242305116,99254.718750
3242345811,99254.171875
3242386141,99254.046875
3242426383,99254.906250
3242466979,99254.062500
3242506299,99254.453125
3242547297,99255.296875
3242587715,99253.953125
3242628045,99254.703125
3242668623,99254.390625
3242708794,99254.281250
3242749724,99254.765625
3242789887,99255.328125
3242830781,99254.109375
3242870014,99254.781250
3242910383,99254.734375
3242950228,99254.843750
3242990456,99254.578125
3243030372,99254.937500
3243070696,99255.640625
3243110321,99254.968750
3243150818,99254.093750
3243190546,99254.656250
3243230500,99254.812500
3243270834,99254.640625
3243310617,99254.656250
3243350540,99254.562500
3243393656,99254.656250
3243434105,99254.718750
3243474663,99254.812500
3243514225,99254.250000
3243554676,99254.828125
3243594535,99253.875000
3243634106,99254.390625
3243674707,99253.718750
3243714726,99254.718750
3243757765,99255.015625
3243797152,99254.593750
3243837646,99254.515625
3243877253,99253.640625
3243917415,99254.281250
3243957840,99254.250000
3243997026,99255.031250
3244037859,99254.625000
3244077489,99254.921875
3244117082,99254.468750
3244157300,99255.468750
3244197854,99254.453125
3244237459,99254.906250
3244277220,99254.375000
3244317827,99254.734375
3244358060,99254.875000
3244398190,99254.515625
3244439055,99253.906250
3244479838,99255.062500
3244521998,99254.921875
3244562075,99254.968750
3244602407,99255.296875
3244642215,99255.421875
3244682977,99254.593750
3244722755,99255.109375
3244762890,99255.203125
3244803086,99254.015625
3244844003,99255.031250
3244884759,99254.406250
3244924013,99254.140625
3244964325,99254.625000
3245004382,99255.031250
3245045046,99255.484375
3245088036,99254.281250
3245128364,99254.890625
3245168134,99254.593750
3245208114,99255.031250
3245248877,99255.078125
3245288845,99254.625000
3245328246,99254.968750
3245368948,99255.562500
3245408974,99254.734375
3245448733,99254.781250
3245488355,99254.359375
3245528313,99254.859375
3245568359,99255.015625
3245608846,99254.796875
3245652426,99254.234375
3245692976,99255.265625
3245732742,99254.328125
3245772423,99254.656250
3245812587,99255.015625
3245852303,99254.421875
3245892963,99254.250000
3245932520,99254.343750
3245973097,99254.671875
3246016918,99254.984375
3246056592,99254.953125
3246096796,99254.578125
3246136380,99255.109375
3246177002,99254.921875
3246217404,99254.937500
3246257086,99254.437500
3246297532,99254.718750
3246337048,99255.171875
3246377448,99254.281250
3246417721,99254.390625
3246457606,99254.796875
3246497813,99254.015625
3246537506,99254.359375
3246580499,99254.437500
3246620889,99254.390625
3246660065,99255.218750
3246700192,99254.500000
3246740774,99255.218750
3246780916,99254.531250
3246821112,99254.578125
3246861132,99254.546875
3246901729,99255.031250
3246941419,99253.906250
3246981590,99254.906250
3247021963,99254.234375
3247061157,99254.968750
3247101742,99254.890625
3247141087,99254.734375
3247182181,99254.609375
3247222484,99253.421875
3247263848,99253.140625
3247303583,99253.953125
3247343931,99253.203125
3247383702,99253.562500
3247423820,99253.765625
3247463419,99253.750000
3247503865,99254.218750
3247543181,99254.187500
3247583635,99254.953125
3247623456,99254.562500
3247664071,99254.312500
3247707686,99254.968750
3247747113,99254.437500
3247787573,99255.296875
3247827942,99254.593750
3247867914,99255.203125
3247907729,99255.140625
3247947119,99254.484375
3247987898,99255.187500
3248027305,99254.625000
3248067059,99254.765625
3248107000,99254.500000
3248147524,99254.890625
3248187490,99255.312500
3248227593,99255.203125
3248270759,99254.625000
3248310018,99254.671875
3248350428,99255.062500
3248391165,99255.468750
3248434771,99254.703125
3248474787,99255.218750
3248514182,99254.984375
3248554611,99254.718750
3248594756,99255.468750
3248635353,99254.781250
3248675261,99254.453125
3248715165,99255.234375
3248755186,99254.921875
3248795175,99255.218750
3248835754,99255.421875
3248875631,99255.375000
3248915256,99255.484375
3248955809,99255.187500
3248995728,99255.140625
3249035151,99254.953125
3249075051,99255.046875
3249115729,99254.500000
3249155390,99254.796875
3249195202,99254.968750
3249235563,99254.671875
3249275447,99255.296875
3249316076,99255.203125
3249356341,99255.031250
3249398042,99255.609375
3249438599,99255.390625
3249478712,99255.296875
3249518019,99254.671875
3249558171,99255.562500
3249598029,99255.421875
3249638460,99255.046875
3249678861,99255.578125
3249718388,99256.125000
3249758568,99254.984375
3249798116,99256.109375
3249838530,99254.625000
3249878429,99255.718750
3249918080,99254.734375
3249960393,99255.046875
3250001166,99255.625000
3250041469,99255.546875
3250083726,99254.609375
3250125894,99254.421875
3250165607,99254.203125
3250205096,99255.000000
3250245206,99255.000000
3250285777,99254.812500
3250325132,99253.640625
3250365440,99254.734375
3250405290,99255.609375
3250445410,99255.421875
3250488529,99255.953125
3250528159,99255.109375
3250569003,99255.656250
3250609308,99255.125000
3250649549,99255.593750
3250689116,99255.656250
3250729725,99255.375000
3250769861,99255.187500
3250809933,99253.875000
3250849055,99253.921875
3250889844,99255.187500
3250929010,99255.437500
3250970259,99255.765625
3251010521,99254.875000
3251050853,99255.343750
3251090760,99255.937500
3251130062,99254.890625
3251170781,99255.593750
3251211058,99254.703125
3251251463,99254.656250
3251291301,99254.515625
3251331730,99255.156250
