# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# GNSS-only passthrough (NAV-PVT + NAV-COV), no RTKLIB post-processing -- see inslib_convert_ubx_to_csv.py
3228081464,48.9099859000,8.4666291000,323.4440,0.007569,0,0,0.007569,0,0.013225,0.0030,0.0010,0.0170,0.002809,0,0,0.002809,0,0.002809,1
3228280788,48.9099858000,8.4666291000,323.4480,0.007225,0,0,0.007225,0,0.012769,-0.0050,-0.0020,-0.0040,0.001369,0,0,0.001369,0,0.001369,1
3228480111,48.9099858000,8.4666291000,323.4550,0.007056,0,0,0.007056,0,0.012544,0.0020,0.0010,-0.0190,0.002209,0,0,0.002209,0,0.002209,1
3228680688,48.9099857000,8.4666291000,323.4620,0.006889,0,0,0.006889,0,0.012321,-0.0060,-0.0060,0.0220,0.002209,0,0,0.002209,0,0.002209,1
3228881264,48.9099857000,8.4666291000,323.4660,0.006724,0,0,0.006724,0,0.011881,0.0100,-0.0060,-0.0040,0.000841,0,0,0.000841,0,0.000841,1
3229080588,48.9099857000,8.4666291000,323.4720,0.006561,0,0,0.006561,0,0.011664,0.0110,-0.0060,-0.0090,0.001296,0,0,0.001296,0,0.001296,1
3229281164,48.9099857000,8.4666291000,323.4800,0.0064,0,0,0.0064,0,0.011449,0.0080,0.0000,0.0080,0.002025,0,0,0.002025,0,0.002025,1
3229480488,48.9099856000,8.4666291000,323.4830,0.006241,0,0,0.006241,0,0.011236,-0.0060,-0.0120,0.0050,0.000729,0,0,0.000729,0,0.000729,1
3229679811,48.9099856000,8.4666291000,323.4890,0.006084,0,0,0.006084,0,0.011025,0.0040,0.0000,-0.0140,0.001936,0,0,0.001936,0,0.001936,1
3229881641,48.9099856000,8.4666291000,323.4960,0.005929,0,0,0.005929,0,0.010816,0.0040,-0.0010,0.0010,0.000961,0,0,0.000961,0,0.000961,1
3230080964,48.9099856000,8.4666291000,323.5010,0.005776,0,0,0.005776,0,0.010609,0.0050,0.0020,-0.0060,0.001089,0,0,0.001089,0,0.001089,1
3230280287,48.9099856000,8.4666291000,323.5050,0.005776,0,0,0.005776,0,0.010404,0.0110,-0.0040,0.0300,0.002809,0,0,0.002809,0,0.002809,1
3230480864,48.9099855000,8.4666291000,323.5060,0.005625,0,0,0.005625,0,0.010404,0.0040,-0.0020,-0.0200,0.002304,0,0,0.002304,0,0.002304,1
3230680187,48.9099855000,8.4666291000,323.5120,0.005476,0,0,0.005476,0,0.010201,-0.0080,-0.0080,-0.0070,0.001681,0,0,0.001681,0,0.001681,1
3230878257,48.9099855000,8.4666290000,323.5180,0.005476,0,0,0.005476,0,0.01,0.0050,-0.0020,0.0010,0.000961,0,0,0.000961,0,0.000961,1
3231078834,48.9099855000,8.4666290000,323.5230,0.005329,0,0,0.005329,0,0.009801,-0.0010,0.0010,-0.0070,0.001849,0,0,0.001849,0,0.001849,1
3231279411,48.9099854000,8.4666290000,323.5290,0.005184,0,0,0.005184,0,0.009801,-0.0010,0.0070,-0.0080,0.0016,0,0,0.0016,0,0.0016,1
3231479987,48.9099854000,8.4666290000,323.5350,0.005184,0,0,0.005184,0,0.009604,0.0120,-0.0100,-0.0090,0.001089,0,0,0.001089,0,0.001089,1
3231679310,48.9099854000,8.4666290000,323.5380,0.005041,0,0,0.005041,0,0.009604,0.0140,-0.0030,0.0250,0.002704,0,0,0.002704,0,0.002704,1
3231879887,48.9099854000,8.4666290000,323.5400,0.005041,0,0,0.005041,0,0.009409,-0.0070,-0.0020,-0.0220,0.002809,0,0,0.002809,0,0.002809,1
3232079210,48.9099854000,8.4666290000,323.5470,0.0049,0,0,0.0049,0,0.009216,0.0050,0.0050,-0.0100,0.001369,0,0,0.001369,0,0.001369,1
3232279787,48.9099854000,8.4666290000,323.5510,0.0049,0,0,0.0049,0,0.009216,0.0040,0.0010,0.0150,0.002601,0,0,0.002601,0,0.002601,1
3232479110,48.9099854000,8.4666290000,323.5530,0.0049,0,0,0.0049,0,0.009025,0.0030,-0.0030,0.0020,0.001024,0,0,0.001024,0,0.001024,1
3232678433,48.9099853000,8.4666290000,323.5560,0.004761,0,0,0.004761,0,0.009025,-0.0040,-0.0020,0.0090,0.001444,0,0,0.001444,0,0.001444,1
3232880264,48.9099853000,8.4666290000,323.5590,0.004761,0,0,0.004761,0,0.009025,-0.0070,-0.0090,-0.0080,0.001681,0,0,0.001681,0,0.001681,1
3233078333,48.9099853000,8.4666290000,323.5630,0.004624,0,0,0.004624,0,0.008836,0.0050,0.0000,0.0270,0.002916,0,0,0.002916,0,0.002916,1
3233277656,48.9099853000,8.4666290000,323.5630,0.004624,0,0,0.004624,0,0.008836,0.0150,-0.0020,0.0220,0.002601,0,0,0.002601,0,0.002601,1
