# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 798 Hz by 4 (inslib_decimate_dataset.py)
3228083972,0.00324223166,0.000807423352,-0.000265292977,-0.0494268742,-0.330916656,-9.84915994,25.875
3228088986,0.00297204568,0.000807423352,-0.00132646488,-0.0446452568,-0.330318361,-9.8533457,25.75
3228094000,0.00459316141,0.000807423352,-0.000795878932,-0.0464383621,-0.325531985,-9.84796401,25.825
3228099015,0.00405278951,0.000807423352,-0.00079587893,-0.0392659395,-0.326728584,-9.85932536,25.675
3228104029,0.00216148773,0.00188398724,-0.00238763672,-0.0297027064,-0.329720067,-9.84975791,25.7
3228109044,0.00135092983,0.00107656447,-0.00159175786,-0.0386682373,-0.325531985,-9.84736604,25.825
3228114058,0.00216148775,0.00107656447,0,-0.0446452573,-0.325531976,-9.84497418,25.775
3228119073,0.00189130178,0.00161484632,-0.000265292977,-0.036875132,-0.329720067,-9.85394366,25.85
3228124087,0.00297204568,0.00107656447,-0.00132646488,-0.0362774286,-0.318950707,-9.84617011,25.7
3228129101,0.00216148774,0.000538282235,-0.00159175786,-0.0422544481,-0.320745601,-9.8533457,25.875
3228134116,0.00243167371,0.00134570539,-0.00106117191,-0.0314958118,-0.323737083,-9.85693349,25.75
3228139130,0.00297204568,0.000807423352,0,-0.0392659384,-0.329121772,-9.86291257,25.8
3228144145,0.00243167371,0.000538282235,-0.000795878932,-0.0392659384,-0.328523468,-9.85274773,25.75
3228149159,0.00270185969,0.000538282235,-0.000530585955,-0.0344843233,-0.324335378,-9.84736604,25.775
3228154173,0.00351241761,0.000269141117,-0.000530585955,-0.0452429578,-0.330318361,-9.8515518,25.85
3228159188,0.00297204568,0.000538282235,-0.000265292977,-0.0410590449,-0.332113245,-9.8515518,25.75
3228164202,0.00135092983,0.0013457052,-0.000795878932,-0.0350820249,-0.330318361,-9.84377824,25.85
3228169217,0.00270185969,-0.000269141052,-0.000265292977,-0.0350820248,-0.338694523,-9.84318028,25.825
3228174231,0.00297204565,0.00134570539,-0.000530585955,-0.0350820254,-0.332113245,-9.84497418,25.85
3228179246,0.00189130178,0.00188398724,-0.000530585955,-0.0350820248,-0.333908129,-9.84078871,25.85
3228184260,0.00189130178,0.000538282235,-0.000530585955,-0.0338866211,-0.333309835,-9.85095384,25.85
3228189274,0.00162111581,0.00107656428,-0.00159175786,-0.038070534,-0.327326879,-9.84796401,25.85
3228194289,0.00324223161,0.00161484632,-0.00079587893,-0.0344843232,-0.337497934,-9.8497582,25.775
3228199303,0.00135092983,0.00188398724,-0.000265292977,-0.0279096005,-0.317155814,-9.83959307,25.75
3228204318,0.00297204568,0.00107656447,-0.00106117191,-0.0303004086,-0.32074561,-9.85573757,25.825
3228209332,0.00351241758,0.00107656447,-0.00106117191,-0.0350820237,-0.328523468,-9.85095384,25.85
3228214347,0.00162111579,0.00161484632,-0.000530585955,-0.0308981108,-0.332113254,-9.8372012,25.775
3228219361,0.00108074386,0.00134570539,-0.000795878932,-0.0326912167,-0.31536093,-9.84676807,25.825
3228224375,-0.000540372,-0.000538282072,0.00106117184,-0.00699002964,-0.33689963,-9.81687154,25.7
3228229390,-0.00243167371,-0.00134570518,-0.00079587893,-0.0434498518,-0.295018806,-9.87546927,25.825
3228234404,0.00378260353,0.00188398724,-0.000265292977,-0.0303004086,-0.312967729,-9.85633524,25.725
3228239419,0.00135092985,-0.000269141052,-0.000265292977,-0.0243233883,-0.333908148,-9.82942794,25.725
3228244433,0.00108074386,0.000807423352,0.000795878932,-0.0338866211,-0.319549011,-9.85095384,25.7
3228249447,0.00216148775,0.00107656447,0,-0.0297027064,-0.307583049,-9.86650007,25.7
3228254462,0.00243167371,0.000807423352,0.00132646485,-0.0243233886,-0.317155824,-9.85633553,25.775
3228259476,0.00054037193,0.0013457052,0.00159175779,-0.0291050048,-0.324335387,-9.85633524,25.85
3228264491,-0.00081055785,0.00107656423,0.00185705074,-0.0261164939,-0.303993263,-9.86171664,25.8
3228269505,0.000810557897,0,0.00318351546,-0.0416567471,-0.31655751,-9.87307741,25.675
3228274520,0.00216148774,-0.000807423157,0.00291822251,-0.04584066,-0.320745601,-9.85573727,25.825
3228279534,0.000810557897,-0.000269141052,0.00238763662,-0.0434498513,-0.330318361,-9.86111867,25.725
3228284548,0.000810557895,0,0.00185705074,-0.0374728324,-0.330318361,-9.85214977,25.85
3228289563,0.000810557895,-0.000538282105,0.00185705074,-0.0500245752,-0.339292818,-9.85932536,25.8
3228294577,0.000810557895,-0.000538282105,0.00238763663,-0.0380705346,-0.338694524,-9.84975791,25.85
3228299592,0.0016211158,0,0.00106117191,-0.0506222774,-0.333309844,-9.85992274,25.75
3228304606,0,0.000269141117,0.00185705074,-0.043449853,-0.332711549,-9.86171664,25.85
3228309621,0.00189130176,0.00107656447,0.00132646482,-0.0506222774,-0.335703032,-9.85573757,25.9
3228314635,0.00162111579,0.00161484632,-0.000530585955,-0.0625763186,-0.327925174,-9.86171664,25.825
3228319649,0.00324223166,0.00161484632,-0.000530585955,-0.0613809142,-0.32613028,-9.85454134,25.75
3228324664,0.00297204568,0.000269141117,0,-0.04584066,-0.319549011,-9.86111867,25.75
3228329678,0.00216148773,0.000807423352,0.000265292977,-0.0452429578,-0.327326879,-9.86410791,25.75
3228334693,0.00270185969,0.000538282235,-0.000795878932,-0.0464383644,-0.332711549,-9.85633523,25.9
3228339707,0.00162111579,0.000807423352,-0.00159175786,-0.0536107871,-0.322540494,-9.8587274,25.825
3228344721,0.00324223163,-0.000269140987,-0.000530585955,-0.0548061926,-0.317155814,-9.860521,25.8
3228349736,0.00351241761,0.000807423352,-0.000530585955,-0.049426873,-0.32613028,-9.84676837,25.675
3228354750,0.00297204568,0.000538282235,0,-0.0297027069,-0.323138798,-9.84377854,25.75
3228359765,-0.0005403719,-0.000538282007,0.00212234368,-0.0416567468,-0.347668998,-9.8443765,25.8
3228364779,0,-0.00188398729,0.000795878932,-0.0560015958,-0.306386455,-9.86351054,25.85
3228369794,0.00108074386,0.000538282235,0.00238763662,-0.0524153839,-0.312369434,-9.85035587,25.775
3228374808,0.00162111579,0.000538282235,0.000265292977,-0.0482314687,-0.312369434,-9.85095384,25.825
3228379822,0.00108074386,0.000538282105,0.00212234368,-0.0398636411,-0.31117284,-9.8372012,25.725
3228384837,0.00054037193,0.00161484632,0.00238763662,-0.0524153839,-0.31117284,-9.85095384,25.825
3228389851,0.00162111581,0.00107656447,0.00265292957,-0.0548061914,-0.308181349,-9.84736604,25.75
3228394866,0.00324223166,0.000538282235,0.00132646485,-0.0571970013,-0.312967733,-9.84019074,25.775
3228399880,0.00189130176,0.000538282235,0.00185705074,-0.0536107882,-0.316557529,-9.84437621,25.675
3228404894,0.00162111579,0.00107656447,0.00106117191,-0.0536107882,-0.329121772,-9.84975791,25.825
3228409909,0.00216148773,0.000269141117,0.00106117191,-0.0518176817,-0.315959225,-9.84796401,25.775
3228414923,0.00297204568,-0.000807423157,0.00132646485,-0.0536107882,-0.320745609,-9.84975791,25.7
3228419938,0.00243167373,-0.000269141052,0.00159175779,-0.0554038948,-0.326728584,-9.8515518,25.825
3228424952,0.00135092983,0.000538282235,0.00185705074,-0.04584066,-0.327326879,-9.83899481,25.725
3228429967,0.00135092983,-0.000538282105,0.00185705074,-0.0530130861,-0.330318352,-9.84975791,25.85
3228434981,0.00297204568,-0.000538282105,0.00212234368,-0.0380705352,-0.316557519,-9.8389951,25.8
3228439995,0.00135092983,-0.00107656421,0.00265292957,-0.0482314698,-0.326130289,-9.84318028,25.9
3228445010,0.00108074386,0,0.00212234368,-0.0524153839,-0.321343904,-9.84497418,25.75
3228450024,0.00297204568,0.00161484632,0.00106117191,-0.0488291708,-0.320745601,-9.8551396,25.825
3228455039,0.00270185969,0.00134570539,0.00132646485,-0.0237256861,-0.31655751,-9.8282323,25.85
3228460053,0.00162111579,0.000538282235,0.000530585955,-0.054806192,-0.32074561,-9.83959248,25.8
